LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
278.50696,278.50696,0.0,0.0,0.0,0.16452235,4478.0,100.0,0.0,1.5063813,0.0,0.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,30.799677,0.0,0.0,-492.5366,-139.2003,822.8901,3.4182798E-4,-0.020369172,-0.016720839,0.0,0.0,0.0,0.0,26.0,26.0,26.0,26.0,84.0,84.0,84.0,84.0,0.0,0.0,0.0,0.0,0.006573525,0.006529209,0.047565233,0.04757304,20.491209,20.176636,-77.57417,-77.351776,-933.8411,-853.8846,2495.9695,2473.4119,0.0,0.0,0.0,1.0,1.0,0.9391334,-5.0073293E-5,0.0110599995,84.0,84.0,84.0,84.0,20.899986,20.899986,24.199982,24.199982,-9.5403055E-4,-0.0011355887,-6.0486415E-4,-7.954678E-4,102.41833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016274253,0.04565854,0.0010948654,-0.015395456,4.1895526E-4,0.021658275,121442.47,0.0,0.032696903,0.061117288,2666.7595,2662.1062,2119.892,2119.7402,0.33994007,0.0,0.0,0.0
278.50803,278.50803,0.2,0.0,0.0,0.4390987,12807.0,79.13787,0.0,1.1643349,0.0,1.0,0.0,0.0,4000000.0,111.0,1.0,0.0,0.0,30.79147,0.0,0.0,-492.5357,-139.19969,822.8907,0.0044581294,0.74218106,-0.08618838,41.016254,41.02889,0.24709368,0.25882927,26.0,26.0,26.0,26.0,74.0,74.0,74.0,74.0,0.0016972139,0.0016943439,0.0,0.0,0.0075018066,0.0073971227,0.046195373,0.04615608,52.751,54.196796,-7.069632,-5.606934,3190.4502,3296.2954,-436.26126,-338.48132,0.0,0.0,0.0,1.0,1.0,0.9391564,-9.133272E-5,0.010350585,84.0,84.0,84.0,84.0,20.876627,20.876644,24.172773,24.172794,0.6118446,0.61224276,-0.0012424259,-0.0011695344,1228.3593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098334365,-0.014904766,0.0706069,-0.015448901,-5.6814635E-4,0.026020791,509278.12,0.0,0.034402385,0.061010826,2546.148,2537.3564,1979.6711,1966.6039,0.34054947,0.0,0.0,0.0
278.5253,278.5253,0.25,0.0,0.0,2.0071056,12093.0,86.96117,0.0,1.6199116,0.0,1.0,0.0,0.0,4000000.0,111.0,1.0,0.0,0.0,30.790306,0.0,0.0,-492.52176,-139.20166,822.9009,-0.0027357638,0.9280362,-0.04080201,106.73388,106.76791,1.8538396,1.8448159,26.0,26.0,26.0,26.0,75.0,75.0,74.0,74.0,0.10477425,0.104529396,0.0,0.0,0.011251665,0.011212932,0.045651633,0.045662574,76.0941,75.61303,-5.240142,-5.2095203,-57.398983,-152.162,436.95862,385.50046,0.0,0.0,0.0,1.0,1.0,0.9391065,-4.8693913E-5,0.008615851,84.0,84.0,84.0,84.0,20.876347,20.876364,24.172373,24.172394,4.884193,4.8856874,-0.0016048282,-0.0016147807,1218.4465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44771165,-0.054563608,0.32774386,-0.015311658,-0.0015510385,0.01961709,534994.6,0.0,0.035118777,0.057260055,2934.5417,2925.46,1627.914,1632.5751,0.338583,0.0,0.0,0.0
278.56583,278.56583,0.3,0.0,0.0,3.7349398,12870.0,100.0,0.0,2.0095406,0.0,1.0,0.0,0.0,4000000.0,111.0,1.0,0.0,0.0,30.788963,0.0,0.0,-492.4891,-139.20409,822.92487,-0.0031188428,1.0004265,0.0845586,113.589035,113.63747,3.5819829,3.5644293,26.0,26.0,26.0,26.0,77.0,77.0,74.0,74.0,0.10477425,0.104529396,0.0,0.0,0.01419815,0.014110723,0.04584939,0.045840975,47.85485,47.140213,5.285963,5.0885973,-710.5675,-675.1252,6.973743,22.222107,0.0,0.0,0.0,3.0,1.0,0.93898726,-8.9012E-5,0.0077934265,84.0,84.0,84.0,84.0,20.876133,20.87615,24.171972,24.171993,5.859495,5.8630056,-0.0015355214,-0.0015247155,1227.8182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83583623,-0.03386452,0.6136795,-0.0063411063,-0.0031060372,0.008106636,506561.9,0.0,0.033980723,0.05401399,3191.943,3179.824,1878.9648,1875.23,0.3361578,0.0,0.0,0.0
278.63074,278.63074,0.35,0.0,0.0,5.5049734,13491.0,100.0,0.0,1.8168077,0.0,1.0,0.0,0.0,4000000.0,112.0,1.0,0.0,0.0,30.787636,0.0,0.0,-492.43683,-139.20471,822.9634,-0.0019663572,0.99646914,0.07362565,119.235,119.27507,5.3537803,5.3322186,26.0,26.0,26.0,26.0,78.0,78.0,74.0,74.0,0.23382936,0.23330463,0.0,0.0,0.015217946,0.015146047,0.045909554,0.045907617,6.5385547,7.4097137,-0.7474422,-0.4161894,-822.288,-784.7204,-104.351326,-93.24699,0.0,0.0,0.0,3.0,1.0,0.9388036,-7.4401265E-5,0.007505536,84.0,84.0,84.0,84.0,20.875982,20.876001,24.171568,24.171589,6.106496,6.1109304,-0.0015599201,-0.0015438902,1215.2307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2323282,0.004354788,0.90535975,4.153799E-4,-0.0039582127,3.2132608E-4,478290.34,0.0,0.033814266,0.053105965,3176.4353,3167.8345,1852.5532,1853.2615,0.3355322,0.0,0.0,0.0
278.7198,278.7198,0.4,0.0,0.0,7.209934,14030.0,100.0,0.0,1.6135153,0.0,1.0,0.0,0.0,4000000.0,112.0,1.0,0.0,0.0,30.786337,0.0,0.0,-492.36505,-139.20404,823.0161,-0.002447635,0.948346,0.009007848,124.23426,124.27421,7.066436,7.04129,26.0,26.0,26.0,26.0,80.0,80.0,74.0,74.0,0.23382936,0.23330463,0.0,0.0,0.014700224,0.014637329,0.04582145,0.04582278,-15.921702,-15.874319,-1.715049,-1.8889456,-290.2418,-294.60712,11.81513,-8.234381,0.0,0.0,0.0,3.0,1.0,0.9385908,-6.568137E-5,0.0076937675,84.0,84.0,84.0,84.0,20.87589,20.875908,24.171162,24.171183,6.215511,6.2202377,-0.0015440345,-0.0015401414,1197.827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6137601,0.015564762,1.1859939,0.0038472551,-0.0045634964,-0.0053763655,453328.94,0.0,0.034221403,0.053992208,3006.8855,2997.852,1782.5419,1781.8574,0.33620548,0.0,0.0,0.0
278.83228,278.83228,0.45,0.0,0.0,8.854131,13662.0,100.0,0.0,1.6150376,0.0,1.0,0.0,0.0,4000000.0,112.0,1.0,0.0,0.0,30.78621,0.0,0.0,-492.2744,-139.20346,823.0827,-0.003283292,0.9278128,-0.014203531,101.48747,101.526344,8.715041,8.683059,26.0,26.0,26.0,26.0,82.0,82.0,74.0,74.0,0.33465362,0.33389995,0.0,0.0,0.013921144,0.01386111,0.045783356,0.045776315,-13.0706835,-13.0875025,-0.43384728,-0.39495525,186.49399,168.73775,4.801152,26.84891,0.0,0.0,0.0,3.0,1.0,0.93833655,-6.550944E-5,0.007957339,84.0,84.0,84.0,84.0,20.875832,20.875849,24.170753,24.170774,5.398641,5.4040504,-0.0015306921,-0.0015244744,1210.3245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9813762,0.0068268157,1.4571023,0.0024577985,-0.005575655,-0.003341655,470397.0,0.0,0.034428157,0.054879807,2936.6636,2926.8052,1773.9373,1770.9075,0.33678913,0.0,0.0,0.0
278.96738,278.96738,0.5,0.0,0.0,10.501239,13333.0,100.0,0.0,1.8505964,0.0,1.0,0.0,0.0,4000000.0,112.0,1.0,0.0,0.0,30.786045,0.0,0.0,-492.16565,-139.20335,823.16284,-0.0050364137,0.93667823,-0.0037929364,78.673836,78.731445,10.364092,10.3214,26.0,26.0,26.0,26.0,83.0,83.0,73.0,73.0,0.33465362,0.33389995,0.0,0.0,0.013660274,0.01358245,0.045793045,0.045778733,-1.5898234,-2.2350063,0.42177734,0.17143784,206.93912,191.07048,18.748638,17.340479,0.0,0.0,0.0,3.0,1.0,0.938006,-8.584626E-5,0.008026123,84.0,84.0,84.0,84.0,20.875793,20.875813,24.170343,24.170368,4.0652905,4.0720572,-0.0015345193,-0.0015238037,1219.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3489714,-8.789183E-4,1.7295332,-5.2334857E-5,-0.0076136393,-6.3773827E-4,485630.12,0.0,0.034448095,0.05507448,2971.1084,2956.4646,1787.8851,1781.3542,0.3368988,0.0,0.0,0.0
279.12555,279.12555,0.55,0.0,0.0,12.16595,13017.0,100.0,0.0,1.9906944,0.0,1.0,0.0,0.0,4000000.0,112.0,1.0,0.0,0.0,30.785872,0.0,0.0,-492.03824,-139.20352,823.2566,-0.0045086145,0.9468396,0.008465536,55.42119,55.479412,12.0334,11.978792,26.0,26.0,26.0,26.0,83.0,83.0,73.0,73.0,0.3785405,0.3777065,0.0,0.0,0.013768476,0.013674383,0.045813065,0.04579534,4.1521153,4.1288695,0.603944,0.7219612,137.1447,154.92104,13.089177,33.08504,0.0,0.0,0.0,3.0,1.0,0.9375666,-9.470479E-5,0.007986426,84.0,84.0,84.0,84.0,20.875769,20.875788,24.169926,24.169954,2.7100458,2.717903,-0.0015338004,-0.0015292896,1226.3324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7202938,-0.0030745012,2.005129,-2.6110935E-4,-0.009540418,8.221109E-4,500235.25,0.0,0.034352195,0.05488046,3008.567,2994.2605,1803.7749,1796.8452,0.33673382,0.0,0.0,0.0
279.2439,279.2439,0.6,0.0,0.0,13.283122,12815.0,100.0,0.0,2.0250368,0.0,1.0,0.0,0.0,4000000.0,112.0,1.0,0.0,0.0,30.785751,0.0,0.0,-491.94296,-139.20357,823.32684,-0.006045997,0.94829714,0.009626573,39.73851,39.798702,13.153795,13.091458,26.0,26.0,26.0,26.0,84.0,84.0,73.0,73.0,0.3785405,0.3777065,0.0,0.0,0.0138967065,0.013811314,0.045812905,0.045802657,0.0,0.0,0.0,0.0,-95.11112,-122.14107,-42.875103,-47.340984,0.0,0.0,0.0,3.0,1.0,0.9372294,-9.225879E-5,0.0079398155,84.0,84.0,84.0,84.0,20.87576,20.875776,24.169651,24.169676,1.824137,1.8317283,-0.0015574631,-0.0015463552,1228.3075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.969376,-0.0019289469,2.190229,-5.518091E-4,-0.010685952,1.0512835E-4,508938.75,0.0,0.03440502,0.054808065,3014.5723,2999.4165,1793.9702,1789.689,0.33669186,0.0,0.0,0.0
