LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
2.1992047,2.1992047,0.033,0.0,0.0,217.32755,10545.0,100.0,0.0,1.9963589,0.0,6.0,1.0,0.0,3632027.2,110.0,3.0,0.0,0.0,6.9026394,0.0,0.0,-715.49945,-139.2161,659.974,-0.3734167,0.87534165,0.119925305,223.65788,223.77469,217.39597,216.91306,453.0,454.0,506.0,515.0,84.0,84.0,84.0,84.0,0.1628303,0.2760365,0.060342345,0.22568053,0.032062873,0.030449437,0.052287288,0.050902426,21.047739,-23.656412,-90.782265,-129.05962,1449.7069,-356.15717,5308.372,3948.4934,0.0,1774.3066,2342.3057,2.0,1.0,0.9516926,-0.0020690623,0.004634857,85.0,85.0,85.0,85.0,20.900429,20.9004,24.200466,24.200432,0.028247533,0.030968985,-7.7167107E-4,-6.978853E-4,1075.843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.20959,0.061598618,34.96855,-0.059434086,-0.0844001,0.004738597,541725.56,119984.91,0.021010496,0.032967564,5918.492,5298.5825,4712.464,4020.6948,0.32013798,0.0,0.0,0.0
5.237324,5.237324,0.083,0.0,0.0,218.79196,10627.0,100.0,0.0,1.7044755,0.0,6.0,1.0,0.0,3628525.8,110.0,3.0,0.0,0.0,6.9012914,0.0,0.0,-713.0332,-139.2132,661.7324,-0.42454034,0.82296044,-0.097000204,225.44661,225.50438,218.92169,218.32364,451.0,452.0,504.0,514.0,84.0,84.0,84.0,84.0,0.1628303,0.2760365,0.060342345,0.22568053,0.03129358,0.028846623,0.050235853,0.048308272,-35.23618,-35.36649,-24.686155,-22.233053,-1017.02655,-187.86871,919.7697,1512.1085,0.0,4447.309,5843.6147,2.0,1.0,0.9468801,-0.0027815676,0.004103899,85.0,85.0,85.0,85.0,20.90106,20.900972,24.201096,24.200981,0.02906707,0.031856928,-7.1644323E-4,-7.752022E-4,1087.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.42613,0.0401519,35.365566,0.0073896516,-0.10011577,-0.0086226715,543169.56,119984.91,0.024550674,0.035153437,5557.741,4919.348,4164.0664,3292.2908,0.3230362,0.0,0.0,0.0
8.2964735,8.2964735,0.133,0.0,0.0,220.24185,10701.0,100.0,0.0,1.6194947,0.0,6.0,1.0,0.0,3625046.0,110.0,3.0,0.0,0.0,6.8999424,0.0,0.0,-710.5569,-139.21248,663.51196,-0.5098446,0.826279,-0.07020792,226.9425,227.12196,220.37128,219.77158,450.0,451.0,502.0,512.0,84.0,84.0,83.0,83.0,0.16464767,0.27763817,0.060342345,0.22568053,0.0299831,0.027429769,0.05019663,0.048112147,-13.321749,-20.056105,6.3946095,-0.5487352,872.6298,587.3501,329.05334,128.51804,0.0,7140.8423,9323.3125,2.0,1.0,0.941857,-0.0030822325,0.004676819,85.0,85.0,85.0,85.0,20.90167,20.90152,24.20172,24.201517,0.029292127,0.032598086,-7.021256E-4,-7.640322E-4,1097.2484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.613846,-0.0050322684,35.79455,-0.005865545,-0.100016534,-0.010572515,544449.5,119984.91,0.024569996,0.036654867,5579.0,4799.721,4463.8145,3485.0176,0.3237362,0.0,0.0,0.0
11.376158,11.376158,0.183,0.0,0.0,221.69127,10759.0,100.0,0.0,1.5418824,0.0,6.0,1.0,0.0,3621583.2,110.0,3.0,0.0,0.0,6.8985925,0.0,0.0,-708.0717,-139.21317,665.3136,-0.55518043,0.81968725,-0.0030185883,228.1803,228.36772,221.80841,221.23169,448.0,449.0,501.0,510.0,84.0,83.0,83.0,83.0,0.16464767,0.27763817,0.060342345,0.22568053,0.030484853,0.027507339,0.05053083,0.04812756,17.235203,10.753087,5.332902,0.6908923,303.0225,523.7214,-96.0633,23.992357,0.0,9850.542,12785.992,2.0,1.0,0.9369599,-0.0035077007,0.0045973063,85.0,85.0,85.0,85.0,20.9023,20.90207,24.202358,24.20205,0.028198391,0.031436574,-6.871452E-4,-7.6174183E-4,1105.2666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.78214,-0.017021963,36.2484,-0.0065372284,-0.09554823,0.0011895727,545471.6,119984.91,0.023977961,0.0358566,5824.38,4979.845,4647.028,3531.8984,0.32303715,0.0,0.0,0.0
14.476233,14.476233,0.233,0.0,0.0,223.11792,10822.0,100.0,0.0,1.2668147,0.0,6.0,1.0,0.0,3618136.5,110.0,3.0,0.0,0.0,6.8972416,0.0,0.0,-705.5784,-139.21387,667.13794,-0.5384103,0.80625117,0.022439973,229.51341,229.69748,223.20468,222.69362,446.0,447.0,499.0,509.0,83.0,83.0,82.0,82.0,0.16641901,0.27914786,0.060342345,0.22568053,0.03117295,0.02823993,0.0506247,0.048258822,9.684339,13.675354,0.3354996,3.366172,-277.95728,-127.21714,-89.384605,24.193523,0.0,12575.469,16232.644,2.0,1.0,0.9324636,-0.003430919,0.004398823,85.0,85.0,85.0,85.0,20.90294,20.902628,24.202988,24.202568,0.027701883,0.03060691,-6.6949235E-4,-7.586779E-4,1113.9705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.94226,-0.00944525,36.700733,0.0027594292,-0.08388066,0.005130876,546566.7,119984.91,0.023534479,0.034883853,5900.417,5084.771,4686.792,3610.8193,0.32233334,0.0,0.0,0.0
17.59656,17.59656,0.283,0.0,0.0,224.52443,10888.0,100.0,0.0,0.936759,0.0,6.0,1.0,0.0,3614707.0,110.0,3.0,0.0,0.0,6.8958898,0.0,0.0,-703.07697,-139.21408,668.98456,-0.48066157,0.7954457,0.013919556,230.90619,231.09502,224.56316,224.15305,445.0,446.0,498.0,507.0,83.0,83.0,81.0,82.0,0.16641901,0.27914786,0.060342345,0.22568053,0.031277258,0.028656507,0.05056401,0.04844148,-1.2568383,5.646497,-2.1035223,3.887638,-169.55583,-136.54454,-54.69024,24.220331,0.0,15316.666,19662.168,2.0,1.0,0.928705,-0.0030682771,0.004354596,85.0,85.0,85.0,85.0,20.90358,20.903189,24.203598,24.20308,0.027660409,0.030139755,-6.620804E-4,-7.511813E-4,1123.1162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.108906,-0.0011849122,37.1329,0.007191905,-0.066615984,0.005278399,547713.7,119984.91,0.023374757,0.034624595,5860.4023,5134.627,4654.6987,3699.8257,0.32211685,0.0,0.0,0.0
20.73652,20.73652,0.333,0.0,0.0,225.9163,10954.0,100.0,0.0,0.4617951,0.0,6.0,1.0,0.0,3611295.0,110.0,3.0,0.0,0.0,6.8945365,0.0,0.0,-700.5666,-139.21408,670.8517,-0.37736732,0.7876646,-0.0037913567,232.30612,232.48279,225.88545,225.61922,443.0,444.0,496.0,505.0,83.0,83.0,81.0,81.0,0.16809107,0.2806084,0.060342345,0.22568053,0.031033093,0.028911484,0.05038295,0.048662897,-5.8568263,5.890801,-4.066005,4.9214063,-39.622906,48.60832,-7.9259343,20.733488,0.0,18074.553,23074.125,2.0,1.0,0.92601866,-0.0024576886,0.0043742657,85.0,85.0,85.0,85.0,20.904205,20.903751,24.204187,24.20359,0.02783014,0.029644499,-6.5643963E-4,-7.4842316E-4,1132.2883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.297405,-0.0019624294,37.527348,0.011450466,-0.041998796,0.008037434,548859.6,119984.9,0.023347152,0.03465501,5767.849,5208.2793,4564.585,3802.1953,0.32210827,0.0,0.0,0.0
23.896048,23.896048,0.383,0.0,0.0,227.29764,11017.0,100.0,0.0,0.012718118,0.0,6.0,1.0,0.0,3607900.2,110.0,3.0,0.0,0.0,6.893182,0.0,0.0,-698.046,-139.21431,672.7375,-0.24753821,0.78095496,9.582816E-4,233.65929,233.80692,227.18707,227.08496,441.0,442.0,494.0,504.0,83.0,82.0,80.0,80.0,0.16809107,0.2806084,0.060342345,0.22568053,0.030791016,0.02936941,0.05016442,0.048996657,-4.263818,11.62894,-4.6817956,7.6255198,4.150743,141.15118,-32.910717,42.767826,0.0,20848.752,26468.912,2.0,1.0,0.9246395,-0.001641888,0.004371524,85.0,85.0,85.0,85.0,20.904823,20.90432,24.204748,24.204098,0.027878871,0.028893458,-6.575622E-4,-7.3438796E-4,1140.4934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.51808,-0.004615563,37.87294,0.013867576,-0.014532783,0.011456917,549675.56,119984.91,0.023109328,0.034410857,5705.368,5341.3994,4482.0195,3982.2437,0.32187176,0.0,0.0,0.0
27.074787,27.074787,0.433,0.0,0.0,228.66574,11078.0,100.0,0.0,-0.41878578,0.0,6.0,1.0,0.0,3604521.8,110.0,3.0,0.0,0.0,6.891827,0.0,0.0,-695.5134,-139.21458,674.639,-0.1001755,0.7706407,0.0045639626,234.96385,235.08368,228.47882,228.53346,439.0,440.0,493.0,502.0,82.0,82.0,80.0,80.0,0.16961154,0.28204188,0.060342345,0.22568053,0.030623423,0.029999278,0.049909685,0.049370904,-3.506094,12.594535,-5.2524357,7.5893097,-18.60782,-12.083358,-5.082807,10.205783,0.0,23638.496,29847.334,2.0,1.0,0.9246133,-7.1851944E-4,0.0043216944,85.0,85.0,85.0,85.0,20.90543,20.9049,24.205286,24.204609,0.027737001,0.028004449,-6.5510115E-4,-7.205554E-4,1146.9434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.777184,-0.0043970733,38.16081,0.01457081,0.011671186,0.011941122,549740.4,119984.914,0.02290777,0.03406721,5637.9453,5493.034,4371.3096,4162.1133,0.32158756,0.0,0.0,0.0
30.272457,30.272457,0.483,0.0,0.0,230.0131,11139.0,100.0,0.0,-0.58372307,0.0,6.0,1.0,0.0,3601159.8,110.0,3.0,0.0,0.0,6.890472,0.0,0.0,-692.9669,-139.2148,676.5533,0.025237322,0.75898254,0.0067653526,236.30058,236.36958,229.76984,229.93921,438.0,439.0,491.0,500.0,82.0,82.0,79.0,79.0,0.16961154,0.28204188,0.060342345,0.22568053,0.030469798,0.030557932,0.049680073,0.049727872,-2.877563,9.553246,-4.005879,6.2204895,12.867893,-112.55218,42.338673,-67.02838,0.0,26443.76,33209.42,2.0,1.0,0.92573845,1.2287145E-4,0.0042943954,85.0,85.0,85.0,85.0,20.906027,20.905487,24.205795,24.205128,0.027737446,0.027335776,-6.6613435E-4,-6.928559E-4,1153.3971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.071953,-0.0024593344,38.391552,0.011365306,0.029887846,0.008931241,549806.25,119984.91,0.022740956,0.033824462,5571.379,5620.0405,4282.498,4333.0415,0.32138062,0.0,0.0,0.0
