LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
3.0610914,3.0610914,0.033,0.0,0.0,283.183,11410.0,100.0,0.0,-0.0016200443,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,1.0,445.49734,-42.189564,180.89656,0.03792119,0.4442414,0.17983966,288.7169,288.69644,283.03165,283.03186,418.0,416.0,454.0,443.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.048695955,0.04872313,0.052162018,0.05247751,-40.45486,-41.52417,-3.3780186,-4.766956,-770.5582,-768.721,7.215142,57.063988,0.0,0.0,0.0,2.0,1.0,-1.2901121,0.02556036,0.0038077831,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.019463602,0.019410396,-5.271169E-4,-5.249115E-4,1180.6088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.59902,-0.2671293,21.735207,0.0059362147,-3.793163E-4,-0.00757535,549411.0,119984.9,0.014821069,0.014540848,7324.0386,7367.162,5787.3916,5927.572,0.30734634,0.0,0.0,0.0
6.9997754,6.9997754,0.083,0.0,0.0,283.9737,11449.0,100.0,0.0,-0.048955582,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,1.0,441.71194,-42.202415,181.9853,0.027029678,0.44871348,-0.029913742,289.70206,289.69733,283.81555,283.8208,416.0,414.0,452.0,441.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.047524326,0.047560014,0.051790707,0.052141473,-22.476686,-22.72345,-6.2365828,-5.2005796,-799.3384,-792.2574,68.16833,46.040092,0.0,0.0,0.0,2.0,1.0,-1.2901236,0.025120394,0.0030943155,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.020248866,0.020215388,-5.291912E-4,-5.336244E-4,1182.9768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.806046,-0.25724164,21.810123,0.0045425342,3.9264016E-4,-0.025131512,548637.75,119984.914,0.014819209,0.0154622095,6828.074,6852.782,5513.247,5678.2256,0.30818176,0.0,0.0,0.0
10.949568,10.949568,0.133,0.0,0.0,284.78598,11468.0,100.0,0.0,-0.119386524,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,1.0,437.91602,-42.214207,183.07773,0.029610246,0.4601338,0.2746015,290.15097,290.1533,284.62015,284.6387,414.0,412.0,450.0,440.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.049473796,0.049481742,0.052184485,0.052476317,75.32246,77.78786,16.524195,14.8947525,2284.2893,2541.339,781.76996,725.98,0.0,0.0,0.0,2.0,1.0,-1.2900718,0.024551393,0.0015788078,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.018934608,0.018878985,-5.28893E-4,-5.380039E-4,1184.1658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.02007,-0.19041717,21.882961,5.901782E-4,0.0026526914,-0.032051936,548279.25,119984.91,0.012967445,0.011996865,7707.6226,7733.9077,6034.0225,6158.49,0.30539513,0.0,0.0,0.0
13.589037,13.589037,0.183,0.0,0.0,285.3135,11488.0,100.0,0.0,-0.0891559,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,1.0,435.37946,-42.2187,183.80801,0.028597176,0.44164324,0.25057846,290.67126,290.65955,285.14737,285.17383,413.0,411.0,449.0,439.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04928781,0.04944537,0.052286807,0.05250727,0.0,0.0,0.0,0.0,-1645.1729,-2207.538,-434.79944,-558.181,0.0,0.0,0.0,2.0,1.0,-1.289948,0.024167398,9.914637E-4,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.018822646,0.018705076,-5.2741816E-4,-5.290322E-4,1185.3635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.15907,-0.09581763,21.930437,0.010328766,0.004257229,-0.011301466,547878.4,119984.9,0.0130098,0.011863537,7649.002,7731.933,5888.4824,5975.088,0.3046999,0.0,0.0,0.0
18.881968,18.881968,0.233,0.0,0.0,286.3305,11539.0,100.0,0.0,-0.07684461,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,1.0,430.29315,-42.22257,185.27332,0.031000897,0.432759,-0.011695045,291.95602,291.94907,286.16528,286.1909,410.0,409.0,447.0,437.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.047924962,0.0480185,0.05191186,0.05222165,-13.7051935,-9.75117,-7.493868,-6.297156,738.4925,645.6746,-72.23187,-156.3996,0.0,0.0,0.0,2.0,1.0,-1.2896738,0.023816178,7.202625E-4,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.019725295,0.019623205,-5.2308553E-4,-5.249591E-4,1188.4501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.425766,-0.047594663,22.025349,0.0038323088,0.004122113,-0.00890333,546877.1,119984.91,0.013889952,0.014094559,7060.349,7118.2207,5587.246,5730.945,0.30623913,0.0,0.0,0.0
22.864305,22.864305,0.283,0.0,0.0,287.0975,11567.0,100.0,0.0,-0.040327378,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,1.0,426.46646,-42.224945,186.37651,0.02767817,0.43390387,0.023837619,292.66373,292.6547,286.93457,286.95367,409.0,407.0,446.0,435.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04819633,0.04826664,0.05190254,0.0521543,13.32186,10.507553,0.39495525,-0.46156344,367.6369,173.68643,-6.4372993,9.106097,0.0,0.0,0.0,2.0,1.0,-1.2894996,0.023500029,1.5127659E-4,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.019482227,0.01940056,-5.2591116E-4,-5.236427E-4,1190.1298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.62662,-0.043359533,22.097778,0.0027532643,0.0027475888,-0.0134434635,546324.4,119984.9,0.013426551,0.013225901,7174.5195,7223.6406,5660.158,5772.418,0.30544376,0.0,0.0,0.0
25.525139,25.525139,0.333,0.0,0.0,287.60654,11585.0,100.0,0.0,-0.057690155,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,1.0,423.90976,-42.226055,187.11398,0.028956115,0.4305783,0.056879304,293.11658,293.10922,287.44516,287.4636,407.0,406.0,445.0,434.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.048479646,0.048518293,0.051944084,0.052190296,0.0,0.0,0.0,0.0,-920.23895,-712.34094,-53.456417,-52.66517,0.0,0.0,0.0,2.0,1.0,-1.2894049,0.02333149,-1.02996826E-4,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.019229272,0.019153487,-5.2381365E-4,-5.246781E-4,1191.2072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.75994,-0.024601333,22.145775,0.0027653927,0.0029678682,-0.004611999,545969.4,119984.9,0.01257952,0.012323543,7278.613,7325.2383,5688.773,5800.257,0.30498028,0.0,0.0,0.0
30.860739,30.860739,0.383,0.0,0.0,288.60754,11623.0,100.0,0.0,-0.08363827,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,1.0,418.78317,-42.226376,188.59364,0.030784532,0.42271107,0.040324148,294.10522,294.09213,288.4455,288.4672,405.0,403.0,442.0,432.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.048461407,0.04854715,0.052035347,0.05226616,-1.7905979,-0.969395,-1.8431245,-1.6924738,-351.9594,-290.81848,-161.79082,-61.033653,0.0,0.0,0.0,2.0,1.0,-1.2891957,0.023045395,-3.0243397E-4,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.019108016,0.01900151,-5.189028E-4,-5.226009E-4,1193.4291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.02208,0.010711484,22.240255,0.0037957204,0.0037343183,4.708604E-5,545199.44,119984.9,0.011710853,0.011426441,7295.205,7359.945,5722.1187,5829.304,0.30362606,0.0,0.0,0.0
34.874413,34.874413,0.433,0.0,0.0,289.34595,11653.0,100.0,0.0,-0.056597456,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,1.0,414.92697,-42.225704,189.70752,0.028765589,0.41768497,0.032201488,294.86136,294.85345,289.1849,289.20782,403.0,402.0,441.0,430.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04836805,0.04845473,0.051981624,0.05225628,7.707327,9.084194,2.71216,4.2204556,936.41266,1088.1451,371.20425,425.2105,0.0,0.0,0.0,2.0,1.0,-1.2889981,0.02282112,-6.341934E-5,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.01911248,0.019015227,-5.164597E-4,-5.158237E-4,1195.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.215195,0.016553061,22.310822,0.0076563135,0.0038883726,0.003768053,544607.3,119984.9,0.012337852,0.012004475,7284.837,7348.59,5762.3076,5893.804,0.3039322,0.0,0.0,0.0
37.55215,37.55215,0.483,0.0,0.0,288.927,11374.0,100.0,0.0,-0.0656077,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,1.0,412.35443,-42.22503,190.45103,0.030547403,-0.55258787,-0.0026631893,288.8933,288.90283,288.92072,288.9435,402.0,401.0,440.0,429.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.046694387,0.04678071,0.052104816,0.052359056,0.0,0.0,0.0,0.0,-2214.8203,-2071.1882,669.97546,675.98364,0.0,0.0,0.0,2.0,1.0,-1.2888429,0.022620661,0.0010222197,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,-6.2504856E-5,-1.0375271E-4,-3.580642E-6,-5.976692E-6,1178.2662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.100624,0.021071736,22.288094,0.019150982,0.005089604,0.047787726,550056.4,0.0,0.01254226,0.014497876,6964.271,7012.5327,5902.431,6017.306,0.30546665,0.0,0.0,0.0
