LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
3.4019752,3.4019752,0.05,0.0,0.0,284.16794,10569.0,100.0,0.0,-0.16911215,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,445.4511,-42.158726,181.9474,0.08565141,0.5270102,0.07800555,290.35352,290.3586,283.9673,284.02887,364.0,363.0,390.0,382.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.043749325,0.044169374,0.051140696,0.051757794,0.0,0.0,0.0,0.0,2281.8489,1807.4062,698.769,650.1003,0.0,0.0,0.0,2.0,1.0,-1.2887757,0.025725752,0.0048538446,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.021951208,0.021782102,-5.720149E-4,-5.72347E-4,1079.1499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.83989,-0.39604378,21.885464,-0.005811966,0.008939633,-0.053637292,542156.75,119984.9,0.016710091,0.019232616,6837.255,6925.4937,5318.916,5604.913,0.31430054,0.0,0.0,0.0
7.35526,7.35526,0.1,0.0,0.0,285.09082,10281.0,100.0,0.0,-0.16922194,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,441.6529,-42.17521,183.0446,0.08650279,0.5228965,0.30627048,290.81674,290.8052,284.89093,284.95526,362.0,361.0,388.0,381.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.048742797,0.04913713,0.05149477,0.05215448,0.0,0.0,0.0,0.0,-2886.07,-3786.0044,-56.996937,105.71925,0.0,0.0,0.0,2.0,1.0,-1.2883067,0.02535833,0.0024495125,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.020874929,0.020647775,-5.708218E-4,-5.709982E-4,1026.4734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.07553,-0.26228762,21.995472,0.003983572,0.009793967,-0.03975394,530138.5,119984.91,0.01490858,0.0139957415,7350.117,7467.2764,5602.4194,5916.3154,0.31137085,0.0,0.0,0.0
11.320328,11.320328,0.15,0.0,0.0,285.8446,10295.0,100.0,0.0,-0.20359513,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,437.8439,-42.18466,184.14694,0.09280616,0.40714622,0.23480637,291.22812,291.2136,285.66153,285.73386,361.0,360.0,387.0,379.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04825854,0.048510212,0.051548436,0.05209545,0.0,0.0,0.0,0.0,-676.7481,-236.30257,115.95187,571.60547,0.0,0.0,0.0,2.0,1.0,-1.2877489,0.024813354,0.0017143488,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.018902991,0.018625861,-5.0725345E-4,-5.1010516E-4,1029.2515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.26523,-0.13137913,22.094347,0.008387318,0.012169177,-0.00429248,530850.4,119984.92,0.0145885805,0.014107349,7205.8623,7375.052,5594.7773,5858.9824,0.31126213,0.0,0.0,0.0
15.295459,15.295459,0.2,0.0,0.0,286.56442,10327.0,100.0,0.0,-0.1647325,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,434.0259,-42.189903,185.25423,0.08887412,0.4153059,0.04737427,292.1334,292.12332,286.38104,286.44925,359.0,358.0,386.0,378.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.0467845,0.047112286,0.051321816,0.051815763,0.0,0.0,0.0,0.0,1061.5511,1531.9971,259.0477,345.2003,0.0,0.0,0.0,2.0,1.0,-1.2871615,0.024403563,0.0013765097,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.019579979,0.019349845,-5.143666E-4,-5.1245955E-4,1035.5199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.44541,-0.09298731,22.191126,0.0019393056,0.011069717,-0.009844595,532428.5,119984.91,0.015083123,0.015523058,6834.265,6987.972,5359.751,5581.782,0.31172276,0.0,0.0,0.0
19.28066,19.28066,0.233,0.0,0.0,287.2902,10351.0,100.0,0.0,-0.117350206,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,430.19882,-42.19362,186.36638,0.084318705,0.41213673,0.08785406,292.81616,292.80426,287.1132,287.16925,358.0,357.0,384.0,377.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04652395,0.046983913,0.051303737,0.051839747,7.78377,7.708892,-0.95978373,0.36545095,1050.715,985.97986,-40.05879,-28.324123,0.0,0.0,0.0,2.0,1.0,-1.2866522,0.024188759,8.660555E-4,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.019347625,0.019143851,-5.14745E-4,-5.09168E-4,1040.2484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.62739,-0.05562892,22.287481,0.0018667353,0.008872033,-0.0090720225,533619.56,119984.9,0.01481606,0.015509345,6992.829,7112.1304,5406.576,5657.054,0.31124496,0.0,0.0,0.0
23.275854,23.275854,0.3,0.0,0.0,288.00687,10379.0,100.0,0.0,-0.10417946,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,426.3627,-42.195465,187.4832,0.07494245,0.4057271,0.035208154,293.59326,293.58627,287.83566,287.88086,356.0,355.0,383.0,375.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.046365935,0.046759356,0.051277544,0.051790904,0.0,0.0,0.0,0.0,-175.24211,-198.59074,35.136932,-228.76558,0.0,0.0,0.0,2.0,1.0,-1.2862496,0.023809839,6.1154366E-4,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.019489229,0.019345602,-5.1188306E-4,-5.082818E-4,1045.7174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.80789,-0.025702635,22.379742,0.00660113,0.007241473,-0.004867639,534977.9,119984.9,0.014488446,0.015498799,6857.717,6952.657,5375.7197,5592.0254,0.31102276,0.0,0.0,0.0
27.280998,27.280998,0.35,0.0,0.0,288.72205,10405.0,100.0,0.0,-0.07723994,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,422.51752,-42.196327,188.60452,0.06376535,0.40446353,0.022688573,294.33557,294.32834,288.55606,288.5899,355.0,354.0,381.0,374.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.046039335,0.046423595,0.051368445,0.051795255,0.0,0.0,0.0,0.0,85.374695,-115.85798,-73.868034,19.44601,0.0,0.0,0.0,2.0,1.0,-1.2859402,0.023483653,4.645586E-4,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.019520892,0.019406782,-5.109182E-4,-5.0802145E-4,1050.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.98935,-0.01074787,22.467127,0.003343574,0.0052794353,-0.007077997,536272.06,119984.9,0.013455546,0.015197918,6831.8296,6909.952,5458.1343,5654.6167,0.3102808,0.0,0.0,0.0
31.296072,31.296072,0.4,0.0,0.0,289.43307,10429.0,100.0,0.0,-0.072220646,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,418.66324,-42.195557,189.73007,0.054483734,0.40020317,0.029008565,295.00342,294.99976,289.2694,289.29947,353.0,352.0,380.0,373.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.046736028,0.047035083,0.05134122,0.051808644,0.0,0.0,0.0,0.0,-738.8546,-843.7558,-204.82683,-316.3263,0.0,0.0,0.0,2.0,1.0,-1.285697,0.023167942,-1.9192696E-5,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.019301042,0.019198934,-5.1013526E-4,-5.076479E-4,1055.5946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.17099,0.028187329,22.549698,0.008527792,0.004793182,-0.0034041277,537441.9,119984.9,0.014050146,0.014550026,6962.445,7028.577,5333.04,5543.957,0.31034374,0.0,0.0,0.0
35.320942,35.320942,0.45,0.0,0.0,290.13858,10458.0,100.0,0.0,-0.005193128,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,414.79993,-42.194866,190.85962,0.03856068,0.4002665,-0.07189568,295.82416,295.81458,289.98358,289.99997,352.0,351.0,379.0,371.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.045811776,0.04608713,0.05111257,0.051437113,0.0,0.0,0.0,0.0,177.13313,70.22025,113.92681,183.53015,0.0,0.0,0.0,2.0,1.0,-1.2854916,0.02280382,4.5228004E-4,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.019638687,0.019566033,-5.130357E-4,-5.047625E-4,1061.3329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.35264,-0.0017865415,22.626772,0.011825897,0.0026503436,0.01370721,538865.0,119984.9,0.01468242,0.015468647,6734.585,6793.9897,5232.2236,5376.558,0.31081295,0.0,0.0,0.0
39.355667,39.355667,0.483,0.0,0.0,290.83932,10484.0,100.0,0.0,0.110590495,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,410.9274,-42.19574,191.99275,0.01141528,0.39625198,-0.07418257,296.5732,296.5521,290.7005,290.6827,350.0,349.0,377.0,370.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04513925,0.045238268,0.051266614,0.051504947,-12.927799,-15.737412,2.2213159,-1.0941176,167.43689,205.39008,-136.57808,-270.46048,0.0,0.0,0.0,2.0,1.0,-1.2855083,0.022411777,0.0011149645,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.019720523,0.019724242,-5.1367615E-4,-4.99757E-4,1066.5302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.53622,-0.033214234,22.692484,0.010474166,-0.0035826804,0.0044649867,540160.9,119984.9,0.014634447,0.016512344,6681.501,6701.224,5372.8193,5470.3584,0.31127834,0.0,0.0,0.0
