LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
4.0859747,4.0859747,0.05,0.0,0.0,290.86807,10412.0,100.0,0.0,0.011632256,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-395.2036,91.17747,133.2344,-0.02550063,0.31799772,0.033417795,296.03436,296.03,290.74097,290.73038,454.0,453.0,524.0,518.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.043352604,0.04349515,0.053429596,0.05311542,-4.3176856,-0.81628555,-1.0798125,-0.13478099,-242.55212,-238.89093,-146.89114,-183.27531,0.0,0.0,0.0,2.0,1.0,3.1030757,-0.019419583,0.001077652,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017787512,0.017789973,-4.4645453E-4,-4.510031E-4,1052.2139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.072662,0.061502274,-80.73821,0.003431449,-0.001477814,-0.0116431825,536595.3,119984.9,0.010957007,0.015704444,7623.0576,7630.631,6583.5576,6436.4697,0.3050785,0.0,0.0,0.0
8.134897,8.134897,0.116,0.0,0.0,291.42783,10432.0,100.0,0.0,0.0053147613,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-395.04956,91.180626,129.19339,-0.015899919,0.31540236,-6.355206E-4,296.619,296.6226,291.29526,291.29776,452.0,451.0,522.0,516.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.043144643,0.04335918,0.053296883,0.053040296,0.0,0.0,0.0,0.0,-23.066996,-317.2919,210.87523,43.679768,0.0,0.0,0.0,2.0,1.0,3.103065,-0.018735604,0.0011026859,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017847843,0.017842807,-4.475267E-4,-4.475657E-4,1056.2406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0873458,0.0641148,-80.89326,-0.0029696466,4.4074992E-4,-0.011847463,537616.1,119984.9,0.011296269,0.01596956,7583.5,7586.3496,6501.073,6380.2666,0.30545807,0.0,0.0,0.0
12.191551,12.191551,0.166,0.0,0.0,291.9822,10453.0,100.0,0.0,0.09546396,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-394.89484,91.18364,125.14468,-0.022771582,0.31345144,-0.012882869,297.19724,297.1932,291.8585,291.8422,450.0,449.0,520.0,514.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.042848907,0.04305886,0.053308487,0.05304854,0.0,0.0,0.0,0.0,374.79843,26.768444,185.63567,24.542208,0.0,0.0,0.0,2.0,1.0,3.103006,-0.018146228,0.0012360811,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017877106,0.017912129,-4.5095186E-4,-4.4273105E-4,1060.3291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1029813,0.056690134,-81.04677,-8.497046E-4,-0.0030781464,-0.008733284,538612.9,119984.9,0.011355546,0.016387308,7561.0503,7552.7705,6532.2334,6406.1636,0.30566788,0.0,0.0,0.0
16.255894,16.255894,0.2,0.0,0.0,292.53256,10472.0,100.0,0.0,0.19694793,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-394.73914,91.18632,121.088326,-0.043600637,0.31089032,-0.0038742367,297.73932,297.7258,292.42294,292.3776,449.0,447.0,518.0,512.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04292489,0.043045215,0.053385433,0.05305827,5.2718816,1.9338726,2.3198872,0.54940575,414.66946,0.4827976,166.04213,-39.388233,0.0,0.0,0.0,2.0,1.0,3.102734,-0.017645422,0.0012232065,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017768292,0.01786754,-4.5324268E-4,-4.397932E-4,1064.0969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1251822,0.051690936,-81.198906,0.0014816367,-0.008197289,-0.0066823238,539546.1,119984.9,0.011197351,0.016225614,7621.074,7583.534,6579.8086,6417.662,0.30548573,0.0,0.0,0.0
20.327845,20.327845,0.25,0.0,0.0,293.0784,10490.0,100.0,0.0,0.28198543,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-394.58194,91.18891,117.024414,-0.07612938,0.30822104,0.0043740175,298.27844,298.25717,292.98737,292.90448,447.0,445.0,516.0,511.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.043261208,0.04319073,0.053505756,0.053031467,8.0958,3.3031402,2.677515,-0.021904705,278.26575,-138.76407,121.54429,-25.025007,0.0,0.0,0.0,2.0,1.0,3.1021502,-0.017243354,0.0011476278,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017651858,0.01784183,-4.5216043E-4,-4.3988295E-4,1067.7626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1621664,0.051758554,-81.34921,0.0019268297,-0.014516549,-0.006086747,540475.75,119984.9,0.010964729,0.01583883,7687.8086,7599.5444,6643.2026,6412.4404,0.3051777,0.0,0.0,0.0
24.407324,24.407324,0.316,0.0,0.0,293.6194,10509.0,100.0,0.0,0.308487,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-394.4225,91.191635,112.95309,-0.10801933,0.30537015,0.009101885,298.81113,298.78793,293.5407,293.43277,445.0,443.0,514.0,509.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.043626856,0.04336801,0.053623714,0.053003132,0.0,0.0,0.0,0.0,191.89864,-248.07748,118.070816,-64.493706,0.0,0.0,0.0,2.0,1.0,3.1013024,-0.016840467,0.0010493994,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017554548,0.017811261,-4.48116E-4,-4.4266353E-4,1070.9442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2156568,0.05663792,-81.497505,0.001946024,-0.018464847,-0.00689111,541106.1,119984.89,0.010817905,0.015491152,7747.3506,7611.3584,6699.1436,6400.3604,0.30492878,0.0,0.0,0.0
28.494335,28.494335,0.366,0.0,0.0,294.15756,10528.0,100.0,0.0,0.25987566,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-394.25998,91.19403,108.874344,-0.12307405,0.3047637,-0.0012668148,299.34537,299.336,294.07645,293.97314,443.0,441.0,512.0,507.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.043618407,0.043222863,0.053668357,0.052969266,0.0,0.0,0.0,0.0,590.2066,108.68309,295.6196,43.693176,0.0,0.0,0.0,2.0,1.0,3.1003919,-0.016512118,0.0010949373,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017526537,0.017809123,-4.446397E-4,-4.4682904E-4,1073.5388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2797291,0.04546627,-81.64457,9.486481E-4,-0.017328892,-0.006408654,541438.2,119984.9,0.010068281,0.014942594,7762.54,7592.21,6758.9834,6421.795,0.30424976,0.0,0.0,0.0
32.588825,32.588825,0.4,0.0,0.0,294.6922,10546.0,100.0,0.0,0.16413614,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-394.0943,91.19641,104.78825,-0.114333756,0.3017859,2.227943E-4,299.84628,299.85083,294.59695,294.52258,441.0,439.0,510.0,505.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.044039626,0.043651924,0.053659696,0.053028796,8.983611,8.512437,-3.1817703,0.0462681,162.60889,-300.23303,-72.19165,-152.71155,0.0,0.0,0.0,2.0,1.0,3.0996547,-0.015949005,0.0010164976,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017418245,0.017649187,-4.4059474E-4,-4.497788E-4,1075.9937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3434215,0.048265543,-81.79062,-9.962837E-4,-0.012103383,-0.010068117,541750.06,119984.9,0.009977288,0.014198569,7826.3535,7668.574,6684.132,6402.538,0.30357838,0.0,0.0,0.0
36.690716,36.690716,0.45,0.0,0.0,295.2182,10566.0,100.0,0.0,0.16706951,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-393.92557,91.19864,100.6949,-0.101127975,0.29496118,-0.05643113,300.4209,300.4364,295.11438,295.06232,439.0,437.0,509.0,503.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.044040035,0.043564305,0.053439014,0.052961316,-8.611455,-8.134245,-8.039474,-2.235174,-726.32874,-597.44855,-342.79965,-45.40979,0.0,0.0,0.0,2.0,1.0,3.0991554,-0.015471513,0.001427412,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017566562,0.01775806,-4.4056962E-4,-4.4213794E-4,1078.7411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4012759,0.0360849,-81.93448,-0.015609679,-0.008830886,-0.006799735,542105.25,119984.9,0.011031865,0.015004978,7701.6914,7568.765,6501.87,6311.664,0.30418205,0.0,0.0,0.0
40.799828,40.799828,0.516,0.0,0.0,295.73328,10586.0,100.0,0.0,0.13444372,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-393.7541,91.19942,96.59445,-0.084886804,0.29160812,-0.043208424,300.9896,301.01282,295.62476,295.5798,437.0,436.0,507.0,501.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04332594,0.04267345,0.05352468,0.0531202,0.0,0.0,0.0,0.0,513.7369,641.41,634.1278,339.70172,0.0,0.0,0.0,2.0,1.0,3.0987418,-0.015502331,0.0021824837,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.01775775,0.01797265,-4.3808288E-4,-4.3992407E-4,1081.4823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.452722,7.410883E-4,-82.07554,-0.0038254864,-0.0074520246,7.5327145E-5,542456.0,119984.9,0.01139207,0.016815973,7603.7725,7443.496,6757.7227,6559.484,0.30584145,0.0,0.0,0.0
