LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
3.0763285,3.0763285,0.033,0.0,0.0,293.836,10583.0,100.0,0.0,0.007856017,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-395.2983,91.18222,134.23973,-0.0063924175,0.33774492,0.0010387196,299.38193,299.35828,293.70053,293.69742,443.0,441.0,510.0,505.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04281777,0.043057177,0.052286405,0.052068997,-2.3102758,0.9948759,0.99822867,4.706606,-360.85092,143.95413,-111.6067,283.2278,0.0,0.0,0.0,2.0,1.0,3.0976472,-0.019442244,8.4638596E-4,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.018888695,0.018812941,-4.5895734E-4,-4.5969247E-4,1081.0615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5593271,0.059615266,-81.54344,0.0027462319,-3.9424576E-4,-0.011661674,542398.7,119984.9,0.0136559885,0.018079653,7061.443,7111.3335,5994.2783,5914.8535,0.31178188,0.0,0.0,0.0
5.8024187,5.8024187,0.083,0.0,0.0,294.24237,10594.0,100.0,0.0,0.010809988,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-395.17957,91.184235,131.51958,-0.0070445463,0.3426777,0.0012903302,299.69443,299.68,294.10498,294.10434,441.0,440.0,509.0,504.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.043000985,0.04319521,0.052320726,0.052045885,0.0,0.0,0.0,0.0,277.16605,120.87373,-9.106095,-135.07602,0.0,0.0,0.0,2.0,1.0,3.0976443,-0.019039705,7.1561337E-4,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.018573714,0.018540828,-4.6287107E-4,-4.6073904E-4,1082.5769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5666282,0.059968214,-81.65611,0.004295662,-8.429205E-5,-0.014610257,542595.0,119984.91,0.0136406785,0.017704764,7139.488,7157.463,5989.036,5853.8594,0.3111534,0.0,0.0,0.0
11.265841,11.265841,0.133,0.0,0.0,295.03937,10622.0,100.0,0.0,0.026540164,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-394.94125,91.188385,126.068115,-0.006203872,0.33708107,0.0028567591,300.48804,300.47064,294.90442,294.9003,439.0,438.0,506.0,501.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04325075,0.043560643,0.052314367,0.05211582,-1.4747678,5.2104144,-1.5854089,2.9224901,-244.84541,319.1426,-204.51842,202.43971,0.0,0.0,0.0,2.0,1.0,3.0976093,-0.018186457,6.8712234E-4,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.018512089,0.018440114,-4.6044166E-4,-4.5857034E-4,1086.4155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5806549,0.063928425,-81.8771,1.9801894E-4,-7.179411E-4,-0.011142764,543083.56,119984.89,0.013480797,0.017354436,7141.226,7201.6396,5987.2256,5917.4937,0.3111725,0.0,0.0,0.0
15.373016,15.373016,0.183,0.0,0.0,295.6295,10643.0,100.0,0.0,0.026810884,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-394.76196,91.19154,121.96993,-0.00666066,0.3338844,-7.6557987E-4,301.0742,301.05887,295.49496,295.49005,437.0,436.0,504.0,500.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.043300595,0.043615982,0.05233521,0.052143198,-0.6645172,5.0541754,-1.6596167,2.5346873,-104.61955,377.11853,-185.89046,192.27412,0.0,0.0,0.0,2.0,1.0,3.0975754,-0.017563216,6.799698E-4,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.018460961,0.018399248,-4.5920574E-4,-4.5740898E-4,1089.2892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5910509,0.06392611,-82.04072,8.7803777E-4,-8.3455123E-4,-0.010563063,543445.7,119984.9,0.013385577,0.01724576,7157.621,7212.0586,6000.044,5930.931,0.31108475,0.0,0.0,0.0
18.115654,18.115654,0.233,0.0,0.0,296.01883,10658.0,100.0,0.0,0.03901186,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-394.64215,91.193634,119.23329,-0.009981691,0.32962772,-0.023786511,301.48837,301.46243,295.88742,295.87747,436.0,434.0,503.0,498.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04336526,0.04357822,0.052329946,0.05208152,0.0,0.0,0.0,0.0,-339.67493,-185.94412,-247.47398,-154.41476,0.0,0.0,0.0,2.0,1.0,3.0975306,-0.01718734,6.8736076E-4,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.018481124,0.018433763,-4.5817666E-4,-4.5474267E-4,1091.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5993066,0.060334787,-82.14862,-0.0013054125,-0.0018133434,-0.012732491,543697.56,119984.9,0.013350956,0.01727122,7131.8315,7162.933,5963.193,5851.379,0.31076622,0.0,0.0,0.0
23.611776,23.611776,0.283,0.0,0.0,296.79395,10684.0,100.0,0.0,0.03856974,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-394.4016,91.1973,113.74924,-0.01169531,0.3286577,-0.00923261,302.2275,302.22076,296.66095,296.65277,433.0,432.0,501.0,496.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.043411776,0.04366305,0.05238273,0.05219604,1.9479542,6.330013,-0.13925134,3.447756,88.56653,401.2182,-108.18689,159.45732,0.0,0.0,0.0,2.0,1.0,3.0974376,-0.016484713,7.917881E-4,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.018347682,0.0183297,-4.5770235E-4,-4.562672E-4,1094.922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6154153,0.051073797,-82.363434,5.6583155E-4,-0.0013806807,-0.008336821,544159.6,119984.89,0.012461263,0.016628908,7194.2305,7221.943,6050.7046,5976.8374,0.3103342,0.0,0.0,0.0
27.743256,27.743256,0.333,0.0,0.0,297.3721,10701.0,100.0,0.0,0.021412926,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-394.22052,91.1999,109.62683,-0.012210665,0.32844213,0.09742345,302.70468,302.7005,297.23886,297.23022,431.0,430.0,499.0,494.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.044155356,0.044266194,0.05267866,0.052382536,32.917183,29.867065,14.388933,10.991692,1727.9055,1542.4578,815.2439,651.24023,0.0,0.0,0.0,2.0,1.0,3.0973694,-0.015908549,6.5875053E-4,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.017953975,0.017976398,-4.5416877E-4,-4.5567533E-4,1097.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.628034,0.064013995,-82.52363,0.009202079,-0.0012225177,-0.016303608,544455.75,119984.89,0.011826517,0.015700167,7466.4507,7445.2236,6389.3496,6232.1016,0.3096447,0.0,0.0,0.0
31.882677,31.882677,0.383,0.0,0.0,297.93695,10724.0,100.0,0.0,0.023319485,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-394.03882,91.20348,105.49652,-0.009550086,0.31882754,-0.033761766,303.37003,303.35776,297.80255,297.79803,429.0,428.0,497.0,492.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.044164833,0.044517245,0.052378967,0.052249614,-14.136358,-7.5506415,-6.988048,-2.99938,-721.39343,-781.3006,120.01541,76.0138,0.0,0.0,0.0,2.0,1.0,3.0973248,-0.015126197,4.544258E-4,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.018273162,0.01821768,-4.5481845E-4,-4.53466E-4,1100.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.639373,0.06823149,-82.680176,-0.0010917382,-7.8446703E-4,-0.0064898757,544862.56,119984.89,0.0125868665,0.015656939,7174.9746,7233.72,5976.49,5926.6055,0.3098526,0.0,0.0,0.0
34.646652,34.646652,0.433,0.0,0.0,298.31363,10738.0,100.0,0.0,0.036033127,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-393.91733,91.20556,102.73863,-0.012005576,0.31875166,-0.030965421,303.75113,303.73495,298.18274,298.17267,428.0,427.0,496.0,491.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04401435,0.044218935,0.052360743,0.0521482,0.0,0.0,0.0,0.0,-40.70254,138.85794,40.957325,169.85086,0.0,0.0,0.0,2.0,1.0,3.0972774,-0.014888186,5.9723854E-4,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.018243732,0.018223464,-4.5435372E-4,-4.5237318E-4,1102.3503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6485243,0.05769779,-82.784515,-0.0058053937,-0.0018360298,-0.008657718,545096.3,119984.89,0.013016823,0.015989006,7212.8687,7229.6694,6012.015,5914.823,0.31009197,0.0,0.0,0.0
38.799114,38.799114,0.483,0.0,0.0,298.8673,10761.0,100.0,0.0,0.020385766,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-393.73456,91.20759,98.59533,-0.011591536,0.30931127,-0.06926204,304.38065,304.4035,298.7373,298.73163,426.0,425.0,494.0,489.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.043627206,0.04354572,0.052129395,0.05211562,0.0,0.0,0.0,0.0,-368.85733,-345.91098,425.22394,255.57425,0.0,0.0,0.0,2.0,1.0,3.097196,-0.014719403,0.0014151335,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.018432137,0.018512033,-4.4587534E-4,-4.476076E-4,1105.5204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.661737,0.02403941,-82.9379,-0.019601107,-0.0010967929,-3.2181013E-4,545495.44,119984.9,0.014631558,0.017905397,7093.945,7035.8984,5909.1885,5907.361,0.31221962,0.0,0.0,0.0
44.34756,44.34756,0.533,0.0,0.0,299.59842,10784.0,100.0,0.0,0.044933364,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-393.4898,91.206696,93.05915,-0.013267008,0.3137869,-0.024546973,305.0329,305.05844,299.4643,299.45734,424.0,423.0,492.0,487.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04300938,0.042676404,0.05239528,0.052254807,23.25922,12.8544855,11.714547,6.4263487,1657.0685,1457.834,217.4735,247.13869,0.0,0.0,0.0,2.0,1.0,3.0971255,-0.015325264,0.0017026663,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.01821538,0.018328873,-4.537015E-4,-4.506676E-4,1108.7041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6797,-0.037351366,-83.14038,0.008495819,-0.0010976712,0.007962185,545899.6,119984.89,0.013581901,0.018024363,7241.8896,7161.3193,6157.314,6081.496,0.31163502,0.0,0.0,0.0
48.517796,48.517796,0.583,0.0,0.0,300.14404,10798.0,100.0,0.0,0.06908637,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-393.30548,91.20547,88.89814,-0.016396891,0.30577073,0.09197187,305.4513,305.45566,300.01355,299.9981,422.0,421.0,490.0,485.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.044887174,0.044608567,0.052742366,0.052588206,30.908657,36.169586,6.5783405,7.1632857,-861.5521,-593.8142,105.07552,95.204994,0.0,0.0,0.0,2.0,1.0,3.0970337,-0.015384028,0.0010415316,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.017707678,0.017767847,-4.5169456E-4,-4.4836037E-4,1110.6577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6933591,-0.0060412255,-83.2915,0.015629672,-0.0024510748,-4.2890175E-4,546152.5,119984.9,0.012029346,0.015618595,7496.961,7460.5195,6350.797,6281.179,0.30992317,0.0,0.0,0.0
51.30218,51.30218,0.633,0.0,0.0,300.5043,10810.0,100.0,0.0,0.11303876,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-393.1822,91.20577,86.11993,-0.024787024,0.30686677,0.080220215,305.77338,305.7694,300.37814,300.35336,421.0,420.0,489.0,484.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.045623537,0.045472827,0.052795146,0.05258465,0.0,0.0,0.0,0.0,45.86574,-52.946774,-227.66588,-237.02678,0.0,0.0,0.0,2.0,1.0,3.0969265,-0.015337175,4.968643E-4,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.017550385,0.0176147,-4.5512355E-4,-4.475435E-4,1112.2924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7045686,0.021223452,-83.39117,0.0141393095,-0.004233271,-8.2797516E-4,546349.1,119984.9,0.011540313,0.014245595,7591.712,7558.5938,6291.216,6189.599,0.30861664,0.0,0.0,0.0
55.48498,55.48498,0.683,0.0,0.0,301.0403,10830.0,100.0,0.0,0.100625455,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-392.99643,91.20766,81.94643,-0.03206615,0.30189025,0.036733888,306.3577,306.3574,300.92117,300.88757,419.0,418.0,487.0,482.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.0460319,0.04586184,0.052689195,0.052479103,0.0,0.0,0.0,0.0,-673.43555,-690.52124,79.83594,189.63216,0.0,0.0,0.0,2.0,1.0,3.0966656,-0.01520333,3.2556057E-4,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.017632322,0.017725552,-4.4889285E-4,-4.4812483E-4,1115.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7251852,0.048494767,-83.539276,-0.0033281469,-0.0056954124,-0.0021024395,546709.9,119984.9,0.011223505,0.013626993,7507.83,7454.019,6219.363,6130.7295,0.30842876,0.0,0.0,0.0
59.67292,59.67292,0.733,0.0,0.0,301.5684,10850.0,100.0,0.0,0.12134647,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-392.80954,91.21099,77.765594,-0.042034253,0.2984617,0.00783483,306.91284,306.90085,301.45117,301.41284,417.0,416.0,485.0,480.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.045858804,0.045682482,0.05275739,0.05245182,0.0,0.0,0.0,0.0,-153.79785,-3.1784246,-233.71425,-224.90318,0.0,0.0,0.0,2.0,1.0,3.0963626,-0.014988298,2.0861626E-4,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.017693492,0.017763235,-4.4866608E-4,-4.4594944E-4,1117.837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7506323,0.072838806,-83.68496,0.0011604377,-0.006499452,-0.0041525876,547048.44,119984.89,0.011726771,0.014182319,7459.9624,7428.4272,6203.0645,6058.248,0.3086338,0.0,0.0,0.0
63.86444,63.86444,0.783,0.0,0.0,302.09506,10870.0,100.0,0.0,0.18692109,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-392.6212,91.21374,73.57753,-0.059113212,0.29959747,-0.040986057,307.4861,307.49078,301.98587,301.9326,415.0,414.0,483.0,479.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.045080602,0.044828452,0.052591953,0.052256953,0.0,0.0,0.0,0.0,512.5835,380.4042,210.62042,231.5685,0.0,0.0,0.0,2.0,1.0,3.0959682,-0.014880441,4.7397614E-4,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.017812407,0.01798517,-4.50837E-4,-4.4424878E-4,1120.6307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7837417,0.043227043,-83.82993,-0.006420505,-0.009307736,-0.0017437374,547406.56,119984.89,0.011465408,0.01437902,7381.4473,7284.877,6179.088,6025.1465,0.3086357,0.0,0.0,0.0
69.46451,69.46451,0.833,0.0,0.0,302.79184,10895.0,100.0,0.0,0.22684473,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-392.36707,91.215996,67.982216,-0.08066794,0.29391408,-0.053077444,308.17474,308.1833,302.6924,302.62137,413.0,412.0,481.0,476.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.045065954,0.04462544,0.052605316,0.052213635,0.16115604,-4.830211,-2.2906063,-3.268495,-19.459425,-205.24261,42.660538,0.18775462,0.0,0.0,0.0,2.0,1.0,3.0952535,-0.014818622,9.417534E-4,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.017700212,0.017937455,-4.4809867E-4,-4.4265826E-4,1124.0819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8393846,0.021350466,-84.021164,-0.012971471,-0.012318552,7.364812E-4,547832.44,119984.9,0.011890452,0.014458177,7422.868,7285.127,6128.9873,5947.629,0.3087721,0.0,0.0,0.0
