LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
0.69921875,21636.24,0.016,0.0,0.0,290.59268,10401.0,100.0,0.0,0.0826744,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-394.933,91.18307,136.63109,-0.029618075,0.32010233,0.046721414,295.73312,295.7373,290.46902,290.45288,457.0,456.0,524.0,520.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04347087,0.043496724,0.05335046,0.053103555,0.0,0.0,0.0,0.0,-90.430695,-588.16815,-74.51176,-151.24976,0.0,0.0,0.0,2.0,1.0,3.0920756,-0.019879002,9.4532967E-4,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017691161,0.017755741,-4.5155658E-4,-4.472621E-4,1050.0935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9607623,0.068837345,-80.622925,-8.458824E-4,-0.0028738878,-0.008275288,536080.4,119984.9,0.011086117,0.015537642,7693.6963,7650.406,6537.6406,6429.431,0.3051014,0.0,0.0,0.0
4.7441406,21640.285,0.066,0.0,0.0,291.15292,10423.0,100.0,0.0,0.055208158,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-394.73444,91.18676,132.59587,-0.025951222,0.32212365,-0.001974424,296.36203,296.3447,291.03036,291.01077,455.0,454.0,522.0,518.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04310225,0.043258667,0.053409968,0.052996155,0.0,0.0,0.0,0.0,-14.55099,69.33508,-69.1071,-23.013351,0.0,0.0,0.0,2.0,1.0,3.0919182,-0.019313546,9.646416E-4,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017921641,0.017918149,-4.5031984E-4,-4.496754E-4,1054.4182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9812295,0.075269416,-80.777725,0.0018724629,-0.0032743772,-0.014624574,537151.94,119984.91,0.011199595,0.01606244,7552.1777,7575.6094,6555.4766,6356.6104,0.3052292,0.0,0.0,0.0
8.796875,21644.338,0.116,0.0,0.0,291.71066,10443.0,100.0,0.0,0.057001766,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-394.53485,91.19038,128.5529,-0.025742661,0.3143298,-0.008305056,296.92383,296.9117,291.58743,291.57117,453.0,452.0,520.0,516.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.042943742,0.04306779,0.05332202,0.05299338,0.0,0.0,0.0,0.0,-1.1265277,0.12070655,237.97896,93.07263,0.0,0.0,0.0,2.0,1.0,3.0917706,-0.018576719,0.0010533333,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017873188,0.01788887,-4.4817393E-4,-4.4648186E-4,1058.3674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0013556,0.0699497,-80.931854,-0.0020552566,-0.0028308022,-0.016445572,538131.25,119984.9,0.01134829,0.016268643,7567.336,7560.765,6532.148,6378.957,0.30548,0.0,0.0,0.0
12.857422,21648.398,0.166,0.0,0.0,292.263,10462.0,100.0,0.0,0.04517383,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-394.3343,91.19364,124.50227,-0.023166232,0.31228346,-0.0047033457,297.474,297.46292,292.13715,292.12512,451.0,450.0,519.0,514.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04285434,0.042968795,0.05336902,0.053043082,0.0,0.0,0.0,0.0,344.70404,164.51328,195.13068,53.33572,0.0,0.0,0.0,2.0,1.0,3.0916548,-0.017969621,0.001126051,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017844379,0.017853968,-4.4780507E-4,-4.4591606E-4,1062.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.020371,0.062940344,-81.08453,8.54805E-4,-0.002071481,-0.013886994,539087.44,119984.9,0.011203836,0.016311647,7589.2285,7581.1084,6577.3887,6418.9697,0.30540943,0.0,0.0,0.0
16.925781,21652.467,0.216,0.0,0.0,292.81113,10481.0,100.0,0.0,0.04506911,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-394.1328,91.19669,120.444046,-0.021756759,0.3096746,0.0052244305,298.01147,297.99402,292.68637,292.67145,449.0,448.0,517.0,512.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.043063924,0.043159604,0.053425625,0.053085603,0.0,0.0,0.0,0.0,158.67944,125.044586,119.80086,42.217964,0.0,0.0,0.0,2.0,1.0,3.0915413,-0.017362455,0.0010766983,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.01776872,0.017767249,-4.468094E-4,-4.4570805E-4,1065.9379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.039062,0.060721427,-81.23605,0.0023716236,-0.002514556,-0.0152285565,540015.44,119984.9,0.011006485,0.015972687,7631.1787,7633.9824,6607.752,6445.495,0.30512238,0.0,0.0,0.0
21.001953,21656.543,0.266,0.0,0.0,293.3547,10500.0,100.0,0.0,0.05658483,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-393.93036,91.199745,116.37827,-0.024616124,0.30677354,0.013003419,298.54886,298.52756,293.23294,293.212,447.0,446.0,515.0,510.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.043340433,0.04344414,0.053470857,0.053132378,0.0,0.0,0.0,0.0,7.8857226,-12.9684725,80.7613,5.806982,0.0,0.0,0.0,2.0,1.0,3.0913782,-0.016757876,0.0010071993,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017703457,0.01770462,-4.462899E-4,-4.4514262E-4,1069.7091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0590262,0.063170545,-81.38624,0.00219812,-0.003528955,-0.014312383,540945.4,119984.9,0.010853537,0.015626557,7668.1875,7671.702,6634.355,6473.9253,0.30486012,0.0,0.0,0.0
25.085938,21660.627,0.316,0.0,0.0,293.89273,10520.0,100.0,0.0,-0.007672913,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-393.7269,91.20284,112.30502,-0.015363625,0.3032713,-0.035980433,299.11493,299.09488,293.7645,293.75732,445.0,444.0,513.0,509.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.043292455,0.043479323,0.053369977,0.053118136,0.0,0.0,0.0,0.0,-617.75287,-342.50464,-313.8452,-87.493645,0.0,0.0,0.0,2.0,1.0,3.0912647,-0.016133344,0.0010060072,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017796317,0.017743928,-4.4264685E-4,-4.477298E-4,1072.4357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.076101,0.056907877,-81.53503,-0.0015222122,-9.78115E-4,-0.012023301,541293.1,119984.9,0.010673738,0.015434727,7577.435,7617.58,6505.588,6406.027,0.30468655,0.0,0.0,0.0
29.175781,21664.717,0.366,0.0,0.0,294.42953,10537.0,100.0,0.0,-0.090614006,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-393.5228,91.20542,108.22436,0.0058697546,0.30267724,0.010577792,299.60703,299.6,294.28534,294.3087,443.0,442.0,511.0,507.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04341657,0.04362937,0.05348032,0.053262483,0.0,0.0,0.0,0.0,84.22136,458.26877,-78.2266,136.52441,0.0,0.0,0.0,2.0,1.0,3.0913608,-0.01556137,0.0010516644,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.01766529,0.017566342,-4.4144198E-4,-4.4800196E-4,1074.7767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.084482,0.05172188,-81.68391,0.0028808087,0.004318745,-0.01610417,541599.56,119984.9,0.009921969,0.014796026,7678.3145,7731.421,6672.156,6580.685,0.30396748,0.0,0.0,0.0
33.273438,21668.814,0.416,0.0,0.0,294.9613,10556.0,100.0,0.0,-0.21520771,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-393.31863,91.208015,104.13628,0.04392656,0.29986784,-0.003731915,300.11893,300.1264,294.7977,294.86127,441.0,440.0,509.0,505.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.043693915,0.044087607,0.053317476,0.053367786,0.0,0.0,0.0,0.0,-306.2546,-91.59739,-45.04769,76.30884,0.0,0.0,0.0,2.0,1.0,3.0917618,-0.014851403,0.001024723,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017622368,0.017437458,-4.382323E-4,-4.4973433E-4,1077.3483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0768256,0.05054846,-81.83219,-0.0027792696,0.01128095,-0.013128419,541918.2,119984.89,0.009941097,0.014195089,7693.6055,7788.2,6528.322,6571.1245,0.30357933,0.0,0.0,0.0
37.378906,21672.92,0.466,0.0,0.0,295.48325,10576.0,100.0,0.0,-0.24117187,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-393.11536,91.2104,100.04079,0.07571719,0.2935132,-0.06729186,300.68863,300.71286,295.3093,295.39835,439.0,438.0,507.0,503.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.043594852,0.04400169,0.053019192,0.05336076,0.0,0.0,0.0,0.0,-472.95386,-446.89618,14.55099,4.854798,0.0,0.0,0.0,2.0,1.0,3.092445,-0.014390788,0.0014737844,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017773246,0.017568957,-4.3784044E-4,-4.438035E-4,1080.0944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.052553,0.036031347,-81.97857,-0.017056841,0.0151469065,-0.0031345445,542272.1,119984.91,0.011139191,0.015144589,7574.87,7673.2847,6306.9487,6484.572,0.3046875,0.0,0.0,0.0
