LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
2.3558524,2.3558524,0.016,0.0,0.0,341.35193,12182.0,100.0,0.0,0.039088324,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,597.9253,0.8534028,-446.61356,-0.024602637,0.047347933,0.0063670985,346.35117,346.35315,341.21524,341.1998,124.0,125.0,172.0,173.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.05133771,0.05128103,0.054988578,0.05490947,1.5925615,1.3089179,0.24095176,0.21144746,56.91647,15.208124,-25.628502,-45.11475,0.0,0.0,0.0,2.0,1.0,1.9435456,-1.132811E-4,-3.3974648E-5,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.01466536,0.01470932,-4.1856154E-4,-4.1766302E-4,1221.0466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.30097,8.6281635E-4,-34.550938,3.254204E-4,-0.0025905024,0.0015963775,532219.4,119984.89,0.0046877624,0.00478296,8895.355,8853.187,7618.2437,7582.4116,0.2967472,0.0,0.0,0.0
7.096808,7.096808,0.066,0.0,0.0,341.43472,12185.0,100.0,0.0,0.029515967,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,602.34106,0.8535155,-448.34116,-0.023300825,0.04615349,-0.00478856,346.43964,346.44287,341.29813,341.28455,124.0,124.0,171.0,172.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.051311515,0.051253814,0.05494921,0.054868218,-2.85767,-2.6053188,-0.6913393,-0.59187406,-129.89937,-116.75654,33.42032,40.66228,0.0,0.0,0.0,2.0,1.0,1.9434217,-1.150409E-4,2.4199486E-5,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.014672628,0.0147146825,-4.1678027E-4,-4.1685376E-4,1221.1245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.326645,0.002045057,-34.548424,-0.0010166683,-0.0022438026,-0.0033661544,532122.25,119984.89,0.0048812535,0.0048850724,8877.555,8835.319,7580.316,7544.31,0.29695415,0.0,0.0,0.0
11.838864,11.838864,0.116,0.0,0.0,341.5149,12188.0,100.0,0.0,0.0020645813,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,606.75806,0.85347694,-450.06876,-0.018944912,0.045852315,-0.0030516821,346.5192,346.53894,341.3755,341.36612,123.0,124.0,171.0,171.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.05124653,0.05129262,0.054989327,0.05490522,1.8846987,7.572546,1.2331455,0.5433708,261.50195,590.1664,44.699005,-12.136995,0.0,0.0,0.0,2.0,1.0,1.9433318,-1.236889E-4,4.8995018E-5,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.01468454,0.014733747,-4.1522688E-4,-4.1855965E-4,1221.2057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.35113,-0.0026973484,-34.54698,-4.687216E-4,-0.0013356998,0.0027440167,532026.6,119984.89,0.004738887,0.0050156713,8859.924,8843.559,7626.841,7585.337,0.29693604,0.0,0.0,0.0
15.000835,15.000835,0.166,0.0,0.0,341.56943,12190.0,100.0,0.0,0.020034848,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,609.70337,0.85336554,-451.2205,-0.018284988,0.046410948,0.0021320684,346.55908,346.56512,341.4289,341.42145,123.0,123.0,170.0,171.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.05137989,0.051311795,0.05497386,0.054889496,0.0,0.0,0.0,0.0,-135.15651,429.81055,-45.24886,33.72877,0.0,0.0,0.0,2.0,1.0,1.9432914,-1.12430585E-4,-2.6106834E-5,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.014641261,0.01467211,-4.1796154E-4,-4.17537E-4,1221.3213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.36746,-0.003222219,-34.546803,0.0022264763,-0.0012098466,1.1224055E-4,531989.7,119984.9,0.004739765,0.0047244257,8907.801,8878.81,7596.4414,7562.174,0.29677773,0.0,0.0,0.0
19.744816,19.744816,0.216,0.0,0.0,341.6491,12192.0,100.0,0.0,0.006640062,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,614.1224,0.85333145,-452.9481,-0.014515726,0.04452694,0.011281479,346.64267,346.64575,341.50803,341.50214,123.0,123.0,170.0,170.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.051338874,0.05130689,0.054994673,0.054947954,0.0,0.0,0.0,0.0,119.358284,96.68021,59.92054,15.623866,0.0,0.0,0.0,2.0,1.0,1.9432373,-6.694689E-5,1.7166138E-5,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.014644178,0.014665678,-4.1685166E-4,-4.1788846E-4,1221.3157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.391,0.0015955319,-34.547382,-1.2786695E-4,-9.0827816E-4,-4.9890706E-4,531900.0,119984.9,0.0046604434,0.004778055,8899.637,8875.787,7638.62,7617.1577,0.29675388,0.0,0.0,0.0
26.071714,26.071714,0.266,0.0,0.0,341.75284,12196.0,100.0,0.0,0.0093123205,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,620.0162,0.8534751,-455.25156,-0.011484304,0.04395737,-0.003149977,346.7517,346.7545,341.61166,341.60617,122.0,122.0,169.0,170.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.051309377,0.051274743,0.05497172,0.054925624,0.022798775,-0.0013411044,-0.08448958,-0.13299285,5.699693,22.128222,48.266346,54.328133,0.0,0.0,0.0,2.0,1.0,1.9431877,-6.3627056E-5,4.6491623E-6,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.014656227,0.014677275,-4.164538E-4,-4.1692992E-4,1221.4434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.42091,0.0012654283,-34.549988,3.2427895E-4,-8.751484E-4,-2.034406E-4,531781.1,119984.9,0.004737871,0.0048376746,8878.676,8856.012,7605.823,7585.1406,0.2968359,0.0,0.0,0.0
30.81811,30.81811,0.316,0.0,0.0,341.82983,12199.0,100.0,0.0,0.012301901,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,624.4378,0.853498,-456.97916,-0.009675058,0.043561704,-0.0042413864,346.82483,346.82758,341.68753,341.68454,122.0,122.0,168.0,169.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.05132032,0.051302906,0.054952558,0.05492483,1.0538845,1.1786072,-0.8757412,-0.56326383,60.242405,41.560818,-34.05064,-40.36724,0.0,0.0,0.0,2.0,1.0,1.9431542,-4.1028125E-5,-1.7881393E-6,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.014645626,0.014660025,-4.169805E-4,-4.164093E-4,1221.5599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.4426,-4.4152682E-4,-34.55326,-2.2411281E-4,-5.1193987E-4,-6.648883E-4,531701.1,119984.9,0.0048083216,0.0048095235,8884.863,8869.531,7587.8027,7576.343,0.29680634,0.0,0.0,0.0
35.56546,35.56546,0.366,0.0,0.0,341.90515,12202.0,100.0,0.0,0.0031364337,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,628.8605,0.85341454,-458.70676,-0.0074876174,0.042262077,-0.0076657874,346.9079,346.91,341.76285,341.75958,121.0,121.0,168.0,168.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.051273186,0.051251326,0.054972056,0.05494109,-1.3435631,-1.278296,0.71592623,0.73403114,-1.4752148,8.690356,4.573166,13.880431,0.0,0.0,0.0,2.0,1.0,1.9431262,-4.2456177E-5,5.6743622E-5,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.014665833,0.01467933,-4.1606056E-4,-4.1658818E-4,1221.6532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.463615,-0.0031475725,-34.55695,4.111547E-4,-5.029984E-4,9.728463E-5,531610.94,119984.89,0.0047584134,0.004946351,8859.147,8844.049,7617.0273,7603.284,0.2968979,0.0,0.0,0.0
38.730946,38.730946,0.416,0.0,0.0,341.9552,12203.0,100.0,0.0,0.004799007,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,631.80945,0.85330856,-459.8588,-0.0065700347,0.042670254,0.005883457,346.94498,346.9469,341.81165,341.8097,121.0,121.0,167.0,168.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.051345468,0.051333964,0.054998077,0.054976944,0.0,0.0,0.0,0.0,120.7128,109.50117,-36.250046,-34.654133,0.0,0.0,0.0,2.0,1.0,1.9431136,-2.8925284E-5,-1.4543533E-5,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.014630889,0.014640534,-4.1681735E-4,-4.169443E-4,1221.6592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.47737,-0.0024807,-34.559956,0.001357789,-3.1301935E-4,0.0027608152,531570.0,119984.89,0.004597176,0.0047400943,8895.368,8884.332,7634.092,7625.42,0.29668713,0.0,0.0,0.0
43.48013,43.48013,0.466,0.0,0.0,342.03018,12206.0,100.0,0.0,0.0073831296,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,636.2338,0.8533604,-461.58694,-0.005031633,0.041618004,0.0118174525,347.01364,347.01602,341.88678,341.88657,120.0,120.0,167.0,167.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.05138204,0.051373087,0.054979034,0.054964684,0.0,0.0,0.0,0.0,-207.49565,-194.6747,36.545094,43.62612,0.0,0.0,0.0,2.0,1.0,1.9431064,-2.057646E-5,-2.0384789E-5,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.014600386,0.014606869,-4.1692803E-4,-4.161965E-4,1221.7864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.49769,0.0040435055,-34.565193,-9.2462986E-4,-4.5029075E-5,-0.002530722,531494.7,119984.9,0.0046642823,0.004644794,8912.717,8905.363,7614.1895,7608.452,0.2967205,0.0,0.0,0.0
