LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
5.2512693,5.2512693,0.066,0.0,0.0,343.11722,12310.0,100.0,0.0,-0.062297855,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,600.4896,0.8593306,-447.98633,0.008041889,0.04234757,0.00414671,348.19788,348.20834,342.9659,342.9862,119.0,119.0,167.0,168.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.050526086,0.050558627,0.05415689,0.054186698,0.0,0.0,0.0,0.0,-94.252815,-102.63471,-39.495525,-36.89378,0.0,0.0,0.0,2.0,1.0,1.9403545,4.5057597E-5,-2.7418137E-5,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.014870682,0.014842972,-4.057209E-4,-4.0971598E-4,1224.6464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.87599,0.0024361974,-34.425556,5.7909836E-4,0.0036599247,-0.0017455679,528238.0,119984.9,0.00669825,0.0066433377,8502.408,8517.709,7188.2227,7205.279,0.30262947,0.0,0.0,0.0
10.016005,10.016005,0.116,0.0,0.0,343.18973,12314.0,100.0,0.0,-0.13690914,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,604.93365,0.85938615,-449.70807,0.030910864,0.040512513,-0.013992474,348.28668,348.30292,343.02615,343.0707,119.0,119.0,166.0,167.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.050366286,0.050452784,0.05412922,0.054226976,0.0,0.0,0.0,0.0,-5.511946,19.12415,-10.608134,18.0915,0.0,0.0,0.0,2.0,1.0,1.9406465,1.4817416E-4,7.4744225E-5,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.014949691,0.014873768,-4.032615E-4,-4.1134245E-4,1224.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.89062,-0.0013361253,-34.44356,0.0026487117,0.007951397,-6.164772E-4,528137.9,119984.91,0.006742748,0.0070031285,8416.643,8471.406,7196.156,7245.0073,0.3028698,0.0,0.0,0.0
14.782162,14.782162,0.166,0.0,0.0,343.26288,12315.0,100.0,0.0,-0.14003284,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,609.3787,0.8592278,-451.43094,0.051523704,0.041928165,0.0022626934,348.33615,348.3537,343.09085,343.15143,118.0,118.0,165.0,167.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.05049048,0.05062886,0.054085754,0.05426262,0.0,0.0,0.0,0.0,65.16425,8.422135,36.987656,-0.26822087,0.0,0.0,0.0,2.0,1.0,1.9411253,2.5744087E-4,-3.3974648E-5,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.014899262,0.014791094,-4.0601857E-4,-4.1018336E-4,1224.7817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.90156,-0.003486184,-34.471546,0.0017731711,0.010412996,2.418916E-4,528081.94,119984.914,0.006635301,0.0066082277,8471.371,8565.139,7163.379,7246.1055,0.3026352,0.0,0.0,0.0
19.548906,19.548906,0.216,0.0,0.0,343.33438,12318.0,100.0,0.0,-0.14205833,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,613.8238,0.85920817,-453.15546,0.06937245,0.039841574,0.005507672,348.41547,348.42535,343.16177,343.2241,118.0,118.0,165.0,166.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.05043567,0.050612047,0.05409161,0.054325186,0.0,0.0,0.0,0.0,5.6728787,14.698504,-37.41681,-35.981827,0.0,0.0,0.0,2.0,1.0,1.9416517,3.3846972E-4,1.6093254E-5,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.014912275,0.014782077,-4.0601005E-4,-4.096183E-4,1224.8882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.90883,0.0015009764,-34.507725,0.001294309,0.010619674,-0.0016686919,527999.2,119984.9,0.0065672374,0.006677881,8442.877,8567.586,7182.663,7291.037,0.30263042,0.0,0.0,0.0
24.31669,24.31669,0.266,0.0,0.0,343.40424,12321.0,100.0,0.0,-0.14647979,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,618.2691,0.859295,-454.88196,0.08230557,0.03971746,-0.0031985657,348.49026,348.49432,343.23062,343.29456,117.0,118.0,164.0,165.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.050394446,0.050612297,0.05405807,0.054345056,0.0,0.0,0.0,0.0,55.360786,54.126972,-23.536379,-30.73811,0.0,0.0,0.0,2.0,1.0,1.9421878,4.13089E-4,8.583069E-6,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.014928352,0.014778868,-4.0555265E-4,-4.0902323E-4,1225.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.913,0.0013067819,-34.550587,0.0012708264,0.010840325,4.0915358E-5,527920.25,119984.91,0.0066038677,0.006713107,8421.17,8571.217,7154.3047,7286.463,0.30265617,0.0,0.0,0.0
29.086185,29.086185,0.316,0.0,0.0,343.4736,12323.0,100.0,0.0,-0.15159331,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,622.7153,0.8593489,-456.6107,0.089371786,0.039118323,-0.004132633,348.56332,348.56107,343.30185,343.3621,117.0,117.0,164.0,165.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.050392106,0.050605334,0.05405033,0.05434415,0.0,0.0,0.0,0.0,15.355645,-193.3336,-37.121765,-15.704332,0.0,0.0,0.0,2.0,1.0,1.9427023,4.2344313E-4,8.46386E-6,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.0149297295,0.014774878,-4.048536E-4,-4.096171E-4,1225.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.915695,5.39347E-4,-34.59683,9.243721E-4,0.010224625,-2.4497206E-4,527843.5,119984.9,0.0066012293,0.006730234,8413.249,8571.784,7156.6113,7289.761,0.3026495,0.0,0.0,0.0
33.85659,33.85659,0.366,0.0,0.0,343.542,12325.0,100.0,0.0,-0.12308846,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,627.16144,0.8593084,-458.3418,0.089280404,0.038383484,-0.0054728356,348.6356,348.62967,343.37268,343.42874,116.0,117.0,163.0,164.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.05037459,0.050608944,0.054026637,0.05434562,0.0,0.0,0.0,0.0,-34.78825,-95.3391,69.61672,26.379522,0.0,0.0,0.0,2.0,1.0,1.9431969,4.5271913E-4,5.7458878E-5,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.014928667,0.014775001,-4.0608854E-4,-4.0783585E-4,1225.0436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.91748,-0.0020541917,-34.644604,-7.9901365E-4,0.009376677,-0.001058917,527766.25,119984.91,0.0066709346,0.006800013,8404.137,8568.876,7150.892,7293.703,0.30276203,0.0,0.0,0.0
38.627842,38.627842,0.416,0.0,0.0,343.60922,12328.0,100.0,0.0,-0.0986399,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,631.6076,0.8591656,-460.0753,0.08611323,0.038291007,0.0058458014,348.6941,348.6859,343.44217,343.492,116.0,116.0,163.0,164.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.05043472,0.050657634,0.054078482,0.054385867,0.0,0.0,0.0,0.0,112.88076,115.72389,-35.51244,-31.194086,0.0,0.0,0.0,2.0,1.0,1.9436415,4.370862E-4,-3.9339066E-6,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.01489831,0.014755418,-4.07509E-4,-4.0742947E-4,1225.1943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.91914,-0.0022378084,-34.69173,5.31928E-4,0.008219846,0.0030221376,527702.75,119984.91,0.0064713117,0.0066393563,8435.731,8594.857,7186.9175,7324.873,0.3025484,0.0,0.0,0.0
43.400078,43.400078,0.466,0.0,0.0,343.6766,12330.0,100.0,0.0,-0.0672304,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,636.0538,0.85921574,-461.81104,0.07660819,0.037610188,0.011364695,348.75772,348.74445,343.51782,343.55298,115.0,116.0,162.0,163.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.05049484,0.050685037,0.05408028,0.05435148,0.0,0.0,0.0,0.0,-208.32715,-187.64732,44.256443,41.225544,0.0,0.0,0.0,2.0,1.0,1.9439826,3.8343237E-4,-1.4901161E-5,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.014855414,0.01473795,-4.0767668E-4,-4.067839E-4,1225.2369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.922325,0.003817814,-34.73507,-0.0019679328,0.005704769,-0.0020137895,527635.5,119984.91,0.0065384675,0.0065310425,8465.933,8604.994,7176.548,7296.1714,0.30257797,0.0,0.0,0.0
48.173,48.173,0.516,0.0,0.0,343.74112,12333.0,100.0,0.0,-0.074797586,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,640.49994,0.85935295,-463.5488,0.06852473,0.036725335,-0.012535808,348.8393,348.825,343.585,343.6145,115.0,115.0,161.0,163.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.05037442,0.0505522,0.054086704,0.054332636,0.0,0.0,0.0,0.0,158.30397,162.55527,-7.3492513,-1.4886241,0.0,0.0,0.0,2.0,1.0,1.9442388,3.4772194E-4,4.863739E-5,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.014902339,0.014792809,-4.056075E-4,-4.073896E-4,1225.3295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.92623,3.1580016E-4,-34.7743,-5.485746E-4,0.004898626,6.56359E-4,527547.0,119984.91,0.0066184867,0.0068126046,8415.803,8541.464,7174.4937,7283.8584,0.30271435,0.0,0.0,0.0
52.94674,52.94674,0.566,0.0,0.0,343.80634,12334.0,100.0,0.0,-0.04038699,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,644.9461,0.8592631,-465.28845,0.056636978,0.036943227,-0.0016265301,348.89215,348.88065,343.65247,343.67728,115.0,115.0,161.0,162.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.05047001,0.05061283,0.054101292,0.054310154,0.0,0.0,0.0,0.0,-16.254179,-47.729904,20.465252,-3.7819145,0.0,0.0,0.0,2.0,1.0,1.9444723,2.919839E-4,8.225441E-6,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.01485795,0.014769478,-4.077222E-4,-4.059383E-4,1225.2893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.93205,-0.00266666,-34.809128,-0.0015501986,0.003948172,0.0010082386,527486.94,119984.9,0.0065690107,0.006659793,8458.997,8565.428,7185.9155,7276.56,0.3026247,0.0,0.0,0.0
57.721577,57.721577,0.616,0.0,0.0,343.87054,12337.0,100.0,0.0,-0.036295608,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,649.39307,0.85918695,-467.02975,0.047087476,0.03611432,0.007544373,348.95288,348.94022,343.72134,343.7367,114.0,114.0,160.0,161.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.050499205,0.050614603,0.054157015,0.05432145,0.0,0.0,0.0,0.0,-26.379522,-16.951557,4.7072763,17.836685,0.0,0.0,0.0,2.0,1.0,1.9446248,2.335378E-4,1.41859055E-5,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.0148312375,0.014763049,-4.0705554E-4,-4.071849E-4,1225.4336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.93965,2.3832545E-6,-34.838654,-6.512238E-4,0.002460103,3.0684922E-4,527420.75,119984.91,0.0064405915,0.006583914,8482.329,8566.273,7225.5073,7298.0615,0.30253983,0.0,0.0,0.0
62.497276,62.497276,0.666,0.0,0.0,343.93375,12339.0,100.0,0.0,-0.029672278,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,653.84033,0.85927314,-468.77237,0.03720241,0.035751075,0.0066164876,349.01318,349.00183,343.78683,343.7978,114.0,114.0,160.0,161.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.050525166,0.050615907,0.0541768,0.054311905,0.0,0.0,0.0,0.0,38.637215,20.492073,-4.2647114,-18.976625,0.0,0.0,0.0,2.0,1.0,1.9447284,1.8890914E-4,-1.335144E-5,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.0148152495,0.014760068,-4.0661357E-4,-4.071955E-4,1225.4763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.94874,0.0031830382,-34.863583,-9.7183505E-4,0.0017542271,7.406125E-4,527353.7,119984.91,0.00644246,0.006535232,8496.836,8565.416,7225.013,7283.122,0.30248165,0.0,0.0,0.0
67.273735,67.273735,0.716,0.0,0.0,343.99582,12341.0,100.0,0.0,-0.0354355,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,658.2879,0.8594222,-470.5161,0.0307733,0.034686983,-0.007829127,349.08456,349.0765,343.8495,343.8601,113.0,113.0,159.0,160.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.050463416,0.050541714,0.054166656,0.05427601,0.0,0.0,0.0,0.0,-54.74388,-51.270424,-11.761485,0.65714115,0.0,0.0,0.0,2.0,1.0,1.944814,1.542937E-4,3.4570694E-5,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.014838401,0.014790963,-4.0487223E-4,-4.0658447E-4,1225.4895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.95892,0.00179501,-34.884842,-7.441313E-4,0.0018004028,-6.135802E-4,527273.9,119984.91,0.0065582213,0.0067252344,8464.702,8520.045,7214.5547,7262.7905,0.30260658,0.0,0.0,0.0
72.05134,72.05134,0.766,0.0,0.0,344.0572,12343.0,100.0,0.0,-0.038317118,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,662.73627,0.8593799,-472.26086,0.026996434,0.03466214,-0.005383141,349.1417,349.13702,343.90945,343.92215,113.0,113.0,159.0,160.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.05047513,0.0505434,0.05417752,0.054272424,0.0,0.0,0.0,0.0,-48.065178,-43.907757,57.58702,60.282635,0.0,0.0,0.0,2.0,1.0,1.9449126,1.3478358E-4,4.851818E-5,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.014830655,0.014786474,-4.0542992E-4,-4.072279E-4,1225.5377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.969765,-0.0025201414,-34.903896,-6.7874935E-5,0.0021644079,6.7107123E-4,527209.2,119984.914,0.0065261065,0.0067281923,8474.377,8523.209,7231.042,7273.0854,0.3026619,0.0,0.0,0.0
76.829506,76.829506,0.816,0.0,0.0,344.11832,12345.0,100.0,0.0,-0.028708024,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,667.18494,0.859221,-474.00653,0.02487012,0.03458305,0.005319682,349.19113,349.18948,343.96924,343.98474,112.0,113.0,158.0,159.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.050546423,0.050616488,0.054186717,0.054279454,0.0,0.0,0.0,0.0,-112.5723,-96.7875,38.167828,44.806293,0.0,0.0,0.0,2.0,1.0,1.9450362,1.312603E-4,2.5868416E-5,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.0147959385,0.014753219,-4.0663942E-4,-4.0648607E-4,1225.6052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.98087,-0.002636834,-34.92206,-3.9533907E-4,0.0025550069,-3.7851924E-4,527152.8,119984.9,0.0064733536,0.0065699765,8508.053,8555.616,7232.5146,7274.376,0.30256653,0.0,0.0,0.0
81.60883,81.60883,0.866,0.0,0.0,344.17804,12347.0,100.0,0.0,-0.019176874,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,671.6344,0.8591838,-475.75308,0.021781644,0.03382466,0.007127019,349.2489,349.24493,344.03192,344.04126,112.0,112.0,158.0,159.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.050564162,0.050612338,0.05422233,0.054295138,0.0,0.0,0.0,0.0,52.37012,80.050514,-58.270985,-43.21038,0.0,0.0,0.0,2.0,1.0,1.9451314,1.0360574E-4,9.775162E-6,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.014779612,0.014747357,-4.063374E-4,-4.0620653E-4,1225.6589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.99232,9.2117913E-4,-34.9383,-2.5390182E-5,0.0015125899,4.3890305E-4,527090.5,119984.914,0.006426282,0.0065213093,8521.816,8560.344,7246.65,7278.74,0.30248547,0.0,0.0,0.0
86.38876,86.38876,0.916,0.0,0.0,344.23682,12350.0,100.0,0.0,-0.038307644,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,676.0842,0.8592647,-477.50037,0.020703796,0.033052802,-0.0017017242,349.315,349.3105,344.0914,344.09964,112.0,112.0,157.0,158.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.050513417,0.05056347,0.054216053,0.05428371,0.0,0.0,0.0,0.0,-5.485117,11.466443,25.70897,38.248295,0.0,0.0,0.0,2.0,1.0,1.9451928,9.857135E-5,2.6106834E-5,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.014796886,0.014763861,-4.04819E-4,-4.0764414E-4,1225.7891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.00394,0.0015125129,-34.953396,2.7865474E-4,0.0014750924,-1.8918695E-4,527018.44,119984.91,0.0064405585,0.0066173472,8497.266,8532.986,7245.45,7275.87,0.30256462,0.0,0.0,0.0
91.16968,91.16968,0.966,0.0,0.0,344.29526,12352.0,100.0,0.0,-0.007986301,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,680.5348,0.8593231,-479.24844,0.016786404,0.03332067,0.002942267,349.37756,349.3616,344.14972,344.15952,111.0,111.0,156.0,158.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.050636802,0.050583,0.05418243,0.054262668,0.0,0.0,0.0,0.0,352.4422,1.528859,-30.899042,17.568468,0.0,0.0,0.0,2.0,1.0,1.9452778,1.1792428E-4,2.3245811E-5,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.014789807,0.014735955,-4.062112E-4,-4.0390127E-4,1225.8425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.01576,0.0010254238,-34.96769,2.445915E-4,0.0015064855,-0.0024049222,526956.06,119984.91,0.0065863654,0.0065937587,8534.82,8551.665,7208.5483,7248.7104,0.30258942,0.0,0.0,0.0
95.951294,95.951294,1.016,0.0,0.0,344.35217,12354.0,100.0,0.0,-0.0390039,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,684.98584,0.85929644,-480.9972,0.019124394,0.032338265,-0.011732687,349.42883,349.42752,344.20493,344.2168,111.0,111.0,156.0,157.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.050500784,0.050536275,0.0542071,0.054270167,0.0,0.0,0.0,0.0,247.33987,139.26027,-61.50304,-87.11813,0.0,0.0,0.0,2.0,1.0,1.9453697,8.7587774E-5,3.33786E-5,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.01479709,0.014764474,-4.046891E-4,-4.066724E-4,1225.8907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.02715,-0.0027257905,-34.981922,-3.396786E-4,0.0020575237,0.0015031481,526891.5,119984.91,0.0065136338,0.0066588074,8493.533,8525.953,7230.9097,7255.804,0.3025818,0.0,0.0,0.0
100.73377,100.73377,1.066,0.0,0.0,344.40945,12355.0,100.0,0.0,-0.03704956,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,689.4375,0.8591725,-482.74664,0.020316826,0.032107756,0.0063100928,349.4756,349.4759,344.26068,344.27542,110.0,110.0,155.0,156.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.050562594,0.050619673,0.054221813,0.05429355,0.0,0.0,0.0,0.0,17.072258,-7.4431295,3.5941598,8.207559,0.0,0.0,0.0,2.0,1.0,1.9454845,1.0329796E-4,1.0371208E-5,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.0147644775,0.014728452,-4.0536345E-4,-4.0666247E-4,1225.8677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.03838,-0.0013834434,-34.996853,4.246709E-4,0.00252209,-1.2450744E-4,526838.94,119984.9,0.0064149816,0.0065109557,8525.332,8562.053,7254.31,7287.675,0.30247307,0.0,0.0,0.0
