LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
2.8160057,2.8160057,0.033,0.0,0.0,292.79565,10474.0,100.0,0.0,-0.18609287,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,306.0975,-76.561165,-182.54645,0.07732381,0.3083033,0.028966071,297.8179,297.8059,292.63516,292.6926,205.0,204.0,264.0,263.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.043023326,0.043636404,0.05309099,0.053524613,8.744,7.8792114,0.8247792,1.1580436,-38.355614,5.0827785,68.7316,46.777714,0.0,0.0,0.0,2.0,1.0,-0.57339746,0.027407808,0.0042130947,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017279744,0.017067544,-4.4108357E-4,-4.430466E-4,1064.5803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.175507,-0.19911423,68.289085,-0.0066604656,0.009521755,-0.0015077945,539688.1,119984.9,0.011573938,0.016304055,7603.666,7750.9805,6449.3447,6646.412,0.3051777,0.0,0.0,0.0
6.8906517,6.8906517,0.083,0.0,0.0,293.33673,10493.0,100.0,0.0,-0.20622213,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,303.88748,-76.5707,-179.12805,0.0820571,0.30550674,0.03918603,298.3468,298.33896,293.17325,293.23676,204.0,204.0,263.0,262.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.0433389,0.04396157,0.053126093,0.053582862,7.372051,6.269216,1.5002488,1.3281404,116.54196,-11.587142,83.88608,9.642541,0.0,0.0,0.0,2.0,1.0,-0.5728869,0.027504079,0.00391829,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.01721419,0.016998356,-4.399018E-4,-4.4309374E-4,1068.3341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.224125,-0.18218863,68.436676,-0.0055372375,0.010614102,-0.0016239518,540610.44,119984.91,0.011442521,0.015938649,7647.6343,7793.9644,6480.027,6685.705,0.30489254,0.0,0.0,0.0
10.972782,10.972782,0.133,0.0,0.0,293.87512,10512.0,100.0,0.0,-0.20060544,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,301.67505,-76.57979,-175.70229,0.085936315,0.30456117,0.039055716,298.8822,298.87445,293.71,293.7764,203.0,203.0,262.0,262.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.043362815,0.044003032,0.053142183,0.05362636,7.3818855,7.387921,4.2741,4.6044583,436.98544,376.05908,190.87938,162.55525,0.0,0.0,0.0,2.0,1.0,-0.5723318,0.027587352,0.0037332773,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.01718405,0.016961275,-4.4104198E-4,-4.422219E-4,1071.3486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.27007,-0.17546244,68.58506,-0.005094497,0.011036098,-0.0020835118,541156.0,119984.9,0.010845272,0.015390505,7660.6094,7815.3276,6526.045,6746.4917,0.30432224,0.0,0.0,0.0
15.06236,15.06236,0.183,0.0,0.0,294.40497,10530.0,100.0,0.0,-0.14841619,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,299.4603,-76.5874,-172.26917,0.07999398,0.298128,0.06521832,299.38382,299.3729,294.24576,294.30005,202.0,202.0,261.0,261.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.044092864,0.04470248,0.053275492,0.053744037,7.538795,6.41562,-0.56326383,-1.2047588,-391.8304,-416.17154,-58.981766,-84.006775,0.0,0.0,0.0,2.0,1.0,-0.5718346,0.027592238,0.0032715797,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017025337,0.0168329,-4.4120793E-4,-4.3821114E-4,1073.7924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.316685,-0.1353343,68.730225,-0.006975543,0.008705586,-0.00515319,541463.2,119984.89,0.0110145565,0.015044262,7748.8394,7894.4937,6551.378,6762.365,0.30430317,0.0,0.0,0.0
19.159224,19.159224,0.233,0.0,0.0,294.92712,10549.0,100.0,0.0,-0.15662189,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,297.24323,-76.59361,-168.82889,0.07528793,0.29461277,0.03737353,299.92517,299.91202,294.77304,294.81915,201.0,201.0,260.0,260.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.044062726,0.044624247,0.053209215,0.053657535,-0.8681416,-2.0007043,0.051185485,-0.5371123,53.268665,26.687979,131.93784,100.74377,0.0,0.0,0.0,2.0,1.0,-0.57143646,0.027566062,0.0029911995,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.0170483,0.016872915,-4.3739975E-4,-4.3901283E-4,1076.3878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.363964,-0.11530664,68.872345,-0.0025973204,0.007657697,-0.0020499846,541794.4,119984.91,0.0113819875,0.015307389,7720.695,7850.099,6513.1655,6714.795,0.30451202,0.0,0.0,0.0
23.26329,23.26329,0.283,0.0,0.0,295.44415,10568.0,100.0,0.0,-0.14796777,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,295.0238,-76.59935,-165.38156,0.0705875,0.29532668,7.665034E-4,300.46906,300.46143,295.28836,295.33765,200.0,200.0,259.0,259.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.043637015,0.044187434,0.053152777,0.053606905,-4.6319513,-6.219372,4.31925,2.9861925,815.35114,638.4059,728.1123,536.46857,0.0,0.0,0.0,2.0,1.0,-0.5710287,0.027492238,0.0029044151,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017137092,0.016967867,-4.3909607E-4,-4.3851495E-4,1078.9934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.411144,-0.117049016,69.01278,-5.5749074E-4,0.008143253,-0.0041545657,542129.44,119984.9,0.0109866075,0.015359317,7654.3726,7775.0835,6522.328,6721.976,0.30430603,0.0,0.0,0.0
27.374563,27.374563,0.333,0.0,0.0,295.95868,10582.0,100.0,0.0,-0.15256666,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,292.80194,-76.60451,-161.92726,0.0688584,0.28984845,0.12534258,300.88092,300.87305,295.80283,295.8494,200.0,200.0,258.0,258.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04449864,0.04496501,0.053487908,0.053886253,32.67981,31.374912,8.483379,7.6391544,1135.9691,1129.5183,185.04558,181.61235,0.0,0.0,0.0,2.0,1.0,-0.57064456,0.027410712,0.002458334,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.016734079,0.016577395,-4.364291E-4,-4.3796827E-4,1080.9291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.460587,-0.0809002,69.15097,-0.011781557,0.007453762,-0.0071196924,542383.5,119984.9,0.010228388,0.014324899,7953.002,8070.175,6789.999,6969.054,0.30340767,0.0,0.0,0.0
31.492897,31.492897,0.383,0.0,0.0,296.46274,10601.0,100.0,0.0,-0.1554165,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,290.57764,-76.60741,-158.46614,0.067676514,0.28467986,0.067266144,301.41354,301.40042,296.30792,296.35406,199.0,199.0,258.0,257.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.044920947,0.045469284,0.053438284,0.0538177,2.8594582,3.5697966,-0.9769945,-1.9973514,-275.81152,-362.80893,48.05177,5.565583,0.0,0.0,0.0,2.0,1.0,-0.57026637,0.027467804,0.0018818378,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.01679738,0.016624426,-4.3514714E-4,-4.370791E-4,1083.5183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.50902,-0.041108582,69.286316,-0.008072144,0.0075515625,-0.0027950648,542708.25,119984.9,0.010234205,0.013906109,7858.953,7990.136,6641.3745,6809.486,0.3031664,0.0,0.0,0.0
35.61824,35.61824,0.433,0.0,0.0,296.96298,10619.0,100.0,0.0,-0.14380743,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,288.3509,-76.60879,-154.99828,0.0649189,0.28234828,0.047982223,301.92798,301.9142,296.81003,296.8534,198.0,198.0,257.0,256.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.044829186,0.04537455,0.053415425,0.05379431,-1.2105702,-2.0232794,0.91619784,0.011846422,-6.5580006,-23.616842,59.42433,6.6250553,0.0,0.0,0.0,2.0,1.0,-0.5698944,0.027539218,0.0015813112,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.016813591,0.016648015,-4.345575E-4,-4.362111E-4,1085.9885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.557495,-0.016495548,69.420334,-0.0052364976,0.007144471,-0.0011745001,543023.5,119984.91,0.009938969,0.013758451,7832.9805,7957.9336,6649.043,6818.7397,0.3027954,0.0,0.0,0.0
39.75045,39.75045,0.483,0.0,0.0,297.45963,10636.0,100.0,0.0,-0.16048914,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,286.12177,-76.60899,-151.52376,0.06617216,0.28030813,0.044564825,302.41272,302.39734,297.30527,297.35117,197.0,197.0,256.0,255.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.044846624,0.045466278,0.053428836,0.053805884,1.9736586,5.256012,-2.1627543,-0.0029057262,-17.434351,83.26918,-125.52735,-17.98421,0.0,0.0,0.0,2.0,1.0,-0.56953806,0.027778164,0.0012489557,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.016757976,0.016569737,-4.3332044E-4,-4.3694643E-4,1088.3223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.605663,0.0072000753,69.55334,-0.006767653,0.0076748827,0.0014131584,543320.6,119984.89,0.0097628,0.013331358,7858.8896,8005.015,6634.058,6813.616,0.30239105,0.0,0.0,0.0
