LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
1.6855171,1.6855171,0.033,0.0,0.0,289.9818,10436.0,100.0,0.0,-0.31900632,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,305.65924,-76.584946,-184.17107,0.13781613,0.32271576,0.033315416,295.20624,295.1743,289.80017,289.89926,208.0,208.0,269.0,268.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.039541442,0.04055232,0.05220763,0.05290359,0.0,0.0,0.0,0.0,-215.42163,-261.4349,-134.88828,-117.23934,0.0,0.0,0.0,2.0,1.0,-0.577708,0.028631447,0.005173564,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.018206015,0.017797358,-4.4376354E-4,-4.4564274E-4,1056.951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.07265,-0.2116659,67.423584,-0.0077337134,0.016494337,-0.0013722561,537771.56,119984.9,0.014112556,0.020820864,7100.1787,7345.681,5997.877,6315.506,0.313159,0.0,0.0,0.0
5.7210507,5.7210507,0.083,0.0,0.0,290.54785,10456.0,100.0,0.0,-0.28060552,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,303.4548,-76.59508,-180.79543,0.1326948,0.31984553,0.031142266,295.77322,295.743,290.36807,290.46432,207.0,207.0,268.0,267.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.039742704,0.040744208,0.05221436,0.052913092,0.0,0.0,0.0,0.0,-14.564394,-85.50881,29.021496,-17.072258,0.0,0.0,0.0,2.0,1.0,-0.576883,0.028735824,0.0048907995,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.01816839,0.017776726,-4.4534818E-4,-4.4228754E-4,1060.9279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.103256,-0.19459324,67.591446,-0.0043869307,0.01589742,-0.001723456,538762.44,119984.9,0.014100561,0.020642238,7116.532,7357.757,6014.1494,6329.962,0.3130703,0.0,0.0,0.0
9.764405,9.764405,0.133,0.0,0.0,291.10956,10476.0,100.0,0.0,-0.2729728,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,301.2488,-76.604576,-177.4115,0.12882853,0.32000035,0.0056111817,296.35822,296.32605,290.9335,291.0224,206.0,206.0,267.0,266.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.039649118,0.040595006,0.052193638,0.05287088,0.0,0.0,0.0,0.0,406.1803,423.90967,315.62888,346.80957,0.0,0.0,0.0,2.0,1.0,-0.57611334,0.028802224,0.0047237873,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.018213691,0.017838782,-4.4471602E-4,-4.4372707E-4,1064.9666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.13464,-0.18938626,67.75726,-0.0031698577,0.014768012,-3.1284278E-4,539780.9,119984.9,0.013789283,0.020423627,7092.8105,7322.888,6006.9316,6315.705,0.3128109,0.0,0.0,0.0
13.815624,13.815624,0.183,0.0,0.0,291.66785,10494.0,100.0,0.0,-0.27915904,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,299.0412,-76.61325,-174.01927,0.12595159,0.3130818,0.07544386,296.8498,296.82114,291.49207,291.57895,206.0,206.0,266.0,265.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04035123,0.041265056,0.052417707,0.053075723,0.0,0.0,0.0,0.0,-478.5463,-455.92188,-438.9032,-463.02966,0.0,0.0,0.0,2.0,1.0,-0.57539153,0.02884297,0.004342437,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017934488,0.017578598,-4.4170278E-4,-4.4287063E-4,1068.5017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.16771,-0.1549878,67.92085,-0.008883624,0.0143179605,-0.0044550872,540643.75,119984.9,0.013570138,0.019849882,7242.0815,7468.2534,6145.185,6441.394,0.31246662,0.0,0.0,0.0
17.874527,17.874527,0.233,0.0,0.0,292.21692,10514.0,100.0,0.0,-0.29707363,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,296.83194,-76.62024,-170.61897,0.1256535,0.31033078,0.035856254,297.42215,297.3966,292.0405,292.1302,205.0,205.0,265.0,264.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.040462848,0.041365765,0.05234343,0.05300118,0.0,0.0,0.0,0.0,-118.47315,-134.74075,1.3947486,12.686848,0.0,0.0,0.0,2.0,1.0,-0.5746635,0.028907154,0.003959775,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017986365,0.017630238,-4.3937925E-4,-4.4301114E-4,1071.6254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.199867,-0.12969467,68.0819,-0.005244991,0.015036286,-0.0012321805,541192.8,119984.9,0.013881735,0.01993552,7206.995,7426.788,6066.0796,6366.128,0.31264305,0.0,0.0,0.0
21.941006,21.941006,0.283,0.0,0.0,292.75848,10535.0,100.0,0.0,-0.28446016,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,294.62112,-76.62633,-167.21068,0.123870835,0.30461723,-0.03372468,298.0316,298.0021,292.58276,292.67166,204.0,204.0,264.0,263.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04015192,0.041064035,0.052234787,0.0529131,0.0,0.0,0.0,0.0,-796.68304,-726.0336,-368.8171,-285.56134,0.0,0.0,0.0,2.0,1.0,-0.5739195,0.02893047,0.003803134,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.018193197,0.017821305,-4.3915777E-4,-4.4128875E-4,1074.5077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.231075,-0.122218914,68.24099,-2.56387E-4,0.014946079,-0.0016104381,541566.75,119984.9,0.013858944,0.020134008,7044.027,7273.1396,5941.0625,6255.7373,0.31276608,0.0,0.0,0.0
26.015022,26.015022,0.333,0.0,0.0,293.3011,10552.0,100.0,0.0,-0.26276705,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,292.40875,-76.63213,-163.79442,0.12078632,0.3060643,0.05549425,298.48416,298.45847,293.1266,293.21133,203.0,203.0,263.0,262.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.0403653,0.04121362,0.052459884,0.05308921,0.0,0.0,0.0,0.0,457.4507,526.9869,-27.143953,14.04137,0.0,0.0,0.0,2.0,1.0,-0.57319564,0.028898006,0.0035281181,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017852556,0.017515387,-4.4003723E-4,-4.4035361E-4,1076.8007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.263268,-0.104955085,68.39974,-0.008738236,0.013920623,-0.0047525163,541848.06,119984.89,0.013008664,0.019391732,7266.218,7481.999,6209.4756,6494.8394,0.312006,0.0,0.0,0.0
30.096552,30.096552,0.383,0.0,0.0,293.83316,10569.0,100.0,0.0,-0.2810071,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,290.19473,-76.635994,-160.37032,0.12148762,0.30006015,0.070631236,298.9815,298.9561,293.65848,293.7443,202.0,202.0,262.0,261.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.041190434,0.042067368,0.05254162,0.053176913,0.0,0.0,0.0,0.0,-494.0762,-391.69635,-128.83989,-78.26684,0.0,0.0,0.0,2.0,1.0,-0.5725071,0.028965516,0.0029318333,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017683944,0.017342867,-4.3645242E-4,-4.395754E-4,1079.1467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.294903,-0.057735182,68.55534,-0.00897974,0.014250218,-0.0033091768,542155.2,119984.9,0.012979512,0.018785343,7348.9917,7571.7905,6186.384,6477.689,0.31177998,0.0,0.0,0.0
34.185387,34.185387,0.433,0.0,0.0,294.35812,10589.0,100.0,0.0,-0.25350603,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,287.9792,-76.638145,-156.93849,0.11761364,0.29740137,0.041635852,299.53638,299.5034,294.18582,294.26834,201.0,201.0,262.0,261.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04108437,0.041994512,0.05251097,0.053092163,0.0,0.0,0.0,0.0,12.378401,168.18788,34.815067,103.19798,0.0,0.0,0.0,2.0,1.0,-0.571809,0.029066978,0.0026086569,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017749734,0.017397467,-4.3710173E-4,-4.3667105E-4,1081.866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.325882,-0.03197057,68.70893,-0.005820476,0.0136662545,6.962656E-4,542494.75,119984.9,0.012895849,0.018791579,7294.202,7528.1357,6183.0527,6444.857,0.31170845,0.0,0.0,0.0
38.281498,38.281498,0.483,0.0,0.0,294.87903,10607.0,100.0,0.0,-0.2325162,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,285.7621,-76.63919,-153.49902,0.113688156,0.2957937,0.038575646,300.05447,300.02173,294.7085,294.7868,201.0,201.0,261.0,260.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.040953223,0.041871637,0.05253219,0.053131256,0.0,0.0,0.0,0.0,311.91406,507.9031,-158.86722,158.8538,0.0,0.0,0.0,2.0,1.0,-0.57114106,0.029333783,0.0023208857,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017714351,0.01737328,-4.3733086E-4,-4.3607102E-4,1084.3436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.357037,-0.011842218,68.861015,-0.00911223,0.012852504,0.0012963368,542814.44,119984.9,0.012556633,0.01853053,7305.416,7534.375,6202.6396,6490.2007,0.3113165,0.0,0.0,0.0
