LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
1.265625,17513.703,0.033,0.0,0.0,263.14462,10828.0,100.0,0.0,0.024888566,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-144.83601,38.395775,455.02945,0.001762554,0.49719054,0.05634574,269.05295,269.04196,263.004,262.9905,381.0,381.0,437.0,436.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.034451988,0.034361914,0.051477835,0.051740088,0.0,0.0,0.0,0.0,-262.52115,-180.27127,43.331085,147.10574,0.0,0.0,0.0,2.0,1.0,-2.2614596,0.0363385,0.0047466755,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.022468608,0.022479083,-5.472052E-4,-5.472911E-4,1114.8059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.314194,-0.064443335,-46.601433,0.01407977,-0.0027192761,-0.002139782,546673.5,119984.89,0.017964598,0.02850447,6625.0522,6628.67,5514.574,5638.412,0.3191967,0.0,0.0,0.0
4.9472656,17517.385,0.083,0.0,0.0,264.01932,10862.0,100.0,0.0,0.07504255,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-147.65657,38.39335,452.69522,-0.011529937,0.49667013,0.0914152,269.87766,269.87024,263.8816,263.85953,379.0,379.0,436.0,435.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.034933414,0.034645155,0.05167427,0.05195059,0.0,0.0,0.0,0.0,554.5332,1123.9796,-205.44379,430.23965,0.0,0.0,0.0,2.0,1.0,-2.2616415,0.035907432,0.0039794445,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.02222659,0.022276377,-5.4860295E-4,-5.456016E-4,1119.4949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.498066,-0.031029176,-46.760372,0.019791286,-0.0046817316,-0.011342928,547254.5,119984.89,0.016431736,0.026999258,6747.619,6730.341,5666.867,5817.1636,0.31811237,0.0,0.0,0.0
8.642578,17521.08,0.133,0.0,0.0,264.8921,10896.0,100.0,0.0,0.14904848,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-150.4862,38.392563,450.3529,-0.030836225,0.49728417,0.06784927,270.73285,270.73978,264.76416,264.7246,378.0,378.0,434.0,433.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.03537852,0.034960683,0.051644765,0.05193459,0.0,0.0,0.0,0.0,622.3663,510.45108,1199.0547,1524.849,0.0,0.0,0.0,2.0,1.0,-2.2619328,0.035088688,0.0032804012,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.022042306,0.022212723,-5.52148E-4,-5.44998E-4,1124.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.67671,-0.005722199,-46.924774,0.022930678,-0.007359666,0.006358501,547860.1,119984.89,0.013441059,0.024329469,6807.1885,6724.5166,5696.74,5841.226,0.31512833,0.0,0.0,0.0
12.349609,17524.787,0.183,0.0,0.0,265.7672,10928.0,100.0,0.0,0.17749968,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-153.32465,38.39353,448.00217,-0.045031905,0.49427652,0.05593189,271.51996,271.52496,265.64633,265.59525,376.0,376.0,433.0,432.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.036591046,0.03582924,0.051589955,0.051803656,0.0,0.0,0.0,0.0,-437.54868,201.43385,-589.30804,-393.41296,0.0,0.0,0.0,2.0,1.0,-2.262344,0.0339406,0.0028910637,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.021567537,0.02177476,-5.5527274E-4,-5.47557E-4,1128.6814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.850903,0.035563678,-47.095535,0.008490844,-0.008539971,0.025100786,548412.94,119984.9,0.013475167,0.021672964,7023.783,6917.1113,5419.748,5521.9937,0.31152153,0.0,0.0,0.0
16.06836,17528.506,0.233,0.0,0.0,266.61603,10974.0,100.0,0.0,0.24437904,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-156.17155,38.394894,445.64285,-0.06506567,0.47827166,-0.0736943,272.64944,272.6717,266.51135,266.43884,375.0,375.0,431.0,430.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.035389323,0.034603894,0.051344544,0.05157658,0.0,0.0,0.0,0.0,-315.696,237.71094,310.3986,805.23926,0.0,0.0,0.0,2.0,1.0,-2.2628279,0.032603282,0.004866004,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.022460219,0.022761537,-5.397643E-4,-5.303362E-4,1135.0762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.01443,0.009175381,-47.267742,-0.002084829,-0.011173925,0.05680024,549208.25,119984.91,0.015870985,0.025749315,6509.829,6395.0557,5433.005,5570.177,0.31379223,0.0,0.0,0.0
19.800781,17532.238,0.283,0.0,0.0,267.44223,11019.0,100.0,0.0,0.24509044,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-159.02637,38.392235,443.27496,-0.081303805,0.47248787,-0.30347833,273.75745,273.81473,267.33975,267.25558,373.0,373.0,430.0,429.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.032731812,0.03172278,0.051097192,0.050970152,0.0,0.0,0.0,0.0,526.7186,745.2651,218.34518,250.07576,0.0,0.0,0.0,2.0,1.0,-2.2634442,0.031170828,0.0068109035,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.02349886,0.024035985,-5.4040883E-4,-5.3698895E-4,1140.7048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.169956,-0.12115812,-47.43957,-0.0074087074,-0.013423175,0.03639271,549677.7,119984.9,0.018634066,0.030544871,6037.843,5837.302,5138.617,5060.7534,0.31958675,0.0,0.0,0.0
23.542969,17535.98,0.333,0.0,0.0,268.27347,11041.0,100.0,0.0,0.20610115,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-161.88893,38.384552,440.89825,-0.08732681,0.465411,-0.10544899,274.33875,274.3497,268.1663,268.08536,372.0,371.0,428.0,427.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.032780472,0.031968303,0.051518902,0.05137771,0.0,0.0,0.0,0.0,801.0684,737.8488,-130.28828,-428.57672,0.0,0.0,0.0,2.0,1.0,-2.264155,0.030612785,0.0069913864,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.022551741,0.02289437,-5.346753E-4,-5.34994E-4,1143.0325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.322075,-0.18021482,-47.61763,0.011784958,-0.014057874,-0.0015630159,549701.8,119984.9,0.020268247,0.031556435,6448.406,6294.1045,5484.0327,5407.7437,0.3213377,0.0,0.0,0.0
27.296875,17539.734,0.383,0.0,0.0,269.0836,11067.0,100.0,0.0,0.17548262,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-164.7589,38.3749,438.51266,-0.090622604,0.45516312,0.048287574,274.99155,274.98508,268.97513,268.89767,370.0,370.0,427.0,426.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.034175005,0.033676144,0.051912036,0.051623847,0.0,0.0,0.0,0.0,497.30823,50.358578,344.78452,335.89297,0.0,0.0,0.0,2.0,1.0,-2.2648618,0.030280441,0.0063523054,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.021906411,0.02216359,-5.292119E-4,-5.3115183E-4,1145.782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.466763,-0.1903575,-47.795567,0.015214627,-0.013793491,-0.014062749,549729.56,119984.89,0.020014664,0.030525295,6746.5176,6615.9727,5852.5166,5712.507,0.32163715,0.0,0.0,0.0
31.0625,17543.5,0.433,0.0,0.0,269.8834,11097.0,100.0,0.0,0.16428047,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-167.63597,38.36537,436.1183,-0.089825004,0.4644755,0.041764013,275.73706,275.71143,269.77045,269.7011,369.0,368.0,425.0,424.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.034801632,0.034506515,0.051989168,0.05164994,0.0,0.0,0.0,0.0,2559.149,2884.9167,2201.651,2589.7932,0.0,0.0,0.0,2.0,1.0,-2.2655098,0.030530559,0.00532341,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.021711515,0.021856224,-5.3506193E-4,-5.361998E-4,1148.954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.609356,-0.19466336,-47.97152,0.0063361176,-0.012508382,-0.022887176,549761.2,119984.9,0.01713673,0.027396044,6864.788,6797.5664,5931.1343,5787.8174,0.31913185,0.0,0.0,0.0
34.839844,17547.277,0.483,0.0,0.0,270.6847,11117.0,100.0,0.0,0.11573088,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-170.52025,38.358837,433.71506,-0.080434695,0.44789755,0.32804543,276.2165,276.2076,270.5577,270.51367,367.0,367.0,424.0,423.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.038339343,0.038451653,0.05272811,0.052579276,0.0,0.0,0.0,0.0,-1316.5621,-2059.2388,-355.31216,-309.40622,0.0,0.0,0.0,2.0,1.0,-2.2660232,0.03099242,0.0035283566,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.02041451,0.0205626,-5.300888E-4,-5.3130364E-4,1151.0691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.752712,-0.05993613,-48.14754,0.019228866,-0.008633372,-0.030798621,549782.4,119984.914,0.013600338,0.022434754,7482.2847,7389.9995,6359.523,6301.1123,0.3143444,0.0,0.0,0.0
