LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
0.74609375,8756.965,0.0,0.0,0.0,264.32983,10677.0,100.0,0.0,-0.09307091,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-143.96004,38.365376,454.86597,0.04920745,0.5008184,-0.04293808,270.15182,270.1353,264.16672,264.19952,385.0,385.0,446.0,447.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.03524053,0.0353708,0.05170836,0.05208515,2.2711604,4.7434864,7.8510494,8.806139,1584.6622,1946.4923,1570.2858,2013.8827,0.0,0.0,0.0,2.0,1.0,-2.2698722,0.037172858,0.004795313,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.022182109,0.022019893,-5.4927304E-4,-5.494068E-4,1093.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.15652,-0.13613665,-47.303806,0.0025956715,0.0053773685,-0.0034688078,544027.0,119984.9,0.016925605,0.026469197,6707.663,6797.55,5620.835,5801.256,0.31341743,0.0,0.0,0.0
4.4453125,8760.664,0.05,0.0,0.0,265.19937,10706.0,100.0,0.0,-0.075472675,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-146.77309,38.35941,452.49716,0.04597594,0.49445584,0.13217595,270.878,270.87296,265.0325,265.0708,383.0,383.0,444.0,445.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.036759365,0.037141316,0.05226101,0.052694254,32.148956,29.37421,18.55284,14.02974,-172.72086,-971.54956,1059.5931,522.5613,0.0,0.0,0.0,2.0,1.0,-2.2695713,0.03689221,0.0043441057,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.021556549,0.021418007,-5.489817E-4,-5.4159464E-4,1097.9302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.35652,-0.09477406,-47.441395,0.017181292,0.005729603,-0.0040723872,544533.4,119984.91,0.01293809,0.023506537,7018.568,7092.9746,6095.874,6272.0366,0.3104229,0.0,0.0,0.0
6.916992,8763.136,0.1,0.0,0.0,265.7775,10725.0,100.0,0.0,-0.15873714,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-148.65398,38.357063,450.91412,0.054601252,0.4935661,0.14783037,271.3437,271.3649,265.60635,265.647,382.0,382.0,443.0,444.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.03773807,0.037879054,0.05242945,0.053048186,0.0,0.0,0.0,0.0,537.84985,451.18774,-431.44666,-68.369514,0.0,0.0,0.0,2.0,1.0,-2.2693923,0.036452074,0.0035663843,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.021129599,0.021050442,-5.4504565E-4,-5.521658E-4,1100.5476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.489204,-0.04826579,-47.5332,0.031989783,0.0061448496,-0.010374445,544864.56,119984.9,0.010539481,0.02092581,7211.0034,7251.501,6079.0723,6383.711,0.30739117,0.0,0.0,0.0
11.87793,8768.097,0.15,0.0,0.0,266.9379,10761.0,100.0,0.0,-0.16445628,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-152.42899,38.35765,447.73868,0.053994596,0.4937991,0.39111575,272.25317,272.29144,266.77036,266.81082,380.0,380.0,441.0,442.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04075042,0.04065297,0.052648805,0.05347145,99.02201,93.45665,21.270586,36.850197,5378.9683,4528.896,2024.8263,2783.8242,0.0,0.0,0.0,2.0,1.0,-2.2690973,0.035214372,0.002163887,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.019961461,0.019950932,-5.312479E-4,-5.382661E-4,1105.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.751762,0.08292565,-47.721756,0.028313756,0.0068111946,0.008084298,545500.2,119984.9,0.009151278,0.016272938,7959.3584,7953.464,6551.6084,6891.706,0.30221844,0.0,0.0,0.0
15.611328,8771.83,0.2,0.0,0.0,267.76025,10816.0,100.0,0.0,-0.029814674,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-155.27158,38.362705,445.34915,0.037005693,0.46320793,-0.24987264,273.65665,273.71606,267.60117,267.64047,379.0,379.0,440.0,441.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.038866434,0.038434435,0.051502936,0.05211301,-82.88048,-89.19194,-26.376842,-32.71803,-2152.7676,-2240.4355,41.35963,-147.82985,0.0,0.0,0.0,2.0,1.0,-2.2686827,0.03363162,0.0033870935,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.021963978,0.02206812,-5.431452E-4,-5.2965764E-4,1113.1505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.9409,0.06559785,-47.851795,-0.01255692,0.008110536,0.063910566,546467.4,119984.9,0.014306839,0.021756226,6589.8193,6526.8887,5090.632,5344.465,0.30747223,0.0,0.0,0.0
19.356445,8775.575,0.25,0.0,0.0,268.58044,10857.0,100.0,0.0,-0.08017678,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-158.1239,38.36206,442.95343,0.052300513,0.46486175,-0.3071662,274.68115,274.74933,268.40735,268.4711,377.0,377.0,438.0,439.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.03478331,0.034447428,0.05118186,0.051881842,-57.685818,-55.641975,-1.4108418,-3.2828002,1367.4034,823.10297,937.15027,-329.8312,0.0,0.0,0.0,2.0,1.0,-2.2681036,0.032702304,0.0058094263,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.02285871,0.022880035,-5.38647E-4,-5.269002E-4,1118.8171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.137928,-0.08470639,-47.97142,-0.0069715995,0.011841646,0.04672469,547175.06,119984.89,0.01848062,0.027788937,6219.1772,6201.635,5217.6187,5498.827,0.3143139,0.0,0.0,0.0
23.112305,8779.331,0.3,0.0,0.0,269.39337,10883.0,100.0,0.0,-0.09801009,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-160.98611,38.3546,440.55182,0.06520665,0.460503,-0.15338044,275.3341,275.38608,269.2139,269.27972,375.0,375.0,437.0,438.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.03371224,0.03361706,0.051615592,0.05218519,7.3550634,6.9151816,11.876597,4.0061026,2252.693,977.3566,401.473,-559.9513,0.0,0.0,0.0,2.0,1.0,-2.2674966,0.03174804,0.0066263676,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.022290828,0.022274375,-5.372E-4,-5.2751676E-4,1122.4121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.335533,-0.19211364,-48.08692,0.019051753,0.0108158905,0.010323442,547621.8,119984.89,0.019743128,0.030151477,6513.549,6510.902,5608.1694,5824.591,0.31617928,0.0,0.0,0.0
26.879883,8783.099,0.35,0.0,0.0,270.19662,10912.0,100.0,0.0,-0.032861635,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-163.85799,38.34256,438.14438,0.059907347,0.46610808,-0.13919424,276.0999,276.07938,270.0355,270.0666,374.0,374.0,435.0,436.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.034042522,0.034274943,0.051701643,0.05200646,11.380388,21.631344,21.759418,19.29648,2472.071,2109.0073,3026.658,3153.486,0.0,0.0,0.0,2.0,1.0,-2.2671115,0.031346675,0.0065894127,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.022046417,0.021881854,-5.402566E-4,-5.3157285E-4,1126.4387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.52857,-0.28749305,-48.203495,0.001964816,0.0048513995,8.1693626E-4,548125.75,119984.9,0.017340008,0.027888924,6616.6924,6718.293,5745.957,5879.9824,0.31464672,0.0,0.0,0.0
29.396484,8785.615,0.4,0.0,0.0,270.73532,10918.0,100.0,0.0,0.2396191,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-165.77786,38.33363,436.53607,0.023419559,0.4552659,0.26339805,276.2759,276.2288,270.5911,270.58133,373.0,373.0,434.0,435.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.037315,0.037648693,0.052806586,0.05307078,0.0,0.0,0.0,0.0,4918.0576,4826.715,-142.93475,-301.6547,0.0,0.0,0.0,2.0,1.0,-2.267078,0.03133983,0.0057240725,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.020502392,0.020396737,-5.4396E-4,-5.0567667E-4,1127.2976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.650757,-0.23362401,-48.29095,0.029557005,-0.0045773373,-0.03181895,548242.25,119984.89,0.014592051,0.024272159,7482.144,7583.1323,6605.948,6715.542,0.31105614,0.0,0.0,0.0
34.44629,8790.665,0.45,0.0,0.0,271.7836,10955.0,100.0,0.0,0.35588193,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-169.62875,38.32491,433.30988,-0.054090843,0.44377235,0.24545585,277.20856,277.12805,271.69232,271.57773,371.0,371.0,432.0,433.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.041463096,0.04143239,0.053193565,0.053116884,28.004272,18.680468,-1.7061083,-8.73506,-577.46606,-711.79114,11.882185,-162.66254,0.0,0.0,0.0,2.0,1.0,-2.2680173,0.03098293,0.00282979,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.019797597,0.019919587,-5.388036E-4,-5.223647E-4,1132.4244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.861763,-0.04609722,-48.49305,0.022507608,-0.021204636,-0.016991103,548875.5,119984.9,0.0120378025,0.018682582,7753.87,7726.3887,6398.5737,6338.6016,0.3076563,0.0,0.0,0.0
