LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
0.9522343,0.9522343,0.0,0.0,0.0,289.4959,10389.0,100.0,0.0,1.0429003,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,470.36316,39.00077,-351.7249,-0.57214975,0.45887697,0.0371169,295.37527,295.41092,289.53333,289.12042,390.0,391.0,462.0,463.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.048239984,0.04474991,0.053584155,0.051347114,34.933086,30.322819,-3.2707303,1.7407535,-1578.4666,-1432.9565,487.35733,485.1981,0.0,0.0,0.0,2.0,1.0,-1.5159264,-0.003964544,-0.0038536787,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.020311717,0.02165776,-5.4132007E-4,-5.476577E-4,1047.7283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.27069,0.32592276,4.8132167,0.0112653375,-0.06902216,-0.0067683444,535490.7,119984.9,0.0121451635,0.013538127,7946.531,7127.4336,6482.378,5483.2246,0.3049717,0.0,0.0,0.0
4.9701414,4.9701414,0.05,0.0,0.0,290.146,10397.0,100.0,0.0,0.97039014,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,466.34424,39.017597,-351.49127,-0.5547036,0.35657904,0.018984407,295.60425,295.61273,290.18716,289.8025,389.0,389.0,460.0,462.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.047987763,0.044725325,0.053733863,0.05144615,-7.677152,-2.750605,0.73157245,5.3796167,407.15927,427.89276,-165.19724,466.2081,0.0,0.0,0.0,2.0,1.0,-1.5192577,-0.004267405,-0.003689766,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.018283704,0.019452704,-4.891894E-4,-4.919976E-4,1049.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.46698,0.3423203,4.5476847,0.0045453436,-0.064411744,0.0073643937,535863.5,119984.9,0.01121905,0.013005622,7871.5483,7082.4897,6621.2803,5606.2754,0.30391598,0.0,0.0,0.0
8.99742,8.99742,0.1,0.0,0.0,290.76465,10421.0,100.0,0.0,0.8751639,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,462.31598,39.03475,-351.27063,-0.52549636,0.35227928,-0.026765425,296.28253,296.31677,290.79068,290.4387,387.0,387.0,458.0,460.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04767198,0.04428247,0.053666964,0.051544223,-11.267065,-12.046471,-1.149997,1.9937751,-305.50357,-68.91935,52.47741,-5.216896,0.0,0.0,0.0,2.0,1.0,-1.5223236,-0.004601719,-0.0032186508,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.018489614,0.019635472,-4.8588184E-4,-4.909078E-4,1054.0366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.653015,0.33957663,4.2941113,0.0093543185,-0.058767512,0.0077149747,537060.6,119984.89,0.011297951,0.013634644,7719.6777,6954.128,6568.7217,5618.2476,0.3043537,0.0,0.0,0.0
11.687427,11.687427,0.15,0.0,0.0,291.1759,10436.0,100.0,0.0,0.8534155,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,459.6253,39.045837,-351.13043,-0.5078407,0.35179457,-0.05195964,296.7111,296.73785,291.19238,290.85767,386.0,386.0,457.0,459.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.047254227,0.043939106,0.053682417,0.051495876,0.0,0.0,0.0,0.0,142.2912,213.49037,-90.14903,-168.0672,0.0,0.0,0.0,2.0,1.0,-1.5242256,-0.0048382706,-0.003075242,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.018562127,0.019658266,-4.891251E-4,-4.886727E-4,1057.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.7759,0.32561105,4.1324406,0.0042977855,-0.056020014,0.002099445,537798.0,119984.91,0.011376039,0.01396472,7671.631,6938.7666,6565.492,5561.861,0.3043356,0.0,0.0,0.0
17.079676,17.079676,0.2,0.0,0.0,291.9901,10466.0,100.0,0.0,0.82977813,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,454.2318,39.06704,-350.8657,-0.472842,0.34523085,-0.05325014,297.56186,297.57443,291.99908,291.68332,384.0,384.0,455.0,457.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.046966925,0.044004973,0.053632066,0.051495623,-13.751685,-10.417253,2.4794786,3.821477,-354.80258,-134.29823,289.94675,468.63547,0.0,0.0,0.0,2.0,1.0,-1.5278198,-0.0050593866,-0.0026365519,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.018652113,0.019638503,-4.885177E-4,-4.827214E-4,1062.9264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.01751,0.30372068,3.8259,-0.004628157,-0.053112112,0.006936098,539261.56,119984.91,0.012431627,0.014847199,7591.459,6945.2026,6583.6367,5619.2163,0.30540848,0.0,0.0,0.0
21.134375,21.134375,0.25,0.0,0.0,292.59363,10487.0,100.0,0.0,0.8416934,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,450.1762,39.081505,-350.6802,-0.4602602,0.3423391,-0.055503722,298.15845,298.15698,292.60312,292.28653,382.0,382.0,453.0,455.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.046613984,0.043976963,0.053552367,0.05150073,-3.0458717,2.2555141,-1.4653801,-0.12427567,218.82799,111.16414,14.296173,36.00865,0.0,0.0,0.0,2.0,1.0,-1.530475,-0.004785845,-0.0023988485,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.018590376,0.019532133,-4.8945297E-4,-4.8134913E-4,1067.0817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.19551,0.27676287,3.6058114,-0.005011213,-0.053375453,0.0058875787,540285.6,119984.9,0.013422094,0.01557602,7624.4253,7023.2695,6489.5366,5561.8765,0.30631638,0.0,0.0,0.0
23.84237,23.84237,0.3,0.0,0.0,292.99048,10500.0,100.0,0.0,0.84925705,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,447.46762,39.090534,-350.56265,-0.4571972,0.3381179,-0.0224186,298.55792,298.5464,293.00226,292.68002,381.0,381.0,452.0,454.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.046596695,0.044049498,0.053669572,0.05161821,0.0,0.0,0.0,0.0,138.87135,-0.616908,195.18433,50.023182,0.0,0.0,0.0,2.0,1.0,-1.5322726,-0.0046176896,-0.0022896528,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.018569253,0.019501284,-4.880308E-4,-4.7947682E-4,1069.7275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.3122,0.26751608,3.460516,-0.0059828428,-0.054350525,-4.0686206E-4,540954.7,119984.9,0.013526237,0.016008338,7638.379,7038.9883,6630.9688,5692.785,0.3067789,0.0,0.0,0.0
29.27008,29.27008,0.35,0.0,0.0,293.78195,10525.0,100.0,0.0,0.8550169,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,442.0388,39.107246,-350.34204,-0.45965326,0.33955956,0.02155043,299.2776,299.24503,293.7969,293.46405,379.0,379.0,450.0,452.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.046885643,0.044480994,0.053774286,0.051728807,23.501514,25.803295,8.040815,10.602995,1121.4181,1065.105,224.19243,338.88367,0.0,0.0,0.0,2.0,1.0,-1.535977,-0.0040194714,-0.0025373697,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.018295093,0.019181626,-4.895717E-4,-4.847475E-4,1073.1392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.544174,0.24277754,3.16919,-0.00956105,-0.055979807,-0.00786941,541390.9,119984.91,0.012262192,0.014530048,7810.008,7220.105,6746.1016,5824.0303,0.30530834,0.0,0.0,0.0
33.35102,33.35102,0.4,0.0,0.0,294.36877,10542.0,100.0,0.0,0.82557034,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,437.95706,39.120796,-350.18933,-0.4574078,0.33060962,0.13565089,299.7488,299.7342,294.37653,294.05624,377.0,377.0,448.0,450.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04868092,0.046425134,0.054107573,0.05215136,21.640509,28.330832,2.3467093,3.9535756,-1859.5349,-1477.5886,-396.18906,-443.9726,0.0,0.0,0.0,2.0,1.0,-1.5387032,-0.0036498138,-0.0032508373,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.017862316,0.0187489,-4.8686573E-4,-4.8426416E-4,1075.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.71527,0.30272803,2.9511218,-0.00827991,-0.05364359,-0.015749471,541686.8,119984.9,0.01124083,0.012822081,8092.478,7441.0757,6903.769,6020.4346,0.3042612,0.0,0.0,0.0
37.440453,37.440453,0.45,0.0,0.0,294.94635,10563.0,100.0,0.0,0.7834412,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,433.86688,39.13736,-350.0475,-0.4440791,0.32826424,0.08384753,300.32648,300.32455,294.94708,294.6434,375.0,376.0,447.0,448.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.048519175,0.046854105,0.05394309,0.05221767,-1.4289467,2.7226655,-3.6198645,0.4186481,142.63985,-412.36276,28.619154,-71.76249,0.0,0.0,0.0,2.0,1.0,-1.5413067,-0.0031147378,-0.003898263,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.017841697,0.018722702,-4.852284E-4,-4.838659E-4,1078.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.883064,0.3527248,2.7366476,-0.0069844103,-0.05080612,-0.009070599,542045.0,119984.9,0.010718724,0.012168971,8105.4077,7432.374,6757.8164,5988.579,0.30357838,0.0,0.0,0.0
