LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
2.7484417,2.7484417,0.033,0.0,0.0,289.0888,10419.0,100.0,0.0,1.1638188,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,468.56973,39.01444,-352.31177,-0.5844153,0.3603383,0.029992826,294.72974,294.73886,289.1509,288.71866,386.0,386.0,459.0,460.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.045870803,0.042125344,0.053344402,0.050812192,-12.826993,-14.809146,-0.6783753,-4.055723,-424.41928,-366.29584,-7.9125156,-156.10454,0.0,0.0,0.0,2.0,1.0,-1.5208013,-0.004376739,-0.0031518936,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.01888093,0.020234412,-4.950935E-4,-4.8736873E-4,1053.6693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.17951,0.3645206,4.426689,0.0068800906,-0.0729083,0.0013621836,536976.5,119984.91,0.012686269,0.016337803,7516.47,6653.3184,6415.461,5250.8594,0.31026554,0.0,0.0,0.0
6.761522,6.761522,0.083,0.0,0.0,289.7143,10444.0,100.0,0.0,1.131611,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,464.55573,39.033474,-352.09775,-0.58182675,0.35423154,-0.035879202,295.409,295.44083,289.77832,289.34546,384.0,384.0,457.0,458.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04549141,0.041696865,0.053149365,0.050672676,-15.06932,-22.683664,-9.866506,-8.022039,-597.55585,-798.6947,-307.26044,1.8909644,0.0,0.0,0.0,2.0,1.0,-1.5244542,-0.005017566,-0.0029962063,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.019004893,0.020414468,-4.8869953E-4,-4.885272E-4,1058.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.368256,0.3805195,4.1492076,0.01212261,-0.0727367,0.0109447315,538179.1,119984.9,0.014144338,0.017597826,7433.168,6524.783,6199.4287,5087.257,0.31159782,0.0,0.0,0.0
9.442131,9.442131,0.133,0.0,0.0,290.12476,10464.0,100.0,0.0,1.1133825,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,461.8745,39.045624,-351.9628,-0.5784337,0.35119277,-0.13516462,295.97876,296.00168,290.18732,289.75674,383.0,383.0,456.0,457.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04438283,0.04050035,0.052981976,0.050480668,0.0,0.0,0.0,0.0,-690.2397,-829.862,186.99019,118.258575,0.0,0.0,0.0,2.0,1.0,-1.5268694,-0.005304276,-0.002517581,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.019552683,0.020962281,-4.88718E-4,-4.8629343E-4,1062.5258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.49187,0.34653497,3.9650648,0.0059486907,-0.07242515,0.012542092,539161.3,119984.91,0.014496443,0.018963031,7112.1523,6210.8687,6155.7397,5007.906,0.31253433,0.0,0.0,0.0
14.815765,14.815765,0.183,0.0,0.0,290.9577,10489.0,100.0,0.0,1.0200007,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,456.49976,39.066975,-351.71118,-0.5732343,0.35450473,-0.03747359,296.67398,296.70322,291.00684,290.6034,381.0,381.0,454.0,455.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04390667,0.040350597,0.053115048,0.05058364,8.898005,11.77825,1.5065073,1.5328823,434.8933,329.75076,-0.75101846,40.21972,0.0,0.0,0.0,2.0,1.0,-1.5315486,-0.0056321207,-0.0021117926,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.019089626,0.02039443,-4.8709055E-4,-4.8914994E-4,1067.4795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.740875,0.3051223,3.5980635,0.0028870835,-0.06759003,0.0071568065,540384.0,119984.9,0.014410436,0.018653408,7399.076,6553.5327,6304.1973,5153.238,0.3120823,0.0,0.0,0.0
18.856863,18.856863,0.233,0.0,0.0,291.56937,10512.0,100.0,0.0,1.0398922,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,452.4579,39.081738,-351.53845,-0.56239843,0.34829396,-0.07757558,297.34244,297.3524,291.61456,291.22003,379.0,379.0,452.0,453.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04379282,0.04043777,0.053117834,0.050559495,-7.359087,-2.0722299,-3.4781544,-4.222914,-346.05856,-239.76263,-305.43652,-324.46677,0.0,0.0,0.0,2.0,1.0,-1.534885,-0.0056074364,-0.0017182827,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.019251449,0.02046472,-4.892654E-4,-4.8361756E-4,1071.343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.922646,0.28177008,3.3267727,-0.0022191363,-0.06642656,0.009819994,541153.2,119984.9,0.014816615,0.019213408,7273.8066,6497.804,6240.3843,5070.576,0.3125162,0.0,0.0,0.0
22.906967,22.906967,0.283,0.0,0.0,292.17593,10533.0,100.0,0.0,1.0222918,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,448.40704,39.09497,-351.3792,-0.5562687,0.34549704,-0.04665618,297.9462,297.9486,292.2208,291.8265,378.0,378.0,450.0,451.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04356359,0.04038262,0.053213615,0.050662793,-1.7521529,1.7695873,4.251301,4.085004,201.27295,211.04958,136.49759,84.52979,0.0,0.0,0.0,2.0,1.0,-1.5382042,-0.005357473,-0.0012938976,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.019215537,0.020410176,-4.878678E-4,-4.8042394E-4,1074.2175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.10191,0.25285795,3.0590472,-0.0067293923,-0.06642541,0.004059341,541523.3,119984.9,0.014788031,0.01959573,7292.006,6528.6953,6399.455,5233.7725,0.31285858,0.0,0.0,0.0
26.966013,26.966013,0.333,0.0,0.0,292.7728,10551.0,100.0,0.0,1.007409,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,444.3473,39.108154,-351.23334,-0.55357873,0.33894888,0.020814708,298.4518,298.44617,292.81528,292.4226,376.0,376.0,449.0,450.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04443318,0.04140576,0.053450428,0.050878793,16.407965,17.17396,-1.5787034,-2.9526649,-83.77887,-243.16908,-267.02725,-280.71994,0.0,0.0,0.0,2.0,1.0,-1.5415157,-0.0050056647,-0.0017584562,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.018871216,0.020036161,-4.854055E-4,-4.8008742E-4,1076.6702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.27739,0.27080274,2.7917752,-0.009349152,-0.06598381,-0.01205591,541833.75,119984.9,0.01521856,0.019204969,7483.695,6730.741,6478.6445,5300.5303,0.3129635,0.0,0.0,0.0
31.03382,31.03382,0.383,0.0,0.0,293.36072,10571.0,100.0,0.0,1.0029181,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,440.27884,39.122013,-351.10077,-0.5489269,0.3338793,0.03308958,299.02713,299.02576,293.40152,293.01547,374.0,374.0,447.0,448.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.044975713,0.041972447,0.053365227,0.05089277,8.404701,6.0841436,0.3737211,2.8207896,-150.92787,-399.23337,133.38623,170.28001,0.0,0.0,0.0,2.0,1.0,-1.5447794,-0.004574423,-0.002120614,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.018788697,0.019940581,-4.8383285E-4,-4.7737538E-4,1079.4203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.4494,0.2845214,2.5268483,-0.0069391998,-0.06495193,-0.004343794,542190.0,119984.9,0.01556124,0.019046143,7516.0625,6764.8745,6467.249,5348.9746,0.31325245,0.0,0.0,0.0
35.110214,35.110214,0.433,0.0,0.0,293.94675,10590.0,100.0,0.0,0.9512051,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,436.20187,39.135937,-350.98132,-0.54006,0.33634627,0.07162561,299.56802,299.5714,293.97977,293.60498,373.0,373.0,445.0,446.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04495801,0.041975982,0.053535175,0.051112507,18.513947,21.114796,9.7940855,10.890885,1164.9637,1272.5605,155.0719,165.63977,0.0,0.0,0.0,2.0,1.0,-1.5479792,-0.0042182854,-0.0025242567,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.018666342,0.019786954,-4.8520716E-4,-4.8214232E-4,1082.0302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.61992,0.28822628,2.2658741,-0.0059936903,-0.0628368,-0.017949212,542525.8,119984.89,0.013693839,0.017728321,7600.347,6873.5957,6685.465,5584.206,0.31165695,0.0,0.0,0.0
39.195175,39.195175,0.483,0.0,0.0,294.53085,10608.0,100.0,0.0,0.9009972,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,432.11636,39.152004,-350.87488,-0.5265404,0.3313572,0.12109325,300.0568,300.05798,294.55664,294.19827,371.0,371.0,444.0,445.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04675717,0.043718547,0.05367418,0.051270068,27.504486,25.587154,-0.20854174,0.3377348,-1050.3529,-1071.7838,-17.689165,21.041927,0.0,0.0,0.0,2.0,1.0,-1.5510486,-0.003993702,-0.003507018,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.018283136,0.01934469,-4.8294637E-4,-4.8319122E-4,1084.4722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.78873,0.35088336,2.0079432,-0.0060164155,-0.05992745,-0.013568563,542827.56,119984.89,0.012318848,0.015218779,7815.9346,7091.2417,6660.586,5568.4814,0.30974197,0.0,0.0,0.0
