LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
2.4722786,2.4722786,0.033,0.0,0.0,324.99683,11613.0,100.0,0.0,-0.07569793,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-518.01746,57.49129,354.27396,0.10045636,0.11560583,-0.475199,330.22894,330.14108,324.8849,324.86334,202.0,202.0,251.0,252.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.04566723,0.0465029,0.053017102,0.053196073,0.0,0.0,0.0,0.0,3469.7725,3345.3713,-2009.4034,-2744.8247,0.0,0.0,0.0,2.0,1.0,0.26441467,-0.0033783808,-0.025524259,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.0161591,0.015962813,-3.8413733E-4,-3.920666E-4,1192.8501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.512985,2.4359195,87.12705,0.040602066,-0.003515693,0.0014226632,545404.2,119984.9,0.012484044,0.012439738,7455.259,7661.2085,6317.248,6350.4604,0.30397606,0.0,0.0,0.0
7.0047326,7.0047326,0.083,0.0,0.0,325.16107,11622.0,100.0,0.0,-0.26131234,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-516.8404,57.607437,358.63138,0.084384985,0.08435333,-0.3723376,330.47546,330.42395,325.02014,325.05804,201.0,201.0,251.0,252.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.04513961,0.04629497,0.053202726,0.053155866,0.0,0.0,0.0,0.0,-184.20065,-620.529,711.76434,816.6655,0.0,0.0,0.0,2.0,1.0,0.26447216,-0.002127648,-0.023347497,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.016461099,0.016201245,-3.6655713E-4,-3.8863567E-4,1193.3755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.565975,2.231302,87.1655,0.031447344,0.008060472,0.028802842,545221.9,119984.914,0.017883442,0.019302713,7207.4053,7391.2847,6633.611,6608.482,0.31384754,0.0,0.0,0.0
11.539397,11.539397,0.133,0.0,0.0,325.29913,11633.0,100.0,0.0,-0.14160934,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-515.6609,57.71536,362.99045,0.06508562,0.07139747,-0.8605903,330.78757,330.7544,325.14578,325.20523,200.0,200.0,250.0,251.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0447193,0.045776293,0.05262363,0.052318178,0.0,0.0,0.0,0.0,-8543.72,-10421.548,-5150.498,-6574.885,0.0,0.0,0.0,2.0,1.0,0.26494873,-2.0553544E-4,-0.023653984,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.017046416,0.016855381,-3.6990517E-4,-3.654731E-4,1194.0217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.61123,2.033083,87.19784,0.021855146,0.011063321,0.05276206,545001.25,119984.9,0.017753161,0.018894382,6471.1206,6553.623,5110.754,4898.07,0.3166895,0.0,0.0,0.0
16.076595,16.076595,0.183,0.0,0.0,325.4863,11609.0,100.0,0.0,0.07003114,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-514.47894,57.81569,367.3515,0.052665524,0.09995664,0.55825555,330.0999,330.01193,325.30908,325.3478,199.0,199.0,249.0,250.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.051970854,0.052780397,0.05588785,0.056337304,0.0,0.0,0.0,0.0,6927.7163,1277.8042,2077.102,-2237.5925,0.0,0.0,0.0,2.0,1.0,0.26540488,0.0019424692,-0.025850773,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.014427468,0.014072546,-4.3870724E-4,-4.1734736E-4,1192.6047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.657492,2.0880406,87.237885,-0.11665916,0.0047929436,0.014670372,545479.9,119984.91,0.0048693805,0.005361537,9127.27,9585.594,8784.792,8995.03,0.2998104,0.0,0.0,0.0
20.614592,20.614592,0.233,0.0,0.0,325.41022,11602.0,100.0,0.0,-0.1707686,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-513.2963,57.93669,371.7132,-0.17110981,-0.3442485,1.5890098,329.84286,329.84164,325.24863,325.26843,199.0,199.0,248.0,249.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.052345395,0.052340638,0.05654162,0.056355577,0.0,0.0,0.0,0.0,-3792.67,-3646.2751,-3743.666,-2544.37,0.0,0.0,0.0,2.0,1.0,0.2654236,0.0017965197,-0.028672576,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.013646686,0.013620944,-4.479455E-4,-4.6790717E-4,1192.2046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.632673,2.7323418,87.2049,0.0026611593,0.0045150984,0.02996546,545625.9,119984.9,0.0011052844,0.0012515113,10243.231,10204.809,8267.039,8210.971,0.2931385,0.0,0.0,0.0
25.151886,25.151886,0.283,0.0,0.0,325.5465,11628.0,100.0,0.0,-0.087596394,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-512.1133,58.074615,376.07407,0.07070705,0.082110785,-0.3154146,330.61908,330.58444,325.40082,325.43597,198.0,198.0,247.0,248.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.048003945,0.04835637,0.054369703,0.0547943,0.0,0.0,0.0,0.0,1965.013,1054.2958,961.8802,-14.443587,0.0,0.0,0.0,2.0,1.0,0.2657284,0.0025488937,-0.028112888,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.0156168,0.01541237,-3.850948E-4,-3.8654212E-4,1193.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.681316,2.7143297,87.23152,0.0025869713,0.00559859,-0.010249313,545112.94,119984.9,0.0063891653,0.009632133,7777.71,7985.879,6887.431,7062.2764,0.2985983,0.0,0.0,0.0
29.691446,29.691446,0.333,0.0,0.0,325.71884,11627.0,100.0,0.0,-0.031259663,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-510.92807,58.20767,380.4367,0.05463925,0.10329668,-0.13156544,330.57138,330.57758,325.57254,325.59818,197.0,197.0,246.0,247.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0494543,0.04941516,0.05411428,0.054268867,0.0,0.0,0.0,0.0,-163.03801,509.91483,56.272743,226.593,0.0,0.0,0.0,2.0,1.0,0.26598045,0.0018485752,-0.029151797,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.015013309,0.014972399,-4.009587E-4,-3.9619175E-4,1193.6815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.723663,2.6237388,87.27241,-0.01699536,0.0038321293,-6.936211E-4,545127.1,119984.9,0.007261949,0.008113961,8426.907,8473.003,6966.2866,7020.325,0.29904938,0.0,0.0,0.0
34.233513,34.233513,0.383,0.0,0.0,325.89313,11630.0,100.0,0.0,0.0373023,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-509.74103,58.339226,384.8014,0.032608163,0.09394789,0.121812895,330.6696,330.63464,325.76434,325.75696,196.0,196.0,245.0,246.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.049806412,0.050072055,0.054650795,0.054741673,0.0,0.0,0.0,0.0,-396.48407,-155.19258,-222.70384,-219.78017,0.0,0.0,0.0,2.0,1.0,0.26601738,0.0018183771,-0.029065132,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.014674766,0.014599907,-4.0778486E-4,-4.018588E-4,1193.8666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.754257,2.6543639,87.313354,0.0039327545,-0.0017729866,-0.0046719257,545071.0,119984.89,0.005516532,0.006353406,8748.164,8863.04,7560.705,7597.2246,0.29797935,0.0,0.0,0.0
38.772583,38.772583,0.433,0.0,0.0,326.05246,11637.0,100.0,0.0,0.05546388,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-508.55273,58.47314,389.1681,0.006818844,0.089091085,0.028874706,330.883,330.848,325.93237,325.90854,195.0,195.0,244.0,245.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.04952829,0.049644284,0.05483707,0.054702695,0.0,0.0,0.0,0.0,-185.81001,70.971275,-179.86891,-113.940216,0.0,0.0,0.0,2.0,1.0,0.26585862,0.0016159394,-0.028915644,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.014803839,0.014773393,-4.03399E-4,-3.97542E-4,1194.2632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7731,2.6904516,87.35301,3.32318E-4,-0.0044469116,-8.795276E-4,544924.1,119984.9,0.0060008154,0.0072401264,8585.521,8665.016,7489.8457,7414.296,0.29879284,0.0,0.0,0.0
43.298565,43.298565,0.483,0.0,0.0,326.2101,11644.0,100.0,0.0,0.090026855,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-507.36398,58.60747,393.53687,-0.01946467,0.09050847,-0.106038295,331.0874,331.04913,326.0985,326.0605,194.0,194.0,243.0,244.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.049201544,0.04932969,0.05463126,0.054249983,0.0,0.0,0.0,0.0,-127.35127,-553.00433,-460.46817,-616.14355,0.0,0.0,0.0,2.0,1.0,0.26556915,0.0017426526,-0.029056191,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.014932518,0.014931716,-4.0035942E-4,-3.9158933E-4,1194.6749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.779911,2.671337,87.397156,0.0039880415,-0.006672626,0.007637525,544784.25,119984.89,0.0068982267,0.007802427,8409.488,8464.033,7199.284,6997.452,0.2986908,0.0,0.0,0.0
