LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
0.79154325,0.79154325,0.016,0.0,0.0,325.96274,11718.0,100.0,0.0,-0.19618243,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-517.1411,57.443336,352.33292,0.13002728,0.1016152,-0.6309112,331.50647,331.4487,325.82126,325.8779,216.0,216.0,271.0,275.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.04478473,0.045519717,0.051957898,0.05218304,0.0,0.0,0.0,0.0,-708.6529,-383.42145,365.89346,165.90796,0.0,0.0,0.0,2.0,1.0,0.25988868,-0.002456354,-0.025604963,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.017036013,0.016722608,-3.657044E-4,-3.7341326E-4,1199.0463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.165222,2.4954858,87.49617,0.0901304,0.009980365,-0.0013951808,543324.7,119984.91,0.012312638,0.014303732,6669.1284,6928.7344,5606.9624,5679.995,0.30255032,0.0,0.0,0.0
5.3383403,5.3383403,0.066,0.0,0.0,326.14014,11722.0,100.0,0.0,-0.23068,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-515.9811,57.560688,356.7088,0.12047278,0.10427565,-0.4273546,331.60104,331.52893,325.98172,326.047,215.0,215.0,270.0,274.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.041696157,0.043048553,0.052595213,0.052754175,0.0,0.0,0.0,0.0,2680.1836,2494.0652,273.85342,316.01788,0.0,0.0,0.0,2.0,1.0,0.26038027,-0.0010784038,-0.022748232,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.016954381,0.016578581,-3.8109667E-4,-3.9062893E-4,1199.3151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.234812,2.2363214,87.53572,0.028714087,0.011957437,0.02637052,543261.06,119984.9,0.01225357,0.018185236,6830.409,7122.586,6417.383,6487.12,0.30696297,0.0,0.0,0.0
9.887649,9.887649,0.116,0.0,0.0,326.30325,11714.0,100.0,0.0,-0.12122509,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-514.8176,57.671837,361.0864,0.10367348,0.09068305,-0.07623755,331.35678,331.29904,326.14526,326.2023,214.0,215.0,269.0,273.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.046506155,0.047981884,0.053334553,0.053497188,0.0,0.0,0.0,0.0,-2006.1042,-2586.695,-301.5473,-525.8605,0.0,0.0,0.0,2.0,1.0,0.26093003,2.0006711E-4,-0.023569465,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.015632194,0.015303411,-3.9033842E-4,-3.8201464E-4,1198.8481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.298698,2.2077038,87.56637,-0.007801107,0.009649745,0.026749885,543420.44,119984.9,0.014248246,0.01576549,7759.9844,8089.3164,6594.1953,6634.5273,0.31076622,0.0,0.0,0.0
14.439087,14.439087,0.166,0.0,0.0,326.4533,11712.0,100.0,0.0,0.010191846,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-513.65125,57.78305,365.46545,0.07286465,0.08709242,0.20877452,331.30438,331.2357,326.30124,326.32248,213.0,214.0,268.0,272.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.049247,0.049597733,0.054385796,0.054455224,0.0,0.0,0.0,0.0,2164.4617,3014.159,-109.192764,-268.3416,0.0,0.0,0.0,2.0,1.0,0.26124093,0.0010221134,-0.02552998,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.015021085,0.014756138,-4.0924712E-4,-3.947467E-4,1198.7218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.349262,2.2616355,87.59467,-0.06595604,0.0028109432,0.024660949,543455.94,119984.9,0.008942011,0.011627155,8349.383,8723.842,7593.913,7609.751,0.3083849,0.0,0.0,0.0
18.992548,18.992548,0.216,0.0,0.0,326.62155,11707.0,100.0,0.0,-0.1032119,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-512.4828,57.90197,369.84607,0.059024088,0.09253962,0.5904988,331.1512,331.1195,326.4775,326.48666,212.0,213.0,267.0,271.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.051172685,0.05143793,0.05499171,0.055071406,0.0,0.0,0.0,0.0,-424.0169,-22.75852,-138.26791,133.81541,0.0,0.0,0.0,2.0,1.0,0.26126125,0.0016042341,-0.028269649,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.01390886,0.013789981,-4.0745645E-4,-4.1688888E-4,1198.4028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.387291,2.5052261,87.62629,-0.024923204,0.0021645045,0.021354176,543543.4,119984.9,0.0046481476,0.0042483904,9540.969,9709.425,7855.999,7905.105,0.30250072,0.0,0.0,0.0
23.547829,23.547829,0.266,0.0,0.0,326.76767,11721.0,100.0,0.0,0.035683416,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-511.31265,58.033863,374.22815,0.022184143,0.079317436,0.29445282,331.5287,331.5098,326.6386,326.63257,211.0,212.0,266.0,270.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.04984221,0.049901277,0.05485482,0.054939676,0.0,0.0,0.0,0.0,56.031185,-103.52004,-346.86322,-578.09644,0.0,0.0,0.0,2.0,1.0,0.26129085,0.0017286503,-0.028777242,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.014525481,0.0144913895,-4.0036908E-4,-3.9516567E-4,1199.2576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.410995,2.7235806,87.65547,-0.0029736168,-0.0014376931,-0.0019043765,543281.4,119984.9,0.0053644055,0.0065690055,8808.422,8871.178,7534.6094,7556.0796,0.30236626,0.0,0.0,0.0
28.10491,28.10491,0.316,0.0,0.0,326.9132,11734.0,100.0,0.0,0.05187653,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-510.1417,58.17048,378.61188,0.0052297227,0.08556746,-0.14992465,331.92163,331.90735,326.79367,326.77872,210.0,211.0,265.0,269.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.04827596,0.048299927,0.0537438,0.053811952,0.0,0.0,0.0,0.0,565.8254,879.5902,62.736855,14.457206,0.0,0.0,0.0,2.0,1.0,0.26118088,0.0016860625,-0.028850079,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.015312921,0.01531353,-3.8607037E-4,-3.8223006E-4,1199.9895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.427265,2.7107966,87.69339,0.0038514463,-0.002803386,-0.002562249,543010.7,119984.9,0.009043728,0.010160173,7979.5967,7996.6553,6654.0386,6682.3647,0.30542755,0.0,0.0,0.0
32.66425,32.66425,0.366,0.0,0.0,327.06845,11741.0,100.0,0.0,0.08155883,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-508.97003,58.303852,382.9977,-0.014592602,0.088808075,-0.13583049,332.12143,332.10345,326.9551,326.92325,209.0,210.0,264.0,268.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.04800076,0.048011,0.053571656,0.053538717,0.0,0.0,0.0,0.0,403.9138,622.25903,208.30032,517.03595,0.0,0.0,0.0,2.0,1.0,0.26095718,0.0015342375,-0.028614044,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.015471903,0.015501061,-3.9061962E-4,-3.8688022E-4,1200.4005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.434587,2.6339746,87.73843,-0.0060248533,-0.0057523623,-0.003523632,542872.8,119984.9,0.009102955,0.01109608,7845.0366,7851.9893,6851.8066,6848.008,0.30613708,0.0,0.0,0.0
37.22589,37.22589,0.416,0.0,0.0,327.2333,11740.0,100.0,0.0,0.1979758,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-507.79834,58.435234,387.38593,-0.04892174,0.09434967,0.09704994,332.0808,332.05927,327.1316,327.07095,208.0,209.0,263.0,267.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.04944432,0.04931901,0.054003652,0.053794645,0.0,0.0,0.0,0.0,-779.94604,-642.3084,-58.217293,0.7107925,0.0,0.0,0.0,2.0,1.0,0.26056254,0.0013755308,-0.029227495,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.014786634,0.0148987165,-4.0374062E-4,-3.9066304E-4,1200.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.428965,2.6411693,87.78713,-0.007644753,-0.010905182,0.0017732013,542898.0,119984.9,0.0074915793,0.0080457,8517.867,8437.76,7155.3594,7054.0,0.30387115,0.0,0.0,0.0
41.77132,41.77132,0.466,0.0,0.0,327.38342,11745.0,100.0,0.0,0.22874574,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-506.62747,58.569912,391.77652,-0.08109149,0.08055653,0.14957076,332.22607,332.1947,327.29852,327.20596,207.0,208.0,262.0,266.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.04943197,0.04925609,0.054431196,0.05415876,0.0,0.0,0.0,0.0,-484.90308,-569.4866,-448.45187,-588.034,0.0,0.0,0.0,2.0,1.0,0.25986856,0.0013431783,-0.02949953,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.01468407,0.0148473205,-3.9769517E-4,-3.897365E-4,1200.6484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.405426,2.7341547,87.83373,-0.005523666,-0.016075758,-3.4004892E-4,542800.0,119984.9,0.0076069697,0.008325562,8597.133,8463.369,7355.0117,7221.2344,0.30398655,0.0,0.0,0.0
