LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
3.671677,3.671677,0.033,0.0,0.0,311.68893,11141.0,100.0,0.0,-0.2600113,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,166.47147,1.2254483,802.154,0.15396398,0.268328,-0.0029009278,316.7475,316.74905,311.49225,311.59964,435.0,436.0,501.0,507.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.049442373,0.04978182,0.053020444,0.05347789,1.5883147,1.4586746,0.5221366,0.50067896,406.09982,403.00183,284.4348,268.42203,0.0,0.0,0.0,2.0,1.0,-2.8452938,-0.019329999,-8.369684E-4,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.016418187,0.016119422,-4.5119497E-4,-4.5389368E-4,1153.6069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.192375,0.06768388,-82.83405,0.0015380911,0.018174862,-4.60851E-4,549807.56,119984.9,0.0095114,0.009246871,7828.0225,8064.65,6409.508,6615.6865,0.30149078,0.0,0.0,0.0
8.001414,8.001414,0.083,0.0,0.0,312.15912,11157.0,100.0,0.0,-0.24469477,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,165.20895,1.2286257,798.0096,0.15393527,0.26555339,-0.0170643,317.21674,317.2162,311.9645,312.0684,433.0,434.0,500.0,505.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.04945946,0.04979844,0.05295632,0.05341209,0.043585893,0.0911951,-0.64283603,-0.6607174,-11.613963,-0.37550923,54.703648,59.3841,0.0,0.0,0.0,2.0,1.0,-2.8444047,-0.019332753,-8.6319447E-4,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.016385885,0.016091887,-4.5126688E-4,-4.5231605E-4,1155.3005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.302523,0.059111085,-82.93704,-0.0010330365,0.017462287,2.1101534E-4,549825.06,119984.91,0.009616336,0.00924129,7826.543,8063.0015,6350.105,6555.7197,0.30155945,0.0,0.0,0.0
12.337693,12.337693,0.133,0.0,0.0,312.62424,11173.0,100.0,0.0,-0.25883615,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,163.94092,1.2314646,793.86005,0.1559831,0.26275977,0.0020361976,317.667,317.66708,312.42865,312.5341,431.0,432.0,498.0,503.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.049541175,0.049890257,0.053015687,0.053481154,2.228245,2.521947,0.98794687,1.2747197,1.528859,10.259456,-13.062353,-6.2093134,0.0,0.0,0.0,2.0,1.0,-2.843527,-0.019319873,-8.574724E-4,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.016319921,0.016022677,-4.4967135E-4,-4.5261983E-4,1156.9929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.413214,0.055947375,-83.03832,2.307883E-4,0.017833207,-3.9369334E-4,549842.0,119984.9,0.009429315,0.009018133,7864.865,8105.6006,6410.136,6620.7803,0.30136013,0.0,0.0,0.0
16.68048,16.68048,0.183,0.0,0.0,313.0837,11189.0,100.0,0.0,-0.2676407,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,162.66734,1.2343262,789.70557,0.15758824,0.25914592,0.0059553296,318.11942,318.12036,312.8876,312.99454,429.0,430.0,496.0,501.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.04958275,0.049918957,0.053062126,0.05351639,0.06794929,-2.3227928,0.815615,0.49196178,-38.44946,-283.36194,-12.968476,-7.483361,0.0,0.0,0.0,2.0,1.0,-2.8426378,-0.019334907,-8.4006786E-4,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.016270772,0.015974857,-4.4836322E-4,-4.522448E-4,1158.6855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.523964,0.058292296,-83.13786,-8.737433E-4,0.018092144,-7.1855495E-5,549859.0,119984.91,0.009325985,0.008913793,7886.8076,8124.945,6434.31,6638.5254,0.30125904,0.0,0.0,0.0
21.02973,21.02973,0.233,0.0,0.0,313.5371,11205.0,100.0,0.0,-0.24190913,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,161.38823,1.2372131,785.54614,0.15567285,0.25601748,-0.0032298723,318.5751,318.57538,313.34198,313.4471,427.0,428.0,494.0,499.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.04955882,0.04990883,0.05306891,0.053538,-0.10393559,0.057891008,0.11980533,0.3198534,29.920036,16.401705,3.1113622,-1.3142823,0.0,0.0,0.0,2.0,1.0,-2.8417447,-0.01931778,-8.0764294E-4,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.01625299,0.015959471,-4.4910694E-4,-4.4962027E-4,1160.3785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.634224,0.05660773,-83.235725,-4.0399883E-4,0.017657587,2.1992341E-4,549876.06,119984.914,0.0093052285,0.008930087,7880.3203,8122.578,6434.54,6646.496,0.30125427,0.0,0.0,0.0
25.385437,25.385437,0.283,0.0,0.0,313.9856,11220.0,100.0,0.0,-0.26639652,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,160.10359,1.2399603,781.3818,0.15881431,0.2532521,-0.0020260569,319.0175,319.01852,313.7893,313.8966,425.0,426.0,492.0,497.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.049593505,0.04994529,0.053087328,0.053559106,0.8448958,1.0621547,0.4313886,0.61489636,10.125339,16.48217,5.8740373,12.686846,0.0,0.0,0.0,2.0,1.0,-2.8408525,-0.019312369,-7.9345703E-4,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.016215244,0.015917165,-4.467286E-4,-4.5050768E-4,1161.9669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.745033,0.053658605,-83.33192,-3.262012E-4,0.018162938,-2.9294763E-4,549892.6,119984.914,0.009236145,0.008851908,7896.265,8140.34,6450.0234,6663.1855,0.3011818,0.0,0.0,0.0
29.74739,29.74739,0.333,0.0,0.0,314.42892,11236.0,100.0,0.0,-0.25518075,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,158.81342,1.2426119,777.2127,0.15873367,0.2502435,0.0018593482,319.45386,319.45535,314.23267,314.34006,423.0,424.0,490.0,495.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.049632344,0.04998296,0.0531179,0.053592123,0.64708287,0.49263233,0.6587058,0.6542354,-11.506676,-13.692675,0.08046626,-0.09387731,0.0,0.0,0.0,2.0,1.0,-2.839945,-0.019310443,-7.761717E-4,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.016169189,0.015873643,-4.469853E-4,-4.490372E-4,1163.6586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.855812,0.05269158,-83.426544,-3.6142036E-4,0.018098626,2.2052115E-4,549909.0,119984.9,0.009142379,0.008757122,7915.724,8161.417,6471.831,6685.5156,0.30108547,0.0,0.0,0.0
34.115562,34.115562,0.383,0.0,0.0,314.8668,11251.0,100.0,0.0,-0.26488522,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,157.5177,1.245227,773.03894,0.16067697,0.24719004,2.5047688E-5,319.88892,319.89008,314.67032,314.77823,421.0,423.0,489.0,493.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.049645223,0.050000936,0.053140376,0.053618394,0.07756054,0.26307997,0.31806526,0.4597753,-10.178983,-14.322993,-7.7515836,-4.962085,0.0,0.0,0.0,2.0,1.0,-2.83904,-0.019304607,-7.529259E-4,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.016138487,0.015840827,-4.4496096E-4,-4.4847655E-4,1165.2466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.966816,0.051751744,-83.51945,-5.9545314E-4,0.018244937,-1.6345594E-4,549925.3,119984.914,0.009080169,0.008706857,7924.357,8171.6772,6483.3545,6699.1436,0.3010292,0.0,0.0,0.0
38.489956,38.489956,0.433,0.0,0.0,315.2994,11266.0,100.0,0.0,-0.26290822,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,156.21643,1.2477667,768.86053,0.16192919,0.24427408,-9.918003E-4,320.3178,320.31976,315.102,315.2119,419.0,421.0,487.0,492.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.049662765,0.05002316,0.053159017,0.05364475,0.5406886,0.50067896,0.4354119,0.4843622,10.742245,3.7014465,3.7819145,-3.0711274,0.0,0.0,0.0,2.0,1.0,-2.8381178,-0.019295238,-7.303953E-4,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.016107995,0.015807426,-4.4440172E-4,-4.4716967E-4,1166.8342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.078321,0.049882535,-83.61059,-3.508522E-4,0.01854923,8.29309E-5,549941.44,119984.91,0.009019076,0.008656286,7933.043,8184.6123,6497.131,6716.0312,0.30097198,0.0,0.0,0.0
42.870335,42.870335,0.483,0.0,0.0,315.72702,11281.0,100.0,0.0,-0.26191974,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,154.90956,1.2502141,764.6777,0.16326483,0.24144971,7.026561E-5,320.74045,320.7424,315.5295,315.63968,418.0,419.0,485.0,490.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.049690843,0.050053034,0.05318209,0.05367077,0.53890043,0.63143665,0.4778802,0.57645136,-2.8833745,0.013411044,-0.013411044,2.5615094,0.0,0.0,0.0,2.0,1.0,-2.837189,-0.019291231,-7.1132183E-4,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.0160704,0.015770145,-4.4413374E-4,-4.4664525E-4,1168.4215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.190105,0.04821352,-83.70011,-4.0728433E-4,0.018574104,-2.3967135E-5,549957.25,119984.9,0.008945775,0.008584484,7947.4395,8200.65,6512.886,6733.374,0.3008995,0.0,0.0,0.0
