LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
4.5788045,4.5788045,0.05,0.0,0.0,311.3187,11191.0,100.0,0.0,-0.19111295,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,165.27847,1.2125895,801.6051,0.11204547,0.27560294,-0.015495092,316.55893,316.5516,311.13788,311.21445,419.0,420.0,487.0,492.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.04850845,0.04875807,0.052314628,0.052640744,-1.7452239,-1.3951956,-2.3596733,-2.095699,-4.050135,18.708406,-139.47485,-130.58331,0.0,0.0,0.0,2.0,1.0,-2.8477669,-0.019513207,-7.9739094E-4,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.016975792,0.01673418,-4.519618E-4,-4.5379304E-4,1158.8976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.985798,0.072889626,-82.78918,5.8693346E-4,0.012945343,-4.5582192E-4,549861.3,119984.9,0.01156597,0.01153512,7409.4624,7577.0386,6017.5186,6165.8765,0.307621,0.0,0.0,0.0
8.903194,8.903194,0.1,0.0,0.0,311.80298,11208.0,100.0,0.0,-0.16702119,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,164.02681,1.215894,797.46265,0.10931616,0.27356488,-0.017922768,317.04202,317.0343,311.62402,311.69708,417.0,419.0,486.0,490.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.048507985,0.048747495,0.052285805,0.052603494,1.0690837,0.92670316,1.2715905,1.1117755,64.533936,84.95896,127.09646,139.83694,0.0,0.0,0.0,2.0,1.0,-2.8471408,-0.019528078,-7.8594685E-4,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.01694718,0.016716145,-4.526351E-4,-4.5193563E-4,1160.6964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.076126,0.060724568,-82.90243,1.8469342E-4,0.0122255795,2.448883E-4,549879.5,119984.9,0.011562088,0.011522015,7413.9683,7577.1904,6038.613,6182.082,0.30762386,0.0,0.0,0.0
13.234305,13.234305,0.15,0.0,0.0,312.2833,11224.0,100.0,0.0,-0.16855383,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,162.77061,1.21884,793.3145,0.10847732,0.27120528,0.0071412073,317.4883,317.4817,312.1047,312.17657,416.0,417.0,484.0,488.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.04868846,0.048930746,0.052351806,0.052669123,3.1956284,3.4524498,1.1656432,1.3332813,-50.277996,-36.424397,-11.922419,-0.7107853,0.0,0.0,0.0,2.0,1.0,-2.8465347,-0.01952983,-8.312464E-4,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.016811576,0.016587045,-4.5211593E-4,-4.5200475E-4,1162.389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.166124,0.0592008,-83.01458,8.794656E-4,0.01208276,-2.0095127E-4,549896.4,119984.91,0.011316261,0.011125845,7494.945,7657.2344,6081.126,6225.1357,0.30731773,0.0,0.0,0.0
16.125399,16.125399,0.2,0.0,0.0,312.60007,11235.0,100.0,0.0,-0.16998607,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,161.93068,1.2208844,790.5461,0.10872778,0.26764306,0.013209921,317.79874,317.7894,312.4224,312.49307,414.0,415.0,483.0,487.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.04873858,0.048968147,0.05237943,0.052705534,0.0,0.0,0.0,0.0,-480.4104,-83.363045,-34.265213,11.533494,0.0,0.0,0.0,2.0,1.0,-2.8461354,-0.019516468,-8.304119E-4,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.016771441,0.016532153,-4.5037954E-4,-4.50954E-4,1163.5529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.22554,0.06305677,-83.0885,-7.357277E-4,0.011881584,-2.637068E-4,549908.0,119984.9,0.011227842,0.011018214,7492.1084,7682.386,6094.2554,6244.7686,0.30722237,0.0,0.0,0.0
21.916565,21.916565,0.25,0.0,0.0,313.22464,11257.0,100.0,0.0,-0.1714567,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,160.24487,1.225135,785.0017,0.10655348,0.2639396,-0.0040664356,318.42862,318.4231,313.04724,313.11777,412.0,413.0,480.0,485.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.048685197,0.048912037,0.052404646,0.052706495,-0.39853153,-0.3737211,0.11019408,-0.0151991835,4.0903683,40.045372,-12.297926,12.861191,0.0,0.0,0.0,2.0,1.0,-2.845344,-0.019552281,-7.8845024E-4,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.016749917,0.016533738,-4.4875225E-4,-4.4985767E-4,1165.8817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.34299,0.06276187,-83.23413,-4.3767187E-4,0.011877878,6.442277E-5,549931.8,119984.92,0.011231789,0.011089839,7502.2246,7657.857,6100.3623,6236.8076,0.30725384,0.0,0.0,0.0
26.267534,26.267534,0.3,0.0,0.0,313.6874,11273.0,100.0,0.0,-0.17310943,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,158.97543,1.2281818,780.83716,0.105798215,0.2612829,-0.003846073,318.8856,318.87933,313.51062,313.57993,410.0,411.0,478.0,483.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.04871766,0.04894501,0.052419446,0.05272193,1.2970715,0.96112484,0.54404134,0.36522743,37.711853,13.102591,17.487999,1.4483927,0.0,0.0,0.0,2.0,1.0,-2.8447554,-0.01955307,-7.804632E-4,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.016707119,0.016492397,-4.476031E-4,-4.4955724E-4,1167.5753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.430063,0.05946985,-83.34197,7.699226E-5,0.011709302,7.140194E-5,549949.0,119984.9,0.011174803,0.011022672,7517.7,7672.961,6114.8086,6250.913,0.30719185,0.0,0.0,0.0
30.624966,30.624966,0.35,0.0,0.0,314.1452,11289.0,100.0,0.0,-0.17276688,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,157.70164,1.2311234,776.66724,0.105780706,0.25830334,0.0019361351,319.33096,319.32642,313.9677,314.03873,408.0,409.0,477.0,481.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.048775062,0.049006663,0.052449152,0.05275417,1.035109,1.0208039,0.6191432,0.6607174,-7.7515836,-18.49383,1.7970799,-1.7702578,0.0,0.0,0.0,2.0,1.0,-2.844162,-0.019550119,-7.8189373E-4,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.016645283,0.01643111,-4.4705663E-4,-4.4859783E-4,1169.2683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.516941,0.058649946,-83.4484,-4.1986124E-5,0.0119780535,3.7454123E-5,549965.8,119984.91,0.011067891,0.010883006,7546.133,7702.5264,6136.0366,6273.921,0.30707264,0.0,0.0,0.0
33.53346,33.53346,0.4,0.0,0.0,314.44736,11300.0,100.0,0.0,-0.1589876,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,156.85004,1.2330836,773.8844,0.103809305,0.25621247,0.0024999504,319.62885,319.62405,314.27115,314.33966,407.0,408.0,475.0,480.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.048800435,0.049022198,0.05247114,0.052768845,0.0,0.0,0.0,0.0,-11.761486,-23.25475,1.528859,-11.546907,0.0,0.0,0.0,2.0,1.0,-2.8437717,-0.019561835,-7.7581406E-4,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.016610766,0.016404223,-4.469892E-4,-4.4708973E-4,1170.4315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.574083,0.05889807,-83.51869,-1.2994398E-4,0.011495569,4.7962205E-4,549977.06,119984.9,0.011016413,0.01082622,7559.293,7712.318,6148.5156,6282.1265,0.30701828,0.0,0.0,0.0
37.901497,37.901497,0.45,0.0,0.0,314.89597,11315.0,100.0,0.0,-0.16112831,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,155.56909,1.2360209,769.7057,0.10308138,0.25314385,-3.174683E-4,320.07492,320.0697,314.72067,314.78763,405.0,406.0,474.0,478.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.048811503,0.049034636,0.052492786,0.05278718,0.0,0.0,0.0,0.0,2.776086,2.1457663,-4.586577,-0.5900859,0.0,0.0,0.0,2.0,1.0,-2.8432047,-0.01956558,-7.6007843E-4,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.01657685,0.016372979,-4.456483E-4,-4.4667168E-4,1172.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.65918,0.058359284,-83.62295,-2.8243067E-4,0.01127729,5.5025335E-5,549993.9,119984.9,0.010965475,0.010787089,7567.882,7718.965,6159.847,6293.06,0.3069725,0.0,0.0,0.0
43.73533,43.73533,0.5,0.0,0.0,315.4863,11336.0,100.0,0.0,-0.15253852,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,153.85455,1.2398564,764.1261,0.10047029,0.24929015,-0.0018331535,320.65985,320.65533,315.31125,315.37766,403.0,404.0,471.0,476.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.048852425,0.049054824,0.05253106,0.052802406,1.2275575,-3.924295,0.9944289,-0.036433335,55.360783,-495.69897,26.808678,-18.453594,0.0,0.0,0.0,2.0,1.0,-2.8424547,-0.019600762,-7.3969364E-4,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.016526427,0.016333934,-4.4489195E-4,-4.4472542E-4,1174.2433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.771202,0.05682831,-83.76007,-3.6548678E-5,0.011113057,9.0406096E-4,550015.94,119984.9,0.010890739,0.010726119,7585.3296,7724.2026,6185.4834,6304.709,0.30690384,0.0,0.0,0.0
