LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
3.8428462,3.8428462,0.05,0.0,0.0,288.52435,11208.0,100.0,0.0,0.06358579,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-275.69135,27.351057,399.50613,0.03142777,-0.6723654,-0.07407618,288.52957,288.52264,288.53506,288.52692,300.0,299.0,323.0,317.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.036070414,0.035823368,0.0532403,0.05320725,0.0,0.0,0.0,0.0,2375.9407,2134.5957,-25.85655,681.2005,0.0,0.0,0.0,2.0,1.0,-2.6277828,0.012702452,0.008808374,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,3.0914853E-5,5.3331907E-5,1.7701366E-5,3.2166292E-5,1160.6951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.348446,-0.31798038,-69.82066,-0.018536111,-0.0017640314,0.01897039,549878.9,0.0,0.018118301,0.029573172,6648.472,6668.605,6882.443,6849.9355,0.31797123,0.0,0.0,0.0
7.847296,7.847296,0.1,0.0,0.0,288.4383,10805.0,100.0,0.0,0.11428166,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-277.65738,27.331367,396.01804,-0.0038698167,0.3556986,-0.014582852,294.24634,294.1984,288.30643,288.26016,299.0,298.0,322.0,316.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.036167145,0.03646588,0.05357653,0.053457852,0.0,0.0,0.0,0.0,7152.5654,7893.0425,-6.3031764,238.30083,0.0,0.0,0.0,2.0,1.0,-2.628092,0.013045395,0.007852197,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.020147469,0.02013869,-4.8764257E-4,-4.837709E-4,1111.6112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.340393,-0.4184348,-69.797226,0.063995466,-0.009277187,-0.0535054,546267.25,119984.89,0.014123258,0.025372332,7133.814,7187.174,6910.388,6866.4814,0.31440163,0.0,0.0,0.0
11.859311,11.859311,0.15,0.0,0.0,289.20078,10481.0,100.0,0.0,-0.095950186,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-279.62695,27.31276,392.52325,-0.0011385679,0.43587896,0.29793048,294.456,294.42322,289.0496,289.03854,297.0,296.0,320.0,315.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.045565717,0.046255838,0.05364982,0.053564474,0.0,0.0,0.0,0.0,-2794.7542,-3166.7896,923.87335,819.8573,0.0,0.0,0.0,2.0,1.0,-2.6284509,0.013680483,0.0030997992,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.018272867,0.018175092,-4.946201E-4,-5.116253E-4,1065.9114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.440876,-0.31291842,-69.984276,0.06065271,-0.0023031686,-0.04614225,540002.0,119984.9,0.008693503,0.012380396,8252.691,8342.049,6776.795,6744.8667,0.30284405,0.0,0.0,0.0
15.881864,15.881864,0.2,0.0,0.0,289.9027,10358.0,100.0,0.0,-0.3622181,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-281.60175,27.302265,389.01932,0.047289073,0.34736523,0.45492017,294.49368,294.5076,289.73727,289.80624,296.0,295.0,319.0,314.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04893291,0.049124595,0.053755444,0.0537147,0.0,0.0,0.0,0.0,-6700.01,-4492.619,-382.26837,-20.089745,0.0,0.0,0.0,2.0,1.0,-2.6282043,0.014291742,0.0013847351,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.01595349,0.015732033,-4.4422742E-4,-4.7566617E-4,1041.6104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.544582,-0.108881034,-70.15025,-0.022799892,0.0132547105,-0.0083755525,533957.1,119984.9,0.005414077,0.005752869,8679.257,8866.947,6805.23,6811.916,0.29742336,0.0,0.0,0.0
19.91296,19.91296,0.25,0.0,0.0,290.47684,10388.0,100.0,0.0,-0.15337956,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-283.58163,27.299913,385.50845,0.061634064,0.32821852,0.28695735,295.35294,295.3761,290.30188,290.39224,295.0,294.0,318.0,313.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04650345,0.046939686,0.053912546,0.054133296,0.0,0.0,0.0,0.0,2540.1995,2803.27,2037.2312,1897.0189,0.0,0.0,0.0,2.0,1.0,-2.6273832,0.015015946,0.002786994,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.016892683,0.016689327,-4.4742363E-4,-4.3730854E-4,1047.5356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.646763,0.0036829035,-70.27581,-0.012004513,0.0150339315,-0.0072864695,535443.75,119984.9,0.0067590447,0.010707212,8002.818,8149.945,7267.125,7372.7983,0.30064678,0.0,0.0,0.0
23.951797,23.951797,0.3,0.0,0.0,291.03244,10422.0,100.0,0.0,-0.019531062,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-285.5666,27.299175,381.99155,0.054452896,0.31646815,-0.24491891,296.33438,296.32495,290.88406,290.91977,294.0,293.0,317.0,312.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04294413,0.04341348,0.052702338,0.05305179,0.0,0.0,0.0,0.0,-916.52386,-1131.0072,1353.8584,961.0889,0.0,0.0,0.0,2.0,1.0,-2.6268988,0.015227399,0.003205657,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.018309832,0.018186243,-4.513576E-4,-4.356267E-4,1054.2264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.748512,-0.06240996,-70.39558,-0.0075123673,0.005444572,0.0046836953,537105.8,119984.9,0.011520626,0.015953928,6934.9526,7023.8193,6026.4736,6170.6436,0.3054924,0.0,0.0,0.0
27.99857,27.99857,0.35,0.0,0.0,291.60388,10438.0,100.0,0.0,0.006896082,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-287.55664,27.293331,378.4684,0.032894477,0.3200209,-0.18485495,296.7868,296.76825,291.48044,291.47562,292.0,291.0,316.0,310.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.041498724,0.041715,0.052205168,0.052549727,0.0,0.0,0.0,0.0,834.3681,726.1677,27.425592,-140.35994,0.0,0.0,0.0,2.0,1.0,-2.626821,0.014938504,0.0041139126,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017796624,0.017763149,-4.4537516E-4,-4.4272255E-4,1057.3806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.844822,-0.16126893,-70.52332,-0.027814876,-4.0396248E-4,0.02729696,537887.0,119984.91,0.015977206,0.018556716,7288.4844,7318.1504,5742.873,5892.6904,0.30802155,0.0,0.0,0.0
32.052986,32.052986,0.4,0.0,0.0,292.13617,10464.0,100.0,0.0,-0.005505543,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-289.551,27.28293,374.93893,0.00947506,0.2962489,-0.17639585,297.54092,297.5091,292.02228,292.00156,291.0,290.0,315.0,309.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.040151685,0.040027823,0.052447442,0.052584644,0.0,0.0,0.0,0.0,-602.8666,-361.45428,437.87054,239.92357,0.0,0.0,0.0,2.0,1.0,-2.626935,0.0142734265,0.0062921047,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.018487569,0.018478831,-4.277853E-4,-4.3261377E-4,1062.5586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.92369,-0.24956349,-70.64833,-0.020850012,-0.0029682422,0.022834746,539178.0,119984.9,0.020420702,0.025227167,6873.909,6874.2007,6103.288,6138.301,0.31482697,0.0,0.0,0.0
36.11469,36.11469,0.45,0.0,0.0,292.68103,10480.0,100.0,0.0,-0.01192439,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-291.5492,27.262995,371.4033,-0.0011606365,0.32077014,-0.08585726,297.97086,297.9638,292.55164,292.5421,290.0,289.0,313.0,308.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.037607476,0.03752416,0.0528482,0.052747797,0.0,0.0,0.0,0.0,5741.335,5429.1655,1558.4437,1698.066,0.0,0.0,0.0,2.0,1.0,-2.6270344,0.013602741,0.0073770285,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.018286051,0.018310538,-4.4444783E-4,-4.4598972E-4,1065.7086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.00097,-0.45841473,-70.77746,0.023897897,-0.0019551062,-0.009859509,539950.8,119984.9,0.01544417,0.024553997,7098.001,7079.3467,6792.3394,6727.1733,0.31302452,0.0,0.0,0.0
40.18414,40.18414,0.5,0.0,0.0,293.23224,10482.0,100.0,0.0,0.043907195,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-293.55127,27.242374,367.86093,-0.005416453,0.31532395,0.34149772,298.01303,298.00668,293.08438,293.08917,288.0,288.0,312.0,307.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.044977885,0.045276497,0.054141194,0.054188848,0.0,0.0,0.0,0.0,-1126.2194,-1337.0406,1632.7946,1125.1194,0.0,0.0,0.0,2.0,1.0,-2.6270564,0.0138735315,0.003993511,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.016447688,0.016418315,-4.5880422E-4,-4.4792803E-4,1066.0933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.07654,-0.34906548,-70.91125,0.07255901,-8.3078776E-4,-0.043633007,540042.6,119984.9,0.0064776703,0.012888472,8243.124,8284.096,7396.3477,7410.032,0.30296707,0.0,0.0,0.0
