LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
1.8842,1.8842,0.016,0.0,0.0,286.60968,10324.0,100.0,0.0,-0.060283612,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-275.06058,27.365553,401.39542,0.036108956,0.335222,-0.17014118,292.0427,292.05923,286.4724,286.4895,310.0,309.0,337.0,334.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.037708327,0.036766555,0.051695287,0.051972784,-25.248749,-16.771404,-13.402774,-7.530301,-270.4202,1282.4849,-2088.5823,-1203.735,0.0,0.0,0.0,2.0,1.0,-2.6198413,0.012107364,0.007686734,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.019014334,0.019032232,-4.4121555E-4,-4.448035E-4,1034.9412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.64622,-0.29929367,-69.039444,-0.007701023,0.0032373462,0.015249498,532285.56,119984.9,0.019070884,0.026733272,6637.5815,6603.3125,5510.117,5656.918,0.31717587,0.0,0.0,0.0
5.869292,5.869292,0.066,0.0,0.0,287.19318,10346.0,100.0,0.0,0.014018788,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-277.04532,27.348398,397.93988,0.01774016,0.32766473,-0.061908446,292.66806,292.64926,287.06152,287.0595,308.0,308.0,336.0,333.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.036579084,0.036302883,0.052255835,0.052308068,-17.344727,-6.912052,28.312502,17.88877,426.17612,133.45332,757.96533,541.0954,0.0,0.0,0.0,2.0,1.0,-2.6197834,0.011508584,0.00799489,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.019134149,0.01910634,-4.4378117E-4,-4.3866236E-4,1039.2129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.736557,-0.3660772,-69.17416,0.02746659,-9.073679E-4,-0.0069123325,533346.0,119984.91,0.016975082,0.028398594,6561.369,6585.7373,6250.712,6242.3613,0.32056332,0.0,0.0,0.0
9.862559,9.862559,0.116,0.0,0.0,287.79016,10349.0,100.0,0.0,0.0821144,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-279.0345,27.331318,394.47748,-0.0022674203,0.33694163,0.288549,292.7629,292.711,287.65704,287.64105,307.0,306.0,335.0,332.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.040522367,0.04088079,0.053431053,0.05284126,132.19847,138.18025,27.088297,6.5173206,3035.6833,2286.4224,458.4297,-210.36563,0.0,0.0,0.0,2.0,1.0,-2.6198995,0.01231934,0.0047898293,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017325811,0.017298132,-4.5763302E-4,-4.4571952E-4,1039.8146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.822845,-0.29021016,-69.31619,0.046961337,-0.004642675,-0.08382055,533500.1,119984.9,0.0120351,0.019497508,7707.4507,7695.447,6912.215,6565.2944,0.31241608,0.0,0.0,0.0
13.864212,13.864212,0.166,0.0,0.0,288.3911,10365.0,100.0,0.0,-0.05328293,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-281.02777,27.321392,391.00778,0.0015694797,0.33964476,0.3609419,293.20422,293.16763,288.26163,288.25217,306.0,305.0,334.0,331.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.045106653,0.04625424,0.05296066,0.05315797,50.47984,50.61641,-12.465118,3.087446,-2992.7412,-4039.2185,-1.5824889,-229.74458,0.0,0.0,0.0,2.0,1.0,-2.6201248,0.014394951,0.0019439459,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.01670041,0.016578998,-4.4831136E-4,-4.6052376E-4,1042.9623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.90393,-0.11469665,-69.46263,0.009946667,-0.0014934001,-0.025728954,534289.06,119984.9,0.010276424,0.0123994155,8093.505,8218.68,6360.705,6502.1025,0.30747318,0.0,0.0,0.0
17.874136,17.874136,0.216,0.0,0.0,288.97998,10398.0,100.0,0.0,-0.054070044,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-283.0251,27.317276,387.53088,-4.234761E-4,0.33323812,0.045245696,294.12888,294.13098,288.84854,288.85733,304.0,304.0,333.0,330.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.043455683,0.043996148,0.052505888,0.052577253,-49.017815,-62.96128,0.13411044,-2.8335302,-870.967,-764.7246,373.5646,434.26297,0.0,0.0,0.0,2.0,1.0,-2.6200852,0.014562953,0.002850294,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017802354,0.017768355,-4.4648247E-4,-4.5031603E-4,1049.4822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.98404,-0.06682463,-69.60532,-0.028981494,0.002111567,0.015319237,535922.8,119984.914,0.010040922,0.0142209185,7326.892,7345.7754,6126.886,6152.991,0.3079319,0.0,0.0,0.0
21.892258,21.892258,0.266,0.0,0.0,289.5686,10425.0,100.0,0.0,-0.008889793,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-285.0265,27.31331,384.04694,0.0017083883,0.3366801,-0.108921856,294.90845,294.9039,289.43338,289.44284,303.0,302.0,331.0,328.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04059247,0.04086999,0.052355096,0.052429136,-50.771976,-52.35895,-4.4926996,-2.8496234,649.202,811.7703,-40.327003,63.635403,0.0,0.0,0.0,2.0,1.0,-2.6199725,0.0147273755,0.004056692,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.018491762,0.018442415,-4.5189867E-4,-4.4818828E-4,1054.856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.06697,-0.10113702,-69.74621,-0.014392401,0.0016653985,0.006063154,537271.9,119984.91,0.009998581,0.017086541,6935.878,6981.128,5997.002,6039.7476,0.30906677,0.0,0.0,0.0
25.918644,25.918644,0.316,0.0,0.0,290.15967,10442.0,100.0,0.0,0.032145325,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-287.03198,27.307898,380.55582,-0.0041362494,0.32246703,-0.011044361,295.36832,295.37732,290.03253,290.02707,302.0,301.0,330.0,327.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.040688768,0.040644303,0.052358687,0.05256699,6.7030635,-2.036914,-12.565925,-13.173669,-1806.4407,-1907.6808,-1906.742,-2310.991,0.0,0.0,0.0,2.0,1.0,-2.6199691,0.014443017,0.0045084953,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017919961,0.017963488,-4.4637884E-4,-4.4236903E-4,1058.1838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.147877,-0.10387719,-69.88907,-0.0072655757,-8.492645E-4,0.017443595,538089.44,119984.9,0.012097758,0.018220956,7241.8984,7214.793,5918.4644,6004.293,0.30886173,0.0,0.0,0.0
29.953033,29.953033,0.366,0.0,0.0,290.72247,10470.0,100.0,0.0,0.091555506,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-289.04138,27.300966,377.05774,-0.01525113,0.3150313,-0.20423415,296.17642,296.17426,290.60553,290.5877,300.0,300.0,329.0,326.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.039155375,0.038929358,0.051877122,0.051978193,-39.61086,-39.7785,-18.625706,-16.32191,-892.1025,-588.946,-1670.6674,-1209.9576,0.0,0.0,0.0,2.0,1.0,-2.6200457,0.014059659,0.0059736967,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.018715147,0.01876893,-4.4036016E-4,-4.3252876E-4,1063.7668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.222523,-0.17662668,-70.02634,-0.028528005,-0.0028197125,0.024162093,539481.75,119984.914,0.017699374,0.023375317,6751.9604,6725.198,5527.336,5587.171,0.31497288,0.0,0.0,0.0
33.995144,33.995144,0.416,0.0,0.0,291.26822,10496.0,100.0,0.0,0.035125688,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-291.05432,27.288507,373.55283,-0.018055975,0.3081898,-0.21843082,296.92892,296.9058,291.15054,291.12607,299.0,298.0,328.0,325.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.036609046,0.036352314,0.052068185,0.05203505,-49.617958,-44.904423,21.249353,16.50609,259.70486,727.1468,907.16327,941.9649,0.0,0.0,0.0,2.0,1.0,-2.6202497,0.0136601,0.007596731,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.019476254,0.019490417,-4.3330115E-4,-4.3542663E-4,1068.9581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.290833,-0.30624095,-70.161476,0.002296932,-0.0040862346,0.0035132135,540771.6,119984.9,0.01829429,0.028804889,6337.8936,6338.7,6060.8555,6034.986,0.32088566,0.0,0.0,0.0
38.044937,38.044937,0.466,0.0,0.0,291.82867,10499.0,100.0,0.0,0.058435496,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-293.0707,27.272385,370.04108,-0.025666565,0.31782106,0.058032826,296.99677,296.97934,291.70016,291.67938,298.0,297.0,327.0,324.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.038605593,0.038558923,0.05284028,0.052615657,75.53525,78.230865,7.9154224,2.9356775,1241.5541,1197.7534,-523.1916,-666.3545,0.0,0.0,0.0,2.0,1.0,-2.620452,0.013762086,0.0055031776,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017840462,0.017861389,-4.500234E-4,-4.4712715E-4,1069.5402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.358772,-0.3156144,-70.30195,0.045178674,-0.004537699,-0.038093023,540911.44,119984.9,0.014415461,0.02277224,7311.816,7307.198,6385.72,6263.8047,0.3207121,0.0,0.0,0.0
