LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
4.691666,4.691666,0.05,0.0,0.0,304.67896,10925.0,100.0,0.0,0.089194566,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-115.91046,3.0850165,463.9176,0.0041429102,0.2728306,-0.5356403,310.6309,310.6429,304.55756,304.52942,292.0,294.0,326.0,335.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.043908875,0.043784916,0.05237674,0.052374016,-97.254654,-109.58857,-8.395537,-18.540321,727.174,-239.05196,1177.7982,151.2363,0.0,0.0,0.0,2.0,1.0,-2.3396811,-0.027462196,0.0068485737,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.019496176,0.019634971,-4.5902398E-4,-4.5314265E-4,1128.2706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.83623,-0.36221492,-58.835144,-0.019035643,-0.0062228325,0.048423775,548363.9,119984.89,0.013477429,0.017645584,6542.7207,6458.8164,5799.87,5748.4404,0.30496502,0.0,0.0,0.0
8.924125,8.924125,0.1,0.0,0.0,305.17618,10929.0,100.0,0.0,0.20543267,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-118.95458,3.0612454,460.97305,-0.03556268,0.28391206,-0.14337364,310.7505,310.73474,305.06784,304.99588,290.0,292.0,325.0,334.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.0434559,0.043045074,0.05295019,0.052724604,52.11442,51.192192,26.599018,29.20523,4283.836,4551.5337,1216.234,1700.9896,0.0,0.0,0.0,2.0,1.0,-2.3401747,-0.027981011,0.007850289,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.01828092,0.018446684,-4.701558E-4,-4.6213283E-4,1128.8279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.922775,-0.5363662,-58.943,0.010754228,-0.012271777,0.0013959878,548433.94,119984.9,0.01361133,0.018397912,7443.8936,7361.128,6611.37,6522.825,0.30603695,0.0,0.0,0.0
13.16341,13.16341,0.15,0.0,0.0,305.65393,10938.0,100.0,0.0,0.048317827,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-122.0029,3.033729,458.0231,-0.040995993,0.27000874,0.039446577,310.99417,310.9822,305.5272,305.4818,289.0,291.0,324.0,333.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04688908,0.04659377,0.053700265,0.053204823,70.61362,75.43109,14.482363,9.197517,332.55338,202.11821,-50.988804,53.469826,0.0,0.0,0.0,2.0,1.0,-2.340647,-0.028011397,0.006693721,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.01749658,0.01759802,-4.6717268E-4,-4.710368E-4,1130.0742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.005035,-0.5485409,-59.048725,0.01840385,-0.006522939,-0.031491693,548587.7,119984.9,0.011547947,0.014444113,7894.496,7820.9834,6883.831,6636.828,0.30399418,0.0,0.0,0.0
15.993239,15.993239,0.2,0.0,0.0,305.97202,10944.0,100.0,0.0,-0.051126555,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-124.03743,3.016075,456.05362,-0.028918847,0.2705297,0.16047943,311.16745,311.16748,305.8269,305.81427,288.0,290.0,323.0,332.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.049280323,0.04925829,0.053884726,0.053613313,0.0,0.0,0.0,0.0,41.3594,142.45192,-29.28972,138.12033,0.0,0.0,0.0,2.0,1.0,-2.3407478,-0.027652523,0.0053631067,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.01705736,0.017072177,-4.652229E-4,-4.7841092E-4,1130.9252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.06232,-0.5072868,-59.11695,0.02298742,-2.620263E-4,-0.03609147,548699.8,119984.9,0.009732251,0.010764976,8247.713,8218.47,6983.238,6877.575,0.30264282,0.0,0.0,0.0
20.243748,20.243748,0.25,0.0,0.0,306.45218,10957.0,100.0,0.0,-0.09568058,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-127.09297,2.9943862,453.09506,-0.009491086,0.26602834,0.30792433,311.50128,311.5275,306.2944,306.31363,287.0,289.0,322.0,331.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.049798574,0.04975661,0.054190047,0.054045405,0.0,0.0,0.0,0.0,-385.31265,916.68506,-294.77472,449.3504,0.0,0.0,0.0,2.0,1.0,-2.3406332,-0.027111353,0.00412333,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.01653802,0.016541835,-4.6839475E-4,-4.7953104E-4,1132.7125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.15415,-0.36456534,-59.214916,-0.002791646,0.0042207083,-0.020740753,548914.94,119984.9,0.0073932605,0.0076344186,8703.813,8660.365,7164.7515,7124.5693,0.30030346,0.0,0.0,0.0
25.921162,25.921162,0.3,0.0,0.0,307.07538,10986.0,100.0,0.0,-0.08739469,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-131.17429,2.9733546,449.1434,0.021011487,0.26787424,0.042130973,312.33066,312.39066,306.90326,306.95157,285.0,287.0,320.0,329.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04857383,0.048355084,0.053775553,0.05395908,-4.013255,-6.631538,1.464039,4.0519233,725.752,1188.9962,259.81213,125.03114,0.0,0.0,0.0,2.0,1.0,-2.3401487,-0.027168507,0.0039042234,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.017238202,0.017282085,-4.7003233E-4,-4.723829E-4,1136.777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.28489,-0.29920447,-59.32911,0.013537675,0.008838395,-0.0041532135,549430.4,119984.9,0.0059629595,0.0079913065,8050.2144,7956.9526,6893.9727,6979.418,0.2982874,0.0,0.0,0.0
30.187027,30.187027,0.35,0.0,0.0,307.55646,11003.0,100.0,0.0,-0.04164331,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-134.24133,2.9583294,446.17474,0.033856742,0.27109692,-0.03599515,312.8195,312.86954,307.39697,307.43536,284.0,286.0,319.0,328.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.048785552,0.048569817,0.053089198,0.053330287,-7.3298063,-11.229514,-12.65779,-14.287232,-1338.8916,-1520.933,296.74615,139.07254,0.0,0.0,0.0,2.0,1.0,-2.339778,-0.027836246,0.0041228533,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.017149206,0.017194847,-4.7065617E-4,-4.672381E-4,1139.0144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.39085,-0.3074063,-59.411743,-0.013237625,0.0055264714,0.035786126,549661.25,119984.89,0.008537688,0.007748621,8075.5225,7986.7607,6260.2617,6365.003,0.29755306,0.0,0.0,0.0
34.45935,34.45935,0.4,0.0,0.0,308.0113,11030.0,100.0,0.0,-0.037376087,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-137.31355,2.9405892,443.20218,0.039184958,0.25718898,-0.26192513,313.57092,313.62775,307.8543,307.88947,283.0,285.0,318.0,327.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04696472,0.046836413,0.052870754,0.053103402,-32.001656,-42.09302,4.9272175,-7.809698,464.0087,-1021.04987,938.2366,-592.2585,0.0,0.0,0.0,2.0,1.0,-2.3395202,-0.029054388,0.0060179234,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.018116336,0.01821009,-4.614514E-4,-4.5608086E-4,1141.8677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.49351,-0.41119683,-59.486713,0.0032553915,0.0051153605,0.041714463,549689.3,119984.9,0.010586337,0.012677436,7359.202,7258.626,6294.003,6334.3486,0.29937744,0.0,0.0,0.0
38.73807,38.73807,0.45,0.0,0.0,308.47208,11039.0,100.0,0.0,-0.030804243,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-140.39098,2.9170985,440.22583,0.044734344,0.2607911,-0.06107519,313.86447,313.84018,308.31958,308.33768,282.0,283.0,317.0,325.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04697186,0.047038414,0.05335282,0.05310637,29.648912,51.875484,12.012943,16.332193,2282.1975,3571.6963,199.23447,1496.0421,0.0,0.0,0.0,2.0,1.0,-2.3393333,-0.029203262,0.0066461563,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.017571075,0.01744629,-4.6246647E-4,-4.609701E-4,1142.8196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.59773,-0.501321,-59.562374,-0.0135095995,0.0028914677,-0.0111964485,549699.0,119984.89,0.0115838805,0.013187376,7790.925,7892.2417,6695.3096,6640.4014,0.30187225,0.0,0.0,0.0
41.594086,41.594086,0.5,0.0,0.0,308.7665,11049.0,100.0,0.0,-0.040324826,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-142.44551,2.9000351,438.23956,0.037453167,0.24869013,-0.050146643,314.1218,314.17606,308.61075,308.63403,281.0,283.0,316.0,325.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.047961097,0.04790945,0.05325085,0.05352172,0.0,0.0,0.0,0.0,291.07336,-2232.523,522.3199,-282.7048,0.0,0.0,0.0,2.0,1.0,-2.3392107,-0.029137664,0.0066221952,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.017422365,0.017537694,-4.5828498E-4,-4.6229034E-4,1143.8779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.665398,-0.51987237,-59.609894,0.007342647,0.0042997594,-1.8743868E-4,549710.1,119984.9,0.011408856,0.013066796,7840.4727,7708.3726,6572.3496,6722.3516,0.30271912,0.0,0.0,0.0
