LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
4.065159,4.065159,0.05,0.0,0.0,304.3069,10966.0,100.0,0.0,-0.013660275,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-115.14481,3.1085281,464.02792,0.05258902,0.27584475,-0.31124362,310.21057,310.20157,304.15652,304.18912,280.0,282.0,317.0,324.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.044398494,0.044453315,0.051685248,0.051846914,0.0,0.0,0.0,0.0,-2114.747,-1630.1389,789.54834,364.47192,0.0,0.0,0.0,2.0,1.0,-2.333323,-0.02632188,0.0061695576,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.019397877,0.019291399,-4.607409E-4,-4.515513E-4,1133.9857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.10923,-0.33812264,-58.40219,-0.040376015,0.00351484,0.044936046,549080.94,119984.9,0.016459275,0.017636813,6600.3335,6664.392,5537.5225,5592.25,0.3127346,0.0,0.0,0.0
8.29284,8.29284,0.1,0.0,0.0,304.78476,10995.0,100.0,0.0,0.028358135,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-118.203186,3.0867558,461.1058,0.04427612,0.2635262,-0.67179996,311.03348,311.01843,304.63712,304.65817,279.0,281.0,316.0,323.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04007686,0.040317927,0.051040083,0.05113599,0.0,0.0,0.0,0.0,-2993.6128,-2868.6355,-2961.239,-2299.1086,0.0,0.0,0.0,2.0,1.0,-2.3331647,-0.026340714,0.008230448,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.020595321,0.020487953,-4.6265015E-4,-4.4913028E-4,1138.0249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.217834,-0.555826,-58.479015,-0.027700592,0.0018399926,0.030193117,549583.3,119984.9,0.01909793,0.023870492,5852.118,5923.208,4660.2993,4712.0723,0.31672955,0.0,0.0,0.0
12.527333,12.527333,0.15,0.0,0.0,305.2946,10990.0,100.0,0.0,0.13025759,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-121.26696,3.0553129,458.17944,0.013244465,0.28342128,0.06721053,310.86566,310.85107,305.15796,305.1316,278.0,279.0,315.0,322.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04174036,0.041762922,0.052803796,0.052705187,0.0,0.0,0.0,0.0,4163.847,4240.5586,-181.1698,110.94955,0.0,0.0,0.0,2.0,1.0,-2.3332334,-0.02640055,0.008328557,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.018369736,0.018414186,-4.7763594E-4,-4.6590145E-4,1137.3105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.326027,-0.6380211,-58.56995,0.030938454,-0.0038377142,-0.033621244,549488.2,119984.9,0.0135930125,0.019397534,7368.709,7361.1265,6772.363,6732.383,0.31170464,0.0,0.0,0.0
16.768688,16.768688,0.183,0.0,0.0,305.78748,10996.0,100.0,0.0,0.13520433,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-124.33593,3.02594,455.2485,-0.018137753,0.27982765,0.24485147,311.05078,311.0373,305.663,305.6088,276.0,278.0,314.0,321.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.048803996,0.048556983,0.053342994,0.053137213,107.1719,92.82991,6.0926375,2.342686,-2102.7441,-2597.9873,-178.19254,-258.7527,0.0,0.0,0.0,2.0,1.0,-2.3335428,-0.026531298,0.0058004856,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.017201126,0.017335905,-4.749323E-4,-4.7368914E-4,1138.1769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.424995,-0.5339265,-58.665596,0.033490013,-0.008077977,-0.026102591,549606.75,119984.9,0.009922,0.011296081,8111.2925,8042.787,6704.1025,6602.7393,0.30684376,0.0,0.0,0.0
21.016907,21.016907,0.25,0.0,0.0,306.28073,11011.0,100.0,0.0,0.13749379,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-127.40962,3.0033207,452.3125,-0.04183177,0.27509558,0.3078897,311.4676,311.45285,306.16174,306.1029,275.0,277.0,312.0,319.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04908571,0.049010985,0.05367917,0.053454712,0.0,0.0,0.0,0.0,-505.27448,-667.4408,-285.56134,-140.33316,0.0,0.0,0.0,2.0,1.0,-2.3340027,-0.026436137,0.0045598745,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.016873775,0.016986275,-4.746684E-4,-4.7426845E-4,1139.8601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.51578,-0.3797989,-58.77012,0.010697277,-0.00947119,-0.01041542,549669.7,119984.89,0.0061820038,0.0079295235,8360.945,8279.146,6925.3354,6835.1016,0.3032055,0.0,0.0,0.0
25.271887,25.271887,0.3,0.0,0.0,306.75342,11031.0,100.0,0.0,-0.0563116,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-130.48775,2.9899175,449.3713,-0.030246727,0.26186582,0.17247197,311.99704,312.05545,306.6161,306.60266,274.0,276.0,311.0,318.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.048919212,0.048520137,0.053451113,0.053534128,0.0,0.0,0.0,0.0,-2121.6675,-1794.1965,-635.6835,-690.9101,0.0,0.0,0.0,2.0,1.0,-2.3342698,-0.027027521,0.0036399364,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.017038545,0.017238703,-4.5546747E-4,-4.7310718E-4,1141.9745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.6025,-0.20636928,-58.870285,0.011101089,-0.001268196,0.011417623,549690.9,119984.89,0.008212254,0.009223673,8190.47,7968.7256,6480.806,6517.4453,0.30475903,0.0,0.0,0.0
29.533157,29.533157,0.35,0.0,0.0,307.2198,11060.0,100.0,0.0,-0.08290124,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-133.57005,2.9780877,446.42532,-0.0087546855,0.2773466,-0.24908453,312.81537,312.8672,307.06763,307.0899,273.0,274.0,310.0,317.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.046298727,0.045720518,0.052264832,0.052215043,0.0,0.0,0.0,0.0,1499.7971,1886.0887,-24.34101,746.6465,0.0,0.0,0.0,2.0,1.0,-2.3341866,-0.027710505,0.004228711,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.018305758,0.018407026,-4.5985915E-4,-4.7049602E-4,1145.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.68779,-0.28904584,-58.968197,-0.0117027275,0.0036755307,0.026565688,549721.3,119984.9,0.011932446,0.01245259,7301.4795,7189.228,5679.3594,5685.459,0.30692387,0.0,0.0,0.0
33.80104,33.80104,0.4,0.0,0.0,307.6887,11080.0,100.0,0.0,-0.07594366,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-136.65692,2.9609227,443.4745,0.012646347,0.26240662,-0.18929525,313.37485,313.46884,307.52826,307.57056,272.0,273.0,309.0,316.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.044720765,0.043961175,0.05218813,0.0522985,0.0,0.0,0.0,0.0,-8.945159,92.71041,426.27,139.36757,0.0,0.0,0.0,2.0,1.0,-2.3339198,-0.028399324,0.0061324835,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.018603353,0.018759474,-4.5753122E-4,-4.605269E-4,1147.1562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.781715,-0.38909432,-59.057873,-0.011529836,0.006647317,0.031109342,549743.1,119984.9,0.014046644,0.016445557,7100.1455,6944.01,6020.082,6069.0254,0.30954552,0.0,0.0,0.0
38.07523,38.07523,0.45,0.0,0.0,308.13983,11101.0,100.0,0.0,0.02565502,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-139.74854,2.9387517,440.51944,0.020775832,0.25016025,-0.49319273,314.02243,314.02664,307.99313,308.01547,270.0,272.0,308.0,315.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.042847257,0.04282454,0.05171708,0.051356036,0.0,0.0,0.0,0.0,-2591.389,-3056.3901,-2449.393,-2290.9548,0.0,0.0,0.0,2.0,1.0,-2.333663,-0.0282819,0.007343173,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.01913574,0.019078705,-4.5554043E-4,-4.4489934E-4,1149.3776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.876392,-0.52571034,-59.13913,-0.041167,0.002016578,0.02506396,549765.7,119984.9,0.0171806,0.019286081,6560.911,6608.234,5030.227,4879.99,0.31253433,0.0,0.0,0.0
42.355625,42.355625,0.5,0.0,0.0,308.59598,11109.0,100.0,0.0,0.09102653,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-142.8449,2.9092605,437.56027,0.013611563,0.25639057,-0.007582086,314.27,314.22092,308.45154,308.44547,269.0,271.0,307.0,314.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.042628862,0.042375416,0.052841987,0.05292056,0.0,0.0,0.0,0.0,1716.1039,2887.2097,301.09152,-204.2903,0.0,0.0,0.0,2.0,1.0,-2.3336356,-0.028221995,0.008371115,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.018504724,0.018409368,-4.701457E-4,-4.5519974E-4,1150.2238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.971645,-0.60881495,-59.222057,0.02375602,-8.199586E-4,-0.018010968,549774.25,119984.91,0.013195806,0.019236157,7156.6006,7225.6436,6783.6787,6786.474,0.31054688,0.0,0.0,0.0
