LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
1.9966056,1.9966056,0.016,0.0,0.0,253.091,10606.0,100.0,0.0,0.9050369,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-800.88007,0.18825917,-1017.5099,-0.50731033,0.6434666,-0.08183253,259.28784,259.33694,253.09404,252.74643,413.0,413.0,455.0,454.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04515575,0.042376008,0.052260805,0.050063316,52.281616,66.22284,-24.372337,-14.232247,467.3213,176.44888,383.9448,278.25226,0.0,0.0,0.0,2.0,1.0,1.421976,-0.0028846213,-0.005692601,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.024002269,0.0253747,-6.007901E-4,-6.528311E-4,1084.2096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.571884,0.3839162,10.105711,0.00718009,-0.056199994,0.0378456,542798.5,119984.89,0.0164995,0.017406425,7562.1045,6883.583,5405.795,4434.927,0.3089609,0.0,0.0,0.0
5.5430007,5.5430007,0.066,0.0,0.0,254.22025,10284.0,100.0,0.0,0.77909976,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-797.39417,0.20732485,-1016.9973,-0.4416086,0.63932,0.05104539,260.1947,260.23474,254.20222,253.9134,412.0,411.0,454.0,453.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.047468673,0.04492372,0.052094754,0.050169878,36.540176,39.390472,4.2743235,8.426829,-677.9283,-745.1577,364.69992,300.38052,0.0,0.0,0.0,2.0,1.0,1.419414,-0.0024835835,-0.006396055,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.023604814,0.024742305,-5.995783E-4,-6.325341E-4,1027.0967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.84897,0.38964665,10.377533,0.006099876,-0.04717899,0.0027518463,530305.7,119984.92,0.015533216,0.014334734,7753.6143,7158.6865,5641.838,4773.241,0.30700016,0.0,0.0,0.0
9.103842,9.103842,0.116,0.0,0.0,255.14812,10298.0,100.0,0.0,0.71020883,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-793.89557,0.22771132,-1016.4721,-0.38324043,0.5044408,0.05092185,260.57028,260.5734,255.13272,254.88155,410.0,410.0,452.0,451.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.047661617,0.045353115,0.052251983,0.05058123,-5.4437666,-1.4421343,2.7615576,6.7772713,-183.8252,-310.0499,72.15142,-67.6587,0.0,0.0,0.0,2.0,1.0,1.4172192,-0.0021937692,-0.0062607527,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.0208565,0.021725003,-5.2962615E-4,-5.4390123E-4,1029.8439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0743,0.42137867,10.611601,0.004992277,-0.041588355,-0.002222116,531001.2,119984.91,0.014721259,0.013999018,7664.6104,7151.568,5754.9644,5001.3257,0.30647087,0.0,0.0,0.0
12.676973,12.676973,0.183,0.0,0.0,256.03082,10335.0,100.0,0.0,0.65052235,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-790.38617,0.24925227,-1015.93604,-0.33463562,0.49913338,0.008520342,261.49045,261.48813,256.00455,255.7755,408.0,408.0,451.0,450.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04731432,0.045252834,0.052181214,0.0507138,0.0,0.0,0.0,0.0,-166.40424,-139.26028,-54.703655,-58.391685,0.0,0.0,0.0,2.0,1.0,1.4152398,-0.0019399368,-0.0062254667,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.020967202,0.021736203,-5.294171E-4,-5.410414E-4,1037.0251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.29064,0.4356253,10.818679,0.004600504,-0.037988126,6.506006E-4,532789.7,119984.92,0.01475492,0.01439364,7581.8623,7138.1934,5660.5913,5005.0825,0.30669785,0.0,0.0,0.0
16.262386,16.262386,0.216,0.0,0.0,256.90872,10370.0,100.0,0.0,0.47621742,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-786.86584,0.2710483,-1015.3902,-0.28261936,0.4974416,-0.0020781865,262.3754,262.36926,256.86282,256.6732,407.0,406.0,449.0,448.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04696603,0.045222178,0.05211358,0.05083778,-4.896596,2.799332,-0.7309019,3.178194,146.26083,241.66699,43.57248,38.65063,0.0,0.0,0.0,2.0,1.0,1.4135078,-0.0016430637,-0.0063234568,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.021011138,0.021624101,-5.2501773E-4,-5.440222E-4,1043.9012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.50906,0.43607858,11.001623,0.00625824,-0.031051578,0.005295366,534512.25,119984.92,0.014348931,0.014333698,7555.4795,7188.4326,5661.453,5089.2285,0.3064928,0.0,0.0,0.0
19.860004,19.860004,0.266,0.0,0.0,257.7841,10402.0,100.0,0.0,0.22673872,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-783.33453,0.2930233,-1014.8359,-0.2191383,0.4956447,0.05078022,263.18567,263.1907,257.70572,257.58273,405.0,405.0,448.0,447.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04722919,0.045922183,0.052093726,0.051067397,14.277844,21.566076,2.3873894,7.1970367,726.0873,576.35297,278.4669,235.1224,0.0,0.0,0.0,2.0,1.0,1.4122485,-0.0011727104,-0.0065722466,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.020799048,0.021220272,-5.183754E-4,-5.4682663E-4,1050.2441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.73084,0.4476248,11.156416,0.010715813,-0.019409165,0.0075661927,536105.7,119984.914,0.0139704365,0.013438356,7687.4,7387.741,5719.48,5261.0654,0.305727,0.0,0.0,0.0
23.469715,23.469715,0.316,0.0,0.0,258.64874,10438.0,100.0,0.0,0.028163392,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-779.79205,0.31573877,-1014.2748,-0.14583561,0.48835462,-0.009523567,264.0905,264.11243,258.53397,258.48682,403.0,403.0,446.0,445.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.047232546,0.04635442,0.051807534,0.051144525,-5.9189644,0.39204952,-5.9314814,0.43049452,-304.49774,-495.8331,39.267536,-56.36661,0.0,0.0,0.0,2.0,1.0,1.4116261,-6.30417E-4,-0.006624222,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.020999016,0.021210464,-5.178151E-4,-5.4581277E-4,1057.3779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.9549,0.4552441,11.276861,0.008823826,-0.0066136103,-0.0025864094,537885.6,119984.91,0.014291693,0.013396886,7540.162,7354.2734,5470.2793,5187.292,0.30586624,0.0,0.0,0.0
27.09148,27.09148,0.366,0.0,0.0,259.50757,10473.0,100.0,0.0,-0.05097025,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-776.2383,0.33826888,-1013.70856,-0.08191714,0.48478284,-0.030316943,264.9593,265.0042,259.367,259.37228,402.0,401.0,444.0,444.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.046814673,0.04622687,0.051653273,0.05125724,-7.4911857,-1.528859,-3.1562893,2.5150177,40.018585,50.412117,29.303125,51.47158,0.0,0.0,0.0,2.0,1.0,1.4115267,-2.5989232E-4,-0.006419301,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.021064846,0.021192316,-5.2252423E-4,-5.3706305E-4,1064.3086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.18255,0.44488147,11.364696,0.0074607874,0.0017093329,-0.0033912193,539601.9,119984.91,0.014622411,0.013828695,7457.25,7356.426,5425.0405,5261.582,0.30626583,0.0,0.0,0.0
30.72508,30.72508,0.416,0.0,0.0,260.35864,10506.0,100.0,0.0,-0.08728322,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-772.67316,0.36017656,-1013.1386,-0.030938387,0.4807905,-0.021267656,265.8127,265.8518,260.20483,260.2358,400.0,400.0,443.0,442.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.046592582,0.046300057,0.05161491,0.051457573,-2.055019,4.2186675,0.3623217,4.407316,178.05844,221.97958,51.1229,14.604634,0.0,0.0,0.0,2.0,1.0,1.4117272,1.5306125E-5,-0.0062885284,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.021059602,0.021084001,-5.242744E-4,-5.3070235E-4,1070.5421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.41239,0.4332439,11.425044,0.004828279,0.005675703,0.0013956917,541057.44,119984.91,0.014485548,0.013972041,7454.767,7415.383,5457.7,5396.7183,0.3063469,0.0,0.0,0.0
34.370693,34.370693,0.466,0.0,0.0,261.20233,10538.0,100.0,0.0,-0.067676485,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-769.09644,0.3817033,-1012.5662,5.1917136E-4,0.47659844,-0.0019332276,266.62256,266.6457,261.04544,261.08145,399.0,398.0,441.0,441.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04681328,0.046812534,0.051621858,0.05160833,8.614138,13.105272,0.8992105,2.9875336,330.63586,228.05481,126.54661,69.37533,0.0,0.0,0.0,2.0,1.0,1.412034,2.1886491E-4,-0.0064589977,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.020871904,0.020830618,-5.2694656E-4,-5.250022E-4,1074.901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.64317,0.4294963,11.466211,0.0022760523,0.006131617,0.005103693,541610.75,119984.89,0.014031619,0.013256125,7530.109,7538.207,5473.4883,5472.127,0.30575657,0.0,0.0,0.0
