LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
3.005326,3.005326,0.05,0.0,0.0,252.76463,10398.0,100.0,0.0,1.4751662,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-799.86835,0.19719842,-1017.5096,-0.6866403,0.5223953,0.11933566,258.37735,258.34467,252.88063,252.33769,389.0,389.0,431.0,434.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.046726238,0.042624973,0.052570097,0.049473766,0.0,0.0,0.0,0.0,-499.42722,-361.42752,-473.39645,-364.2037,0.0,0.0,0.0,2.0,1.0,1.4357549,-0.0042933496,-0.0059212446,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.0213042,0.02305728,-5.313885E-4,-5.766414E-4,1049.4995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.627556,0.4122535,9.034071,0.0067349467,-0.08970741,0.011014231,535931.7,119984.92,0.015743712,0.016031304,7784.15,6827.0757,5878.4697,4478.5166,0.31180573,0.0,0.0,0.0
6.5454636,6.5454636,0.1,0.0,0.0,253.6766,10439.0,100.0,0.0,1.177945,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-796.3815,0.21897297,-1017.0486,-0.61613566,0.5162746,0.019502055,259.39484,259.33792,253.75531,253.29832,388.0,388.0,429.0,432.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.046514466,0.042745538,0.0522439,0.049458988,0.0,0.0,0.0,0.0,-793.37054,-804.54193,-6.973743,42.459362,0.0,0.0,0.0,2.0,1.0,1.4316545,-0.003822783,-0.0058689117,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.021762943,0.023095546,-5.233977E-4,-5.762253E-4,1057.5566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.83716,0.44624543,9.380309,0.010426878,-0.07485331,-0.007518797,537925.0,119984.914,0.016661651,0.01680673,7501.4297,6651.1387,5645.13,4396.9526,0.31274796,0.0,0.0,0.0
10.098244,10.098244,0.15,0.0,0.0,254.58176,10479.0,100.0,0.0,0.9264228,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-792.8841,0.24099912,-1016.5713,-0.5339691,0.51643175,-0.044207748,260.38083,260.34958,254.61526,254.25244,386.0,386.0,428.0,431.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04516511,0.041839365,0.05197769,0.049551167,0.0,0.0,0.0,0.0,270.20563,300.9036,87.17179,39.388245,0.0,0.0,0.0,2.0,1.0,1.4283485,-0.003323986,-0.0055115223,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.022221852,0.023321148,-5.265223E-4,-5.71079E-4,1065.5199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.04916,0.4322512,9.687366,0.0096253,-0.059146527,-0.0019808926,539906.75,119984.91,0.017208045,0.018470557,7279.5312,6548.1616,5549.3936,4460.6206,0.3138361,0.0,0.0,0.0
13.663861,13.663861,0.2,0.0,0.0,255.48898,10513.0,100.0,0.0,0.83012265,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-789.3759,0.2622445,-1016.0795,-0.46578547,0.51360416,-0.022987619,261.18353,261.21793,255.48955,255.19463,385.0,385.0,426.0,429.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.044642568,0.04175497,0.051874176,0.049764458,0.0,0.0,0.0,0.0,169.48878,240.55388,-50.43894,31.676874,0.0,0.0,0.0,2.0,1.0,1.4257056,-0.0029170015,-0.005545497,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.02186763,0.022986487,-5.330442E-4,-5.613063E-4,1071.4703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.265335,0.4202619,9.961313,0.007029767,-0.048273947,0.0047523836,541166.0,119984.91,0.016884482,0.018411683,7318.351,6677.71,5532.661,4591.2334,0.31370926,0.0,0.0,0.0
17.242123,17.242123,0.25,0.0,0.0,256.38858,10546.0,100.0,0.0,0.8288257,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-785.8569,0.2834372,-1015.5748,-0.41272515,0.50938827,0.021525167,262.01813,262.03906,256.37994,256.1054,383.0,383.0,425.0,428.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.045008387,0.042562433,0.051900696,0.050025526,0.0,0.0,0.0,0.0,86.75605,78.17298,-172.72083,-185.26016,0.0,0.0,0.0,2.0,1.0,1.4233855,-0.002523162,-0.0059068203,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.02155426,0.022568805,-5.374484E-4,-5.502571E-4,1075.9896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.482605,0.42959765,10.20643,0.0061881416,-0.045493208,0.00937491,541748.0,119984.9,0.016047478,0.017214654,7437.3467,6874.4736,5573.2686,4730.533,0.312644,0.0,0.0,0.0
20.832722,20.832722,0.3,0.0,0.0,257.27902,10581.0,100.0,0.0,0.9190578,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-782.327,0.3053786,-1015.0585,-0.389948,0.5034338,0.031223454,262.89194,262.89102,257.27982,256.9891,382.0,381.0,423.0,427.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.045603402,0.043346543,0.051870733,0.050128583,0.0,0.0,0.0,0.0,-162.86372,-332.6609,-2.2932885,-56.460495,0.0,0.0,0.0,2.0,1.0,1.4210395,-0.0022640517,-0.0061769485,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.021356946,0.02235845,-5.407753E-4,-5.409932E-4,1080.7686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.69902,0.44720075,10.43524,0.002959913,-0.048834205,0.001944647,542354.2,119984.9,0.015736654,0.01618093,7496.5405,6964.3276,5562.8164,4772.642,0.31191158,0.0,0.0,0.0
24.435677,24.435677,0.35,0.0,0.0,258.15652,10617.0,100.0,0.0,0.9394238,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-778.78644,0.32800794,-1014.5309,-0.3818189,0.4959432,-0.0046898862,263.81754,263.79645,258.16962,257.8566,380.0,380.0,422.0,425.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.045615233,0.043361895,0.0518241,0.050131403,0.0,0.0,0.0,0.0,-231.13934,-203.79422,-25.936956,-29.69205,0.0,0.0,0.0,2.0,1.0,1.4184895,-0.0021581296,-0.006074548,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.021421118,0.022419423,-5.356299E-4,-5.3908146E-4,1085.7299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.91225,0.4541035,10.657974,0.0016724146,-0.052576765,-0.003947108,542996.44,119984.9,0.015955796,0.016382478,7424.0757,6899.0986,5525.752,4756.245,0.3120718,0.0,0.0,0.0
28.050697,28.050697,0.4,0.0,0.0,259.023,10654.0,100.0,0.0,0.8736761,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-775.2353,0.3504036,-1013.9921,-0.37701705,0.49029264,-0.035715822,264.71735,264.6954,259.03775,258.72247,378.0,378.0,421.0,424.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.045292094,0.043017443,0.051769976,0.050102644,0.0,0.0,0.0,0.0,16.428507,33.35326,65.79458,53.01385,0.0,0.0,0.0,2.0,1.0,1.4158316,-0.0021753227,-0.005781293,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.021488441,0.022483312,-5.2781886E-4,-5.418365E-4,1090.7799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.12225,0.44096163,10.879012,7.34289E-4,-0.052594937,-0.005491106,543627.56,119984.91,0.016239135,0.016977832,7369.2812,6834.7554,5508.093,4746.7393,0.31254292,0.0,0.0,0.0
31.67775,31.67775,0.45,0.0,0.0,259.8787,10689.0,100.0,0.0,0.7434821,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-771.6737,0.37213176,-1013.4425,-0.36039492,0.48517296,-0.017213488,265.6036,265.54254,259.88016,259.59064,377.0,377.0,419.0,422.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04519512,0.04299255,0.051835965,0.050235733,0.0,0.0,0.0,0.0,165.85437,245.24773,-23.76437,-2.172589,0.0,0.0,0.0,2.0,1.0,1.4132974,-0.0021129027,-0.0057029724,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.021595277,0.022342231,-5.241334E-4,-5.420739E-4,1095.5884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.329735,0.43065375,11.093558,0.0017632494,-0.04804137,0.002784889,544236.1,119984.91,0.015978338,0.017017735,7411.6323,6899.7344,5576.486,4849.6753,0.3125038,0.0,0.0,0.0
35.316643,35.316643,0.5,0.0,0.0,260.72897,10721.0,100.0,0.0,0.3946071,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-768.10175,0.39363664,-1012.8826,-0.30698845,0.4813882,0.005811398,266.39136,266.35233,260.69177,260.48148,375.0,375.0,418.0,421.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.045553103,0.043652546,0.051831152,0.050387725,0.0,0.0,0.0,0.0,64.07798,165.7873,-47.93107,19.808105,0.0,0.0,0.0,2.0,1.0,1.4112334,-0.0018325879,-0.0059366226,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.021433048,0.021972096,-5.1136274E-4,-5.527604E-4,1100.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.538025,0.431422,11.289995,0.008335159,-0.033661976,0.006423553,544797.5,119984.9,0.015562979,0.016160332,7486.0933,7051.336,5573.664,4926.634,0.31185818,0.0,0.0,0.0
