LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
4.143851,4.143851,0.05,0.0,0.0,281.78732,11367.0,100.0,0.0,4.3381033,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-176.8563,2.2964854,-239.69934,-2.2391005,0.4043103,0.053450704,287.49503,287.70657,282.3048,280.66843,488.0,489.0,554.0,556.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.05030727,0.039770592,0.056448214,0.047488626,-6.150752,12.047364,-4.315674,4.831105,-468.80984,-560.6889,-275.7981,23.375443,0.0,0.0,0.0,2.0,1.0,1.1886123,0.0040287487,-0.004503727,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.017958116,0.023823015,-4.7735815E-4,-5.278977E-4,1177.5238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.20151,0.44494855,27.716425,0.00986938,-0.27443433,0.0062206956,550048.3,119984.91,0.014656533,0.016952397,8796.71,5429.455,7713.21,3666.6382,0.30777073,0.0,0.0,0.0
8.01629,8.01629,0.1,0.0,0.0,282.4142,11392.0,100.0,0.0,4.064381,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-173.20224,2.3189762,-238.28505,-2.1772761,0.40430057,0.0079705985,288.1328,288.36765,282.90503,281.34366,486.0,487.0,552.0,554.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.050025057,0.039781954,0.056258634,0.047586676,-5.3094325,-2.511218,-2.5007126,1.8860399,40.25994,-87.07791,96.23764,48.29317,0.0,0.0,0.0,2.0,1.0,1.1752137,0.0043923194,-0.004507661,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.018083643,0.023752848,-4.7559018E-4,-5.310464E-4,1179.5168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.973404,0.4510673,28.789383,0.0040386943,-0.26132044,0.0013115976,549770.2,119984.9,0.014540457,0.0170411,8637.498,5409.0576,7620.491,3686.0156,0.30780697,0.0,0.0,0.0
11.891072,11.891072,0.15,0.0,0.0,283.05118,11415.0,100.0,0.0,3.746929,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-169.55959,2.3414893,-236.81802,-2.099245,0.40834138,0.008272357,288.72064,288.9346,283.50528,282.0423,484.0,485.0,550.0,552.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.049977098,0.03991729,0.05619367,0.047691427,1.8858163,9.647681,-2.3462622,1.3887136,225.35918,521.1531,-145.53664,-108.26735,0.0,0.0,0.0,2.0,1.0,1.1625808,0.004690968,-0.0046311617,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.01803224,0.023307713,-4.7443065E-4,-5.39576E-4,1180.9281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.74666,0.4501963,29.82722,0.0078079454,-0.24399722,0.0077863513,549318.94,119984.9,0.014291819,0.016644107,8609.406,5512.45,7594.551,3735.8755,0.30734444,0.0,0.0,0.0
15.769101,15.769101,0.2,0.0,0.0,283.69778,11439.0,100.0,0.0,3.505154,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-165.9281,2.363946,-235.3003,-2.0030448,0.40743196,0.0020498894,289.31973,289.53848,284.1122,282.75967,482.0,483.0,548.0,550.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.04990005,0.040465828,0.055919785,0.047894374,-3.0458717,7.5218077,-5.7189164,6.9625673,-58.780613,-255.77542,33.299614,190.83916,0.0,0.0,0.0,2.0,1.0,1.150891,0.0054151407,-0.004622221,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.017965043,0.02288164,-4.7868263E-4,-5.3200894E-4,1182.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.52626,0.44761255,30.821419,0.013260376,-0.22561161,0.0025197694,548849.2,119984.9,0.014184336,0.016257234,8542.292,5582.1113,7456.9937,3844.6694,0.30719852,0.0,0.0,0.0
19.651165,19.651165,0.266,0.0,0.0,284.35193,11464.0,100.0,0.0,3.3125355,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-162.30739,2.3860881,-233.73404,-1.897484,0.40856087,-0.02337991,289.9602,290.15152,284.73907,283.4675,480.0,481.0,546.0,548.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.049685854,0.040683024,0.05571392,0.048059456,0.0,0.0,0.0,0.0,41.35966,204.19655,-108.75014,-14.322995,0.0,0.0,0.0,2.0,1.0,1.1399692,0.0060479185,-0.0044777393,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.01798599,0.02254631,-4.825882E-4,-5.2812265E-4,1183.9268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.3156,0.43630588,31.767195,0.01186296,-0.21213736,0.0013395324,548359.9,119984.89,0.014277257,0.016252883,8412.621,5648.87,7342.912,3885.775,0.30706596,0.0,0.0,0.0
23.57156,23.57156,0.316,0.0,0.0,285.0134,11489.0,100.0,0.0,3.1447875,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-158.69698,2.407421,-232.12178,-1.7968124,0.40731093,-0.028153986,290.60696,290.79822,285.37857,284.17645,478.0,479.0,544.0,546.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.049524,0.040932115,0.055533502,0.048251174,0.0,0.0,0.0,0.0,-138.6836,294.3992,37.72526,35.512444,0.0,0.0,0.0,2.0,1.0,1.129671,0.0066484557,-0.0042419434,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.017964888,0.022290984,-4.8431192E-4,-5.174137E-4,1185.4165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.11665,0.41776538,32.664425,0.0120346695,-0.20094033,0.0013631782,547855.1,119984.91,0.014207099,0.01634159,8303.296,5706.244,7291.65,3997.628,0.3071518,0.0,0.0,0.0
27.509317,27.509317,0.35,0.0,0.0,285.68298,11513.0,100.0,0.0,2.9036517,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-155.0961,2.4278026,-230.46591,-1.6950024,0.408606,-0.021709537,291.2334,291.37936,286.02347,284.89267,476.0,477.0,542.0,544.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.049554303,0.041346863,0.05533249,0.04851429,2.3985653,11.373236,-4.1466947,5.704164,120.095894,106.14841,89.626,-8.636712,0.0,0.0,0.0,2.0,1.0,1.1199334,0.007277891,-0.00415504,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.017880578,0.021840155,-4.8362516E-4,-5.2158785E-4,1186.8691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.930695,0.39950213,33.514942,0.010967915,-0.18864898,0.0039096815,547383.06,119984.91,0.014049291,0.015944092,8299.504,5811.0654,7200.658,4123.1978,0.30694866,0.0,0.0,0.0
31.46082,31.46082,0.4,0.0,0.0,286.35794,11537.0,100.0,0.0,2.6150446,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-151.50417,2.4474518,-228.76869,-1.5858881,0.40827948,-0.012689593,291.8674,291.98483,286.6692,285.62064,474.0,475.0,540.0,542.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.04952871,0.042006508,0.0551725,0.04875185,-0.6410479,14.151111,-3.574714,4.954263,100.47553,16.911333,-2.6017425,58.64649,0.0,0.0,0.0,2.0,1.0,1.1108437,0.007942811,-0.0040956736,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.017805876,0.021400394,-4.790391E-4,-5.2559044E-4,1188.291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.75872,0.3872902,34.318558,0.01461,-0.17430504,0.005252789,546898.75,119984.91,0.013867907,0.015493348,8268.334,5933.7983,7132.379,4237.497,0.30659485,0.0,0.0,0.0
35.425465,35.425465,0.466,0.0,0.0,287.03934,11562.0,100.0,0.0,2.3325846,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-147.92035,2.466551,-227.03275,-1.4642082,0.4077356,-0.013147807,292.50684,292.59756,287.30682,286.36777,472.0,473.0,538.0,540.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.04944715,0.042619526,0.0549418,0.049049336,0.0,0.0,0.0,0.0,20.746878,117.17227,-85.696556,-28.270481,0.0,0.0,0.0,2.0,1.0,1.1026065,0.008792151,-0.004027128,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.017776912,0.020913895,-4.7937717E-4,-5.2512455E-4,1189.8009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.606155,0.37667885,35.068386,0.016443428,-0.15567163,0.006643773,546409.6,119984.9,0.0137369335,0.015159364,8193.122,6049.5576,7019.7144,4374.3564,0.30630684,0.0,0.0,0.0
39.402718,39.402718,0.5,0.0,0.0,287.7266,11588.0,100.0,0.0,1.9316094,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-144.34348,2.4850805,-225.26094,-1.3121897,0.40699556,-0.013215731,293.1551,293.26657,287.9354,287.1395,470.0,471.0,536.0,538.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.04931735,0.043215528,0.054647587,0.049397115,-4.3456254,11.1676,-6.0968843,7.655918,-144.85268,-39.361435,-47.515324,44.02845,0.0,0.0,0.0,2.0,1.0,1.0954665,0.0097294105,-0.003920555,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.01780472,0.020554006,-4.7680057E-4,-5.263609E-4,1191.3539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.479996,0.3651564,35.753765,0.01759811,-0.13117279,0.0072132926,545895.25,119984.89,0.013611354,0.0149461925,8084.816,6157.6406,6897.0366,4549.746,0.30623627,0.0,0.0,0.0
