LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
1.2819462,1.2819462,0.016,0.0,0.0,280.39987,11525.0,100.0,0.0,3.5867994,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-180.02345,2.26966,-239.85043,-1.9333111,0.42605782,0.014249183,286.20325,286.5129,280.8101,279.45963,495.0,496.0,559.0,562.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.048768263,0.03811232,0.055351473,0.047054194,0.0,0.0,0.0,0.0,109.54141,-192.62282,90.94027,-62.669815,0.0,0.0,0.0,2.0,1.0,1.1979433,0.0050479434,-0.004200697,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.018821878,0.0241062,-4.8101373E-4,-5.621672E-4,1187.5941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.03375,0.44234163,27.065628,0.008611192,-0.22417158,0.0034189606,547147.1,119984.9,0.017015005,0.01989363,8042.9844,5266.663,7156.392,3393.044,0.3143425,0.0,0.0,0.0
5.153221,5.153221,0.05,0.0,0.0,281.08896,11553.0,100.0,0.0,3.327406,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-176.37566,2.2916791,-238.47246,-1.8331409,0.4263366,-0.02473802,286.90005,287.21158,281.4665,280.2079,493.0,494.0,557.0,560.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.04845236,0.03792841,0.055150956,0.047155906,-8.824244,-5.374029,-4.9971786,1.3455747,-304.85983,-166.56517,-142.93489,-81.08317,0.0,0.0,0.0,2.0,1.0,1.1871492,0.005389534,-0.004249215,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.01894764,0.023955116,-4.848195E-4,-5.571177E-4,1189.2731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.887985,0.43558872,27.994286,0.0057282955,-0.20891947,0.0052660014,546592.7,119984.9,0.01682385,0.019942751,7856.259,5249.2456,7060.0933,3433.2869,0.31424618,0.0,0.0,0.0
9.025942,9.025942,0.1,0.0,0.0,281.79242,11575.0,100.0,0.0,3.2158327,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-172.73491,2.3134558,-237.04909,-1.7595575,0.4305421,0.04672654,287.49313,287.7271,282.14682,280.95697,491.0,492.0,555.0,558.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.04881315,0.03866972,0.055120822,0.047435798,11.711864,22.424831,0.36790964,6.5743175,211.08981,425.51904,42.41913,13.384236,0.0,0.0,0.0,2.0,1.0,1.177007,0.0057696905,-0.004500985,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.018589804,0.023102649,-4.924131E-4,-5.421937E-4,1190.5741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.750244,0.4413723,28.88404,0.007135319,-0.19829872,0.009590155,546150.6,119984.91,0.016076107,0.018921211,8014.7295,5504.7437,7138.758,3646.8428,0.31341743,0.0,0.0,0.0
12.900857,12.900857,0.166,0.0,0.0,282.49466,11602.0,100.0,0.0,3.175397,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-169.10095,2.3359795,-235.58224,-1.682438,0.42539293,0.03012914,288.17615,288.36255,282.84192,281.6842,489.0,490.0,553.0,556.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.048737243,0.039440315,0.05492373,0.047649086,0.0,0.0,0.0,0.0,-19.513062,-349.66614,-31.66348,-85.468575,0.0,0.0,0.0,2.0,1.0,1.1672337,0.0064419284,-0.0046778917,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.018482983,0.022725184,-4.959629E-4,-5.306299E-4,1192.2054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6166,0.45650163,29.736818,0.011231765,-0.19349144,0.0045350506,545626.25,119984.89,0.015837181,0.018262094,7965.758,5566.838,6990.202,3695.8389,0.31286716,0.0,0.0,0.0
16.778658,16.778658,0.2,0.0,0.0,283.1945,11631.0,100.0,0.0,3.0410686,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-165.47356,2.3588443,-234.07368,-1.6130896,0.42189592,-0.0053546177,288.9161,289.08328,283.54016,282.40198,486.0,488.0,551.0,554.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.048498668,0.039399646,0.05475764,0.04776121,-5.728304,-4.0597467,-1.6663222,0.95240766,-64.72169,-112.11633,87.922806,-102.7286,0.0,0.0,0.0,2.0,1.0,1.157637,0.0068495567,-0.00453496,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.018588563,0.02270666,-4.923829E-4,-5.266246E-4,1193.9146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.487144,0.45531777,30.555038,0.008164903,-0.19027485,2.2409623E-4,545046.06,119984.9,0.01575064,0.018428953,7817.5674,5529.8545,6928.6147,3741.4688,0.31290913,0.0,0.0,0.0
20.66379,20.66379,0.25,0.0,0.0,283.89398,11659.0,100.0,0.0,2.9576373,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-161.85255,2.3814135,-232.52489,-1.5649874,0.41905755,-0.023097875,289.6101,289.75674,284.2324,283.11884,484.0,486.0,549.0,552.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.048411943,0.03943741,0.054620896,0.047798973,-1.4273821,-0.81874424,-3.9522345,-0.0462681,-17.152725,-179.52022,-10.82272,-3.7416809,0.0,0.0,0.0,2.0,1.0,1.148224,0.0071677724,-0.004398346,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.01855341,0.022506682,-4.905929E-4,-5.258594E-4,1195.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.3598,0.4451335,31.347597,0.0077011944,-0.18608029,-0.002087849,544502.4,119984.9,0.016071482,0.018567614,7774.3203,5566.1396,6832.3525,3732.226,0.31312466,0.0,0.0,0.0
24.568674,24.568674,0.316,0.0,0.0,283.09723,11200.0,100.0,0.0,2.9567902,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-158.24672,2.4038486,-230.9407,-1.5443203,-0.5768778,0.048287794,283.3995,282.76862,283.54138,282.5441,482.0,484.0,547.0,550.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.04586153,0.03675252,0.05523238,0.048381247,0.0,0.0,0.0,0.0,-587.3098,-459.7975,151.55821,124.4276,0.0,0.0,0.0,2.0,1.0,1.1392838,0.0072046746,-0.002705574,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,-5.8868167E-4,7.324794E-4,-3.8669386E-5,1.2307409E-4,1159.8497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.8503,0.4562423,31.957455,0.018855067,-0.17521268,-0.036155276,549870.9,0.0,0.01516445,0.021645864,7450.631,5302.5073,7479.166,4349.021,0.3139696,0.0,0.0,0.0
28.469093,28.469093,0.366,0.0,0.0,283.08728,10799.0,100.0,0.0,3.017032,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-154.66447,2.42624,-229.32613,-1.4709941,0.41298574,-0.11911758,289.46027,289.69012,283.41367,282.3081,480.0,482.0,545.0,548.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.044726178,0.0357319,0.054960996,0.048353873,0.0,0.0,0.0,0.0,2317.6294,2621.8723,-882.79535,-795.50287,0.0,0.0,0.0,2.0,1.0,1.1302974,0.0075442754,-0.0025197268,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.020841619,0.024957426,-5.3243624E-4,-5.140672E-4,1110.779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.546684,0.42528626,32.625294,-0.0036692722,-0.18678641,0.03238616,546161.56,119984.89,0.016486488,0.023113469,7286.4053,5256.077,6891.995,3908.604,0.3153267,0.0,0.0,0.0
32.38224,32.38224,0.4,0.0,0.0,283.92438,10476.0,100.0,0.0,3.196844,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-151.08958,2.445593,-227.67485,-1.5075717,0.49461073,-0.077177025,290.111,290.2423,284.2709,283.1151,478.0,480.0,543.0,546.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.047057062,0.038338147,0.054203752,0.04767951,54.78613,49.953457,-2.1486728,-5.3644176,375.76422,-326.854,932.87213,591.1588,0.0,0.0,0.0,2.0,1.0,1.1207678,0.007662819,-0.003742814,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.020139962,0.024214545,-5.404746E-4,-5.6648965E-4,1064.9127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.45121,0.36118492,33.38768,-0.011934444,-0.1941387,0.006368245,539753.56,119984.89,0.017050846,0.020005817,7657.9585,5597.3154,6579.39,3583.375,0.31438446,0.0,0.0,0.0
36.31083,36.31083,0.466,0.0,0.0,284.72836,10263.0,100.0,0.0,3.3218398,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-147.5201,2.4633994,-225.98483,-1.5681932,0.4526596,0.053937692,290.2931,290.33826,285.11444,283.8995,476.0,478.0,541.0,544.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.049041536,0.04004371,0.054666333,0.047809683,0.0,0.0,0.0,0.0,-1551.242,-151.26318,-129.68478,233.49968,0.0,0.0,0.0,2.0,1.0,1.1107695,0.007311837,-0.0039674044,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.018036429,0.022063298,-5.086601E-4,-5.26379E-4,1022.9856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.32706,0.36112565,34.172207,1.3982109E-4,-0.20454459,-2.2628787E-4,529263.8,119984.92,0.015603859,0.017511956,7972.9795,5758.17,6973.205,3843.7812,0.31241798,0.0,0.0,0.0
