LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
2.1577616,2.1577616,0.033,0.0,0.0,266.91364,10789.0,100.0,0.0,1.3643829,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-350.68954,-13.787588,209.0606,-0.6852314,0.472728,-0.081088796,272.98596,273.0198,267.01773,266.49365,267.0,266.0,348.0,349.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.0377944,0.034277294,0.053466998,0.050690714,0.0,0.0,0.0,0.0,-59.49142,-25.655363,190.7855,117.78919,0.0,0.0,0.0,2.0,1.0,-3.058989,0.012846978,0.0040382147,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.021932673,0.023821672,-5.384456E-4,-5.4545153E-4,1109.4152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5443482,0.0026653886,-73.85329,-0.016978081,-0.08882326,6.793062E-4,545996.56,119984.89,0.015199414,0.024679713,7185.1943,6204.9893,6403.4307,5144.536,0.311306,0.0,0.0,0.0
5.871859,5.871859,0.083,0.0,0.0,267.7347,10822.0,100.0,0.0,1.3563694,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-351.0085,-13.7887125,205.36116,-0.6741621,0.4689134,-0.11962629,273.79752,273.84225,267.83163,267.319,266.0,265.0,347.0,348.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.037371144,0.033823416,0.05336856,0.050715882,0.0,0.0,0.0,0.0,140.92322,141.41943,-431.58078,-298.18115,0.0,0.0,0.0,2.0,1.0,-3.0633812,0.012730717,0.0044858456,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.02187414,0.023751227,-5.4045906E-4,-5.464861E-4,1113.9567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.232111,-0.048942477,-74.10915,-0.007560111,-0.08698438,0.008081821,546559.94,119984.89,0.015623787,0.025404857,7189.4863,6214.9023,6240.099,5053.2437,0.31174278,0.0,0.0,0.0
9.597493,9.597493,0.133,0.0,0.0,268.55063,10851.0,100.0,0.0,1.3700546,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-351.3119,-13.792177,201.64902,-0.6740352,0.4647651,-0.024002533,274.5257,274.56747,268.6468,268.13623,265.0,264.0,346.0,347.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.03791647,0.03417789,0.05362621,0.050920486,0.0,0.0,0.0,0.0,461.6751,517.1298,-24.756802,-3.8221548,0.0,0.0,0.0,2.0,1.0,-3.0677223,0.012316487,0.004768014,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.021470511,0.023352213,-5.392386E-4,-5.391142E-4,1117.9675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.9199853,-0.08039163,-74.36208,-1.6362284E-4,-0.087014206,0.0066895923,547061.9,119984.9,0.014803509,0.024754155,7386.222,6381.8496,6550.409,5317.775,0.31115913,0.0,0.0,0.0
13.334492,13.334492,0.183,0.0,0.0,269.3562,10879.0,100.0,0.0,1.4456904,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-351.59952,-13.79625,197.92433,-0.6823912,0.45906878,0.020222146,275.25864,275.28152,269.46033,268.93082,264.0,263.0,345.0,346.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.038903505,0.03510534,0.053829134,0.051102966,0.0,0.0,0.0,0.0,102.031166,-36.665836,-71.30652,-221.88573,0.0,0.0,0.0,2.0,1.0,-3.0721726,0.011930771,0.0045107603,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.021104159,0.022973899,-5.39545E-4,-5.353983E-4,1121.8762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.6030197,-0.079916626,-74.61104,0.0075912867,-0.09051778,0.0074689733,547561.56,119984.89,0.013985752,0.023358598,7545.5947,6530.6943,6634.437,5388.851,0.31008816,0.0,0.0,0.0
17.08272,17.08272,0.233,0.0,0.0,270.15128,10910.0,100.0,0.0,1.5963488,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-351.8711,-13.799986,194.18729,-0.7082879,0.45214418,0.027143782,276.04645,276.04474,270.27444,269.7058,263.0,262.0,344.0,345.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.03962722,0.03578587,0.053935096,0.05109147,0.0,0.0,0.0,0.0,-284.05933,-519.4231,7.6577063,-80.385796,0.0,0.0,0.0,2.0,1.0,-3.0768733,0.011529172,0.0043319464,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.02092741,0.022828836,-5.4147304E-4,-5.301599E-4,1126.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.2753243,-0.070224814,-74.85634,0.0011450895,-0.09741126,0.009059715,548096.44,119984.9,0.013509159,0.022352839,7604.755,6572.582,6681.8594,5381.4785,0.3094015,0.0,0.0,0.0
20.841948,20.841948,0.283,0.0,0.0,270.93405,10941.0,100.0,0.0,1.6772574,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-352.1259,-13.803251,190.43808,-0.7401056,0.44492546,0.020659974,276.8451,276.82648,271.0764,270.4676,262.0,261.0,342.0,343.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.03989636,0.035907008,0.054055363,0.051080078,0.0,0.0,0.0,0.0,-360.71683,-394.88815,-269.7095,-249.96841,0.0,0.0,0.0,2.0,1.0,-3.0819259,0.0111704515,0.0043495893,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.020854114,0.022819102,-5.369002E-4,-5.27709E-4,1130.4944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.9321284,-0.061286207,-75.09765,-6.5111596E-4,-0.104201965,0.007768418,548641.2,119984.89,0.013504543,0.022226326,7623.71,6554.4395,6729.566,5372.703,0.30932617,0.0,0.0,0.0
24.611805,24.611805,0.333,0.0,0.0,271.7043,10973.0,100.0,0.0,1.7031046,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-352.36307,-13.806519,186.67691,-0.77210885,0.44034165,-0.02082649,277.6503,277.6385,271.85916,271.2234,260.0,260.0,341.0,342.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.03973282,0.03561401,0.05404771,0.050962944,0.0,0.0,0.0,0.0,127.445145,15.85184,-29.034906,-42.72758,0.0,0.0,0.0,2.0,1.0,-3.0872653,0.010792306,0.0044822693,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.02089324,0.022960575,-5.324187E-4,-5.2925694E-4,1134.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.571663,-0.07149827,-75.3348,-0.002936352,-0.10851405,0.009630523,549198.25,119984.89,0.013861889,0.022556247,7593.17,6469.828,6707.8594,5299.448,0.30963993,0.0,0.0,0.0
28.389256,28.389256,0.383,0.0,0.0,272.4637,11003.0,100.0,0.0,1.8137112,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-352.5816,-13.810487,182.90399,-0.8144249,0.43350822,-0.026852088,278.41724,278.4053,272.63168,271.9665,259.0,258.0,340.0,341.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.039720584,0.035409644,0.054136492,0.050868504,0.0,0.0,0.0,0.0,-34.64072,-17.555063,-68.34268,21.202862,0.0,0.0,0.0,2.0,1.0,-3.0928245,0.010352557,0.0046977997,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.020815497,0.022976255,-5.3231634E-4,-5.233142E-4,1139.0144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1904645,-0.087350026,-75.568214,-0.0046276352,-0.11375289,0.010635558,549661.25,119984.89,0.014225442,0.022901865,7618.8125,6444.97,6758.3447,5268.4077,0.3099079,0.0,0.0,0.0
32.177322,32.177322,0.433,0.0,0.0,273.207,11034.0,100.0,0.0,2.1544435,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-352.78036,-13.815292,179.11955,-0.8831992,0.4236346,-0.07437807,279.1934,279.19406,273.40198,272.67294,258.0,257.0,339.0,340.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.039748605,0.03510218,0.054163676,0.05079809,0.0,0.0,0.0,0.0,-715.1841,-506.32053,-583.0317,-362.88943,0.0,0.0,0.0,2.0,1.0,-3.098773,0.009661558,0.004896164,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.020779973,0.023184685,-5.451401E-4,-5.060975E-4,1142.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7805846,-0.10967483,-75.79653,-0.003515339,-0.12589297,0.024383597,549694.2,119984.89,0.014278983,0.023159267,7582.138,6315.1523,6691.3936,5174.4272,0.31006622,0.0,0.0,0.0
35.976067,35.976067,0.483,0.0,0.0,273.93805,11059.0,100.0,0.0,2.6950955,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-352.95737,-13.821208,175.32375,-1.0165647,0.41868368,0.067406446,279.85474,279.777,274.20386,273.31573,257.0,256.0,338.0,339.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.040720537,0.035252005,0.054810066,0.05073942,0.0,0.0,0.0,0.0,895.87103,1213.7129,197.57147,533.53156,0.0,0.0,0.0,2.0,1.0,-3.105797,0.00835612,0.0049905777,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.020187357,0.022895306,-5.515814E-4,-4.867293E-4,1144.9348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.313234,-0.11343659,-76.02165,0.0053657275,-0.15448758,0.025750112,549720.5,119984.9,0.013704835,0.022612609,7977.295,6513.174,7262.5293,5392.994,0.30958366,0.0,0.0,0.0
