LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
1.6791202,1.6791202,0.033,0.0,0.0,265.84146,10955.0,100.0,0.0,1.9583719,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-351.14502,-13.773104,209.57152,-0.8674885,0.46719155,-0.10216294,272.14917,272.23047,266.03647,265.3082,263.0,262.0,344.0,344.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.036770526,0.032159448,0.053298447,0.049672924,0.0,0.0,0.0,0.0,-1072.1326,-616.0765,-237.14749,6.209335,0.0,0.0,0.0,2.0,1.0,-3.0506783,0.011398512,0.0042026043,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.022510193,0.02526716,-5.3806335E-4,-5.502974E-4,1132.4271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.257322,0.04358229,-73.48736,-0.022881802,-0.123543955,-3.6684587E-4,548876.8,119984.89,0.016797239,0.02725802,7012.519,5740.6055,6202.131,4574.004,0.3172884,0.0,0.0,0.0
5.377089,5.377089,0.083,0.0,0.0,266.65814,10990.0,100.0,0.0,1.8498453,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-351.49716,-13.772881,205.89012,-0.87840325,0.4734161,-0.13054599,272.9842,273.13055,266.8407,266.13184,262.0,261.0,343.0,343.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.035520803,0.03083555,0.05318603,0.049574833,0.0,0.0,0.0,0.0,872.32135,786.9734,158.15643,88.80793,0.0,0.0,0.0,2.0,1.0,-3.0567794,0.011221082,0.0049153566,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.02264629,0.025594354,-5.377777E-4,-5.600875E-4,1137.3057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.851195,-0.029873194,-73.75417,-0.007973339,-0.119899824,0.008418955,549485.9,119984.9,0.017658666,0.028852442,7004.702,5673.0776,6221.6064,4571.253,0.31839275,0.0,0.0,0.0
9.086783,9.086783,0.133,0.0,0.0,267.47247,11017.0,100.0,0.0,1.8202255,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-351.8288,-13.775606,202.19542,-0.8878439,0.46660793,-0.040492438,273.66943,273.80865,267.64368,266.95837,261.0,260.0,342.0,342.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.03598961,0.031072093,0.053430565,0.04973849,0.0,0.0,0.0,0.0,328.04752,464.0489,43.02263,81.525734,0.0,0.0,0.0,2.0,1.0,-3.0626702,0.010815958,0.005166054,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.022124998,0.024964135,-5.3631363E-4,-5.515342E-4,1140.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.4369855,-0.069850184,-74.01851,4.4960593E-4,-0.11625343,0.007116001,549675.9,119984.89,0.017184412,0.028342692,7214.681,5852.6797,6444.8823,4759.5654,0.3182068,0.0,0.0,0.0
12.8080015,12.8080015,0.183,0.0,0.0,268.2747,11045.0,100.0,0.0,1.900975,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-352.1396,-13.7794895,198.48764,-0.8961042,0.46121228,0.002400943,274.38843,274.49838,268.447,267.7583,260.0,259.0,341.0,341.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.036871284,0.03190713,0.053618446,0.049883746,0.0,0.0,0.0,0.0,276.79056,216.91016,259.4769,157.92844,0.0,0.0,0.0,2.0,1.0,-3.0685008,0.010436894,0.005022168,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.021734148,0.024472775,-5.393215E-4,-5.431711E-4,1143.4556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.016893,-0.082207486,-74.2774,0.004596207,-0.1173707,0.0075874915,549706.1,119984.9,0.016297549,0.026965426,7365.4795,6002.6562,6545.1406,4838.35,0.31710243,0.0,0.0,0.0
16.540487,16.540487,0.233,0.0,0.0,269.06635,11075.0,100.0,0.0,1.9701861,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-352.42923,-13.783356,194.76706,-0.9039241,0.45327118,0.027796041,275.13055,275.20605,269.2463,268.54224,258.0,257.0,340.0,339.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.037808117,0.032790013,0.053769022,0.049982432,0.0,0.0,0.0,0.0,-393.25204,-284.67624,-311.18988,-179.42636,0.0,0.0,0.0,2.0,1.0,-3.0744312,0.010132333,0.0048029423,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.021436814,0.02408197,-5.390612E-4,-5.377221E-4,1146.6262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5916023,-0.072452195,-74.53116,0.002220848,-0.12019256,0.005700103,549737.25,119984.89,0.015627582,0.025673576,7465.299,6111.073,6577.5073,4859.0547,0.31611633,0.0,0.0,0.0
20.284079,20.284079,0.283,0.0,0.0,269.84494,11106.0,100.0,0.0,1.9640839,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-352.69748,-13.786783,191.0339,-0.9104779,0.44668266,0.01882895,275.92087,275.9887,270.0324,269.31445,257.0,256.0,338.0,338.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.038064666,0.03299443,0.05383526,0.050001726,0.0,0.0,0.0,0.0,-209.97673,-147.22643,-50.237766,-9.267031,0.0,0.0,0.0,2.0,1.0,-3.0805027,0.00986027,0.004846096,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.021390054,0.024043426,-5.3341634E-4,-5.353837E-4,1149.9064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.161201,-0.06613098,-74.779,-0.0021653352,-0.12239256,0.0049871425,549771.0,119984.91,0.015331943,0.025321651,7459.685,6096.5796,6633.198,4887.732,0.31572914,0.0,0.0,0.0
24.038437,24.038437,0.333,0.0,0.0,270.61142,11138.0,100.0,0.0,2.0290756,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-352.94403,-13.790188,187.28854,-0.9268785,0.44040355,-0.014266591,276.712,276.78928,270.80563,270.07242,256.0,255.0,337.0,337.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.037960324,0.032837193,0.053826176,0.04995819,0.0,0.0,0.0,0.0,-52.67858,-50.5328,-65.875046,-26.500223,0.0,0.0,0.0,2.0,1.0,-3.0866864,0.009582193,0.005018711,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.021395884,0.024125895,-5.33397E-4,-5.3052505E-4,1153.2913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.722965,-0.072586104,-75.021286,-0.004293136,-0.1251523,0.0070655434,549805.1,119984.9,0.015426893,0.02548411,7426.324,6038.1455,6602.7637,4842.5747,0.31575203,0.0,0.0,0.0
27.798489,27.798489,0.383,0.0,0.0,271.3645,11169.0,100.0,0.0,2.2457602,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-353.1682,-13.794067,183.53119,-0.9686782,0.4322412,-0.032454155,277.48495,277.56644,271.58035,270.7982,255.0,254.0,336.0,336.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.037955858,0.032602385,0.0538793,0.049886018,0.0,0.0,0.0,0.0,-181.38437,-125.31276,-120.592094,-53.255257,0.0,0.0,0.0,2.0,1.0,-3.093164,0.009129359,0.0052655935,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.021322086,0.024233554,-5.3724216E-4,-5.187957E-4,1156.5709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.26629,-0.08561497,-75.25815,-0.0052774516,-0.13417637,0.011776941,549838.3,119984.914,0.015743397,0.025886927,7433.2866,5976.217,6620.8623,4800.9272,0.3160429,0.0,0.0,0.0
31.568583,31.568583,0.416,0.0,0.0,272.1023,11199.0,100.0,0.0,2.4583197,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-353.3689,-13.798544,179.76215,-1.0291443,0.4238007,-0.017569538,278.21613,278.2839,272.3488,271.4966,254.0,253.0,335.0,335.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.038196504,0.03245595,0.054061458,0.049819604,3.7702916,-3.3554432,1.0818242,-3.575161,-188.53246,-67.17591,-129.55069,-87.48025,0.0,0.0,0.0,2.0,1.0,-3.100187,0.008457858,0.005363226,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.021129051,0.024227217,-5.357079E-4,-5.113135E-4,1159.7432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7819805,-0.094913736,-75.489235,-6.384729E-4,-0.14651008,0.0151371965,549869.44,119984.91,0.016429009,0.02629099,7519.4917,5967.1772,6723.341,4782.8857,0.31667995,0.0,0.0,0.0
35.349102,35.349102,0.483,0.0,0.0,272.822,11228.0,100.0,0.0,2.5480053,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-353.5445,-13.803679,175.98174,-1.0919472,0.41556507,-0.0069782976,278.93976,279.00198,273.09732,272.18088,253.0,252.0,334.0,333.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.038449936,0.032302856,0.05424821,0.049685124,0.0,0.0,0.0,0.0,-32.588852,33.299614,169.09985,84.57004,0.0,0.0,0.0,2.0,1.0,-3.1078098,0.0076528727,0.0054602623,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.02099109,0.024283135,-5.2675314E-4,-5.1222113E-4,1162.8118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2648504,-0.1078289,-75.71345,-1.3697523E-4,-0.15714894,0.014724011,549900.4,119984.91,0.016914025,0.026752668,7591.1553,5931.4287,6859.564,4761.8027,0.31732368,0.0,0.0,0.0
