LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
2.8011408,2.8011408,0.016,0.0,0.0,305.12552,10984.0,100.0,0.0,3.1990223,0.0,8.0,1.0,0.0,2994385.5,110.0,17.0,0.0,0.0,4.869769,0.0,0.0,375.22348,87.64829,1134.3683,-1.2725805,0.31191966,0.2188547,310.66113,310.74796,305.32413,304.47507,37.0,37.0,36.0,37.0,79.0,79.0,79.0,79.0,0.14260809,0.12766887,0.008939786,0.005239415,0.049943566,0.045684792,0.058270887,0.0541247,10.0969515,8.203089,-154.1224,-182.39758,645.3394,288.01556,-9175.018,-11041.231,0.0,1002.3574,1049.8854,2.0,1.0,0.13138278,-0.0062418845,0.001506567,80.0,80.0,80.0,80.0,21.500462,21.50036,24.300482,24.300358,0.017294446,0.020053199,-5.906415E-4,-4.0947692E-4,1136.493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.027367,0.03583321,83.899376,-0.04170069,-0.14902797,-0.032034505,549393.2,119984.91,0.007898586,0.011845179,8456.15,6616.1064,7579.285,5670.384,0.303298,0.0,0.0,0.0
7.0349607,7.0349607,0.066,0.0,0.0,305.56628,10999.0,100.0,0.0,2.614576,0.0,8.0,1.0,0.0,2991235.2,110.0,17.0,0.0,0.0,4.8684144,0.0,0.0,375.80884,87.65107,1138.5688,-1.2757922,0.26176262,-0.041472364,311.12177,311.11835,305.87592,304.8506,37.0,37.0,36.0,37.0,79.0,79.0,79.0,79.0,0.14603084,0.12915972,0.009722794,0.0060165827,0.050106715,0.044944707,0.055273574,0.050123118,-22.396667,-20.973532,-42.989326,-41.355637,-1464.6334,-341.79385,755.68536,2276.8464,0.0,4008.8975,4200.102,2.0,1.0,0.12298886,-0.007338554,1.4281273E-4,80.0,80.0,80.0,80.0,21.501863,21.501402,24.301836,24.301268,0.016775394,0.019712519,-4.6809422E-4,-4.5282638E-4,1138.5732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.421702,0.05645582,84.10752,-0.002274454,-0.17310032,0.0072271097,549648.2,119984.91,0.012149611,0.01260445,8488.769,6317.6475,6865.31,4587.457,0.3060732,0.0,0.0,0.0
11.273816,11.273816,0.116,0.0,0.0,305.98724,11020.0,100.0,0.0,2.546202,0.0,8.0,1.0,0.0,2988091.0,110.0,17.0,0.0,0.0,4.8670597,0.0,0.0,376.36356,87.65267,1142.7793,-1.3381773,0.25613928,-0.1124243,311.69812,311.72586,306.28873,305.2738,37.0,37.0,36.0,37.0,79.0,79.0,78.0,78.0,0.14603084,0.12915972,0.009722794,0.0060165827,0.049065467,0.04328174,0.05465764,0.049494743,-9.112581,-34.47689,2.1439788,-6.75179,836.51385,78.65569,792.539,226.57962,0.0,7020.9863,7344.4775,2.0,1.0,0.11438468,-0.007541773,6.2584877E-4,80.0,80.0,80.0,80.0,21.503191,21.502375,24.303125,24.302105,0.01733258,0.02031732,-4.6658024E-4,-4.4656932E-4,1140.8103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7952385,0.008735168,84.30813,0.00763834,-0.17158748,-0.018994184,549678.6,119984.91,0.013237819,0.014929299,8051.47,6014.107,6994.1265,4609.9214,0.3076725,0.0,0.0,0.0
15.51759,15.51759,0.166,0.0,0.0,306.40454,11031.0,100.0,0.0,2.545269,0.0,8.0,1.0,0.0,2984951.2,110.0,17.0,0.0,0.0,4.865705,0.0,0.0,376.8861,87.65224,1146.9998,-1.3926665,0.25629476,-0.034116205,312.02826,312.05463,306.69498,305.68863,37.0,37.0,36.0,37.0,79.0,78.0,78.0,78.0,0.14973333,0.1307258,0.010584853,0.006840108,0.049555127,0.042690493,0.055084642,0.049331285,13.346448,1.8844752,7.4838095,-1.0496377,75.759026,832.87946,-124.561775,141.4597,0.0,10037.51,10484.187,2.0,1.0,0.10584489,-0.0083378,6.930828E-4,80.0,80.0,80.0,80.0,21.504519,21.503342,24.30446,24.302935,0.017083526,0.020033414,-4.6893916E-4,-4.5056568E-4,1141.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.137596,-0.017373122,84.50648,-0.0047938875,-0.16980788,-0.0070408685,549691.1,119984.9,0.012723938,0.014596388,8283.447,6172.957,7272.9062,4636.9126,0.30723095,0.0,0.0,0.0
19.766119,19.766119,0.216,0.0,0.0,306.8151,11043.0,100.0,0.0,2.4011202,0.0,8.0,1.0,0.0,2981815.0,110.0,17.0,0.0,0.0,4.8643503,0.0,0.0,377.37527,87.65151,1151.23,-1.4013336,0.25222617,0.017015943,312.35657,312.40567,307.08618,306.1207,37.0,37.0,36.0,37.0,79.0,78.0,78.0,78.0,0.14973333,0.1307258,0.010584853,0.006840108,0.049847025,0.04351073,0.05514789,0.04951416,2.7691572,17.48599,-0.80846244,4.8661976,-144.46376,-64.238884,-88.35195,30.402859,0.0,13057.097,13620.669,2.0,1.0,0.09753734,-0.008134733,5.0127506E-4,80.0,80.0,80.0,80.0,21.505884,21.504322,24.3058,24.303764,0.016848506,0.019722473,-4.6334707E-4,-4.5615467E-4,1143.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.466602,-0.009334305,84.69903,-0.0018087816,-0.16220117,0.007930599,549704.0,119984.91,0.012220558,0.013579555,8475.5,6295.794,7292.414,4749.2715,0.30650997,0.0,0.0,0.0
24.017456,24.017456,0.266,0.0,0.0,307.21942,11058.0,100.0,0.0,2.3141975,0.0,8.0,1.0,0.0,2978682.2,110.0,17.0,0.0,0.0,4.8629956,0.0,0.0,377.83093,87.6514,1155.4698,-1.3851484,0.24910715,0.006193844,312.7493,312.8291,307.47098,306.54974,37.0,37.0,36.0,36.0,79.0,77.0,77.0,77.0,0.15339908,0.1322326,0.011399692,0.0076356204,0.04984244,0.043821402,0.055102743,0.049622055,-1.2955068,0.4611164,-1.0520964,0.92670316,-95.23182,-193.22632,-26.527042,-57.1981,0.0,16080.33,16753.312,2.0,1.0,0.08962921,-0.007927513,4.61936E-4,80.0,80.0,80.0,80.0,21.507254,21.505297,24.307121,24.304594,0.016845962,0.019678254,-4.636856E-4,-4.5378992E-4,1144.829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.79783,0.002586476,84.88402,4.8839714E-4,-0.15473232,0.0023837727,549719.4,119984.91,0.012141039,0.013414316,8456.332,6287.377,7259.1387,4775.913,0.30640125,0.0,0.0,0.0
28.274624,28.274624,0.316,0.0,0.0,307.62216,11073.0,100.0,0.0,2.1367154,0.0,8.0,1.0,0.0,2975554.0,110.0,17.0,0.0,0.0,4.861641,0.0,0.0,378.25345,87.65155,1159.7188,-1.3424175,0.24807368,-0.015506834,313.15552,313.25293,307.8534,306.98306,37.0,37.0,36.0,36.0,78.0,77.0,77.0,77.0,0.15339908,0.1322326,0.011399692,0.0076356204,0.04970553,0.043743797,0.055025846,0.04964963,-3.173947,-1.3578682,-1.8945335,0.90859824,-28.860567,34.479794,-28.538702,27.331707,0.0,19107.58,19881.729,2.0,1.0,0.08211074,-0.0077627604,4.9972534E-4,80.0,80.0,80.0,80.0,21.508608,21.506258,24.308418,24.305408,0.016910555,0.019643964,-4.5925868E-4,-4.5868452E-4,1146.4146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.143757,0.0032477782,85.06165,0.0012352362,-0.1456321,0.0050755716,549735.0,119984.91,0.012253494,0.013617682,8379.308,6281.6865,7212.172,4779.684,0.30655098,0.0,0.0,0.0
32.540802,32.540802,0.366,0.0,0.0,308.02847,11087.0,100.0,0.0,1.8457422,0.0,8.0,1.0,0.0,2972429.8,110.0,17.0,0.0,0.0,4.860286,0.0,0.0,378.6441,87.65157,1163.9764,-1.2670463,0.24873549,-0.020808328,313.54123,313.6615,308.21982,307.44476,37.0,37.0,36.0,36.0,78.0,77.0,76.0,76.0,0.1567903,0.13364838,0.012020013,0.008273555,0.049572956,0.043871842,0.05488877,0.049778607,-2.0945816,5.2231545,-3.1515954,3.4026055,37.577747,166.17622,-23.134045,43.465202,0.0,22138.766,23006.002,2.0,1.0,0.07525758,-0.007357936,5.072355E-4,80.0,80.0,80.0,80.0,21.509947,21.507217,24.309687,24.306213,0.016965082,0.019476881,-4.5514302E-4,-4.660578E-4,1147.8951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5210657,-0.002079889,85.23227,1.8246175E-4,-0.128843,0.009875343,549749.94,119984.91,0.012265096,0.013645731,8307.125,6343.755,7150.531,4848.827,0.30656624,0.0,0.0,0.0
36.816704,36.816704,0.416,0.0,0.0,308.4401,11100.0,100.0,0.0,1.6777074,0.0,8.0,1.0,0.0,2969309.5,110.0,17.0,0.0,0.0,4.8589315,0.0,0.0,379.0046,87.65136,1168.2424,-1.1794165,0.24934421,-0.010501328,313.91486,314.05734,308.59097,307.91135,37.0,37.0,36.0,36.0,78.0,76.0,76.0,76.0,0.1567903,0.13364838,0.012020013,0.008273555,0.04955863,0.04431407,0.05472683,0.049994703,0.2595037,10.20044,-3.2901762,4.7548857,35.981827,73.38523,-0.08046626,28.64599,0.0,25173.72,26126.307,2.0,1.0,0.0692637,-0.0068197697,4.4846535E-4,80.0,80.0,80.0,80.0,21.511276,21.508179,24.310932,24.30703,0.016944228,0.019253105,-4.599195E-4,-4.6333997E-4,1149.2715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9387608,-0.005095021,85.39637,-7.6100015E-4,-0.1130102,0.010941237,549764.44,119984.9,0.01210713,0.013332623,8280.927,6444.869,7085.7744,4960.7,0.3063612,0.0,0.0,0.0
41.1034,41.1034,0.466,0.0,0.0,308.85602,11114.0,100.0,0.0,1.5673656,0.0,8.0,1.0,0.0,2966193.2,110.0,17.0,0.0,0.0,4.857577,0.0,0.0,379.33713,87.65112,1172.5164,-1.0877359,0.24911788,-0.0018133963,314.30826,314.44843,308.98404,308.3637,37.0,37.0,36.0,36.0,78.0,76.0,75.0,75.0,0.15975383,0.13494606,0.012468099,0.008762118,0.049556743,0.04484795,0.054567676,0.05022055,-0.51073724,10.63764,-3.4265218,4.433468,-24.850662,-5.3376384,-17.903736,-7.7649875,0.0,28212.422,29242.67,2.0,1.0,0.063886024,-0.0062512127,3.7193298E-4,80.0,80.0,80.0,80.0,21.512596,21.509148,24.312145,24.307848,0.016912365,0.019052649,-4.6277148E-4,-4.6032516E-4,1150.752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3993998,-0.003483444,85.55434,-5.4744654E-4,-0.10335089,0.011957968,549779.25,119984.91,0.011958495,0.012980774,8253.605,6542.878,7016.793,5067.36,0.30612564,0.0,0.0,0.0
