LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
4.3476562,56833.125,0.066,0.0,0.0,288.53357,10368.0,100.0,0.0,2.5251734,0.0,8.0,0.0,0.0,500287.56,114.0,2.0,0.0,0.0,9.230949,0.0,0.0,376.54135,87.6494,1135.6781,-1.1016563,0.20925213,-0.0062701143,293.30472,293.27777,288.7855,287.98083,442.0,441.0,513.0,511.0,64.0,61.0,49.0,48.0,5.1592093,4.596356,4.3636093,3.0469804,0.050577328,0.04721223,0.05391821,0.049979176,0.0,0.0,0.0,0.0,-28.471647,-86.50123,9.293854,-44.73924,0.0,3543.6765,638.27527,1.0,1.0,0.13253973,-0.005681664,-7.5507164E-4,94.0,91.0,86.0,81.0,21.769579,21.6148,24.032627,23.71024,0.015367726,0.017753677,-4.024809E-4,-3.8194074E-4,1043.5999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.240271,-0.0012112701,79.35611,-4.902117E-4,-0.13641825,-0.002050672,534461.0,82959.984,0.012069632,0.010208341,8807.114,6883.759,6649.63,4857.8115,0.30440426,0.0,0.0,0.0
8.347656,56837.125,0.116,0.0,0.0,288.88107,10381.0,100.0,0.0,2.7055428,0.0,8.0,0.0,0.0,499660.1,114.0,2.0,0.0,0.0,9.229612,0.0,0.0,377.08936,87.64936,1139.6504,-1.1356112,0.20414512,-0.00782372,293.66214,293.63336,289.1498,288.30612,440.0,439.0,511.0,509.0,64.0,61.0,49.0,48.0,5.160478,4.5968523,4.3637996,3.0471547,0.050633714,0.04724754,0.05399613,0.04993575,0.0,0.0,0.0,0.0,7.510185,-763.3029,54.261078,-59.102467,0.0,7091.583,1265.7102,1.0,1.0,0.12555166,-0.005868431,-7.4493885E-4,94.0,91.0,86.0,81.0,21.770086,21.615044,24.032734,23.710157,0.015303774,0.017832128,-4.0662687E-4,-3.725478E-4,1046.1241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7083845,-6.498289E-4,79.52703,-4.0434685E-4,-0.14368485,-0.004961781,535082.9,82839.31,0.012010913,0.010183769,8847.74,6792.724,6695.628,4840.3906,0.3043623,0.0,0.0,0.0
12.3515625,56841.13,0.166,0.0,0.0,289.22137,10393.0,100.0,0.0,2.899488,0.0,8.0,0.0,0.0,499043.4,114.0,2.0,0.0,0.0,9.228273,0.0,0.0,377.61017,87.649284,1143.6312,-1.1894655,0.2029607,-0.005403816,294.01654,293.94894,289.52203,288.6063,438.0,437.0,510.0,507.0,64.0,61.0,49.0,48.0,5.160478,4.5968523,4.3637996,3.0471547,0.050750967,0.047090147,0.05410333,0.049863465,0.0,0.0,0.0,0.0,53.617355,46.72407,44.94041,-8.569657,0.0,10643.748,1882.3835,1.0,1.0,0.11803369,-0.0061349687,-7.542372E-4,94.0,91.0,86.0,81.0,21.770607,21.615282,24.032852,23.71007,0.015237379,0.017841253,-4.062842E-4,-3.7116086E-4,1048.4786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.150418,-0.001260305,79.695465,-9.516136E-4,-0.15601116,-0.006701765,535667.94,82720.71,0.011945357,0.010089767,8911.908,6842.8467,6748.2764,4812.214,0.30428028,0.0,0.0,0.0
16.359375,56845.137,0.216,0.0,0.0,289.5533,10405.0,100.0,0.0,2.9429958,0.0,8.0,0.0,0.0,498437.22,114.0,2.0,0.0,0.0,9.226934,0.0,0.0,378.10236,87.649284,1147.6204,-1.2415574,0.19965631,-0.007970398,294.35873,294.2837,289.87296,288.91315,436.0,435.0,508.0,505.0,64.0,61.0,49.0,48.0,5.161845,4.5973597,4.3640213,3.0473526,0.050821714,0.04695018,0.05422932,0.049767684,0.0,0.0,0.0,0.0,-37.215645,6.9335027,-27.97544,29.946856,0.0,14199.99,2488.5942,1.0,1.0,0.11000965,-0.006452094,-7.432699E-4,94.0,91.0,86.0,81.0,21.771141,21.615515,24.032988,23.709972,0.0151965795,0.01789699,-3.9774284E-4,-3.770283E-4,1050.8462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.563813,-7.103025E-4,79.860855,-1.1624355E-4,-0.16286021,-0.004949886,536258.4,82604.13,0.011930707,0.0101064565,8967.597,6799.2725,6804.826,4769.7764,0.30427647,0.0,0.0,0.0
20.375,56849.152,0.266,0.0,0.0,289.8796,10417.0,100.0,0.0,2.8080535,0.0,8.0,0.0,0.0,497841.3,114.0,2.0,0.0,0.0,9.2255945,0.0,0.0,378.5646,87.64928,1151.6178,-1.261478,0.19775128,-0.010564578,294.67834,294.62296,290.1893,289.24857,434.0,434.0,506.0,503.0,64.0,61.0,49.0,48.0,5.161845,4.5973597,4.3640213,3.0473526,0.05083203,0.046861134,0.054292154,0.049732495,0.0,0.0,0.0,0.0,-31.341604,49.526985,-29.866392,31.073385,0.0,17760.271,3084.487,1.0,1.0,0.101938255,-0.006581049,-7.2038174E-4,94.0,91.0,86.0,81.0,21.77168,21.61574,24.033127,23.709873,0.015202412,0.01788536,-3.8899534E-4,-3.8660053E-4,1053.1857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.960721,-0.001383729,80.02197,2.7829767E-4,-0.15869306,-7.8112533E-4,536833.1,82489.51,0.011908252,0.010130137,8986.205,6790.409,6832.907,4760.715,0.3042736,0.0,0.0,0.0
24.378906,56853.156,0.316,0.0,0.0,290.20316,10428.0,100.0,0.0,2.7050245,0.0,8.0,0.0,0.0,497255.5,114.0,2.0,0.0,0.0,9.224253,0.0,0.0,378.99667,87.64919,1155.623,-1.2554069,0.1965186,-0.007510368,294.98117,294.95795,290.49014,289.59604,432.0,432.0,504.0,501.0,64.0,61.0,49.0,48.0,5.1632404,4.5978646,4.3642406,3.0475507,0.0508567,0.04692452,0.05430818,0.049763866,0.0,0.0,0.0,0.0,-45.718246,34.372505,-40.957325,-5.6996937,0.0,21324.467,3670.2957,1.0,1.0,0.09422305,-0.0065406347,-7.314682E-4,94.0,91.0,86.0,81.0,21.772228,21.615967,24.033276,23.709776,0.015193257,0.017830033,-3.891932E-4,-3.870299E-4,1055.3911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.355569,-0.0012234773,80.17778,-3.1702066E-4,-0.15064338,0.0021926719,537389.8,82376.85,0.011829168,0.010036427,8999.617,6813.896,6841.706,4781.91,0.30418396,0.0,0.0,0.0
28.390625,56857.168,0.366,0.0,0.0,290.52478,10439.0,100.0,0.0,2.7342381,0.0,8.0,0.0,0.0,496679.6,114.0,2.0,0.0,0.0,9.222911,0.0,0.0,379.3985,87.649124,1159.636,-1.2434863,0.19495717,-0.0073815323,295.29306,295.2855,290.8,289.93,430.0,430.0,502.0,499.0,64.0,61.0,49.0,48.0,5.1632404,4.5978646,4.3642406,3.0475507,0.050870515,0.04704769,0.054274455,0.049817134,0.0,0.0,0.0,0.0,20.009275,-26.366114,14.229116,-28.713041,0.0,24892.525,4246.1753,1.0,1.0,0.086821,-0.0064300336,-7.504225E-4,94.0,91.0,86.0,81.0,21.77278,21.616194,24.033415,23.709682,0.015173472,0.017793955,-3.9619935E-4,-3.7875195E-4,1057.6013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.755486,-0.0012851085,80.327805,-2.4939034E-4,-0.14718877,0.0010829966,537947.75,82266.09,0.011779775,0.00993478,9003.293,6835.83,6827.634,4808.7197,0.3041258,0.0,0.0,0.0
32.410156,56861.188,0.4,0.0,0.0,290.84317,10450.0,100.0,0.0,2.8690405,0.0,8.0,0.0,0.0,496113.53,114.0,2.0,0.0,0.0,9.221568,0.0,0.0,379.77045,87.64906,1163.6561,-1.2499583,0.19280225,-0.007683332,295.61908,295.5972,291.13068,290.23367,429.0,428.0,500.0,498.0,64.0,60.0,49.0,48.0,5.164624,4.5983663,4.3644724,3.0477579,0.050914623,0.04709964,0.054294024,0.04982435,0.90368086,0.6745755,0.5554407,-0.17054377,-28.873974,-39.683277,-7.8588715,-26.50022,0.0,28464.45,4812.2236,1.0,1.0,0.07934425,-0.0064549264,-7.6568127E-4,94.0,91.0,86.0,81.0,21.773335,21.616423,24.033562,23.70959,0.015132122,0.017799761,-4.013021E-4,-3.7063926E-4,1059.8109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1539536,-0.0012081473,80.472404,-4.1602564E-4,-0.15244205,-0.0014656379,538504.2,82157.22,0.011728745,0.009854582,9021.366,6838.628,6840.6455,4811.244,0.30405712,0.0,0.0,0.0
36.433594,56865.21,0.45,0.0,0.0,291.1568,10462.0,100.0,0.0,2.9949634,0.0,8.0,0.0,0.0,495557.16,114.0,2.0,0.0,0.0,9.220223,0.0,0.0,380.1121,87.64901,1167.6833,-1.2761868,0.19025445,-0.0035694484,295.94,295.90854,291.4654,290.52252,427.0,426.0,498.0,496.0,64.0,60.0,49.0,48.0,5.164624,4.5983663,4.3644724,3.0477579,0.050964575,0.047164842,0.054350592,0.04979393,1.0550021,3.9857621,1.6336887,-0.8491426,-14.618038,236.5708,29.866396,-28.096136,0.0,32040.19,5368.5884,1.0,1.0,0.071518846,-0.0065876055,-7.635355E-4,94.0,91.0,86.0,81.0,21.773901,21.61665,24.033712,23.7095,0.015072449,0.017802855,-4.0065075E-4,-3.6749576E-4,1062.1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5420046,-5.958618E-4,80.61187,1.7408948E-4,-0.16038018,-0.005012504,539055.56,82050.21,0.011682192,0.009798487,9059.756,6847.3984,6874.073,4798.849,0.30400658,0.0,0.0,0.0
40.46875,56869.246,0.516,0.0,0.0,291.46472,10473.0,100.0,0.0,2.9922261,0.0,8.0,0.0,0.0,495010.38,114.0,2.0,0.0,0.0,9.218879,0.0,0.0,380.4227,87.64896,1171.7175,-1.3030475,0.18806204,-0.009922727,296.2615,296.20676,291.7866,290.81345,425.0,424.0,497.0,494.0,65.0,60.0,49.0,48.0,5.166066,4.598874,4.36472,3.0479767,0.051019374,0.047037583,0.054417495,0.049753413,0.0,0.0,0.0,0.0,23.160873,89.45165,7.617473,13.424456,0.0,35619.773,5915.339,1.0,1.0,0.06334821,-0.0067379912,-7.634163E-4,94.0,91.0,86.0,81.0,21.774473,21.61687,24.033875,23.709408,0.015060795,0.017845081,-3.9368792E-4,-3.7379647E-4,1064.2981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9143353,-0.0015823029,80.74611,-2.673493E-4,-0.16496512,-0.00225512,539596.56,81945.05,0.011630904,0.009753262,9092.94,6813.089,6904.3843,4783.5205,0.30396175,0.0,0.0,0.0
