LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
1.3455611,1.3455611,0.0,0.0,0.0,310.1597,11101.0,100.0,0.0,0.11987777,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-616.37726,-3.0343957,601.3028,0.027427785,0.21198007,-0.0041007195,315.38907,315.85715,310.01917,310.0235,308.0,308.0,346.0,341.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.052269507,0.052162685,0.054123137,0.05439473,-0.20071863,-1.6770511,-1.0664015,2.1493433,83.497154,274.83252,-107.70409,65.79458,0.0,0.0,0.0,2.0,1.0,3.0550342,-0.006367785,-0.0057780743,89.0,89.0,89.0,89.0,22.560669,22.560669,25.12438,25.12438,0.016905729,0.018397901,-4.376722E-4,-4.4690483E-4,1149.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.520152,0.40016463,-85.825714,-0.0027085452,0.0010682389,0.015965037,549765.4,119984.91,0.008482506,0.00547492,8542.494,8515.505,6234.62,6373.245,0.2980528,0.0,0.0,0.0
5.6732755,5.6732755,0.066,0.0,0.0,310.53027,11114.0,100.0,0.0,0.06964912,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-616.0015,-3.0142605,597.0088,0.024747461,0.20879838,-0.003219458,315.75586,316.22067,310.39102,310.39206,307.0,306.0,345.0,340.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.052295554,0.05223068,0.0541853,0.054429654,0.0,0.0,0.0,0.0,-122.91222,57.23834,-178.21935,36.33052,0.0,0.0,0.0,2.0,1.0,3.0550618,-0.00704946,-0.005797386,89.0,89.0,89.0,89.0,22.560669,22.560669,25.12438,25.12438,0.01687462,0.018359661,-4.3252614E-4,-4.5014458E-4,1150.7517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5165777,0.40333846,-85.929344,7.5948855E-4,9.2013937E-4,0.014964634,549779.1,119984.914,0.008415561,0.0055840835,8562.109,8529.878,6268.179,6388.468,0.2981615,0.0,0.0,0.0
10.006278,10.006278,0.116,0.0,0.0,310.8971,11126.0,100.0,0.0,0.049474806,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-615.6258,-2.993985,592.7096,0.025047265,0.20700616,0.017038,316.1007,316.57056,310.75046,310.7655,306.0,305.0,343.0,339.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.052394185,0.052351125,0.05428204,0.054442003,0.0,0.0,0.0,0.0,-88.80793,65.150856,-63.48788,62.49546,0.0,0.0,0.0,2.0,1.0,3.0551815,-0.007676018,-0.005933404,89.0,89.0,89.0,89.0,22.560669,22.560669,25.12438,25.12438,0.016803544,0.018266061,-4.337026E-4,-4.4921075E-4,1152.0215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.513014,0.40905538,-86.031906,0.0024472827,0.0032537254,0.011106024,549792.1,119984.9,0.0079870755,0.005175799,8617.329,8592.128,6343.132,6417.281,0.2978878,0.0,0.0,0.0
14.34429,14.34429,0.15,0.0,0.0,311.26105,11137.0,100.0,0.0,0.052186877,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-615.25006,-2.9730558,588.40533,0.029729731,0.20625237,0.056137685,316.44434,316.86157,311.11288,311.13065,304.0,304.0,342.0,338.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.052511863,0.05270326,0.054377172,0.05448854,-1.4095007,13.622715,0.11533498,0.15199183,-328.7583,454.20523,-204.58548,-135.21013,0.0,0.0,0.0,2.0,1.0,3.0553625,-0.008130412,-0.006077051,89.0,89.0,89.0,89.0,22.560669,22.560669,25.12438,25.12438,0.016727779,0.018020453,-4.3759422E-4,-4.4831293E-4,1153.1854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5083537,0.43064094,-86.1337,-5.552452E-4,0.0034591553,0.010784116,549804.06,119984.91,0.0077184467,0.0044078655,8673.633,8787.139,6386.6826,6437.718,0.29779434,0.0,0.0,0.0
18.68734,18.68734,0.2,0.0,0.0,311.61557,11152.0,100.0,0.0,0.038721453,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-614.8745,-2.9513047,584.09595,0.0318216,0.20036031,-0.04065683,316.85336,317.31747,311.4685,311.48703,303.0,303.0,341.0,336.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.05224397,0.052132063,0.054315343,0.05433367,-8.036121,-6.3125787,-3.932118,-2.535358,-218.31837,921.8751,-160.7984,45.08793,0.0,0.0,0.0,2.0,1.0,3.0555449,-0.008498879,-0.005970001,89.0,89.0,89.0,89.0,22.560669,22.560669,25.12438,25.12438,0.016867552,0.018302757,-4.304879E-4,-4.4507944E-4,1154.7725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.502752,0.4296571,-86.23304,-0.0011435541,0.003845482,-0.0034034117,549820.2,119984.9,0.008132254,0.005356136,8510.584,8513.311,6292.8335,6307.226,0.2984705,0.0,0.0,0.0
23.035326,23.035326,0.25,0.0,0.0,311.9703,11164.0,100.0,0.0,0.040915135,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-614.4999,-2.9302914,579.7816,0.032641575,0.20081721,-0.021033948,317.1975,317.652,311.82117,311.84262,302.0,301.0,340.0,335.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.052280914,0.052285038,0.05424461,0.054381646,7.2989607,-0.7465481,1.8565356,0.237599,417.91492,-424.99597,211.37144,-63.890213,0.0,0.0,0.0,2.0,1.0,3.055747,-0.008655023,-0.0059689283,89.0,89.0,89.0,89.0,22.560669,22.560669,25.12438,25.12438,0.016829226,0.018226068,-4.3210184E-4,-4.4527848E-4,1156.0419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4959073,0.41433403,-86.33262,8.398754E-5,0.0041941074,0.00935251,549832.94,119984.914,0.007981556,0.005138355,8538.954,8582.876,6316.8555,6371.431,0.2985468,0.0,0.0,0.0
27.388205,27.388205,0.3,0.0,0.0,312.3218,11176.0,100.0,0.0,0.04527762,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-614.12524,-2.9095652,575.46234,0.03504567,0.19808148,0.014169489,317.5219,317.9822,312.17102,312.1963,301.0,300.0,338.0,334.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.05242185,0.05246838,0.054350704,0.0544283,0.8464604,3.1922755,1.5156715,1.4727561,-97.39101,-73.92168,-34.238388,17.742811,0.0,0.0,0.0,2.0,1.0,3.055975,-0.008949718,-0.0059798956,89.0,89.0,89.0,89.0,22.560669,22.560669,25.12438,25.12438,0.016719345,0.018123534,-4.3230876E-4,-4.4412838E-4,1157.3104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4873223,0.41689563,-86.43136,-0.0011673906,0.0047970046,0.0037346946,549845.25,119984.91,0.00767347,0.0047204345,8624.016,8659.43,6381.492,6417.0894,0.29841805,0.0,0.0,0.0
31.745932,31.745932,0.366,0.0,0.0,312.67902,11179.0,100.0,0.0,0.061111383,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-613.7513,-2.8885536,571.1381,0.05796771,0.1936711,-0.015638804,317.83267,317.8539,312.54065,312.5465,299.0,299.0,337.0,333.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.0522757,0.052415002,0.054346986,0.054400362,0.0,0.0,0.0,0.0,-222.26123,-144.47717,-134.91508,45.973053,0.0,0.0,0.0,2.0,1.0,3.0561457,-0.008961006,-0.0058858395,89.0,89.0,89.0,89.0,22.560669,22.560669,25.12438,25.12438,0.01651239,0.016584937,-4.3601394E-4,-4.242443E-4,1157.6285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.469569,0.4190099,-86.53248,-0.0027262645,3.1507388E-4,-0.0060059554,549848.8,119984.91,0.007984632,0.005061137,8544.824,8645.338,6337.732,6365.0366,0.2987976,0.0,0.0,0.0
36.108536,36.108536,0.416,0.0,0.0,313.01553,11191.0,100.0,0.0,0.05878445,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-613.37805,-2.8680224,566.80896,0.029715985,0.19029565,-0.031937808,318.18103,318.18985,312.8893,312.86984,298.0,297.0,336.0,331.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.052194264,0.052333083,0.054346558,0.05437415,0.0,0.0,0.0,0.0,418.94757,127.45854,113.765884,-61.717617,0.0,0.0,0.0,2.0,1.0,3.0560389,-0.008760438,-0.0058095455,89.0,89.0,89.0,89.0,22.560669,22.560669,25.12438,25.12438,0.01650979,0.016604472,-4.310625E-4,-4.2784153E-4,1158.8982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.458271,0.40312997,-86.62736,6.585903E-4,-0.0035484235,-3.0533056E-4,549861.6,119984.91,0.008041989,0.00520998,8529.689,8611.578,6364.9014,6366.4805,0.298913,0.0,0.0,0.0
40.467506,40.467506,0.466,0.0,0.0,313.3498,11202.0,100.0,0.0,0.059717696,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-613.0056,-2.8479884,562.4751,0.005490493,0.18840517,0.0069033606,318.4804,318.50092,313.22488,313.20276,297.0,296.0,335.0,330.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.052439205,0.052495565,0.0544618,0.05437904,0.0,0.0,0.0,0.0,17.876915,-115.03994,-24.51538,26.09789,0.0,0.0,0.0,2.0,1.0,3.0558507,-0.008627146,-0.005861163,89.0,89.0,89.0,89.0,22.560669,22.560669,25.12438,25.12438,0.016378006,0.016513173,-4.2988194E-4,-4.2807902E-4,1160.0615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4594154,0.4012201,-86.72046,7.126671E-4,-0.003852135,-0.003408072,549873.06,119984.9,0.007852195,0.004822217,8653.545,8679.7,6436.2866,6394.439,0.2986412,0.0,0.0,0.0
