LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
1.406569,1.406569,0.016,0.0,0.0,311.37646,11197.0,100.0,0.0,0.15641709,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-620.7484,-3.0613596,600.8763,-0.109142624,0.21429336,-0.11427127,316.70734,316.75027,311.27597,311.20612,337.0,336.0,396.0,393.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.051189266,0.05071763,0.05349,0.053231053,0.0,0.0,0.0,0.0,303.07614,418.80005,87.909386,109.072014,0.0,0.0,0.0,2.0,1.0,3.0545082,-0.008634669,-0.0051077604,89.0,89.0,89.0,89.0,22.560669,22.560669,25.12438,25.12438,0.017069316,0.017388418,-4.299218E-4,-4.3431678E-4,1159.533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.427119,0.3545859,-86.17326,-0.009415954,-0.011527384,0.011212583,549868.0,119984.9,0.010955476,0.008253567,8090.4004,7810.6816,5901.138,5788.74,0.3057022,0.0,0.0,0.0
5.7509046,5.7509046,0.066,0.0,0.0,311.75623,11207.0,100.0,0.0,0.152651,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-620.3755,-3.0444221,596.565,-0.10131736,0.21466692,0.006479827,316.98566,317.02332,311.6472,311.58826,335.0,335.0,395.0,391.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.051791083,0.051380973,0.053726383,0.05349176,0.0,0.0,0.0,0.0,-969.3904,-437.69626,-260.8984,18.96323,0.0,0.0,0.0,2.0,1.0,3.0539894,-0.009096907,-0.0051978827,89.0,89.0,89.0,89.0,22.560669,22.560669,25.12438,25.12438,0.016757865,0.017034013,-4.3450348E-4,-4.3697658E-4,1160.5907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.48767,0.33593872,-86.27399,0.007897502,-0.009578689,0.007520601,549878.5,119984.91,0.010418941,0.0077063194,8364.433,8095.572,6097.568,6003.986,0.30553722,0.0,0.0,0.0
10.100485,10.100485,0.116,0.0,0.0,312.12958,11218.0,100.0,0.0,0.16310848,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-619.9997,-3.0269694,592.2487,-0.09389928,0.21033159,0.09623216,317.28955,317.31473,312.01727,311.96396,334.0,333.0,393.0,390.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.052174043,0.05182991,0.054000817,0.053724125,0.0,0.0,0.0,0.0,-470.90198,-156.45326,-58.32464,-13.424462,0.0,0.0,0.0,2.0,1.0,3.0535476,-0.009502696,-0.005653143,89.0,89.0,89.0,89.0,22.560669,22.560669,25.12438,25.12438,0.016501939,0.016725503,-4.3779062E-4,-4.3449964E-4,1161.7537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5431275,0.36837372,-86.37312,0.008852289,-0.008897427,0.0075694667,549889.75,119984.91,0.009137016,0.0063710883,8574.878,8349.346,6280.6816,6153.6963,0.30421448,0.0,0.0,0.0
14.455211,14.455211,0.166,0.0,0.0,312.497,11230.0,100.0,0.0,0.09395292,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-619.6212,-3.0071805,587.92755,-0.07884144,0.2068543,0.12066588,317.6463,317.66467,312.38065,312.33725,332.0,332.0,392.0,388.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.052218802,0.05194657,0.054141756,0.053830527,0.0,0.0,0.0,0.0,-185.67589,-78.85694,121.85273,129.17517,0.0,0.0,0.0,2.0,1.0,3.053148,-0.009643082,-0.005982995,89.0,89.0,89.0,89.0,22.560669,22.560669,25.12438,25.12438,0.016446749,0.016619686,-4.3332353E-4,-4.3647792E-4,1163.0247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.592402,0.42233598,-86.471016,0.004857936,-0.006940418,-6.193916E-4,549903.1,119984.9,0.008684011,0.0057418696,8612.847,8426.971,6349.878,6207.4565,0.3035555,0.0,0.0,0.0
18.815048,18.815048,0.216,0.0,0.0,312.85654,11246.0,100.0,0.0,0.08371517,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-619.2404,-2.9853306,583.6014,-0.06840494,0.20250799,-0.0032858558,318.08255,318.10297,312.73703,312.7043,331.0,330.0,390.0,387.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.051751964,0.051524803,0.0538877,0.05362008,0.0,0.0,0.0,0.0,-3.2186506,-86.09893,159.95352,59.089077,0.0,0.0,0.0,2.0,1.0,3.0528452,-0.009601473,-0.0059781075,89.0,89.0,89.0,89.0,22.560669,22.560669,25.12438,25.12438,0.016679684,0.016828062,-4.30182E-4,-4.3149904E-4,1164.7164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.636297,0.44064364,-86.56732,-0.0032179982,-0.0053238748,-0.001334987,549919.5,119984.9,0.009665324,0.006725299,8356.879,8205.758,6094.283,5970.4717,0.30451393,0.0,0.0,0.0
23.17976,23.17976,0.266,0.0,0.0,313.21317,11259.0,100.0,0.0,0.07099912,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-618.85754,-2.9639144,579.27057,-0.05537776,0.20225123,-0.05926912,318.4728,318.49475,313.0868,313.06686,329.0,329.0,389.0,385.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.051467378,0.05130217,0.05370107,0.05349352,0.0,0.0,0.0,0.0,364.834,318.0429,125.205505,100.77057,0.0,0.0,0.0,2.0,1.0,3.0526447,-0.009534657,-0.0059034824,89.0,89.0,89.0,89.0,22.560669,22.560669,25.12438,25.12438,0.01681068,0.016926534,-4.3099545E-4,-4.293315E-4,1166.0939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6736674,0.415296,-86.6636,7.959576E-4,-0.0032650398,-1.3936906E-4,549934.2,119984.9,0.010171803,0.007398429,8233.163,8118.129,6008.9443,5918.788,0.30508804,0.0,0.0,0.0
27.549433,27.549433,0.316,0.0,0.0,313.5699,11270.0,100.0,0.0,0.09263963,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-618.4729,-2.9435024,574.9348,-0.049412712,0.20156668,0.009815854,318.77844,318.79102,313.44534,313.41992,328.0,327.0,388.0,384.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.051815253,0.05165972,0.053804632,0.053582273,0.0,0.0,0.0,0.0,-11.104344,3.9294431,49.419704,56.581196,0.0,0.0,0.0,2.0,1.0,3.0524607,-0.009524607,-0.006039381,89.0,89.0,89.0,89.0,22.560669,22.560669,25.12438,25.12438,0.016623884,0.01673241,-4.332494E-4,-4.2986596E-4,1167.2574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.707552,0.4078454,-86.7601,0.0032731255,-0.0042891223,-6.726971E-4,549945.6,119984.9,0.00968146,0.006691821,8387.574,8282.815,6127.152,6026.375,0.30452633,0.0,0.0,0.0
31.924019,31.924019,0.366,0.0,0.0,313.92133,11282.0,100.0,0.0,0.116990715,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-618.0867,-2.9226756,570.5943,-0.050116155,0.19789287,0.043906353,319.11258,319.11368,313.80246,313.7663,327.0,326.0,386.0,383.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.05192952,0.051797897,0.053951785,0.053690787,0.0,0.0,0.0,0.0,-105.23646,-60.296047,-8.167318,5.216896,0.0,0.0,0.0,2.0,1.0,3.0521948,-0.00948255,-0.0061221123,89.0,89.0,89.0,89.0,22.560669,22.560669,25.12438,25.12438,0.016521445,0.016624913,-4.3347428E-4,-4.286512E-4,1168.5266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7402873,0.42624474,-86.85511,0.001038087,-0.006195926,-0.001959123,549958.0,119984.9,0.009196556,0.0062033213,8455.295,8365.84,6214.958,6094.2266,0.30407906,0.0,0.0,0.0
36.303486,36.303486,0.416,0.0,0.0,314.26654,11295.0,100.0,0.0,0.11480846,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-617.6987,-2.9010081,566.2491,-0.05306209,0.19507088,0.0050043203,319.48358,319.47858,314.15106,314.10934,325.0,325.0,385.0,381.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.05177444,0.051681355,0.053934228,0.053661995,0.0,0.0,0.0,0.0,117.78919,119.84109,91.66448,86.4744,0.0,0.0,0.0,2.0,1.0,3.0518603,-0.009295851,-0.006126404,89.0,89.0,89.0,89.0,22.560669,22.560669,25.12438,25.12438,0.016574495,0.016671417,-4.3070575E-4,-4.2818536E-4,1169.9025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.773959,0.4359779,-86.94833,-3.5213694E-4,-0.0070571946,-0.0034998534,549971.8,119984.91,0.009165768,0.0063177696,8382.598,8306.428,6167.07,6044.4053,0.30408287,0.0,0.0,0.0
40.678627,40.678627,0.466,0.0,0.0,314.60904,11307.0,100.0,0.0,0.113098815,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-617.30914,-2.8792856,561.89923,-0.057121456,0.19345318,-0.011906374,319.83426,319.83044,314.49466,314.45093,324.0,323.0,383.0,380.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.05172596,0.05162193,0.05390692,0.0536167,0.0,0.0,0.0,0.0,18.681583,105.182816,-30.764935,56.33979,0.0,0.0,0.0,2.0,1.0,3.0514965,-0.009095674,-0.006096363,89.0,89.0,89.0,89.0,22.560669,22.560669,25.12438,25.12438,0.01658382,0.016688624,-4.2937425E-4,-4.2793172E-4,1171.1736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.809857,0.43228826,-87.04066,-4.528106E-4,-0.0073292176,-0.00399513,549985.06,119984.91,0.00917943,0.0063457615,8359.314,8275.893,6146.562,6018.9043,0.30404472,0.0,0.0,0.0
