LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
2.146093,2.146093,0.016,0.0,0.0,303.27338,10842.0,100.0,0.0,-0.20593616,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-57.281376,3.4691658,160.09747,0.08910112,0.24824488,-0.0316294,308.2422,308.2484,303.11157,303.17712,87.0,87.0,107.0,101.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04594726,0.046135332,0.053318046,0.053866334,23.619978,22.936909,-7.570758,-12.205838,-263.07104,-64.77538,705.2868,-529.07904,0.0,0.0,0.0,2.0,1.0,-2.8592904,0.020348992,0.0011817217,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.016496059,0.016337167,-4.2641035E-4,-4.288748E-4,1116.718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.399103,-0.009013291,-80.927734,-0.01271564,0.011372828,0.006940167,546904.06,119984.9,0.009437346,0.01152769,8081.839,8181.4937,6492.562,6697.226,0.30102062,0.0,0.0,0.0
6.3616433,6.3616433,0.066,0.0,0.0,303.69922,10860.0,100.0,0.0,-0.19098282,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-58.45331,3.4682007,156.0484,0.08864915,0.24292305,-0.05078152,308.77234,308.79688,303.53677,303.599,87.0,86.0,107.0,101.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.045089908,0.045519367,0.053587705,0.05411206,-12.300834,-23.872553,5.29468,8.416995,1022.7797,-509.36478,-87.70823,38.261715,0.0,0.0,0.0,2.0,1.0,-2.8587525,0.020080797,0.0018478632,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.016852906,0.016770096,-4.2418746E-4,-4.2879995E-4,1119.246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.474009,-0.030450327,-81.0292,0.002935198,0.010572707,0.004985946,547233.56,119984.9,0.008304901,0.012983692,7821.156,7842.385,6840.0254,7088.046,0.30231857,0.0,0.0,0.0
10.583102,10.583102,0.133,0.0,0.0,304.12802,10868.0,100.0,0.0,-0.15525182,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-59.628944,3.467537,151.99423,0.084846325,0.24070473,0.13190183,309.0091,309.00592,303.96368,304.0167,86.0,86.0,106.0,100.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.046557367,0.047142033,0.054140836,0.054557305,0.0,0.0,0.0,0.0,104.485466,450.69144,-1776.1587,-1276.2887,0.0,0.0,0.0,2.0,1.0,-2.8582964,0.020173885,5.296469E-4,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.016202101,0.01603997,-4.2870874E-4,-4.306052E-4,1120.3567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.546864,0.016797246,-81.132095,0.037599877,0.008105374,-0.014891549,547373.4,119984.89,0.006583426,0.009878551,8299.137,8450.15,7100.2686,7299.298,0.2983637,0.0,0.0,0.0
14.810504,14.810504,0.166,0.0,0.0,304.55515,10887.0,100.0,0.0,-0.1966876,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-60.808224,3.4691176,147.93492,0.0869482,0.23580606,0.03849507,309.55328,309.52786,304.4009,304.45758,86.0,86.0,106.0,100.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.047470987,0.04794975,0.053575397,0.053992175,-17.380043,-30.031128,0.90882176,1.8581002,-2598.2957,-3680.0974,889.33997,1000.893,0.0,0.0,0.0,2.0,1.0,-2.8578367,0.020348944,6.631613E-4,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.016452672,0.016215077,-4.1934924E-4,-4.2564704E-4,1122.9819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.620014,0.04162485,-81.23438,-0.028322166,0.010308715,0.009345785,547698.5,119984.89,0.008445519,0.0097518265,8043.275,8233.639,6765.923,6962.3257,0.29965496,0.0,0.0,0.0
19.043642,19.043642,0.216,0.0,0.0,304.96368,10907.0,100.0,0.0,-0.17447196,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-61.99109,3.4699395,143.87067,0.08098741,0.23136643,-0.13573933,310.11484,310.11505,304.80972,304.86343,86.0,85.0,106.0,100.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04545261,0.045757458,0.05338428,0.053889323,-38.599667,-41.36078,3.9379294,-3.8990376,65.67397,356.65326,829.4462,-137.86554,0.0,0.0,0.0,2.0,1.0,-2.857352,0.020062314,0.0019266605,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.016995559,0.016845131,-4.1811087E-4,-4.2124465E-4,1125.7645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.69075,-0.013160963,-81.332,-0.0158554,0.009493733,0.0109686125,548048.8,119984.89,0.010026783,0.0136401905,7657.7725,7755.4277,6651.465,6836.6577,0.30260277,0.0,0.0,0.0
23.282509,23.282509,0.266,0.0,0.0,305.37216,10917.0,100.0,0.0,-0.15575069,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-63.177555,3.4680338,139.80147,0.08363141,0.23302054,-0.021414982,310.39572,310.39896,305.20892,305.26804,85.0,85.0,105.0,99.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.044766236,0.04527015,0.05376358,0.054191656,13.881548,10.956823,6.5213437,9.629354,1994.8392,1336.692,-122.30869,247.59471,0.0,0.0,0.0,2.0,1.0,-2.8568652,0.019897602,0.001804471,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.016624551,0.016468726,-4.2463996E-4,-4.2588796E-4,1127.1569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.76328,-0.049257,-81.42902,0.018993806,0.009598198,-0.0039158748,548224.0,119984.89,0.008468395,0.013289583,7946.9194,8056.826,6954.42,7163.724,0.3015213,0.0,0.0,0.0
27.52711,27.52711,0.316,0.0,0.0,305.78198,10926.0,100.0,0.0,-0.121383786,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-64.367546,3.466595,135.72733,0.07917671,0.23281059,0.08457658,310.65314,310.6444,305.62244,305.67365,85.0,85.0,105.0,99.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.047003534,0.047829006,0.053829603,0.054384675,38.86096,61.373184,-12.474283,0.5304068,-367.66385,21.658857,-430.19946,-444.737,0.0,0.0,0.0,2.0,1.0,-2.8564358,0.020796472,5.0354004E-4,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.016063115,0.015874395,-4.2689889E-4,-4.2744048E-4,1128.4083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.8327,-0.008365983,-81.52736,0.012401925,0.008292205,-0.011580228,548380.6,119984.91,0.007595163,0.009391266,8352.094,8553.065,6838.742,7119.992,0.299078,0.0,0.0,0.0
31.77732,31.77732,0.366,0.0,0.0,306.1851,10943.0,100.0,0.0,-0.1336139,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-65.56088,3.467418,131.64828,0.07154365,0.22431567,0.05699389,311.1677,311.11942,306.03885,306.0712,85.0,84.0,105.0,99.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.047354043,0.04802323,0.05415552,0.05416441,-19.18584,-19.507929,5.0932913,3.7081537,-1347.5148,-980.62897,-575.9909,837.47943,0.0,0.0,0.0,2.0,1.0,-2.8561075,0.021208938,6.790161E-4,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.016337177,0.016089272,-4.2258992E-4,-4.2396056E-4,1130.7866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.896898,0.03374492,-81.625244,-0.009634731,0.0054910523,-0.011920473,548682.7,119984.89,0.0072244676,0.00976147,8074.945,8353.596,7126.8,7147.7705,0.29944324,0.0,0.0,0.0
36.03294,36.03294,0.433,0.0,0.0,306.58362,10959.0,100.0,0.0,-0.13530666,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-66.757385,3.4688745,127.56453,0.060669634,0.22702715,-0.07025037,311.56537,311.58337,306.43353,306.47705,85.0,84.0,104.0,99.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.0468385,0.04716511,0.053471424,0.054174244,0.0,0.0,0.0,0.0,307.42136,122.56347,468.59525,-457.26294,0.0,0.0,0.0,2.0,1.0,-2.8557696,0.021460876,8.9275837E-4,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.016332768,0.016269904,-4.1979787E-4,-4.2343696E-4,1132.9843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.95918,0.016570497,-81.72236,-0.0117396815,0.007753684,0.014030354,548946.44,119984.89,0.0082264375,0.010437573,8115.675,8146.7495,6584.0664,6901.8706,0.30045795,0.0,0.0,0.0
40.294094,40.294094,0.466,0.0,0.0,306.97513,10970.0,100.0,0.0,-0.12781836,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-67.95692,3.4700928,123.475876,0.057893556,0.22045688,0.08192321,311.8844,311.92215,306.8157,306.86145,84.0,84.0,104.0,98.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.046978824,0.046968535,0.0542592,0.05470446,25.29189,-0.16719101,12.774243,-5.2808223,1613.6437,-146.30107,-774.63525,-2269.7925,0.0,0.0,0.0,2.0,1.0,-2.855398,0.020166773,5.2571297E-4,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.01612999,0.016158612,-4.246809E-4,-4.238703E-4,1134.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.017796,0.043663118,-81.81849,0.040980753,0.0068851025,0.015848583,549149.5,119984.89,0.0064409543,0.010310774,8318.667,8235.939,7290.879,7409.9395,0.29829693,0.0,0.0,0.0
