LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
3.948905,3.948905,0.033,0.0,0.0,303.79196,10924.0,100.0,0.0,-0.15101632,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-58.19324,3.484487,158.48154,0.091798335,0.24174446,0.01928812,309.04163,308.98663,303.6349,303.69165,97.0,96.0,120.0,114.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04195564,0.042862456,0.052952144,0.05325205,0.27291474,12.019201,11.604353,10.35288,-1661.0248,-762.35077,114.98628,579.67896,0.0,0.0,0.0,2.0,1.0,-2.867136,0.019856965,0.002548337,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017400907,0.01706367,-4.250256E-4,-4.1916233E-4,1128.1382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.798634,-0.047260538,-81.24856,-0.009797552,0.009327137,-0.008793677,548349.7,119984.9,0.011950728,0.017172629,7421.8257,7688.2925,6566.1406,6710.2695,0.3096943,0.0,0.0,0.0
8.171715,8.171715,0.1,0.0,0.0,304.211,10938.0,100.0,0.0,-0.148041,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-59.335064,3.4820597,154.41646,0.08029248,0.23698108,0.07167474,309.3986,309.38348,304.05463,304.10162,96.0,96.0,120.0,113.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.042291652,0.042769484,0.053220265,0.05377275,0.0,0.0,0.0,0.0,621.69574,602.51794,933.95844,126.98919,0.0,0.0,0.0,2.0,1.0,-2.8667157,0.019821966,0.0025092363,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.01718402,0.017013323,-4.227767E-4,-4.234683E-4,1130.0641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.86956,-0.039252844,-81.34954,0.020868389,0.0074490416,-8.621034E-4,548582.75,119984.89,0.009839148,0.016620526,7584.1416,7693.644,6845.3135,7071.924,0.3088417,0.0,0.0,0.0
12.400376,12.400376,0.15,0.0,0.0,304.63412,10948.0,100.0,0.0,-0.11789132,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-60.48027,3.4808614,150.34627,0.0675248,0.23906413,0.07395175,309.6854,309.67804,304.4856,304.52155,96.0,95.0,119.0,113.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04399342,0.044441286,0.053114105,0.0534608,0.0,0.0,0.0,0.0,245.79756,-418.58548,-0.8583068,120.79327,0.0,0.0,0.0,2.0,1.0,-2.866409,0.01957008,0.0014541149,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.016643114,0.016527677,-4.2328585E-4,-4.2289728E-4,1131.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.93427,-0.008413939,-81.453445,0.0035874718,0.0058688717,0.0010656242,548763.56,119984.9,0.009992062,0.01356779,7933.825,8021.8623,6478.5977,6631.103,0.30444336,0.0,0.0,0.0
16.634838,16.634838,0.2,0.0,0.0,305.04504,10967.0,100.0,0.0,-0.1128378,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-61.628586,3.4811513,146.27092,0.058062177,0.23094587,-0.015355293,310.23276,310.22272,304.90213,304.93256,96.0,95.0,119.0,113.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.043821458,0.04419562,0.053033076,0.05338404,0.0,0.0,0.0,0.0,-592.45966,-661.7411,-83.85925,-241.73405,0.0,0.0,0.0,2.0,1.0,-2.8661263,0.019193396,0.0018289089,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.01705653,0.016946329,-4.1724328E-4,-4.1879294E-4,1134.1255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.994001,0.0077318223,-81.55521,-0.010021522,0.0053351065,0.00921222,549098.5,119984.89,0.010814409,0.014953417,7615.236,7692.7227,6468.7334,6612.0835,0.30655003,0.0,0.0,0.0
20.87502,20.87502,0.25,0.0,0.0,305.4487,10984.0,100.0,0.0,-0.13708703,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-62.77987,3.4808645,142.19046,0.06091902,0.22565347,-0.05935725,310.72586,310.7009,305.2997,305.34265,95.0,95.0,118.0,112.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04272335,0.043121513,0.052919738,0.05334434,0.0,0.0,0.0,0.0,-299.6966,30.617407,-274.457,16.683338,0.0,0.0,0.0,2.0,1.0,-2.8657956,0.019036494,0.0025091171,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.017356083,0.0171539,-4.136307E-4,-4.163843E-4,1136.501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.053835,-0.018066864,-81.65482,-0.007588777,0.0074936613,0.007819033,549397.0,119984.89,0.011975735,0.017142618,7410.7285,7548.0054,6428.242,6641.4453,0.30905056,0.0,0.0,0.0
25.120766,25.120766,0.3,0.0,0.0,305.84885,10996.0,100.0,0.0,-0.15224205,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-63.934105,3.4795527,138.10506,0.06423758,0.2266641,0.011764387,311.03964,311.0116,305.69406,305.7387,95.0,94.0,118.0,112.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.042367414,0.042890545,0.053317215,0.05350778,0.0,0.0,0.0,0.0,417.68695,1261.7646,-362.7955,-190.98666,0.0,0.0,0.0,2.0,1.0,-2.865433,0.018938392,0.0021489859,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.01712448,0.016898448,-4.1792676E-4,-4.1988393E-4,1138.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.112957,-0.025984302,-81.753624,0.019240765,0.0071371035,-0.011928023,549590.9,119984.89,0.0108498195,0.016838918,7570.923,7746.7324,6724.064,6804.5264,0.30814075,0.0,0.0,0.0
29.372084,29.372084,0.333,0.0,0.0,306.24927,11008.0,100.0,0.0,-0.13647363,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-65.09134,3.478682,134.01471,0.061610147,0.22369576,0.017823268,311.3869,311.35452,306.09906,306.1419,95.0,94.0,118.0,112.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.043705173,0.044169076,0.053227387,0.0532525,15.460029,6.196573,2.639964,-10.518059,-1421.3427,-1683.5284,348.01657,-439.7079,0.0,0.0,0.0,2.0,1.0,-2.8650653,0.019471824,0.0016304255,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.01684002,0.0166532,-4.1920363E-4,-4.1579662E-4,1139.5419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.172705,-0.01050074,-81.85232,-0.011509246,0.0070041735,-0.025112664,549666.0,119984.89,0.011000145,0.014887433,7736.131,7849.0015,6580.3105,6524.3477,0.30756855,0.0,0.0,0.0
33.62886,33.62886,0.4,0.0,0.0,306.64136,11022.0,100.0,0.0,-0.11528747,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-66.25152,3.478572,129.91951,0.0569828,0.22111449,0.036862273,311.77682,311.773,306.4912,306.5308,94.0,94.0,117.0,111.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04350782,0.044142403,0.053151313,0.053778008,0.0,0.0,0.0,0.0,599.90283,-383.54245,61.677383,-410.02924,0.0,0.0,0.0,2.0,1.0,-2.8647292,0.020092608,0.0016636848,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.016855646,0.016735276,-4.1657686E-4,-4.1875508E-4,1141.0228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.23052,0.0065168757,-81.949135,0.008089348,0.0065687657,0.00476578,549681.25,119984.89,0.010308954,0.015073304,7732.6064,7804.078,6637.9683,6938.3687,0.30618858,0.0,0.0,0.0
37.890987,37.890987,0.45,0.0,0.0,307.03043,11037.0,100.0,0.0,-0.13333552,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-67.41454,3.478555,125.81955,0.054604996,0.2183942,0.023034371,312.18033,312.2309,306.8805,306.92264,94.0,93.0,117.0,111.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04362298,0.043638814,0.053112265,0.05368575,0.0,0.0,0.0,0.0,21.229681,-679.3632,2331.684,860.6269,0.0,0.0,0.0,2.0,1.0,-2.8643785,0.019433187,0.0020489693,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.016867647,0.01691174,-4.14932E-4,-4.1949624E-4,1142.6093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.286905,-0.0017548567,-82.04548,-0.0013244338,0.0074111475,0.017738577,549697.44,119984.9,0.009379276,0.015094559,7716.201,7644.049,6781.7773,6990.0645,0.30799675,0.0,0.0,0.0
42.158535,42.158535,0.5,0.0,0.0,307.4214,11046.0,100.0,0.0,-0.1045695,0.0,8.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-68.5804,3.478825,121.71477,0.05684428,0.22689429,0.039808385,312.43942,312.43332,307.27036,307.30762,94.0,93.0,117.0,111.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04407143,0.04440377,0.053410817,0.05355658,0.0,0.0,0.0,0.0,2836.1675,2172.6963,-547.0767,-298.8785,0.0,0.0,0.0,2.0,1.0,-2.864057,0.019023215,0.0010955334,97.0,97.0,97.0,97.0,21.302864,21.302864,24.666473,24.666473,0.016425628,0.016318439,-4.2259874E-4,-4.1960878E-4,1143.5593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.344128,0.012300393,-82.14213,0.013580109,0.0057520163,-0.005956485,549706.25,119984.89,0.008407682,0.012490705,8039.386,8125.605,6630.5693,6679.199,0.30352116,0.0,0.0,0.0
