LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
2.918949,2.918949,0.033,0.0,0.0,276.21426,11134.0,100.0,0.0,0.117551684,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,98.69365,-2.8574812,331.1429,-0.023857333,0.4837463,0.030049328,281.7222,281.70963,276.07986,276.05557,503.0,503.0,565.0,568.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.042761005,0.042832628,0.052052923,0.051829897,11.101215,8.380785,2.1562724,0.73157245,-151.19612,-286.60742,3.902621,-45.77189,0.0,0.0,0.0,2.0,1.0,-1.3112413,-0.014114858,0.0025197268,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.019937774,0.019978661,-5.299152E-4,-5.1961414E-4,1152.8671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.15062,-0.08413954,19.712597,-0.0062841526,-0.004452304,-6.957941E-4,549800.4,119984.91,0.0146242445,0.018536754,6988.7207,6979.521,5727.4814,5622.9443,0.30843544,0.0,0.0,0.0
6.7629256,6.7629256,0.083,0.0,0.0,277.06073,11167.0,100.0,0.0,0.20107678,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,94.979996,-2.8614495,332.12973,-0.047662318,0.4775267,0.020419104,282.57797,282.55005,276.94583,276.8835,501.0,501.0,563.0,566.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.04300575,0.042900816,0.052143324,0.051805213,5.8230753,0.40769574,2.832189,-0.1401454,116.17987,69.79107,29.222673,63.045307,0.0,0.0,0.0,2.0,1.0,-1.3116348,-0.013918819,0.0024638176,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.019838363,0.01995696,-5.266855E-4,-5.170521E-4,1156.3593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.382866,-0.075295955,19.75419,-0.0049027638,-0.010923272,2.9121962E-4,549836.1,119984.92,0.014560818,0.018425277,7011.2827,6962.592,5776.6826,5617.3843,0.30831814,0.0,0.0,0.0
10.618678,10.618678,0.133,0.0,0.0,277.8961,11201.0,100.0,0.0,0.14912128,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,91.25474,-2.8651595,333.11832,-0.060891014,0.47120702,0.002183088,283.4196,283.38846,277.78552,277.71487,499.0,499.0,561.0,564.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.043024085,0.042853285,0.052169874,0.05177923,0.96403056,0.2132356,0.03442168,0.16339122,-3.3393464,109.51458,-94.4808,62.106537,0.0,0.0,0.0,2.0,1.0,-1.3122312,-0.013635273,0.0024267435,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.01979666,0.019915182,-5.182629E-4,-5.209047E-4,1159.9546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.61439,-0.07370949,19.78642,-0.0066960836,-0.011840327,0.0012589053,549871.5,119984.91,0.014598328,0.018473051,7002.691,6945.166,5769.433,5595.5586,0.30830383,0.0,0.0,0.0
13.195655,13.195655,0.183,0.0,0.0,278.44757,11222.0,100.0,0.0,0.14302415,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,88.76481,-2.8676364,333.77817,-0.07116181,0.4674063,4.0106624E-4,283.9544,283.9437,278.33533,278.26807,497.0,498.0,560.0,563.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.043066975,0.042850897,0.052216902,0.051772334,0.0,0.0,0.0,0.0,251.06815,-82.491325,135.55882,-1.9446014,0.0,0.0,0.0,2.0,1.0,-1.3126158,-0.013449913,0.0024180412,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.019709354,0.019891066,-5.168708E-4,-5.196234E-4,1162.1779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.768295,-0.07436038,19.803642,-0.0065289186,-0.011225533,0.0012309314,549894.44,119984.91,0.014492761,0.018398972,7032.7827,6927.5166,5812.548,5600.269,0.3082409,0.0,0.0,0.0
18.364985,18.364985,0.233,0.0,0.0,279.53665,11265.0,100.0,0.0,0.13018568,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,83.76964,-2.8726354,335.0995,-0.074304834,0.45954674,8.738139E-4,285.027,285.0186,279.41898,279.36273,494.0,495.0,557.0,560.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.043244377,0.043022793,0.0522672,0.051840547,1.8323957,5.316138,-0.59433275,2.0704417,-216.06532,110.46675,-151.33022,64.775345,0.0,0.0,0.0,2.0,1.0,-1.3132955,-0.0129368715,0.0023453236,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.01960323,0.019734275,-5.144439E-4,-5.1627663E-4,1166.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.07317,-0.07488338,19.834072,-0.0074578216,-0.009345044,2.5835773E-4,549939.7,119984.92,0.014296795,0.018126318,7047.1973,6985.6523,5831.3867,5648.8335,0.3079357,0.0,0.0,0.0
22.255268,22.255268,0.283,0.0,0.0,280.34244,11296.0,100.0,0.0,0.10332428,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,80.01002,-2.8762891,336.09177,-0.06884934,0.4540686,0.0069608586,285.80774,285.8049,280.2201,280.17346,492.0,493.0,555.0,558.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.043508213,0.043308824,0.052318357,0.05190182,2.7204304,6.2978263,-0.5424767,1.5599279,-306.79102,14.899663,-176.12723,33.648308,0.0,0.0,0.0,2.0,1.0,-1.3137088,-0.012556372,0.0022479296,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.019473856,0.019592602,-5.1220437E-4,-5.147556E-4,1170.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.29854,-0.07112434,19.85732,-0.007621059,-0.007672983,1.5233993E-5,549972.75,119984.91,0.0141045395,0.017754339,7087.9688,7032.0894,5862.993,5683.6865,0.30768394,0.0,0.0,0.0
26.156765,26.156765,0.333,0.0,0.0,281.13797,11327.0,100.0,0.0,0.10875453,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,76.239235,-2.8797607,337.0853,-0.06383456,0.44860914,0.0032531805,286.5928,286.58954,281.0132,280.9721,490.0,491.0,553.0,556.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.04367063,0.04351555,0.05233387,0.051945463,0.2928078,4.64268,-0.8015334,1.7635523,-264.90836,80.31875,-108.26735,89.82716,0.0,0.0,0.0,2.0,1.0,-1.3140593,-0.01214541,0.0021762848,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.019389598,0.019488728,-5.1186956E-4,-5.112357E-4,1173.2894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.52045,-0.06832957,19.882452,-0.007592552,-0.006868992,9.3223085E-4,550005.8,119984.91,0.013975679,0.017507143,7103.599,7059.9795,5874.0503,5708.824,0.3075199,0.0,0.0,0.0
30.06937,30.06937,0.383,0.0,0.0,281.9236,11357.0,100.0,0.0,0.062064797,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,72.45742,-2.8831346,338.0801,-0.05416334,0.44311467,-0.0012402467,287.3726,287.36478,281.7969,281.76016,488.0,488.0,551.0,554.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.043773785,0.04365549,0.052350823,0.05199245,-0.81494445,3.9806213,-1.0525434,1.9986925,-276.0261,138.72383,-135.96115,113.068504,0.0,0.0,0.0,2.0,1.0,-1.3143884,-0.011743507,0.0021297932,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.019323982,0.019390993,-5.072415E-4,-5.1222305E-4,1176.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.738945,-0.06730597,19.909685,-0.007836877,-0.0059169964,0.0011402047,550038.56,119984.9,0.013824699,0.017302634,7110.697,7082.6396,5885.6016,5736.92,0.30735493,0.0,0.0,0.0
32.68386,32.68386,0.433,0.0,0.0,282.44232,11377.0,100.0,0.0,0.041718997,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,69.93019,-2.8853664,338.74414,-0.04797087,0.43966576,0.0021554418,287.8751,287.87955,282.30948,282.28525,486.0,487.0,550.0,553.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0438818,0.043753885,0.052376125,0.05202245,0.0,0.0,0.0,0.0,80.050514,-39.3346,22.047756,-43.518833,0.0,0.0,0.0,2.0,1.0,-1.3145448,-0.0114671,0.002093792,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.019239862,0.019327508,-5.0653156E-4,-5.0966616E-4,1178.5847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.88241,-0.0666847,19.930649,-0.0098548755,-0.0038830813,0.001412052,550060.0,119984.91,0.013741509,0.017154085,7147.3467,7094.8066,5915.523,5752.5796,0.3071537,0.0,0.0,0.0
37.92724,37.92724,0.483,0.0,0.0,283.4661,11417.0,100.0,0.0,0.043239962,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,64.861534,-2.8896692,340.07437,-0.037017442,0.43200475,0.0049749953,288.87744,288.86752,283.33173,283.31113,484.0,484.0,547.0,550.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.04410389,0.04407268,0.052402724,0.052110925,2.0637362,5.2913275,0.30666587,1.4271586,-147.13254,197.75925,-25.387104,103.60031,0.0,0.0,0.0,2.0,1.0,-1.3147717,-0.0109084565,0.0019977093,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.019107863,0.019127024,-5.049314E-4,-5.0614454E-4,1181.0574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.16448,-0.06300669,19.97615,-0.008502273,-0.0033528386,9.4752375E-4,549282.8,119984.9,0.013534823,0.016783578,7168.9873,7162.551,5934.6733,5808.1055,0.30697155,0.0,0.0,0.0
