LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
0.6827481,0.6827481,0.016,0.0,0.0,272.5496,11197.0,100.0,0.0,0.06598585,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,101.043335,-2.861214,331.46268,-0.03777247,0.50764424,0.06211306,278.20685,278.2163,272.4066,272.39645,490.0,490.0,548.0,550.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.039632995,0.039583236,0.051367477,0.05106382,0.0,0.0,0.0,0.0,-422.5552,-491.59525,-115.925064,-147.9238,0.0,0.0,0.0,2.0,1.0,-1.3196979,-0.014490815,0.0030300617,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.020789666,0.020852132,-5.377498E-4,-5.326467E-4,1159.5323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.32401,-0.08204096,18.849838,-0.009889668,-0.0017042832,-0.0041420744,549867.7,119984.91,0.016970485,0.022691863,6657.4976,6621.9883,5423.292,5284.132,0.31537533,0.0,0.0,0.0
5.7453628,5.7453628,0.066,0.0,0.0,273.72928,11245.0,100.0,0.0,0.06589323,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,96.14382,-2.865552,332.7214,-0.03220158,0.4975123,0.023327498,279.41824,279.4105,273.59616,273.56885,487.0,487.0,546.0,548.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.040162906,0.040129956,0.051386245,0.0511034,-2.817437,-0.616461,-1.0907649,0.4470348,-388.65204,-142.84102,-45.584133,99.26854,0.0,0.0,0.0,2.0,1.0,-1.3199251,-0.014027328,0.002863884,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.02077103,0.02082027,-5.299883E-4,-5.3162983E-4,1164.6123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.64701,-0.05486903,18.90964,-0.0064163497,-0.0045232777,0.0024529616,549919.25,119984.9,0.016885672,0.022260353,6604.328,6589.3506,5379.993,5257.1504,0.31533146,0.0,0.0,0.0
9.556625,9.556625,0.116,0.0,0.0,274.60022,11282.0,100.0,0.0,0.054346167,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,92.45517,-2.8682792,333.66806,-0.03149519,0.49172494,-0.009861318,280.31512,280.30988,274.46625,274.44073,485.0,485.0,544.0,546.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.039876245,0.0398751,0.0513449,0.0510765,-6.020218,-4.1321664,-1.0047107,-0.4289299,22.530554,113.725624,-3.4466348,-33.33985,0.0,0.0,0.0,2.0,1.0,-1.3201444,-0.0136442855,0.0029156208,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.020813005,0.020865064,-5.2747177E-4,-5.3007883E-4,1168.5261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.88527,-0.056253277,18.95447,-0.0063135433,-0.0041743238,0.0024793963,549957.75,119984.9,0.0170319,0.02263505,6549.7725,6532.0303,5353.289,5228.898,0.31552792,0.0,0.0,0.0
13.37999,13.37999,0.166,0.0,0.0,275.4623,11316.0,100.0,0.0,0.020071378,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,88.754684,-2.8712244,334.61703,-0.0262696,0.48616505,-0.0010415406,281.15533,281.1564,275.3231,275.3084,483.0,483.0,542.0,544.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.039803676,0.039847273,0.051375143,0.0511229,1.175925,2.2928414,1.1014937,1.0894238,197.37032,120.01543,46.952057,-85.937965,0.0,0.0,0.0,2.0,1.0,-1.3202969,-0.013244356,0.002929449,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.02068725,0.02073118,-5.2390964E-4,-5.279305E-4,1172.1248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.12059,-0.05997272,19.000856,-0.007356389,-0.0022651486,0.0014175699,549993.94,119984.9,0.01693103,0.022623302,6590.885,6567.7754,5397.748,5277.361,0.31542492,0.0,0.0,0.0
17.215307,17.215307,0.216,0.0,0.0,276.31348,11349.0,100.0,0.0,0.03531987,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,85.04252,-2.8742385,335.56833,-0.023743905,0.47977024,0.0017598082,281.99088,281.99213,276.17316,276.16107,481.0,481.0,540.0,542.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.039954938,0.040018562,0.051418632,0.051180556,3.7883964,3.3981352,0.789687,0.37327406,60.8459,-150.79375,11.855363,-147.01186,0.0,0.0,0.0,2.0,1.0,-1.3203967,-0.01284486,0.002882719,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.020568248,0.020608468,-5.234813E-4,-5.2339287E-4,1175.6196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.3526,-0.06001996,19.047964,-0.0074301516,-0.00197527,6.5471465E-4,550029.8,119984.9,0.016769381,0.02238656,6618.322,6597.15,5421.3975,5306.9067,0.31521606,0.0,0.0,0.0
19.778744,19.778744,0.266,0.0,0.0,276.8754,11371.0,100.0,0.0,0.050018534,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,82.561325,-2.876233,336.2038,-0.02312497,0.476407,0.008347264,282.5434,282.5352,276.7374,276.72104,479.0,480.0,539.0,540.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.04008723,0.040167708,0.051449154,0.051225744,0.0,0.0,0.0,0.0,-29.0215,256.68735,-37.05471,144.08826,0.0,0.0,0.0,2.0,1.0,-1.3204767,-0.012578074,0.0028438568,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.020491987,0.02050053,-5.222607E-4,-5.2110374E-4,1177.9489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.50574,-0.05896166,19.079157,-0.0070443177,-0.0027393205,3.5135483E-4,550053.3,119984.91,0.01658324,0.022141486,6636.0586,6642.495,5446.5156,5353.3936,0.31513023,0.0,0.0,0.0
23.633648,23.633648,0.316,0.0,0.0,277.70908,11404.0,100.0,0.0,0.05020669,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,78.83003,-2.8791466,337.159,-0.02277653,0.4700775,0.010202992,283.36145,283.35226,277.5721,277.55435,477.0,478.0,537.0,538.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.04026443,0.04036049,0.05148924,0.05127583,0.0,0.0,0.0,0.0,-24.341053,214.88515,-28.565521,110.72158,0.0,0.0,0.0,2.0,1.0,-1.3206091,-0.012194874,0.0027860403,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.020372193,0.020382145,-5.1920296E-4,-5.186145E-4,1180.2511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.73279,-0.05687807,19.126009,-0.006583791,-0.0029773382,3.0566496E-4,549533.56,119984.9,0.016415073,0.021874784,6661.4526,6667.9023,5473.207,5383.7773,0.31491852,0.0,0.0,0.0
28.791452,28.791452,0.366,0.0,0.0,278.80206,11448.0,100.0,0.0,0.10611243,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,73.83744,-2.882858,338.43607,-0.034460425,0.46041927,0.0031274925,284.43854,284.43057,278.6735,278.63998,474.0,475.0,534.0,536.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.040495567,0.040505856,0.051562127,0.051293105,3.0004976,0.44591722,0.7782876,-0.7986277,-31.609837,-313.8989,-33.514194,-206.11432,0.0,0.0,0.0,2.0,1.0,-1.3208917,-0.011763661,0.002717495,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.020198895,0.020281145,-5.172044E-4,-5.129263E-4,1182.9568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.0317,-0.05409535,19.182579,-0.005827222,-0.0058029667,3.351312E-4,548676.4,119984.9,0.016347788,0.021690791,6695.751,6658.685,5506.1616,5373.796,0.31467342,0.0,0.0,0.0
32.673054,32.673054,0.416,0.0,0.0,279.6082,11479.0,100.0,0.0,0.11136523,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,70.07999,-2.8855255,339.39618,-0.042227656,0.4538365,-5.9838407E-4,285.23282,285.22372,279.48383,279.44266,472.0,473.0,532.0,534.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.040624823,0.04059589,0.051605016,0.051306438,1.5460699,-0.03017485,0.3737211,-0.60953194,-39.348003,-278.2255,-27.197596,-157.59315,0.0,0.0,0.0,2.0,1.0,-1.321216,-0.011429763,0.0026746988,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.020087339,0.020186761,-5.132528E-4,-5.1114376E-4,1184.7953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.25336,-0.052893445,19.219624,-0.0059621893,-0.0070067476,7.144003E-4,548045.06,119984.9,0.016268395,0.021554401,6714.941,6667.656,5529.1084,5384.609,0.31457996,0.0,0.0,0.0
36.565838,36.565838,0.466,0.0,0.0,280.4028,11511.0,100.0,0.0,0.11662104,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,66.311516,-2.8881562,340.35803,-0.050809283,0.44719386,-0.005844704,286.01614,286.00797,280.28207,280.2344,470.0,471.0,530.0,532.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.040743534,0.040662516,0.051655326,0.05131404,0.7704645,-1.182854,0.19758938,-1.2275575,-110.89592,-345.91104,-70.44821,-199.58315,0.0,0.0,0.0,2.0,1.0,-1.3215939,-0.011106333,0.0026404858,93.0,93.0,93.0,93.0,21.775778,21.775778,24.740557,24.740557,0.01997989,0.020103268,-5.0953997E-4,-5.093173E-4,1186.7466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.47305,-0.052881267,19.25139,-0.00608616,-0.008035838,8.5000874E-4,547421.6,119984.9,0.016148254,0.021400549,6731.3213,6667.9585,5553.202,5387.381,0.31445503,0.0,0.0,0.0
