LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
4.0390625,23566.768,0.05,0.0,0.0,252.22035,11318.0,100.0,0.0,0.36421978,0.0,6.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-458.38684,-3.3527718,338.99213,-0.26577544,-0.5781582,0.10724258,252.24597,252.18575,252.29651,252.16893,528.0,530.0,592.0,597.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.041588515,0.038020812,0.052895233,0.05141644,-53.633224,-90.04801,36.154835,32.04569,900.0686,2802.5596,-4899.0947,1661.8427,0.0,0.0,0.0,2.0,1.0,2.5018592,0.020594284,-1.5258789E-4,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,-5.9267135E-5,1.1531499E-4,6.5933134E-5,4.249175E-5,1172.3372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.739384,0.18380076,-56.270447,-0.025836116,-0.01954886,0.010234797,549996.4,0.0,0.013047962,0.020050554,7454.1064,6448.1973,6244.663,6038.412,0.31435585,0.0,0.0,0.0
6.373047,23569.102,0.1,0.0,0.0,252.1216,11020.0,100.0,0.0,0.12969665,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-456.99545,-3.3460164,337.1184,-0.17699029,0.17970209,0.115955286,257.126,257.18784,252.03304,251.96608,527.0,528.0,591.0,596.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.041526534,0.038751975,0.053702075,0.051660005,0.0,0.0,0.0,0.0,1266.9412,4199.883,2938.5608,-2254.812,0.0,0.0,0.0,2.0,1.0,2.5013738,0.02102508,-7.328987E-4,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.017759187,0.017774872,-4.0752688E-4,-3.630244E-4,1140.8115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.775272,0.22006981,-56.209503,0.07836014,-0.012810838,-0.015078232,549679.2,119984.91,0.010659826,0.018756958,7040.7656,6910.3647,6725.2573,5646.3945,0.31301498,0.0,0.0,0.0
11.058594,23573.787,0.15,0.0,0.0,253.61122,10550.0,100.0,0.0,0.040080026,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-454.19974,-3.3302922,333.36145,-0.051971138,0.6324342,0.06537954,259.591,259.13004,253.48021,253.44553,524.0,526.0,588.0,593.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.046936218,0.047458988,0.051714405,0.050943132,18.38453,103.76013,-40.95152,2.391189,-11317.875,-169.63622,-2436.8,1934.704,0.0,0.0,0.0,2.0,1.0,2.50087,0.025662314,-0.004967451,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.022745457,0.021639736,-5.9325644E-4,-5.866512E-4,1076.5377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0786,0.2625473,-56.49939,0.08735837,-0.0062399176,-0.06400907,541818.44,119984.9,0.015002392,0.014189986,6896.7554,7877.6343,5222.466,4844.315,0.3111019,0.0,0.0,0.0
14.591797,23577.32,0.2,0.0,0.0,254.74408,10285.0,100.0,0.0,0.03668024,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-452.09015,-3.317704,330.53027,-0.06655109,0.6447538,-0.08877543,259.97607,260.4986,254.60158,254.60757,522.0,523.0,586.0,591.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.047585644,0.04588123,0.049985625,0.051486447,-46.0761,-91.166046,13.330801,14.914422,-6369.736,-2092.9277,1894.7256,920.41327,0.0,0.0,0.0,2.0,1.0,2.5009124,0.024074145,-0.0030859709,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.02203588,0.023276191,-5.8285653E-4,-5.7876547E-4,1027.2683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.29268,0.23851053,-56.73242,-0.09477767,0.0024691094,0.036109183,530342.7,119984.9,0.016622558,0.014587127,7492.103,6661.6045,4580.736,5416.5474,0.31367683,0.0,0.0,0.0
18.138672,23580.867,0.25,0.0,0.0,255.67236,10311.0,100.0,0.0,-0.0045971028,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-449.9711,-3.3080966,327.6884,-0.017046645,0.5304539,-0.1940917,260.71527,261.09537,255.52614,255.54794,520.0,521.0,584.0,589.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04483481,0.04218996,0.050328027,0.051608596,-13.9311695,-35.543068,-2.2465734,-5.37917,4881.1367,3091.1516,71.601555,-869.71954,0.0,0.0,0.0,2.0,1.0,2.5010583,0.01875349,-0.0020282269,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.02022179,0.021298628,-5.397196E-4,-5.4108805E-4,1032.3936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.458084,0.14621754,-56.93105,-0.08013987,0.0036505542,0.10330903,531644.75,119984.91,0.016684791,0.017819585,7161.642,6735.0283,4651.1436,5288.216,0.3145752,0.0,0.0,0.0
20.509766,23583.238,0.3,0.0,0.0,256.2825,10329.0,100.0,0.0,-0.039866783,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-448.55402,-3.303124,325.7883,0.011670187,0.51340234,0.06128512,261.15802,261.52603,256.1311,256.1565,518.0,520.0,583.0,588.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.046243683,0.042796392,0.05164971,0.051641393,0.0,0.0,0.0,0.0,-2951.1133,3076.118,-1908.284,-143.069,0.0,0.0,0.0,2.0,1.0,2.5012004,0.015578428,-0.0023953915,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.0196544,0.020442706,-5.1232893E-4,-5.231679E-4,1035.8656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.55959,0.15784617,-57.066746,-0.014577145,0.0045464407,0.06256564,532503.1,119984.9,0.014947706,0.015816143,7470.4814,7190.663,5485.951,5665.0703,0.31258965,0.0,0.0,0.0
25.269531,23587.998,0.35,0.0,0.0,257.48254,10375.0,100.0,0.0,-0.32932833,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-445.71072,-3.291018,321.97388,0.09357111,0.5074516,0.10845538,262.41013,262.58704,257.29312,257.39755,515.0,517.0,580.0,585.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04783964,0.045900546,0.05131071,0.052329917,-44.541653,44.484882,-7.260963,8.2717085,-6728.535,790.5141,-2223.94,-146.50221,0.0,0.0,0.0,2.0,1.0,2.5020046,0.012565511,-0.00350976,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.019801434,0.019590534,-4.9569295E-4,-5.116474E-4,1044.8896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.72605,0.22016555,-57.358223,-1.1058524E-5,0.01822324,0.03678637,534760.5,119984.91,0.014355161,0.013571615,7582.402,7562.5195,5304.408,5903.5757,0.31074905,0.0,0.0,0.0
28.853516,23591.582,0.4,0.0,0.0,258.3712,10412.0,100.0,0.0,-0.31170636,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-443.57162,-3.2790186,319.09988,0.1235698,0.49331918,0.09581582,263.4518,263.4256,258.1807,258.30542,513.0,515.0,578.0,583.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04822487,0.04718164,0.051240727,0.052043956,-3.3266096,6.311908,-1.8824636,4.284605,-3806.8186,-1928.9103,-224.74226,1357.7206,0.0,0.0,0.0,2.0,1.0,2.503029,0.011005775,-0.0042173862,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.0196075,0.019360764,-5.0660875E-4,-4.905338E-4,1052.2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.82945,0.26325414,-57.58879,-0.007456366,0.02051908,0.0091798855,536589.7,119984.91,0.0137709705,0.0129711805,7548.9414,7591.236,5254.5967,5645.49,0.3109541,0.0,0.0,0.0
32.44922,23595.178,0.45,0.0,0.0,259.25385,10445.0,100.0,0.0,-0.2311792,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-441.4276,-3.2652287,316.2143,0.12706102,0.5043993,-0.12514871,264.16653,264.42056,259.0597,259.1738,511.0,513.0,576.0,581.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.047050413,0.04725168,0.04965614,0.05223419,-8.230804,3.120303,-87.30411,6.633773,927.6553,429.24725,-4096.309,416.1983,0.0,0.0,0.0,2.0,1.0,2.5039756,0.009600755,-0.004386902,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.019454515,0.019658199,-5.542264E-4,-5.261411E-4,1058.8224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.92558,0.26175755,-57.82283,-0.0885795,0.018145923,0.07451006,538259.5,119984.91,0.01813227,0.013742879,7569.715,7571.871,3934.3716,5310.6665,0.30929756,0.0,0.0,0.0
34.853516,23597.582,0.5,0.0,0.0,259.82846,10476.0,100.0,0.0,-0.12009057,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-439.9955,-3.2562416,314.28418,0.117265075,0.48043615,0.08663691,265.19324,264.9512,259.66623,259.7357,510.0,511.0,575.0,580.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.047473356,0.046141677,0.052278623,0.05167025,0.0,0.0,0.0,0.0,-3383.8342,1477.146,-4594.127,2345.055,0.0,0.0,0.0,2.0,1.0,2.5044482,0.0077544665,-0.0037394762,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.020493273,0.019616049,-4.9288664E-4,-4.6715228E-4,1064.9473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.993088,0.28122512,-57.97141,0.0069490788,0.010471602,-0.0028116063,539771.06,119984.9,0.013277562,0.014506566,7173.6875,7426.8105,5793.834,5889.2554,0.31207275,0.0,0.0,0.0
