LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
2.4765625,23565.205,0.033,0.0,0.0,250.4495,10434.0,100.0,0.0,1.3510203,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-459.33154,-3.353328,340.2348,-0.7679658,0.60731083,-0.14354955,255.45544,256.12625,250.54016,250.05261,485.0,487.0,549.0,554.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.045096163,0.039654385,0.052037243,0.04946666,35.87924,-25.567932,5.8543677,-6.582364,10733.328,2937.4075,1122.5043,-2071.966,0.0,0.0,0.0,2.0,1.0,2.496514,0.019065188,-0.0014026165,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.020299422,0.023752552,-5.0774845E-4,-6.0844E-4,1056.5968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.563774,0.13208093,-55.7882,-0.039678942,-0.07713981,0.064891666,537694.4,119984.9,0.017626096,0.017911421,8265.169,6107.0938,5429.0815,4471.801,0.31851673,0.0,0.0,0.0
4.8007812,23567.53,0.083,0.0,0.0,251.10478,10458.0,100.0,0.0,0.91154945,100.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-457.94092,-3.3484874,338.37497,-0.5989162,0.55510086,0.10366577,256.3641,256.41382,251.137,250.7806,484.0,485.0,548.0,553.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.0472815,0.04087171,0.052992765,0.05004697,0.0,0.0,0.0,0.0,-7761.2793,4426.6235,-2332.3416,188.93478,0.0,0.0,0.0,2.0,1.0,2.4942818,0.018778559,-0.0023232698,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.021081662,0.021656133,-4.9566687E-4,-5.435392E-4,1061.3951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.842354,0.15994109,-55.807167,0.053504013,-0.05831794,0.004516868,538896.6,119984.91,0.013791753,0.016520863,7419.1465,6858.3643,6261.6772,4977.4785,0.3156147,0.0,0.0,0.0
9.464844,23572.193,0.133,0.0,0.0,252.41797,10507.0,100.0,0.0,-0.10410077,100.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-455.1354,-3.334708,334.6506,-0.26290673,0.5435661,0.26178673,257.72516,257.42566,252.31116,252.26309,481.0,483.0,545.0,550.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.0481352,0.047354884,0.052982137,0.0507114,-3.6750731,28.83352,54.74813,7.6413894,-539.8616,-4631.45,5305.476,-462.21158,0.0,0.0,0.0,2.0,1.0,2.4922364,0.023263192,-0.004475355,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.020257775,0.020080963,-4.9244135E-4,-5.369216E-4,1070.6586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.273876,0.26858786,-55.938496,0.080045685,-0.0067688385,-0.056198772,541064.8,119984.89,0.0120297745,0.013074011,7490.216,7528.5522,6573.251,5343.5986,0.3148899,0.0,0.0,0.0
12.978516,23575.707,0.183,0.0,0.0,253.3977,10542.0,100.0,0.0,-0.82747376,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-453.01624,-3.3206782,331.84882,-0.016817093,0.57332015,-0.05322689,258.15347,258.71402,253.1464,253.37851,479.0,481.0,543.0,548.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.047559958,0.047409076,0.049667124,0.051130585,49.375664,-28.554796,-60.61971,4.6748667,8188.944,-1570.782,-629.1524,-168.02695,0.0,0.0,0.0,2.0,1.0,2.49328,0.02587429,-0.004112959,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.019516245,0.020486666,-5.355842E-4,-5.9921195E-4,1075.4424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.466187,0.26865453,-56.134274,-0.05763126,0.043756884,-0.017552773,541677.94,119984.9,0.018656557,0.012262809,8225.592,7328.115,4142.411,4885.742,0.31502342,0.0,0.0,0.0
15.330078,23578.059,0.233,0.0,0.0,254.00508,10596.0,100.0,0.0,-0.96415377,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-451.59933,-3.3125784,329.97485,0.15519898,0.51528287,-0.20289692,259.80176,259.71774,253.7138,254.04497,478.0,480.0,542.0,547.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04499941,0.04417466,0.04954782,0.051951233,0.0,0.0,0.0,0.0,-6326.7134,-387.17694,3077.593,-15.758057,0.0,0.0,0.0,2.0,1.0,2.4950573,0.02392991,-0.0019954443,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.02354673,0.021642571,-4.8687408E-4,-4.8637297E-4,1082.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.53505,0.21316332,-56.293957,-0.09459029,0.05721775,0.06421687,542613.9,119984.89,0.01693814,0.019091705,6151.455,6544.861,4738.516,5776.394,0.31990337,0.0,0.0,0.0
18.865234,23581.594,0.283,0.0,0.0,254.97221,10615.0,100.0,0.0,-0.64574313,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-449.47037,-3.3048499,327.153,0.2231865,0.5549939,-0.06929841,259.98068,260.46814,254.68709,254.98636,476.0,478.0,540.0,545.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.044968095,0.04193332,0.05025169,0.051704053,0.0,0.0,0.0,0.0,6930.4517,3246.0356,-482.2343,1453.1938,0.0,0.0,0.0,2.0,1.0,2.4978077,0.017338252,-0.0019881725,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.020254793,0.021293242,-5.5085885E-4,-5.1838375E-4,1085.4324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.616188,0.122747555,-56.569542,-0.042514235,0.049342696,0.07657671,542949.94,119984.89,0.015667044,0.017327664,7634.2554,6971.163,5002.5215,5495.3867,0.31737423,0.0,0.0,0.0
22.416016,23585.145,0.333,0.0,0.0,255.9128,10647.0,100.0,0.0,-0.44607115,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-447.3382,-3.2976727,324.31696,0.25018728,0.5388634,0.011769569,260.85394,261.18472,255.65695,255.87808,474.0,476.0,538.0,543.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.0464523,0.045387104,0.049669273,0.052504677,0.0,0.0,0.0,0.0,65.04352,-1426.0765,1227.2579,-640.7126,0.0,0.0,0.0,2.0,1.0,2.4998507,0.015002309,-0.0029956102,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.020272924,0.020248171,-5.5425207E-4,-5.104346E-4,1089.8438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.669792,0.1494097,-56.856064,-0.052675307,0.0352654,0.08008285,543518.06,119984.91,0.017625196,0.0148241,7632.3315,7496.949,4563.5625,5834.7676,0.31428242,0.0,0.0,0.0
27.167969,23589.896,0.383,0.0,0.0,257.14667,10694.0,100.0,0.0,-0.36459234,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-444.49072,-3.2841275,320.5138,0.20830044,0.539495,0.10457853,262.21594,262.11664,256.94852,257.0722,472.0,473.0,536.0,541.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.047716934,0.047936395,0.051317997,0.051950686,60.641388,60.026047,-16.366838,-23.24894,7127.272,866.7693,-2080.5088,-627.0334,0.0,0.0,0.0,2.0,1.0,2.5015714,0.011123754,-0.0046647787,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.01956165,0.019365108,-5.2478944E-4,-5.079629E-4,1096.2975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.75342,0.2408927,-57.221313,0.011486395,0.01920646,0.034300648,544333.75,119984.89,0.014392598,0.01237541,8034.917,7960.7363,5144.288,5506.763,0.31149578,0.0,0.0,0.0
30.748047,23593.477,0.433,0.0,0.0,258.0405,10747.0,100.0,0.0,-0.28734595,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-442.35117,-3.2713954,317.64594,0.14764613,0.50436,-0.13519822,263.3603,263.56863,257.85825,257.96207,470.0,471.0,534.0,539.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.04606496,0.046656974,0.050438233,0.05209479,-70.58166,-79.94771,68.11871,-31.745504,2904.0137,-2110.496,8198.305,-3712.0696,0.0,0.0,0.0,2.0,1.0,2.502531,0.005920461,-0.00393939,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.02078389,0.021295533,-5.0729426E-4,-4.9657276E-4,1103.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.828693,0.23526244,-57.47496,-0.11889574,0.016322553,0.14150676,545253.3,119984.89,0.015747951,0.01604449,7165.8804,6879.355,5158.966,5671.621,0.3110447,0.0,0.0,0.0
33.140625,23595.87,0.483,0.0,0.0,258.65378,10761.0,100.0,0.0,-0.16828965,0.0,7.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-440.92236,-3.264169,315.72717,0.12141089,0.5256209,-0.029192474,263.68896,263.91586,258.48898,258.5546,468.0,470.0,533.0,537.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,0.047125585,0.04521421,0.051144484,0.051341362,0.0,0.0,0.0,0.0,4221.971,2442.6204,333.00955,485.1982,0.0,0.0,0.0,2.0,1.0,2.5029752,0.001344478,-0.0037360191,97.0,97.0,97.0,97.0,21.710573,21.710573,24.666473,24.666473,0.019639185,0.020445887,-5.206102E-4,-5.0961564E-4,1105.5236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.89645,0.21160337,-57.637,-0.05145549,0.010220402,0.0565165,545497.0,119984.89,0.015241143,0.014377728,7819.249,7263.924,5326.5293,5261.6133,0.30910873,0.0,0.0,0.0
