LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
2.5041707,2.5041707,0.05,0.0,0.0,259.76898,10494.0,100.0,0.0,0.5889479,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,722.255,-11.87379,60.532127,-0.08425688,0.5188695,0.1929819,265.46478,265.57016,259.69345,259.54156,291.0,291.0,393.0,388.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.037606746,0.037285056,0.05215312,0.05302284,0.0,0.0,0.0,0.0,1642.303,-8652.818,692.4122,629.63513,0.0,0.0,0.0,2.0,1.0,-2.9829006,0.0035016083,0.0026026964,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.021625526,0.022734404,-5.710095E-4,-5.542478E-4,1068.4982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.394568,0.113898546,-71.25262,0.047416233,-0.026291387,0.13479732,540641.94,119984.9,0.011829562,0.021137081,7200.398,6490.636,6008.9336,6541.021,0.30805397,0.0,0.0,0.0
6.127829,6.127829,0.1,0.0,0.0,260.7037,10526.0,100.0,0.0,0.61084884,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,721.6857,-11.8674345,56.96256,-0.12985967,0.544557,0.014386865,266.4369,266.21466,260.65723,260.44006,290.0,290.0,391.0,386.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.038866136,0.035872392,0.05199896,0.05156601,0.0,0.0,0.0,0.0,-2591.5498,8899.568,-398.88464,1206.2161,0.0,0.0,0.0,2.0,1.0,-2.9845264,-5.8087375E-4,0.0012184381,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.021646874,0.021803088,-5.7863124E-4,-6.0347584E-4,1073.2544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.374634,0.12649556,-71.5187,0.0011009467,-0.036077995,0.026483169,541397.56,119984.91,0.015517415,0.021789903,7194.3433,7263.5093,5441.713,5209.547,0.31069946,0.0,0.0,0.0
9.764101,9.764101,0.15,0.0,0.0,261.57806,10588.0,100.0,0.0,0.490099,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,721.1184,-11.860886,53.380005,-0.18293068,0.5076569,-0.042620756,267.59152,268.24637,261.52493,261.33896,289.0,288.0,390.0,385.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.037078988,0.035486754,0.052496508,0.051375918,0.0,0.0,0.0,0.0,21.63185,-242.94112,-520.0669,498.20682,0.0,0.0,0.0,2.0,1.0,-2.986218,-0.0016244713,0.0022679567,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.022672962,0.02586231,-5.4651784E-4,-5.592415E-4,1081.7542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.32317,0.1247737,-71.77276,-0.014711844,-0.03120707,-0.0039315843,542489.9,119984.9,0.01570281,0.02532759,6730.8506,6393.0483,5962.726,5457.991,0.31206608,0.0,0.0,0.0
13.413152,13.413152,0.183,0.0,0.0,262.4987,10608.0,100.0,0.0,0.41550612,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,720.5533,-11.855285,49.784264,-0.17497239,0.50871193,-0.038285725,268.39407,268.4283,262.43268,262.26703,288.0,287.0,389.0,384.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.035973504,0.035075583,0.05229872,0.051625427,-10.171606,1.3216584,-3.5027413,2.4640558,776.8883,481.59058,133.72151,-194.72835,0.0,0.0,0.0,2.0,1.0,-2.9876735,-0.0010247519,0.0023860931,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.022247575,0.02293674,-5.518981E-4,-5.5919803E-4,1084.4806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.280447,0.10202996,-72.03838,7.4642344E-4,-0.027938915,-0.0034936245,542831.8,119984.91,0.015760971,0.025779316,6809.082,6595.4717,5807.9844,5514.498,0.3122053,0.0,0.0,0.0
17.074768,17.074768,0.25,0.0,0.0,263.3856,10641.0,100.0,0.0,0.4365564,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,719.99066,-11.85032,46.175526,-0.19153434,0.4990006,0.017971199,269.23254,269.2727,263.3191,263.15604,287.0,286.0,387.0,382.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.036388844,0.035394344,0.052512597,0.051725026,0.0,0.0,0.0,0.0,24.206884,-71.13215,-55.575367,-60.993427,0.0,0.0,0.0,2.0,1.0,-2.9890656,-0.0011983931,0.0023041964,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.021935241,0.022689542,-5.4985785E-4,-5.4893945E-4,1089.0183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.227018,0.10181103,-72.29605,0.004345867,-0.02778532,0.0036252632,543412.6,119984.89,0.015208015,0.025153758,6960.885,6673.2754,5995.847,5628.5674,0.31185913,0.0,0.0,0.0
20.748701,20.748701,0.3,0.0,0.0,264.26144,10677.0,100.0,0.0,0.36447725,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,719.4307,-11.845132,42.553986,-0.18684918,0.49283502,-0.13105746,270.17645,270.1591,264.18967,264.03586,285.0,285.0,386.0,381.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.036412306,0.035375327,0.05234336,0.051533803,0.0,0.0,0.0,0.0,-1651.4224,-1538.1797,-1201.549,-1130.9265,0.0,0.0,0.0,2.0,1.0,-2.9904213,-0.0012114383,0.0020381212,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.02217008,0.022630025,-5.497854E-4,-5.581884E-4,1093.9698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.1721325,0.08907882,-72.55074,-0.0030962585,-0.025869329,-0.0014658272,544042.9,119984.9,0.014182701,0.024127582,6766.426,6492.4746,5613.0693,5248.613,0.3106184,0.0,0.0,0.0
24.43494,24.43494,0.35,0.0,0.0,265.1446,10708.0,100.0,0.0,0.2867763,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,718.87354,-11.841231,38.919678,-0.1777319,0.49878815,0.016532946,270.93365,270.94077,265.06226,264.93042,284.0,284.0,385.0,380.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.036747362,0.035794523,0.052600298,0.051841874,0.0,0.0,0.0,0.0,377.89636,310.33154,-41.949745,-75.6919,0.0,0.0,0.0,2.0,1.0,-2.991621,-0.001135721,0.0023236275,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.021703586,0.022135433,-5.459149E-4,-5.565636E-4,1098.2188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.120317,0.0781211,-72.806885,-0.0035809663,-0.022043603,-0.0011583059,544574.75,119984.9,0.011669719,0.0218968,7049.3154,6784.3433,6096.1406,5751.542,0.30804062,0.0,0.0,0.0
28.133465,28.133465,0.4,0.0,0.0,266.01804,10743.0,100.0,0.0,0.19695875,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,718.31866,-11.837551,35.272667,-0.1531692,0.49264503,-0.049067367,271.82568,271.84537,265.9198,265.82413,283.0,283.0,383.0,379.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.03698761,0.036152,0.052462343,0.051796548,0.0,0.0,0.0,0.0,-516.92865,-548.48486,41.078022,44.202797,0.0,0.0,0.0,2.0,1.0,-2.9925528,-9.830948E-4,0.0028921366,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.021683361,0.02206895,-5.4415833E-4,-5.5493857E-4,1103.0602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.078173,0.064355426,-73.05873,-0.020294791,-0.015845854,-3.4188875E-4,545193.44,119984.9,0.011262061,0.02090335,6977.1597,6754.6245,5901.539,5605.38,0.30716324,0.0,0.0,0.0
31.84406,31.84406,0.45,0.0,0.0,266.86627,10782.0,100.0,0.0,0.13842426,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,717.7656,-11.833805,31.613245,-0.123633936,0.47430813,-0.16703512,272.7921,272.82526,266.75497,266.69006,282.0,281.0,382.0,377.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.036843807,0.036147248,0.052235067,0.051687177,0.0,0.0,0.0,0.0,-1529.5966,-1520.9867,-272.61972,-264.54623,0.0,0.0,0.0,2.0,1.0,-2.9931939,-7.8313064E-4,0.0039327145,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.022069378,0.022392925,-5.367426E-4,-5.452488E-4,1108.4235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.04803,0.051200703,-73.3016,-0.033233218,-0.010667041,9.898827E-4,545862.7,119984.89,0.014500894,0.023812786,6700.0776,6527.6987,5596.547,5356.3745,0.3102913,0.0,0.0,0.0
35.5663,35.5663,0.5,0.0,0.0,267.70358,10820.0,100.0,0.0,0.1509066,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,717.21387,-11.834827,27.94192,-0.10401465,0.4804956,-0.24870153,273.7495,273.78265,267.58704,267.53082,281.0,280.0,381.0,376.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.034590818,0.034019776,0.051826604,0.05137145,0.0,0.0,0.0,0.0,1327.8408,1328.8734,543.72394,555.12335,0.0,0.0,0.0,2.0,1.0,-2.9936957,-6.3850684E-4,0.0054205656,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.022584125,0.022894198,-5.432473E-4,-5.45327E-4,1113.6735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.028385,-0.08263333,-73.53973,-0.029239634,-0.009453185,0.0018566905,546521.94,119984.9,0.017197886,0.026970683,6485.123,6339.3105,5516.1147,5314.872,0.31335735,0.0,0.0,0.0
