LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
2.8523786,2.8523786,0.05,0.0,0.0,256.0049,10541.0,100.0,0.0,0.493414,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,722.5355,-11.872828,60.142193,0.029321894,0.5547707,0.47058082,261.7804,262.0553,255.8992,255.79362,310.0,310.0,413.0,409.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.03473983,0.03327733,0.04986295,0.05647376,0.0,0.0,0.0,0.0,3772.352,-196.6461,-4772.977,17165.25,0.0,0.0,0.0,2.0,1.0,-2.9920096,0.0114946375,0.0025324821,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.022842862,0.023785345,-5.5126165E-4,-5.514497E-4,1075.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.533123,0.12129228,-70.327965,0.13508587,-0.018556971,0.22596455,541669.2,119984.9,0.009472669,0.024004973,7003.4355,6362.4863,5697.0254,8881.091,0.30865288,0.0,0.0,0.0
6.4246435,6.4246435,0.1,0.0,0.0,257.00424,10563.0,100.0,0.0,0.32424304,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,722.0085,-11.864194,56.618473,-0.035725906,0.58540237,0.23758456,262.38498,262.5305,256.9302,256.7791,309.0,308.0,412.0,408.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04195106,0.037226483,0.050991785,0.050912682,0.0,0.0,0.0,0.0,-10627.648,22637.064,-784.4924,3420.9958,0.0,0.0,0.0,2.0,1.0,-2.99309,-4.5013073E-4,-8.325577E-4,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.020875728,0.020991495,-5.8578094E-4,-6.399137E-4,1078.3275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.546226,0.21353586,-70.60647,-0.009974042,-0.022432897,0.1533772,542051.3,119984.9,0.016533306,0.017774267,7687.847,8287.961,4816.5757,4654.333,0.31351376,0.0,0.0,0.0
10.0099745,10.0099745,0.15,0.0,0.0,257.89612,10653.0,100.0,0.0,0.08071684,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,721.48114,-11.853062,53.081627,-0.043118775,0.51922655,-0.12459538,264.31146,265.08218,257.77887,257.71967,308.0,307.0,411.0,406.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.036186118,0.033402536,0.051547684,0.05070018,0.0,0.0,0.0,0.0,-986.70404,763.1016,-1359.2898,949.24713,0.0,0.0,0.0,2.0,1.0,-2.9937818,-0.0026509746,0.0022507906,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.024688303,0.027936917,-5.389137E-4,-6.0395635E-4,1090.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.54787,0.20402145,-70.856735,-0.046215896,-0.007619507,-0.02755966,543612.8,119984.89,0.018615317,0.028529273,6018.728,5777.827,5435.4253,5154.1826,0.3195362,0.0,0.0,0.0
13.608144,13.608144,0.2,0.0,0.0,258.8276,10693.0,100.0,0.0,0.13440795,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,720.9532,-11.845282,49.531956,-0.045302007,0.524449,-0.2839175,265.32648,266.08728,258.6845,258.66138,306.0,306.0,409.0,405.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.03201183,0.031150464,0.051030137,0.050404783,0.0,0.0,0.0,0.0,2032.1888,-1258.2777,1011.38043,-2495.2856,0.0,0.0,0.0,2.0,1.0,-2.99395,-0.001476238,0.0031405687,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.025057625,0.028247697,-5.688691E-4,-6.118242E-4,1096.1708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.566517,0.10039528,-71.115776,-0.017333094,-0.002270216,-0.038546253,544321.7,119984.9,0.020434408,0.032055046,5914.361,5673.216,5001.3164,4505.2456,0.32191277,0.0,0.0,0.0
17.21939,17.21939,0.25,0.0,0.0,259.7726,10719.0,100.0,0.0,0.12662242,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,720.4242,-11.842234,45.969242,-0.027701057,0.53072673,-0.103573866,266.01205,266.66406,259.62836,259.6099,305.0,305.0,408.0,404.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.031646777,0.031855464,0.050965074,0.051025227,0.0,0.0,0.0,0.0,948.1742,-14.095,27.51946,-1478.0311,0.0,0.0,0.0,2.0,1.0,-2.9940383,-5.1848918E-5,0.0033078194,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.024111249,0.026649082,-5.687148E-4,-6.017865E-4,1099.7354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.591708,0.037140943,-71.37748,-0.001007905,-0.0016846791,-0.004662521,544767.2,119984.89,0.017962543,0.030367889,6228.9487,6249.2266,5147.6475,5142.7886,0.31973457,0.0,0.0,0.0
20.843742,20.843742,0.3,0.0,0.0,260.70908,10746.0,100.0,0.0,0.12271833,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,719.894,-11.840144,42.393513,-0.025397588,0.5293468,0.08742587,266.69482,267.33517,260.5683,260.53955,304.0,303.0,406.0,402.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.033825174,0.0336383,0.051687416,0.05155132,0.0,0.0,0.0,0.0,317.2247,459.1003,-386.64038,-339.60785,0.0,0.0,0.0,2.0,1.0,-2.9941807,-2.2475146E-4,0.0027760267,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.023022348,0.025569808,-5.627277E-4,-5.979185E-4,1103.4723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.61623,0.057513773,-71.6368,0.017837973,-0.0033643292,1.8036878E-4,545244.9,119984.89,0.014206758,0.026082598,6699.349,6656.742,5694.068,5623.6064,0.31542778,0.0,0.0,0.0
24.481043,24.481043,0.35,0.0,0.0,261.63477,10783.0,100.0,0.0,0.16471246,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,719.36255,-11.836105,38.804893,-0.028046012,0.5207902,0.058297593,267.6008,268.2319,261.4964,261.46826,303.0,302.0,405.0,401.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.035272192,0.035080068,0.05167375,0.05154289,0.0,0.0,0.0,0.0,-1187.9368,-1196.1041,-92.697136,-113.51107,0.0,0.0,0.0,2.0,1.0,-2.9943335,-2.0978018E-4,0.0024296045,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.022776408,0.025264295,-5.625493E-4,-5.918452E-4,1108.5565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.641555,0.096887626,-71.89295,-0.005258169,-0.0034893309,4.2685273E-4,545877.56,119984.9,0.012568141,0.023116205,6735.829,6700.592,5558.667,5500.9395,0.31308365,0.0,0.0,0.0
28.131115,28.131115,0.4,0.0,0.0,262.53326,10824.0,100.0,0.0,0.2180482,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,718.8299,-11.828919,35.203587,-0.035762597,0.49673802,-0.06120333,268.64105,269.2689,262.40604,262.3616,301.0,301.0,404.0,399.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.035684034,0.035595775,0.051587764,0.051362023,0.0,0.0,0.0,0.0,-2156.214,-3218.7979,-406.55576,-494.49203,0.0,0.0,0.0,2.0,1.0,-2.9945884,-3.4678835E-4,0.0028522015,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.023083963,0.025651652,-5.52707E-4,-5.792391E-4,1114.2544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.661786,0.14856513,-72.142166,-0.025422173,-0.0064001665,0.0060424004,546605.0,119984.89,0.015548081,0.025186606,6496.4375,6433.0293,5298.75,5184.908,0.31579494,0.0,0.0,0.0
31.793417,31.793417,0.45,0.0,0.0,263.41586,10873.0,100.0,0.0,0.2616765,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,718.2964,-11.825384,31.59009,-0.048601,0.51353824,-0.24468403,269.8162,270.49777,263.2991,263.23108,300.0,300.0,402.0,398.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.03249742,0.032193176,0.050924145,0.05070881,0.0,0.0,0.0,0.0,1701.3921,1868.7487,875.2717,882.7015,0.0,0.0,0.0,2.0,1.0,-2.9950247,-3.1774185E-4,0.0045330524,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.024295012,0.027103506,-5.623281E-4,-5.92401E-4,1121.0227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.675867,0.006863078,-72.38806,-0.03512052,-0.010290392,0.0049496833,547446.94,119984.89,0.018054338,0.028717684,6078.168,6018.6377,5091.0156,4995.6064,0.31869316,0.0,0.0,0.0
35.468136,35.468136,0.5,0.0,0.0,264.30228,10905.0,100.0,0.0,0.3169796,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,717.76245,-11.827829,27.964148,-0.07078371,0.5042284,-0.16289091,270.61502,271.2954,264.19626,264.1058,299.0,299.0,401.0,397.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.031810805,0.031417996,0.05116222,0.05084577,0.0,0.0,0.0,0.0,1202.1256,812.8434,274.52405,247.38011,0.0,0.0,0.0,2.0,1.0,-2.9956517,-4.5691608E-4,0.0059432983,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.023849064,0.026745444,-5.5680436E-4,-5.851345E-4,1125.4744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.680346,-0.09223211,-72.63623,-0.021308225,-0.014171614,0.006238218,548008.06,119984.9,0.01946008,0.03054315,6234.8667,6120.135,5305.2803,5154.62,0.32018757,0.0,0.0,0.0
39.155056,39.155056,0.55,0.0,0.0,265.16586,10942.0,100.0,0.0,0.28975263,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,717.2285,-11.834316,24.32591,-0.080089435,0.48473188,-0.28551492,271.57126,272.19678,265.06082,264.96515,298.0,297.0,399.0,395.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.031742025,0.031339806,0.05107368,0.050700456,0.0,0.0,0.0,0.0,-1533.66,-1147.0868,-1435.6522,-1423.7433,0.0,0.0,0.0,2.0,1.0,-2.9963899,-5.36529E-4,0.006643176,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.02406572,0.026805999,-5.5435253E-4,-5.90245E-4,1130.6355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.676799,-0.17981784,-72.87904,-0.01781575,-0.01471474,0.0054968614,548659.5,119984.9,0.020078097,0.031247504,6029.422,5975.4023,4916.5327,4743.9785,0.32100677,0.0,0.0,0.0
42.8541,42.8541,0.6,0.0,0.0,266.03793,10964.0,100.0,0.0,0.25829816,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,716.6946,-11.844768,20.675463,-0.092265524,0.49237055,0.0552084,272.09268,272.76944,265.92603,265.8434,297.0,296.0,398.0,394.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.033197086,0.032762032,0.051893603,0.0514562,0.0,0.0,0.0,0.0,2222.3708,1601.2115,-121.3029,-202.72131,0.0,0.0,0.0,2.0,1.0,-2.9970667,-6.270651E-4,0.0067762136,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.022732971,0.025544994,-5.442934E-4,-5.7712774E-4,1133.708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.669076,-0.20919849,-73.12491,0.016504938,-0.012604028,-8.7821344E-4,549046.56,119984.89,0.017520402,0.02944575,6723.664,6546.8457,5901.073,5695.605,0.31883335,0.0,0.0,0.0
46.56509,46.56509,0.65,0.0,0.0,266.89142,10992.0,100.0,0.0,0.16001955,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,716.1616,-11.854008,17.01284,-0.07995206,0.47983995,0.1330395,272.8034,273.4346,266.7676,266.7071,295.0,295.0,397.0,393.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.03569219,0.035205454,0.052211504,0.051844083,0.0,0.0,0.0,0.0,-614.52094,-479.57883,-240.46,-218.7073,0.0,0.0,0.0,2.0,1.0,-2.9976149,-5.1947293E-4,0.005607605,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.022126073,0.024672706,-5.383027E-4,-5.786885E-4,1137.6063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.661869,-0.1567865,-73.36567,0.02505732,-0.008535101,-0.006782257,549531.1,119984.89,0.015804393,0.026165094,6959.883,6843.618,5954.8916,5794.1494,0.3166561,0.0,0.0,0.0
50.288048,50.288048,0.7,0.0,0.0,267.75284,11012.0,100.0,0.0,0.15507664,0.0,7.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,715.6287,-11.860294,13.338167,-0.048205264,0.47635707,0.12043454,273.5769,273.62732,267.6269,267.58264,294.0,294.0,395.0,391.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.03680433,0.03651302,0.052102767,0.05187765,0.0,0.0,0.0,0.0,-767.6884,-783.5,-31.797592,32.441315,0.0,0.0,0.0,2.0,1.0,-2.997968,-3.1018083E-4,0.0047011375,89.0,89.0,89.0,89.0,21.02244,21.02244,23.278507,23.278507,0.021713942,0.022057649,-5.4417737E-4,-5.40537E-4,1139.9646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.667783,-0.09811769,-73.606705,0.007008668,-0.0076309526,-0.005424849,549670.2,119984.89,0.015230706,0.024251537,7014.9937,6952.3154,5829.558,5740.4834,0.31532574,0.0,0.0,0.0
