LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
2.8553576,2.8553576,0.033,0.0,0.0,228.34761,10682.0,100.0,0.0,0.17114723,0.0,6.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-236.4498,13.601887,-675.2131,-0.08256507,0.83152163,-0.0065973587,234.7494,234.76123,228.21931,228.14299,545.0,544.0,605.0,603.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.036828943,0.036647458,0.049668077,0.04911401,10.607689,9.617507,2.522394,2.8815863,461.4606,324.30585,-92.99218,-82.38405,0.0,0.0,0.0,2.0,1.0,-2.5417457,-0.017100079,-0.015701413,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.027964558,0.028329924,-7.119696E-4,-7.327964E-4,1094.6367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.85136,1.1347973,-52.313892,-0.0046998537,-0.011948917,-0.009855425,544119.7,113985.65,0.022762714,0.0287591,5571.027,5482.949,4175.3467,3919.1287,0.3178234,0.0,0.0,0.0
6.0355396,6.0355396,0.083,0.0,0.0,229.79977,10745.0,100.0,0.0,0.14387083,0.0,6.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-238.24748,13.658829,-677.83813,-0.075008124,0.8186333,0.015001688,236.14618,236.14894,229.66684,229.60205,543.0,542.0,603.0,601.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.037344214,0.03721882,0.04977669,0.049243968,9.849741,12.060105,2.7331707,2.4379044,-114.342606,93.43477,-34.131115,-46.91183,0.0,0.0,0.0,2.0,1.0,-2.5422993,-0.016566169,-0.015840769,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.027553642,0.02779811,-7.023387E-4,-7.1959523E-4,1103.3295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.047195,1.1446109,-52.66855,-0.0025049052,-0.010052191,-0.012124692,545225.06,113985.65,0.022349382,0.028152393,5618.1597,5560.8203,4243.758,4000.4656,0.31741047,0.0,0.0,0.0
9.235902,9.235902,0.133,0.0,0.0,231.23589,10808.0,100.0,0.0,0.1069398,0.0,6.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-240.05501,13.716328,-680.4808,-0.06468436,0.8109897,0.015716512,237.5182,237.53171,231.09546,231.04654,541.0,540.0,601.0,599.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.03778951,0.03772122,0.04977637,0.04931376,12.692659,11.203139,0.11935829,1.25885,311.40445,-13.411044,-24.475153,-54.502476,0.0,0.0,0.0,2.0,1.0,-2.5427384,-0.015994325,-0.016051292,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.027128987,0.027377613,-7.00046E-4,-7.154158E-4,1112.0245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.24473,1.1562254,-53.01657,-0.0042717457,-0.007442579,-0.010700809,546318.7,113985.65,0.022182874,0.027503962,5698.5967,5630.437,4225.9883,4013.62,0.31695938,0.0,0.0,0.0
12.456109,12.456109,0.2,0.0,0.0,232.65292,10873.0,100.0,0.0,0.12137151,0.0,6.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-241.87242,13.774439,-683.1407,-0.057963133,0.7995626,0.017415602,238.94739,238.94193,232.51146,232.46642,539.0,538.0,599.0,597.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.037976656,0.037987463,0.049849506,0.049406834,0.0,0.0,0.0,0.0,-91.63766,64.238884,119.59968,36.008648,0.0,0.0,0.0,2.0,1.0,-2.5431015,-0.01543717,-0.016160965,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.02702084,0.02715001,-6.937403E-4,-7.016794E-4,1121.0198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.442257,1.1685703,-53.358147,-0.0034302473,-0.0070317914,-0.010688197,547445.5,113985.66,0.02179453,0.027185945,5677.5312,5650.9033,4299.6807,4095.8613,0.3165903,0.0,0.0,0.0
15.695829,15.695829,0.233,0.0,0.0,234.05623,10934.0,100.0,0.0,0.1422399,0.0,6.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-243.69972,13.833374,-685.8175,-0.056926757,0.7916703,0.013224723,240.3042,240.30557,233.9168,233.86758,537.0,536.0,597.0,595.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.03834921,0.03835957,0.049875535,0.049474537,6.2982736,4.9019604,-2.138391,0.4289299,95.91579,-141.21828,-227.14284,-54.582943,0.0,0.0,0.0,2.0,1.0,-2.5434797,-0.014896671,-0.016332746,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.02664606,0.026839688,-6.928744E-4,-6.988707E-4,1129.5327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.638702,1.1861513,-53.69571,-0.003610788,-0.0078737615,-0.009107572,548525.44,113985.65,0.021773271,0.026784344,5750.997,5700.72,4273.6807,4100.5215,0.31625175,0.0,0.0,0.0
18.954983,18.954983,0.283,0.0,0.0,235.44067,10998.0,100.0,0.0,0.12668103,0.0,6.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-245.53676,13.892989,-688.5111,-0.054784656,0.7803352,0.009308017,241.71523,241.68968,235.30492,235.2504,535.0,534.0,595.0,593.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.038459297,0.038431037,0.049951173,0.049503237,-0.359863,2.2899358,1.6231834,1.7128139,-333.0096,76.73799,-40.756165,152.02759,0.0,0.0,0.0,2.0,1.0,-2.5439155,-0.014401216,-0.016411543,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.026579166,0.026681188,-6.8073143E-4,-6.913862E-4,1138.4417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.831936,1.1976961,-54.029236,-0.0050204108,-0.008570848,-0.01122471,549634.6,113985.65,0.021501264,0.02670291,5720.701,5703.2397,4352.255,4146.455,0.31608582,0.0,0.0,0.0
22.233261,22.233261,0.35,0.0,0.0,236.81201,11058.0,100.0,0.0,0.13124214,0.0,6.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-247.38342,13.953205,-691.22125,-0.05597356,0.77323115,0.009417757,243.03716,243.01549,236.67459,236.62251,532.0,532.0,593.0,591.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.03857838,0.03871829,0.050012782,0.04956157,0.0,0.0,0.0,0.0,-134.84804,10.769061,-86.12572,18.520649,0.0,0.0,0.0,2.0,1.0,-2.5443416,-0.013750782,-0.01662445,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.026266985,0.026345262,-6.7934E-4,-6.8696367E-4,1144.8301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.0235,1.2100831,-54.359463,-0.0034123915,-0.00819717,-0.013115283,549719.9,113985.65,0.021217069,0.026226355,5770.709,5762.6084,4376.4854,4172.3975,0.31559086,0.0,0.0,0.0
25.530485,25.530485,0.383,0.0,0.0,238.16568,11118.0,100.0,0.0,0.13352267,0.0,6.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-249.2396,14.014095,-693.9479,-0.056782782,0.76196766,0.014105438,244.3526,244.3347,238.02896,237.97762,530.0,529.0,591.0,589.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.03893662,0.03901557,0.05002971,0.049627457,2.9084084,4.810318,0.475198,1.2939422,-412.20184,-66.02256,10.567903,-22.919474,0.0,0.0,0.0,2.0,1.0,-2.5447602,-0.013147373,-0.016755342,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.025944771,0.026029525,-6.732576E-4,-6.7916926E-4,1151.1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.211704,1.2244922,-54.685974,-0.005026547,-0.008221552,-0.00912777,549783.75,113985.65,0.021028416,0.025768617,5812.615,5799.878,4398.1553,4217.8354,0.31523895,0.0,0.0,0.0
28.84645,28.84645,0.433,0.0,0.0,239.49988,11179.0,100.0,0.0,0.14645992,0.0,6.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-251.10506,14.075632,-696.69073,-0.060384184,0.7522907,0.0064126,245.67632,245.6631,239.36646,239.3104,528.0,527.0,589.0,587.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.03908224,0.039072998,0.050098766,0.049654655,2.9546766,0.13165174,1.3071297,0.6448477,119.02301,-72.205055,1.5020369,28.391176,0.0,0.0,0.0,2.0,1.0,-2.5452101,-0.012669297,-0.01677525,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.025710613,0.025886748,-6.66125E-4,-6.729081E-4,1157.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.395355,1.2355455,-55.0091,-0.005662954,-0.0090211015,-0.008788052,549848.06,113985.65,0.020854264,0.025628125,5842.0215,5792.6934,4443.859,4234.0586,0.31515217,0.0,0.0,0.0
32.18079,32.18079,0.483,0.0,0.0,240.8169,11238.0,100.0,0.0,0.19353554,0.0,6.0,1.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-252.97954,14.137602,-699.44965,-0.06840709,0.7430883,-0.0015419833,246.97414,246.96375,240.6893,240.62192,526.0,525.0,587.0,585.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.03916391,0.039123323,0.05013983,0.04968676,1.4182179,2.0912287,0.46715137,0.8093565,-110.06443,152.21533,-61.516453,30.805168,0.0,0.0,0.0,2.0,1.0,-2.545733,-0.012187449,-0.016802907,93.0,93.0,93.0,93.0,21.980246,21.980246,24.842789,24.842789,0.02550519,0.02568923,-6.631851E-4,-6.662855E-4,1163.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.573475,1.2423632,-55.3303,-0.004550149,-0.011076734,-0.008082487,549911.06,113985.65,0.02075689,0.025501208,5856.25,5813.9365,4460.1504,4256.7812,0.314929,0.0,0.0,0.0
