LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
1.9174787,1.9174787,0.016,0.0,0.0,311.60538,11138.0,100.0,0.0,-2.5930593,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,375.25555,35.305405,873.3485,1.8377987,0.1115101,0.09385942,316.70374,316.64148,310.8457,311.91202,235.0,235.0,303.0,306.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.049787644,0.054141417,0.05065744,0.05686386,6.971731,1.1178105,11.226385,4.3612714,-632.7464,-720.6424,-15.771387,-104.31112,0.0,0.0,0.0,2.0,1.0,2.3271542,-0.006088797,-0.002730608,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.018004468,0.014922115,-3.9810856E-4,-3.9604795E-4,1153.2914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.97695,0.13342455,-58.301407,-0.013401855,0.1780074,0.004904099,549805.2,119984.9,0.006810528,0.0035207546,7582.695,10842.104,5540.8726,8318.545,0.29743767,0.0,0.0,0.0
6.2214427,6.2214427,0.066,0.0,0.0,311.74442,11145.0,100.0,0.0,-2.3897474,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,378.43973,35.31281,870.4159,1.6847901,0.1107558,-0.0053531914,316.91904,316.81985,311.06503,312.00342,233.0,234.0,302.0,305.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.049514636,0.053559396,0.050972626,0.056698635,-12.718811,-12.318938,3.1113622,-6.4936275,-653.0776,116.55538,-176.03337,-180.74062,0.0,0.0,0.0,2.0,1.0,2.335455,-0.006797518,-0.0023634434,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.018028883,0.015178764,-3.8823608E-4,-4.036089E-4,1154.0315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.428036,0.15047681,-58.954826,-0.014275264,0.15708496,0.007343532,549812.5,119984.9,0.00705279,0.0043776133,7506.3184,10468.03,5596.57,8142.3296,0.2979517,0.0,0.0,0.0
10.53162,10.53162,0.116,0.0,0.0,311.9009,11150.0,100.0,0.0,-2.4803252,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,381.5976,35.319527,867.45197,1.5747511,0.116443455,-0.059243508,317.0535,316.98523,311.24896,312.14725,232.0,233.0,301.0,303.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.049544644,0.053286,0.05100369,0.05628673,4.4039636,-0.7780641,0.77404076,-6.4744053,192.16685,274.6984,35.0967,141.47311,0.0,0.0,0.0,2.0,1.0,2.3431091,-0.007418288,-0.002308607,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.01790191,0.015229619,-3.757496E-4,-4.1716397E-4,1154.561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.919724,0.11816645,-59.560352,-0.006554608,0.15184523,0.0063850684,549818.1,119984.91,0.00753885,0.004712532,7546.9346,10298.944,5551.9326,7906.536,0.29838848,0.0,0.0,0.0
14.847531,14.847531,0.166,0.0,0.0,312.06686,11155.0,100.0,0.0,-2.7054749,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,384.73068,35.32484,864.45856,1.5266839,0.11719638,-0.0066320067,317.1411,317.15155,311.38916,312.3427,231.0,232.0,300.0,302.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04980228,0.05346286,0.05112737,0.05623339,4.278123,3.3471732,2.9191372,1.0060518,-69.938614,-58.901306,17.005203,101.307014,0.0,0.0,0.0,2.0,1.0,2.3509436,-0.0076557957,-0.0022585392,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.01772532,0.015106861,-3.659889E-4,-4.2796394E-4,1155.0887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.431065,0.10002913,-60.138863,-0.0033740643,0.1625073,4.210187E-4,549822.9,119984.9,0.007205714,0.004207298,7693.5654,10365.277,5662.2964,7954.566,0.2979889,0.0,0.0,0.0
19.168703,19.168703,0.216,0.0,0.0,312.2322,11161.0,100.0,0.0,-2.720394,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,387.83942,35.329853,861.4367,1.5101299,0.1151337,0.008963947,317.26852,317.3369,311.527,312.5395,230.0,231.0,299.0,301.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.049870387,0.05348241,0.051245406,0.05628619,-1.3026594,-1.425594,0.983253,0.22798775,-136.44395,-75.22254,-81.31116,-39.8308,0.0,0.0,0.0,2.0,1.0,2.3593519,-0.007754427,-0.0021189451,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.01766738,0.015064735,-3.7090003E-4,-4.2094066E-4,1155.7224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.94616,0.10037055,-60.703865,-0.0031213607,0.17212056,-0.0018349217,549828.75,119984.9,0.0070395474,0.004079225,7738.224,10382.402,5716.076,7981.7646,0.29784393,0.0,0.0,0.0
23.494896,23.494896,0.266,0.0,0.0,312.39474,11167.0,100.0,0.0,-2.625283,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,390.92383,35.33466,858.3868,1.5069714,0.11420655,-0.02192872,317.4485,317.5184,311.6859,312.70847,229.0,230.0,298.0,300.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.049758486,0.053378824,0.051216573,0.056253474,-2.106875,-1.985952,-1.169443,-1.0138749,33.90312,21.96729,-15.717739,-11.61396,0.0,0.0,0.0,2.0,1.0,2.36802,-0.0077622873,-0.0019578934,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.017727917,0.01511245,-3.7735078E-4,-4.118629E-4,1156.3579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.45772,0.08949259,-61.2623,-0.002247783,0.1731175,-0.0018631181,549835.5,119984.9,0.0072201975,0.0043346165,7681.638,10325.879,5675.066,7942.32,0.29804707,0.0,0.0,0.0
27.825861,27.825861,0.316,0.0,0.0,312.55795,11172.0,100.0,0.0,-2.4570289,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,393.9838,35.33866,855.309,1.4906659,0.11510724,-0.020309879,317.6134,317.66617,311.8695,312.85635,228.0,228.0,296.0,299.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.049811088,0.053376388,0.051218677,0.056224782,2.6366112,0.6716698,0.8974224,-0.5538761,93.20675,34.640724,59.947365,-14.980135,0.0,0.0,0.0,2.0,1.0,2.376532,-0.0078401435,-0.001842022,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.017672263,0.015119498,-3.8641266E-4,-4.0673238E-4,1156.8881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.967976,0.07226247,-61.813435,-0.0039016823,0.16632445,0.0012559835,549841.4,119984.9,0.0071677966,0.004263642,7705.385,10327.255,5690.5093,7939.252,0.2979889,0.0,0.0,0.0
32.161224,32.161224,0.366,0.0,0.0,312.7238,11177.0,100.0,0.0,-2.3159032,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,397.0194,35.34204,852.20404,1.4539635,0.11547482,0.0025898232,317.76926,317.79855,312.07108,312.9938,227.0,227.0,295.0,298.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.049969677,0.05342585,0.05133432,0.056199357,1.953542,-0.19155441,1.6415118,-1.0348855,-150.37802,-162.15291,-97.417816,-64.41324,0.0,0.0,0.0,2.0,1.0,2.3845606,-0.00804791,-0.0017507076,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.01752912,0.015095724,-3.8913568E-4,-4.0770523E-4,1157.4172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.48493,0.06513497,-62.350376,-0.004981689,0.15523948,0.0018193354,549846.8,119984.91,0.0070572803,0.0040561734,7790.4014,10345.555,5753.8354,7937.3765,0.29783344,0.0,0.0,0.0
36.500668,36.500668,0.416,0.0,0.0,312.893,11182.0,100.0,0.0,-2.18415,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,400.0312,35.3451,849.07275,1.394542,0.11749846,3.890763E-4,317.88126,317.96588,312.27524,313.13696,226.0,226.0,294.0,297.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.05012411,0.05329865,0.051433723,0.05611316,9.959712,-2.4888663,2.5214999,-1.707673,677.49915,41.62788,41.74858,-0.308454,0.0,0.0,0.0,2.0,1.0,2.3920436,-0.008285997,-0.0015991926,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.017356193,0.015156424,-3.9076502E-4,-4.1074795E-4,1157.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.01647,0.058085296,-62.866436,-0.004767242,0.14499055,1.2867525E-4,549852.06,119984.91,0.007015857,0.003693787,7926.1865,10265.192,5804.7227,7898.398,0.29790115,0.0,0.0,0.0
40.844227,40.844227,0.466,0.0,0.0,313.06586,11189.0,100.0,0.0,-1.9475259,0.0,8.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,403.02008,35.34762,845.91644,1.3119648,0.11744386,-0.024955291,318.13385,318.11777,312.4945,313.27988,225.0,225.0,293.0,295.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.05006705,0.053161934,0.051533476,0.055973064,6.3090024,-3.2313912,3.9189305,-4.949346,500.41968,-77.395134,116.99793,-113.88659,0.0,0.0,0.0,2.0,1.0,2.3989522,-0.008695655,-0.0014971495,89.0,89.0,89.0,89.0,22.047926,22.047926,24.919281,24.919281,0.017367475,0.015195047,-3.9733827E-4,-4.044228E-4,1158.6869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.57117,0.042026285,-63.354492,-0.009471015,0.1313685,0.009458049,549859.6,119984.9,0.007134871,0.0042320886,7869.0737,10174.125,5840.7344,7810.036,0.2979622,0.0,0.0,0.0
