LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
1.5641198,1.5641198,0.033,0.0,0.0,223.80347,10457.0,100.0,0.0,0.2047846,0.0,6.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-171.24591,3.188302,-97.796814,-0.049508452,0.7865454,0.16128704,229.80466,229.80754,223.67659,223.61546,557.0,555.0,605.0,593.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.042850338,0.042482104,0.050503787,0.050164554,0.0,0.0,0.0,0.0,-1048.5022,-1022.069,-249.1906,-221.24197,0.0,0.0,0.0,2.0,1.0,0.42478946,-0.02575566,0.0043777227,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.02663372,0.026884291,-6.900662E-4,-6.9551566E-4,1061.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.65715,-0.21308838,56.625782,-0.007143766,-0.009901881,0.0036797621,538829.75,119984.9,0.020583102,0.021886602,6643.5107,6552.947,4691.8857,4536.0312,0.313756,0.0,0.0,0.0
4.6820946,4.6820946,0.083,0.0,0.0,225.20161,10525.0,100.0,0.0,0.17683478,0.0,6.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-169.95949,3.1775646,-94.95599,-0.054150254,0.8049524,0.09705347,231.30191,231.30862,225.07344,225.01088,555.0,552.0,603.0,591.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04119137,0.040798023,0.05037949,0.05002769,0.0,0.0,0.0,0.0,1164.4675,1243.539,575.4679,644.1056,0.0,0.0,0.0,2.0,1.0,0.4242788,-0.025695957,0.0040079355,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.027101036,0.027373914,-6.94114E-4,-7.050301E-4,1073.1327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.793787,-0.20157792,56.990295,-0.012627098,-0.009802967,0.0072774366,541387.6,119984.89,0.019837793,0.022457706,6548.12,6450.9995,4722.817,4563.825,0.3142872,0.0,0.0,0.0
8.869372,8.869372,0.133,0.0,0.0,227.04019,10605.0,100.0,0.0,0.08913677,0.0,6.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-168.2335,3.1681268,-91.13993,-0.04530883,0.772078,0.11383157,233.05615,233.07156,226.90079,226.86255,552.0,550.0,601.0,589.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04185262,0.041478883,0.050487947,0.050166745,-1.6884505,-0.48570332,-0.8846819,0.38556752,-385.68817,-249.53929,312.39685,394.39197,0.0,0.0,0.0,2.0,1.0,0.42377862,-0.02559308,0.0026067495,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.02644584,0.026648745,-6.790072E-4,-6.9256726E-4,1084.0784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.976812,-0.102844246,57.468304,-0.013262859,-0.0055215936,0.008471109,542784.0,119984.9,0.020386744,0.022641378,6672.7593,6585.6865,4685.314,4543.3716,0.31465435,0.0,0.0,0.0
12.031703,12.031703,0.183,0.0,0.0,228.3944,10668.0,100.0,0.0,0.11570294,0.0,6.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-166.93108,3.1639135,-88.25726,-0.042277932,0.7701156,0.07511335,234.42377,234.44472,228.25127,228.2206,550.0,547.0,599.0,587.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04148443,0.04112166,0.05043585,0.050144006,0.8198618,0.1683086,1.8920748,1.5226005,871.85187,821.97626,315.72278,247.16553,0.0,0.0,0.0,2.0,1.0,0.42354828,-0.025535502,0.0018206835,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.026429923,0.026635323,-6.827492E-4,-6.876569E-4,1092.7041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.113249,-0.06878568,57.81949,-0.013876542,-0.004522207,0.0070769712,543871.8,119984.91,0.019986236,0.02267053,6669.2275,6580.9375,4673.5674,4537.709,0.3139248,0.0,0.0,0.0
14.150281,14.150281,0.233,0.0,0.0,229.28882,10709.0,100.0,0.0,0.13114701,0.0,6.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-166.059,3.1622796,-86.32573,-0.041418448,0.7562626,0.09613247,235.32756,235.34456,229.14749,229.11153,549.0,546.0,597.0,585.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.041561384,0.041205138,0.05061028,0.0503224,0.0,0.0,0.0,0.0,-686.7125,-693.13635,-204.22339,-200.64262,0.0,0.0,0.0,2.0,1.0,0.42338383,-0.02552319,0.0011322498,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.02634013,0.026548227,-6.725393E-4,-6.759439E-4,1098.3472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.203667,-0.033834096,58.0513,-0.02401301,-0.0051883296,0.0108996,544587.56,119984.9,0.018992338,0.021908864,6622.1753,6536.581,4816.7534,4685.5625,0.312994,0.0,0.0,0.0
17.343481,17.343481,0.283,0.0,0.0,230.62755,10764.0,100.0,0.0,0.15255904,0.0,6.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-164.74525,3.1619847,-83.41401,-0.043550253,0.75355685,0.153806,236.535,236.5428,230.49228,230.44826,546.0,544.0,595.0,583.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.042656805,0.042280175,0.050638244,0.050342977,0.0,0.0,0.0,0.0,211.37144,280.5322,142.30458,177.61586,0.0,0.0,0.0,2.0,1.0,0.4230835,-0.02551511,-2.360344E-5,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.025561064,0.02575858,-6.6966785E-4,-6.7330676E-4,1105.9264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.338646,0.026021292,58.39837,-0.013289589,-0.0068705515,0.0061536254,545543.7,119984.89,0.01824837,0.019875407,6943.525,6855.8984,4820.748,4686.4624,0.31165028,0.0,0.0,0.0
21.629402,21.629402,0.333,0.0,0.0,232.37155,10848.0,100.0,0.0,0.18160792,0.0,6.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-162.98337,3.1659362,-79.50498,-0.05124639,0.7361078,0.040161334,238.40277,238.41267,232.24323,232.18758,544.0,541.0,593.0,581.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.042424235,0.04200442,0.050554235,0.05023101,-10.524094,-11.061429,-1.7467885,-2.0876524,-230.91135,-205.37672,-2.0250676,9.736418,0.0,0.0,0.0,2.0,1.0,0.4225343,-0.025546877,-3.85046E-4,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.025860412,0.026110774,-6.6604244E-4,-6.711072E-4,1117.5847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.509476,0.07818115,58.852707,6.4684835E-4,-0.009181784,-7.725052E-4,547025.75,119984.9,0.018332358,0.02019731,6713.83,6611.665,4712.9688,4564.058,0.31144524,0.0,0.0,0.0
24.86467,24.86467,0.383,0.0,0.0,233.66301,10909.0,100.0,0.0,0.12580834,0.0,6.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-161.6546,3.1699564,-76.553444,-0.048422724,0.7303509,0.012292593,239.7295,239.74397,233.53079,233.48317,541.0,539.0,591.0,579.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.041816693,0.041396163,0.050521895,0.050206125,-7.6009326,-7.216483,1.7608701,2.2590904,404.7587,435.18835,216.88339,235.52475,0.0,0.0,0.0,2.0,1.0,0.42210776,-0.025534356,-2.924204E-4,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.025920881,0.026154542,-6.5871916E-4,-6.692487E-4,1126.0359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.634575,0.081951074,59.1898,0.0010452487,-0.007631328,8.890199E-5,548080.44,119984.89,0.0185772,0.020873288,6668.753,6569.6226,4741.8906,4598.699,0.31173134,0.0,0.0,0.0
27.031336,27.031336,0.433,0.0,0.0,234.51486,10948.0,100.0,0.0,0.13028614,0.0,6.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-160.7653,3.1726513,-74.57643,-0.04809642,0.72208875,-0.018756863,240.5953,240.61456,234.37965,234.3378,540.0,537.0,590.0,578.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.041602466,0.041193124,0.050479263,0.050172087,0.0,0.0,0.0,0.0,18.158567,8.676938,-9.0658655,-19.754465,0.0,0.0,0.0,2.0,1.0,0.4218729,-0.02552405,-2.3722649E-4,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.025888832,0.026118748,-6.5981E-4,-6.668868E-4,1131.4819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.717152,0.07853294,59.41212,0.0024226874,-0.0067846277,-0.0010847938,548769.4,119984.89,0.018771585,0.021156998,6638.885,6540.8,4672.7944,4532.409,0.3119936,0.0,0.0,0.0
30.295893,30.295893,0.483,0.0,0.0,235.7805,11006.0,100.0,0.0,0.16151865,0.0,6.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-159.42622,3.1763115,-71.597084,-0.05003336,0.71448094,-0.01853834,241.85632,241.87477,235.64714,235.60236,538.0,535.0,588.0,576.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.04144091,0.041021034,0.050528876,0.050213005,0.0,0.0,0.0,0.0,196.14992,181.62576,31.529364,22.637838,0.0,0.0,0.0,2.0,1.0,0.42152753,-0.025537942,-1.680851E-4,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.025741765,0.025983457,-6.5540214E-4,-6.580735E-4,1139.3306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.838947,0.06887068,59.742836,-3.2643834E-4,-0.0073688165,-4.4372716E-4,549663.94,119984.89,0.018679991,0.021244705,6664.2026,6562.361,4735.1113,4589.674,0.3119974,0.0,0.0,0.0
