LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
1.813299,1.813299,0.016,0.0,0.0,223.7778,10507.0,100.0,0.0,0.3289136,0.0,6.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-169.66278,3.1526437,-98.31058,-0.12094395,0.7868756,0.09889683,229.98203,230.00949,223.67618,223.55858,523.0,521.0,569.0,560.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.03982513,0.038984273,0.050071243,0.04939899,-9.179189,-7.483139,0.32655892,1.567304,-449.43085,-393.17157,-71.02488,-54.529297,0.0,0.0,0.0,2.0,1.0,0.44386142,-0.026174938,0.0055561066,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.027482126,0.028066983,-6.936393E-4,-7.122505E-4,1070.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.768528,-0.26600456,56.10083,-0.012071297,-0.018862585,0.008471825,541074.1,119984.9,0.022627449,0.025967827,6393.539,6196.203,4512.17,4207.3223,0.3205967,0.0,0.0,0.0
4.933337,4.933337,0.066,0.0,0.0,225.16742,10572.0,100.0,0.0,0.22933392,0.0,6.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-168.32137,3.139822,-95.49574,-0.10689828,0.79904556,0.07250491,231.39368,231.42636,225.05339,224.95903,521.0,519.0,567.0,558.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.03918112,0.0384141,0.050029006,0.04940997,-2.812296,-0.13343988,7.569864,9.404718,1339.3341,1464.003,897.21216,1000.26263,0.0,0.0,0.0,2.0,1.0,0.44300473,-0.026028061,0.0048651695,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.027619354,0.028139176,-6.9358386E-4,-7.1825786E-4,1079.5452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.884296,-0.24660501,56.47335,-0.014656054,-0.014623598,0.011514865,542201.44,119984.9,0.021372125,0.025223052,6391.1714,6209.9404,4570.4526,4292.247,0.32021046,0.0,0.0,0.0
8.072649,8.072649,0.116,0.0,0.0,226.5456,10627.0,100.0,0.0,0.23460285,0.0,6.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-166.97392,3.1300898,-92.66234,-0.0969833,0.7738111,0.15529841,232.59715,232.62794,226.42297,226.34877,519.0,517.0,565.0,556.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.040643524,0.039979566,0.050261725,0.049723417,19.553972,20.132437,-2.2215395,-1.3480334,-224.25955,-307.56888,-61.959023,-105.75949,0.0,0.0,0.0,2.0,1.0,0.4423889,-0.02588771,0.003585577,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.026612397,0.027026504,-6.852263E-4,-6.9746975E-4,1087.0819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.006285,-0.15589441,56.839573,-0.018521184,-0.011464462,0.010414938,543161.0,119984.89,0.02132752,0.024195006,6656.875,6490.482,4609.7773,4365.825,0.31931686,0.0,0.0,0.0
11.230711,11.230711,0.166,0.0,0.0,227.89146,10693.0,100.0,0.0,0.23963736,0.0,6.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-165.62038,3.1239333,-89.81094,-0.08718565,0.75940204,0.06280624,234.05045,234.08577,227.76593,227.69559,517.0,515.0,564.0,554.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.040434092,0.039783645,0.050121058,0.049626376,-12.593864,-12.739598,-5.161017,-4.6572084,-355.5938,-397.9191,-132.28654,-171.82227,0.0,0.0,0.0,2.0,1.0,0.44184035,-0.025826808,0.0027154684,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.026944047,0.027369417,-6.883685E-4,-6.941709E-4,1096.1675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.12817,-0.10348705,57.19567,-0.012579499,-0.011209248,0.0066889157,544320.06,119984.9,0.021500355,0.024624402,6463.6797,6305.6924,4491.8774,4266.4834,0.31910515,0.0,0.0,0.0
14.407336,14.407336,0.216,0.0,0.0,229.22772,10754.0,100.0,0.0,0.27839833,0.0,6.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-164.26071,3.120089,-86.94181,-0.085763276,0.7500565,0.09722716,235.38663,235.41353,229.10677,229.02908,515.0,513.0,562.0,553.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.0402662,0.03963574,0.050310545,0.04983279,-8.047968,-7.845237,3.0834227,3.5264342,-493.58005,-530.0849,-150.53896,-152.97977,0.0,0.0,0.0,2.0,1.0,0.44125864,-0.02580368,0.0018334389,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.026776748,0.0271859,-6.744977E-4,-6.786211E-4,1104.5706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.250366,-0.05245281,57.548588,-0.024110753,-0.012200452,0.010631707,545381.56,119984.9,0.020062545,0.02384504,6467.6016,6319.8984,4716.176,4498.621,0.31828022,0.0,0.0,0.0
17.602367,17.602367,0.266,0.0,0.0,230.55759,10809.0,100.0,0.0,0.27846017,0.0,6.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-162.89499,3.118792,-84.05507,-0.08672328,0.74766254,0.14088628,236.58673,236.60178,230.44182,230.35733,513.0,511.0,560.0,551.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.041142866,0.040494062,0.050292302,0.049798176,23.754759,24.229734,1.765564,1.9749997,16.723593,85.65639,118.92913,169.62288,0.0,0.0,0.0,2.0,1.0,0.44060877,-0.025816005,7.3707104E-4,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.026011271,0.026394775,-6.7165034E-4,-6.7904685E-4,1112.1595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.371151,0.0039192233,57.90013,-0.011986229,-0.013597782,0.0057573197,546334.44,119984.9,0.01949866,0.022063544,6755.388,6601.2627,4683.7554,4458.7275,0.3172331,0.0,0.0,0.0
20.815548,20.815548,0.316,0.0,0.0,231.85912,10873.0,100.0,0.0,0.2738276,0.0,6.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-161.52339,3.1202147,-81.1509,-0.09011367,0.73527706,0.058234986,237.98248,238.0011,231.74763,231.65598,511.0,509.0,558.0,549.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.040977642,0.040300928,0.050232682,0.049716905,-7.051527,-7.724314,-1.4501809,-1.8630176,-57.60043,-35.338093,17.903744,38.905434,0.0,0.0,0.0,2.0,1.0,0.43987545,-0.025840657,4.1663647E-4,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.026250929,0.026679935,-6.6792313E-4,-6.7842373E-4,1121.0233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.48592,0.044375017,58.24574,-0.0011975864,-0.015035381,6.9574703E-4,547447.25,119984.89,0.019560952,0.022250734,6592.458,6427.618,4601.8994,4364.7754,0.31707382,0.0,0.0,0.0
24.04653,24.04653,0.366,0.0,0.0,233.14532,10935.0,100.0,0.0,0.2110529,0.0,6.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-160.1461,3.1227527,-78.22959,-0.08489664,0.7270775,-0.005835625,239.3463,239.37302,233.02704,232.94865,509.0,507.0,556.0,547.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.040321972,0.03967046,0.05013072,0.04963903,-13.32186,-12.494846,-2.1672246,-1.3650208,88.70069,105.39739,-3.2856987,17.286837,0.0,0.0,0.0,2.0,1.0,0.43917254,-0.02580162,4.7445297E-4,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.026484406,0.026889607,-6.6509075E-4,-6.7829096E-4,1129.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.599504,0.051704418,58.58718,0.002667191,-0.012776536,-4.8738904E-5,548536.6,119984.89,0.019783052,0.02296515,6465.949,6311.8145,4535.5283,4312.906,0.31734085,0.0,0.0,0.0
27.2952,27.2952,0.416,0.0,0.0,234.41989,10993.0,100.0,0.0,0.110296205,0.0,6.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-158.76308,3.1252756,-75.29131,-0.07002106,0.71809804,-0.005311576,240.6146,240.64574,234.29028,234.23553,507.0,505.0,554.0,545.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.039979585,0.039386515,0.050135303,0.049691305,-4.483759,-2.9450653,-0.5641579,0.68664545,27.962034,57.613846,-186.30621,-162.74301,0.0,0.0,0.0,2.0,1.0,0.43863145,-0.025728546,5.829334E-4,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.02636717,0.026695108,-6.559384E-4,-6.751272E-4,1137.7472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.715921,0.050199185,58.92369,0.0021315273,-0.008530639,0.0016388234,549549.2,119984.9,0.019929146,0.023327766,6474.206,6339.0947,4564.6777,4364.935,0.31759453,0.0,0.0,0.0
30.56132,30.56132,0.466,0.0,0.0,235.67743,11050.0,100.0,0.0,0.06010541,0.0,6.0,0.0,0.0,4000000.0,110.0,1.0,0.0,0.0,10.0,0.0,0.0,-157.3741,3.127582,-72.33642,-0.052968413,0.7097973,-0.016453143,241.86472,241.89908,235.53586,235.50568,505.0,503.0,553.0,544.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.039801378,0.03931169,0.050115395,0.049750037,-1.5914439,0.6960332,-0.04559755,1.656264,157.16402,183.78494,-13.732908,3.1784174,0.0,0.0,0.0,2.0,1.0,0.43830922,-0.025614282,6.161928E-4,89.0,89.0,89.0,89.0,21.842827,21.842827,24.816736,24.816736,0.02626082,0.02650371,-6.5341895E-4,-6.6788954E-4,1143.9841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.83739,0.042428922,59.252586,6.960558E-4,-0.0044493955,0.002654398,549711.4,119984.9,0.019923793,0.023419557,6471.605,6364.46,4566.4277,4403.6396,0.3176403,0.0,0.0,0.0
