LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
2.2636719,25555.678,0.033,0.0,0.0,281.3778,11627.0,100.0,0.0,0.011733039,0.0,7.0,0.0,0.0,664710.25,111.0,20.0,0.0,0.0,20.05737,0.0,0.0,-334.1492,4.9829845,-97.312805,-0.0054696538,0.08085725,-0.040755935,285.01617,285.02356,281.2925,281.2864,249.0,249.0,309.0,306.0,61.0,54.0,53.0,44.0,1.5330621,0.9338213,2.6171126,0.96004474,0.046229202,0.046474636,0.052798163,0.052784026,0.0,0.0,0.0,0.0,313.73798,40.16607,-128.47778,-170.77623,0.0,1325.284,0.0,0.0,1.0,2.770838,0.0034522738,8.3458424E-4,88.0,82.0,89.0,78.0,20.533136,20.188297,23.826113,23.12779,0.012965532,0.01300551,-3.116394E-4,-3.1691694E-4,1193.7065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.319887,-0.062208317,-72.849464,-0.0048973896,-7.8823377E-4,-0.0045249546,545138.56,71489.25,0.0094981715,0.00966427,8279.296,8294.672,6302.06,6298.4775,0.30096722,0.0,0.0,0.0
6.173828,25559.588,0.083,0.0,0.0,281.51672,11633.0,100.0,0.0,0.02357489,0.0,7.0,0.0,0.0,665113.0,111.0,20.0,0.0,0.0,20.056007,0.0,0.0,-332.73276,4.979412,-100.9562,-0.0087514445,0.07768524,-0.062416196,285.17468,285.17596,281.4341,281.4247,248.0,248.0,308.0,305.0,61.0,54.0,53.0,44.0,1.5334346,0.9341429,2.6171126,0.96004474,0.04641402,0.046693005,0.05285036,0.052705716,0.0,0.0,0.0,0.0,-230.66995,-524.2645,-317.493,-174.35698,0.0,5302.439,0.0,0.0,1.0,2.770777,0.0037994676,0.0012352467,88.0,82.0,89.0,78.0,20.533709,20.188858,23.826082,23.127825,0.013010997,0.013043386,-3.101354E-4,-3.1397582E-4,1194.0491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.337168,-0.08313879,-72.884125,-0.006413771,-0.0013831458,-0.011714998,545013.75,71489.25,0.009913402,0.010078755,8215.584,8241.77,6280.947,6211.63,0.3014412,0.0,0.0,0.0
10.087891,25563.502,0.133,0.0,0.0,281.65186,11639.0,100.0,0.0,0.055040214,0.0,7.0,0.0,0.0,665517.9,111.0,20.0,0.0,0.0,20.054646,0.0,0.0,-331.31537,4.9744096,-104.60127,-0.015746586,0.07572359,-0.05673706,285.32446,285.31213,281.57397,281.55396,247.0,246.0,307.0,304.0,61.0,54.0,53.0,43.0,1.5334346,0.9341429,2.6171126,0.96004474,0.046199568,0.046419848,0.052866276,0.052772503,0.0,0.0,0.0,0.0,-162.7296,245.79762,110.734985,89.0225,0.0,9281.752,0.0,0.0,1.0,2.7706597,0.0041757426,0.0017004013,88.0,82.0,89.0,78.0,20.53427,20.189404,23.826042,23.127865,0.013050967,0.013067936,-3.1055557E-4,-3.1267275E-4,1194.4126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.35708,-0.1139797,-72.91662,-0.0035236485,-0.0032864893,-0.0062661585,544898.6,71489.25,0.010043321,0.010668556,8160.388,8219.911,6359.0107,6315.3975,0.3018961,0.0,0.0,0.0
14.001953,25567.416,0.183,0.0,0.0,281.78204,11642.0,100.0,0.0,0.06503764,0.0,7.0,0.0,0.0,665924.25,111.0,20.0,0.0,0.0,20.053284,0.0,0.0,-329.89694,4.9687347,-108.24792,-0.022141533,0.07325818,0.0026447969,285.40125,285.40234,281.70233,281.68146,246.0,245.0,306.0,303.0,61.0,53.0,53.0,43.0,1.5338075,0.9344609,2.6171126,0.96004474,0.046913367,0.046799533,0.053055376,0.052924037,0.0,0.0,0.0,0.0,164.15118,218.05016,-84.47616,-344.30173,0.0,13262.569,0.0,0.0,1.0,2.7705007,0.00401381,0.0014042854,88.0,82.0,89.0,78.0,20.534851,20.189964,23.826027,23.127932,0.012858285,0.012936454,-3.120922E-4,-3.1189647E-4,1194.5701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3788,-0.11269953,-72.94697,0.009032943,-0.0035569193,0.0033867804,544830.06,71489.25,0.010285362,0.010295552,8380.463,8350.905,6445.702,6365.496,0.30185413,0.0,0.0,0.0
17.917969,25571.332,0.233,0.0,0.0,281.90903,11647.0,100.0,0.0,0.067725286,0.0,7.0,0.0,0.0,666332.06,111.0,20.0,0.0,0.0,20.051922,0.0,0.0,-328.4774,4.9633164,-111.896034,-0.026806807,0.070835136,0.022020409,285.5131,285.52835,281.83276,281.8084,245.0,244.0,305.0,302.0,61.0,53.0,52.0,43.0,1.5338075,0.9344609,2.6171126,0.96004474,0.047532715,0.047386356,0.052885957,0.052979797,0.0,0.0,0.0,0.0,115.039955,-796.8708,-25.13231,126.0772,0.0,17244.8,0.0,0.0,1.0,2.7703118,0.0039135236,0.001167059,88.0,82.0,89.0,78.0,20.53544,20.190542,23.825985,23.12798,0.0127885295,0.01290914,-3.0760356E-4,-3.1419218E-4,1194.8726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.402761,-0.10357598,-72.97551,-0.0036473046,-0.0038030474,0.010462358,544734.06,71489.25,0.0110158585,0.010178357,8451.143,8368.19,6337.461,6412.84,0.3023367,0.0,0.0,0.0
21.835938,25575.25,0.283,0.0,0.0,282.03354,11654.0,100.0,0.0,0.053608242,0.0,7.0,0.0,0.0,666742.1,111.0,20.0,0.0,0.0,20.05056,0.0,0.0,-327.0566,4.9576373,-115.545525,-0.028523495,0.07367627,-0.052333813,285.67557,285.7048,281.95517,281.9356,244.0,243.0,304.0,301.0,60.0,53.0,52.0,43.0,1.5341804,0.934778,2.6171126,0.96004474,0.04702155,0.046535794,0.052682605,0.052930426,0.0,0.0,0.0,0.0,1168.6786,649.80536,1735.5634,728.3538,0.0,21229.31,0.0,0.0,1.0,2.7701461,0.00271848,0.0014003515,88.0,82.0,89.0,78.0,20.536003,20.191076,23.825909,23.128016,0.012944802,0.013099112,-3.082095E-4,-3.153116E-4,1195.2933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.427473,-0.12937768,-73.00296,-0.01659155,-0.0028925918,0.033548426,544598.56,71489.25,0.010560412,0.010708851,8285.641,8151.767,6329.206,6415.407,0.30265713,0.0,0.0,0.0
25.75586,25579.17,0.333,0.0,0.0,282.15665,11655.0,100.0,0.0,0.054077834,0.0,7.0,0.0,0.0,667153.25,111.0,20.0,0.0,0.0,20.049198,0.0,0.0,-325.63458,4.9519677,-119.19641,-0.02187336,0.06840491,0.13769473,285.70825,285.71896,282.07114,282.05548,243.0,242.0,302.0,300.0,60.0,53.0,52.0,43.0,1.5341804,0.934778,2.6171126,0.96004474,0.04853402,0.047479514,0.05344546,0.053289693,0.0,0.0,0.0,0.0,-877.27014,1057.2865,-458.40286,-149.855,0.0,25214.902,0.0,0.0,1.0,2.770026,0.0015399125,7.0655346E-4,88.0,82.0,89.0,78.0,20.536615,20.191652,23.825916,23.12812,0.012620506,0.012712181,-3.1449014E-4,-3.1606603E-4,1195.3485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.451008,-0.0858939,-73.03056,0.022956474,-0.002561664,0.011819236,544577.0,71489.25,0.008733545,0.008857593,8657.225,8577.914,6801.0283,6715.294,0.30095863,0.0,0.0,0.0
29.677734,25583.092,0.383,0.0,0.0,282.28064,11659.0,100.0,0.0,0.05081811,0.0,7.0,0.0,0.0,667565.2,111.0,20.0,0.0,0.0,20.047836,0.0,0.0,-324.21143,4.949655,-122.84868,-0.020084105,0.0706159,0.15207237,285.80292,285.80508,282.19968,282.18146,242.0,241.0,301.0,299.0,60.0,53.0,52.0,43.0,1.534549,0.9350934,2.6171126,0.96004474,0.048648175,0.048586033,0.053271558,0.053264745,0.0,0.0,0.0,0.0,247.76903,-1774.6298,-34.305466,-166.41763,0.0,29201.299,0.0,0.0,1.0,2.7698832,0.0016055157,-2.4461746E-4,88.0,82.0,89.0,78.0,20.537252,20.192274,23.825905,23.128208,0.012478314,0.012545404,-3.1275518E-4,-3.162073E-4,1195.597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.473547,-0.011452729,-73.05879,0.0020965459,-0.0029546614,0.006580471,544503.3,71489.25,0.008763833,0.0074337497,8803.185,8765.67,6540.0073,6543.328,0.29982567,0.0,0.0,0.0
33.597656,25587.012,0.433,0.0,0.0,282.39636,11668.0,100.0,0.0,0.036933534,0.0,7.0,0.0,0.0,667979.4,111.0,20.0,0.0,0.0,20.046474,0.0,0.0,-322.7872,4.9502263,-126.50231,-0.020788832,0.06419453,-0.012976255,286.03787,286.02975,282.31683,282.299,241.0,240.0,300.0,298.0,60.0,53.0,52.0,43.0,1.534549,0.9350934,2.6171126,0.96004474,0.047683213,0.047697812,0.053282756,0.05297542,0.0,0.0,0.0,0.0,-251.09503,-73.9619,2.521269,-442.2962,0.0,33189.926,0.0,0.0,1.0,2.7697332,0.0016644709,-9.679794E-5,88.0,82.0,89.0,78.0,20.53784,20.192856,23.825876,23.128263,0.012886756,0.012929566,-3.0817525E-4,-3.1005027E-4,1196.1199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.494637,0.017277053,-73.085075,0.0056051305,-0.0029303085,-0.01204481,544321.25,71489.25,0.009223615,0.009159565,8297.224,8294.243,6555.957,6361.951,0.3006811,0.0,0.0,0.0
37.51953,25590.934,0.483,0.0,0.0,282.5167,11672.0,100.0,0.0,0.0024182461,0.0,7.0,0.0,0.0,668395.9,111.0,20.0,0.0,0.0,20.045113,0.0,0.0,-321.36197,4.950691,-130.15732,-0.0150639955,0.06746874,-0.0153719345,286.1398,286.1331,282.43384,282.4236,240.0,239.0,299.0,297.0,60.0,53.0,52.0,43.0,1.5349168,0.9354093,2.6171126,0.96004474,0.047218233,0.047544546,0.053063087,0.0528059,0.0,0.0,0.0,0.0,240.82213,-30.979511,358.67834,201.42047,0.0,37180.87,0.0,0.0,1.0,2.7696214,0.0025041439,-1.2230873E-4,88.0,82.0,89.0,78.0,20.538395,20.19342,23.825815,23.128284,0.012843893,0.012852028,-3.065564E-4,-3.126504E-4,1196.3469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.514217,0.0044040685,-73.11332,0.0046031065,-0.0014537666,-0.018265817,544238.0,71489.25,0.009764925,0.009457174,8343.48,8391.926,6434.2393,6315.659,0.3013258,0.0,0.0,0.0
