LapDistance [m],TotalDistance [m],LapTime [s],Sector1Time [s],Sector2Time [s],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Clutch [%],Gear [int],DRS [0/1],CanUseDRS [0/1],KERSLevel [J],EngineTemperature [C],RacePosition [int],Sector [int],InPits [int],FuelRemaining [kg],CurrentFlag [int],CurrentLapInvalid [int],X [m],Y [m],Z [m],GForceLatitudinal [G],GForceLongitudinal [G],GForceVertical [G],WheelSpeedRearLeft [km/h],WheelSpeedRearRight [km/h],WheelSpeedFrontLeft [km/h],WheelSpeedFrontRight [km/h],BrakeTemperatureRearLeft [C],BrakeTemperatureRearRight [C],BrakeTemperatureFrontLeft [C],BrakeTemperatureFrontRight [C],TyreTemperatureRearLeft [C],TyreTemperatureRearRight [C],TyreTemperatureFrontLeft [C],TyreTemperatureFrontRight [C],TyreWearRearLeft [%],TyreWearRearRight [%],TyreWearFrontLeft [%],TyreWearFrontRight [%],SuspensionPositionRearLeft [m],SuspensionPositionRearRight [m],SuspensionPositionFrontLeft [m],SuspensionPositionFrontRight [m],SuspensionVelocityRearLeft [m/s],SuspensionVelocityRearRight [m/s],SuspensionVelocityFrontLeft [m/s],SuspensionVelocityFrontRight [m/s],SuspensionAccelerationRearLeft [m/s^2],SuspensionAccelerationRearRight [m/s^2],SuspensionAccelerationFrontLeft [m/s^2],SuspensionAccelerationFrontRight [m/s^2],MGUKHarvested [J],MGUHHarvested [J],ERSSpent [J],ERSMode [int],FuelMixMode [int],Yaw [rad],Roll [rad],Pitch [rad],TyreCarcassTemperatureRearLeft [C],TyreCarcassTemperatureRearRight [C],TyreCarcassTemperatureFrontLeft [C],TyreCarcassTemperatureFrontRight [C],TyrePressureRearLeft [PSI],TyrePressureRearRight [PSI],TyrePressureFrontLeft [PSI],TyrePressureFrontRight [PSI],WheelSlipRearLeft [%],WheelSlipRearRight [%],WheelSlipFrontLeft [%],WheelSlipFrontRight [%],Torque [Nm],Handbrake [%],RearLeftInside [C],RearLeftMiddle [C],RearLeftOutside [C],RearRightInside [C],RearRightMiddle [C],RearRightOutside [C],FrontLeftInside [C],FrontLeftMiddle [C],FrontLeftOutside [C],FrontRightInside [C],FrontRightMiddle [C],FrontRightOutside [C],WoldSpeedX [km/h],WoldSpeedY [km/h],WoldSpeedZ [km/h],LocalAngularVelocityX [rad/s],LocalAngularVelocityY [rad/s],LocalAngularVelocityZ [rad/s],IcePower [W],MgukPower [W],FrontRideHeight [m],RearRideHeight [m],LoadRearLeft [N],LoadRearRight [N],LoadFrontLeft [N],LoadFrontRight [N],Extra1 [m],Extra2 [],Extra3 [],Extra4 []
3.2651994,3.2651994,0.033,0.0,0.0,318.02856,11413.0,100.0,0.0,-0.92273223,0.0,8.0,1.0,0.0,2222700.8,109.0,2.0,0.0,0.0,4.7717557,0.0,0.0,-333.3592,4.979918,-98.07888,0.15019856,0.16496043,0.01414845,322.79224,322.84033,317.79794,317.9987,33.0,33.0,34.0,33.0,89.0,89.0,89.0,89.0,0.20577621,0.10715019,0.116146766,0.04474122,0.047302675,0.047842972,0.05561249,0.05598255,-36.442055,-17.380043,-108.36079,-88.928185,910.1003,1593.9026,3873.7402,4341.7183,0.0,1041.3223,3113.8682,2.0,1.0,2.7704635,0.004510859,0.002340436,90.0,90.0,90.0,90.0,20.9,20.9,24.2,24.2,0.015503457,0.015019158,-3.665794E-4,-4.4336438E-4,1180.8225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.054245,0.00890081,-82.32075,0.021368336,0.037554376,-0.031004114,549366.06,119984.91,0.005561252,0.009189467,8077.037,8355.73,7096.517,7283.9336,0.30034637,0.0,0.0,0.0
7.6853895,7.6853895,0.083,0.0,0.0,318.22357,11424.0,100.0,0.0,-0.82914615,0.0,8.0,1.0,0.0,2219674.0,109.0,2.0,0.0,0.0,4.7703967,0.0,0.0,-331.75842,4.9787846,-102.197205,0.25447196,0.108835116,-0.18690442,323.07373,323.1986,317.93958,318.26523,33.0,33.0,34.0,33.0,89.0,89.0,88.0,88.0,0.2062178,0.107706115,0.116146766,0.04474122,0.044668008,0.046188958,0.05326764,0.054267917,-46.317276,-42.875557,-24.62156,-19.779278,519.9998,-551.35504,1102.3878,892.39764,0.0,4165.115,6140.66,2.0,1.0,2.7729812,0.0055316174,0.002593875,90.0,90.0,90.0,90.0,20.9,20.9,24.2,24.2,0.015722461,0.015178154,-3.6768103E-4,-3.8571088E-4,1181.4862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.97462,-0.06235864,-82.40979,-0.011085241,0.056157086,-0.020257356,549145.56,119984.91,0.009891633,0.0131147085,7573.703,7926.3193,6408.4707,6874.493,0.30456161,0.0,0.0,0.0
10.633676,10.633676,0.133,0.0,0.0,318.3478,11429.0,100.0,0.0,-0.77856493,0.0,8.0,1.0,0.0,2217657.8,109.0,2.0,0.0,0.0,4.7694907,0.0,0.0,-330.69403,4.975705,-104.945435,0.32730436,0.105785236,-0.14262949,323.23987,323.31342,318.0614,318.38797,33.0,33.0,34.0,33.0,88.0,88.0,88.0,88.0,0.2062178,0.107706115,0.116146766,0.04474122,0.04335435,0.045217812,0.052999724,0.054293156,0.0,0.0,0.0,0.0,402.62646,803.1336,502.72632,750.01263,0.0,6249.2256,8156.857,2.0,1.0,2.7748623,0.0061263726,0.003190279,90.0,90.0,90.0,90.0,20.9,20.9,24.2,24.2,0.015883362,0.015182871,-3.75392E-4,-3.819795E-4,1181.7921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.891706,-0.11425151,-82.47886,-0.0069850045,0.05566157,-0.020786162,549047.44,119984.91,0.010553174,0.014952138,7443.8975,7978.09,6534.949,7160.3955,0.3059826,0.0,0.0,0.0
16.533566,16.533566,0.183,0.0,0.0,318.59326,11433.0,100.0,0.0,-0.6975141,0.0,8.0,1.0,0.0,2213627.5,109.0,2.0,0.0,0.0,4.7676787,0.0,0.0,-328.57483,4.9655786,-110.449196,0.3881988,0.10635727,0.00299248,323.35632,323.4156,318.32593,318.60315,33.0,33.0,34.0,33.0,87.0,88.0,87.0,87.0,0.20677477,0.10854092,0.116146766,0.04474122,0.04318372,0.045426156,0.053017557,0.05490305,28.028189,35.229248,6.506368,16.599073,1527.9872,1459.9127,172.50626,360.623,0.0,10419.391,12187.204,2.0,1.0,2.7782857,0.0066824136,0.003280878,90.0,90.0,90.0,90.0,20.9,20.9,24.2,24.2,0.015413588,0.014815311,-3.8086215E-4,-3.891301E-4,1182.0358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.688377,-0.17040782,-82.63012,0.006326827,0.047073055,0.0077062086,548968.5,119984.914,0.008811813,0.013578886,7791.2803,8346.341,6722.0684,7613.8374,0.30422306,0.0,0.0,0.0
20.961462,20.961462,0.233,0.0,0.0,318.77316,11436.0,100.0,0.0,-0.6180271,0.0,8.0,1.0,0.0,2210605.2,109.0,2.0,0.0,0.0,4.7663198,0.0,0.0,-326.99454,4.958291,-114.583725,0.3825474,0.100489385,0.119659625,323.43387,323.49332,318.5233,318.76392,33.0,33.0,34.0,33.0,87.0,87.0,86.0,86.0,0.20677477,0.10854092,0.116146766,0.04474122,0.04579562,0.04745912,0.053334255,0.055276066,39.873493,35.697964,-0.20854174,1.6287713,-1915.1505,-824.53784,-828.86957,-252.19467,0.0,13547.439,15209.516,2.0,1.0,2.7804685,0.0059193093,0.0025390387,90.0,90.0,90.0,90.0,20.9,20.9,24.2,24.2,0.015000227,0.0145213725,-3.813452E-4,-3.8849053E-4,1182.2251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.529911,-0.117128395,-82.744286,0.0065144133,0.040735923,0.022045316,548912.4,119984.914,0.008272633,0.01146772,8122.691,8604.785,6820.564,7717.7163,0.30330944,0.0,0.0,0.0
25.391768,25.391768,0.283,0.0,0.0,318.94925,11442.0,100.0,0.0,3.3300463E-4,0.0,8.0,1.0,0.0,2207584.8,109.0,2.0,0.0,0.0,4.764961,0.0,0.0,-325.42163,4.9536533,-118.72369,0.2713264,0.10119496,0.08472099,323.64822,323.662,318.7697,318.8741,33.0,33.0,34.0,33.0,86.0,87.0,85.0,85.0,0.20717035,0.109110974,0.116146766,0.04474122,0.04649957,0.047533963,0.053567637,0.0550704,12.026354,-6.65456,13.47564,-9.908079,37.711826,-113.20261,689.4349,-357.10925,0.0,16677.062,18230.172,2.0,1.0,2.781935,0.00412956,0.0019215345,90.0,90.0,90.0,90.0,20.9,20.9,24.2,24.2,0.014890203,0.014719985,-4.1089542E-4,-3.6241798E-4,1182.5579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.402967,-0.07293243,-82.84491,-0.0011691432,0.015042305,0.042407714,548779.0,119984.914,0.0076684323,0.011027905,8168.125,8444.711,6983.84,7585.861,0.3028717,0.0,0.0,0.0
28.34666,28.34666,0.333,0.0,0.0,319.06906,11446.0,100.0,0.0,0.52524096,0.0,8.0,1.0,0.0,2205572.0,109.0,2.0,0.0,0.0,4.764055,0.0,0.0,-324.3757,4.9517803,-121.48614,0.13148153,0.10277561,0.08991055,323.7809,323.71112,318.9828,318.90256,33.0,33.0,34.0,33.0,86.0,86.0,85.0,85.0,0.20717035,0.109110974,0.116146766,0.04474122,0.046888232,0.047573198,0.054022983,0.054642,0.0,0.0,0.0,0.0,490.18704,4.5329328,-299.05286,-104.0697,0.0,18764.36,20243.016,2.0,1.0,2.781847,0.0029051728,0.0013977289,90.0,90.0,90.0,90.0,20.9,20.9,24.2,24.2,0.014660547,0.014764259,-4.226856E-4,-3.514664E-4,1182.8333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.363937,-0.042566624,-82.8953,0.002701682,-0.017425677,0.035590537,548714.94,119984.91,0.0072298925,0.010214607,8309.049,8453.758,7152.765,7367.9805,0.3020363,0.0,0.0,0.0
34.25727,34.25727,0.383,0.0,0.0,319.31006,11455.0,100.0,0.0,0.92692834,0.0,8.0,1.0,0.0,2201548.5,109.0,2.0,0.0,0.0,4.762243,0.0,0.0,-322.28363,4.9508758,-127.01459,-0.1726435,0.10027146,0.06438093,324.11096,323.90332,319.36313,319.00778,33.0,33.0,33.0,33.0,85.0,86.0,84.0,84.0,0.20785648,0.10972967,0.116146766,0.04474122,0.04763529,0.047167197,0.054704197,0.053791985,-4.9504633,-6.437301,11.119767,-15.073791,-918.8308,305.289,-322.34784,-27.519491,0.0,22941.0,24266.545,2.0,1.0,2.7788622,9.7030954E-4,9.676218E-4,90.0,90.0,90.0,90.0,20.9,20.9,24.2,24.2,0.014521064,0.014933892,-4.0332638E-4,-3.6222467E-4,1183.3712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.424622,0.010315664,-82.94392,-0.0038869819,-0.062531464,0.0127088,548533.2,119984.92,0.00718125,0.00973506,8381.737,8253.208,7443.3804,6953.8135,0.3016739,0.0,0.0,0.0
38.692413,38.692413,0.433,0.0,0.0,319.47443,11462.0,100.0,0.0,0.7024674,0.0,8.0,1.0,0.0,2198533.0,109.0,2.0,0.0,0.0,4.760884,0.0,0.0,-320.7088,4.9531937,-131.16174,-0.3165585,0.090103105,0.04054812,324.2967,324.14047,319.53006,319.17053,33.0,33.0,33.0,33.0,85.0,85.0,83.0,83.0,0.20785648,0.10972967,0.116146766,0.04474122,0.047880407,0.046835244,0.05496607,0.053443417,-21.26321,-22.226793,-4.5043225,-11.623129,-1759.1667,-834.67645,-350.77924,58.338028,0.0,26075.525,27282.04,2.0,1.0,2.7756593,9.899088E-4,8.120537E-4,90.0,90.0,90.0,90.0,20.9,20.9,24.2,24.2,0.014597651,0.015123364,-3.727061E-4,-3.8185416E-4,1183.7771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.568615,0.06325939,-82.93805,0.003299865,-0.06056427,-0.013533322,548386.25,119984.914,0.009718137,0.011910327,8416.868,8013.6836,7451.6597,6744.169,0.30441284,0.0,0.0,0.0
41.6504,41.6504,0.483,0.0,0.0,319.5769,11468.0,100.0,0.0,0.5271106,0.0,8.0,1.0,0.0,2196524.2,109.0,2.0,0.0,0.0,4.759978,0.0,0.0,-319.65445,4.9552298,-133.9261,-0.35161707,0.08870481,-0.01793953,324.42673,324.32907,319.59424,319.31052,33.0,33.0,33.0,33.0,85.0,85.0,83.0,83.0,0.20842685,0.110114224,0.116146766,0.04474122,0.04706145,0.045823544,0.054874465,0.053223368,0.0,0.0,0.0,0.0,354.30643,82.39745,168.22813,198.926,0.0,28166.72,29290.78,2.0,1.0,2.77388,0.0014518095,8.392334E-4,90.0,90.0,90.0,90.0,20.9,20.9,24.2,24.2,0.014830557,0.015305137,-3.6794945E-4,-3.8436157E-4,1184.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.684248,0.05841406,-82.92442,0.006369503,-0.047134735,-0.01391514,548275.9,119984.92,0.010805295,0.013809264,8259.67,7832.0176,7436.1006,6672.1025,0.3058796,0.0,0.0,0.0
